,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHOENIX_ACTION,CHARLOTTE_SCORE,PHOENIX_SCORE
0,1,11:40.0,,K. Oubre misses 2-pt layup from 1 ft,0,0
1,1,11:38.0,Defensive rebound by B. Biyombo,,0,0
2,1,11:29.0,D. Graham makes 2-pt jump shot from 20 ft,,2,0
3,1,11:17.0,,Turnover by R. Rubio (bad pass; steal by M. Bridges),2,0
4,1,11:13.0,M. Bridges makes 2-pt dunk at rim,,4,0
5,1,10:54.0,,Personal foul by D. Graham (drawn by D. Booker),4,0
6,1,10:46.0,,Turnover by D. Booker (bad pass; steal by D. Graham),4,0
7,1,10:39.0,P. Washington misses 2-pt layup from 2 ft,,4,0
8,1,10:37.0,Offensive rebound by B. Biyombo,,4,0
9,1,10:37.0,B. Biyombo misses 2-pt layup at rim,,4,0
10,1,10:36.0,,Defensive rebound by A. Baynes,4,0
11,1,10:30.0,,A. Baynes misses 2-pt jump shot from 14 ft,4,0
12,1,10:28.0,,Offensive rebound by D. Šarić,4,0
13,1,10:17.0,,D. Booker misses 3-pt jump shot from 28 ft,4,0
14,1,10:15.0,Defensive rebound by B. Biyombo,,4,0
15,1,10:03.0,B. Biyombo misses 2-pt jump shot from 11 ft,,4,0
16,1,9:59.0,Offensive rebound by B. Biyombo,,4,0
17,1,9:53.0,T. Rozier misses 2-pt jump shot from 11 ft,,4,0
18,1,9:50.0,,Defensive rebound by A. Baynes,4,0
19,1,9:44.0,,K. Oubre misses 3-pt jump shot from 23 ft,4,0
20,1,9:41.0,Defensive rebound by T. Rozier,,4,0
21,1,9:34.0,M. Bridges misses 3-pt jump shot from 26 ft,,4,0
22,1,9:32.0,,Defensive rebound by R. Rubio,4,0
23,1,9:25.0,,R. Rubio misses 2-pt jump shot from 18 ft,4,0
24,1,9:21.0,Defensive rebound by B. Biyombo,,4,0
25,1,9:07.0,B. Biyombo misses 2-pt layup from 1 ft (block by K. Oubre),,4,0
26,1,9:05.0,,Defensive rebound by D. Šarić,4,0
27,1,9:01.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Šarić),4,3
28,1,8:38.0,D. Graham misses 3-pt jump shot from 26 ft,,4,3
29,1,8:36.0,,Defensive rebound by D. Šarić,4,3
30,1,8:23.0,,R. Rubio makes 2-pt jump shot from 14 ft,4,5
31,1,8:05.0,P. Washington misses 2-pt layup from 3 ft,,4,5
32,1,8:05.0,,Defensive rebound by Team,4,5
33,1,7:53.0,,Personal foul by P. Washington (drawn by D. Booker),4,5
34,1,7:53.0,N. Batum enters the game for M. Bridges,,4,5
35,1,7:49.0,,K. Oubre misses 2-pt layup from 2 ft (block by B. Biyombo),4,5
36,1,7:49.0,,Offensive rebound by Team,4,5
37,1,7:39.0,,K. Oubre makes 2-pt layup from 1 ft (assist by R. Rubio),4,7
38,1,7:17.0,N. Batum misses 2-pt jump shot from 21 ft,,4,7
39,1,7:14.0,,Defensive rebound by D. Šarić,4,7
40,1,7:07.0,,A. Baynes misses 2-pt jump shot from 14 ft,4,7
41,1,7:04.0,Defensive rebound by N. Batum,,4,7
42,1,6:52.0,Turnover by P. Washington (step out of bounds),,4,7
43,1,6:52.0,,Phoenix full timeout,4,7
44,1,6:52.0,D. Bacon enters the game for T. Rozier,,4,7
45,1,6:37.0,,Turnover by K. Oubre (out of bounds lost ball),4,7
46,1,6:16.0,D. Bacon makes 2-pt jump shot from 14 ft,,6,7
47,1,6:07.0,,D. Booker makes 2-pt layup from 1 ft (assist by R. Rubio),6,9
48,1,5:52.0,Turnover by D. Graham (bad pass; steal by D. Booker),,6,9
49,1,5:49.0,,D. Booker misses 3-pt jump shot from 25 ft,6,9
50,1,5:47.0,Defensive rebound by P. Washington,,6,9
51,1,5:40.0,Turnover by N. Batum (bad pass; steal by K. Oubre),,6,9
52,1,5:31.0,,A. Baynes misses 2-pt hook shot from 9 ft,6,9
53,1,5:29.0,Defensive rebound by D. Bacon,,6,9
54,1,5:18.0,D. Graham misses 3-pt jump shot from 25 ft,,6,9
55,1,5:14.0,Offensive rebound by B. Biyombo,,6,9
56,1,5:11.0,Shooting foul by R. Rubio (drawn by B. Biyombo),,6,9
57,1,5:11.0,B. Biyombo misses free throw 1 of 2,,6,9
58,1,5:11.0,Offensive rebound by Team,,6,9
59,1,5:11.0,M. Bridges enters the game for P. Washington,,6,9
60,1,5:11.0,,D. Ayton enters the game for A. Baynes,6,9
61,1,5:11.0,,M. Bridges enters the game for K. Oubre,6,9
62,1,5:11.0,,E. Okobo enters the game for R. Rubio,6,9
63,1,5:11.0,B. Biyombo makes free throw 2 of 2,,7,9
64,1,4:53.0,,D. Šarić misses 2-pt layup from 2 ft,7,9
