,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,G. Temple makes 2-pt jump shot from 10 ft,0,2
1,1,11:41.0,,Shooting foul by T. Warren (drawn by G. Temple),0,2
2,1,11:41.0,,G. Temple misses free throw 1 of 1,0,2
3,1,11:38.0,Defensive rebound by D. Sabonis,,0,2
4,1,11:21.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,3,2
5,1,11:06.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by J. Allen),3,5
6,1,10:41.0,M. Turner misses 3-pt jump shot from 26 ft,,3,5
7,1,10:36.0,Offensive rebound by D. Sabonis,,3,5
8,1,10:33.0,T. Warren misses 3-pt jump shot from 25 ft,,3,5
9,1,10:29.0,,Defensive rebound by G. Temple,3,5
10,1,10:17.0,,T. Prince makes 2-pt jump shot from 6 ft,3,7
11,1,10:00.0,A. Holiday misses 2-pt jump shot from 21 ft,,3,7
12,1,9:58.0,,Defensive rebound by J. Allen,3,7
13,1,9:50.0,,J. Harris misses 3-pt jump shot from 25 ft,3,7
14,1,9:48.0,Defensive rebound by D. Sabonis,,3,7
15,1,9:33.0,D. Sabonis misses 2-pt hook shot from 4 ft,,3,7
16,1,9:29.0,,Defensive rebound by S. Dinwiddie,3,7
17,1,9:21.0,,J. Harris makes 2-pt layup from 4 ft (assist by G. Temple),3,9
18,1,9:08.0,M. Turner misses 2-pt layup from 1 ft (block by T. Prince),,3,9
19,1,9:08.0,Offensive rebound by Team,,3,9
20,1,8:58.0,J. Holiday misses 2-pt jump shot from 11 ft,,3,9
21,1,8:55.0,Offensive rebound by D. Sabonis,,3,9
22,1,8:47.0,J. Holiday misses 2-pt layup from 3 ft,,3,9
23,1,8:45.0,,Defensive rebound by J. Allen,3,9
24,1,8:25.0,,T. Prince misses 3-pt jump shot from 25 ft,3,9
25,1,8:22.0,Defensive rebound by T. Warren,,3,9
26,1,8:13.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by M. Turner),,6,9
27,1,8:02.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,6,12
28,1,7:41.0,D. Sabonis misses 2-pt jump shot from 19 ft,,6,12
29,1,7:38.0,,Defensive rebound by S. Dinwiddie,6,12
30,1,7:34.0,,J. Harris misses 3-pt jump shot from 25 ft,6,12
31,1,7:31.0,Defensive rebound by A. Holiday,,6,12
32,1,7:23.0,M. Turner misses 3-pt jump shot from 26 ft,,6,12
33,1,7:20.0,,Defensive rebound by J. Allen,6,12
34,1,7:15.0,,Shooting foul by A. Holiday (drawn by J. Allen),6,12
35,1,7:15.0,,J. Allen makes free throw 1 of 2,6,13
36,1,7:15.0,,J. Allen makes free throw 2 of 2,6,14
37,1,7:10.0,Indiana full timeout,,6,14
38,1,7:01.0,J. Holiday misses 3-pt jump shot from 24 ft,,6,14
39,1,6:57.0,,Defensive rebound by S. Dinwiddie,6,14
40,1,6:51.0,,G. Temple misses 3-pt jump shot from 23 ft,6,14
41,1,6:48.0,Defensive rebound by D. Sabonis,,6,14
42,1,6:41.0,J. Holiday makes 2-pt jump shot from 20 ft (assist by A. Holiday),,8,14
43,1,6:23.0,,T. Prince misses 2-pt layup from 1 ft (block by D. Sabonis),8,14
44,1,6:21.0,Defensive rebound by D. Sabonis,,8,14
45,1,6:17.0,Turnover by A. Holiday (bad pass),,8,14
46,1,6:17.0,,N. Claxton enters the game for T. Prince,8,14
47,1,6:17.0,,D. Musa enters the game for G. Temple,8,14
48,1,6:00.0,,N. Claxton misses 2-pt layup from 5 ft,8,14
49,1,5:57.0,Defensive rebound by A. Holiday,,8,14
50,1,5:42.0,J. Holiday misses 3-pt jump shot from 23 ft,,8,14
51,1,5:38.0,,Defensive rebound by J. Allen,8,14
52,1,5:25.0,,Turnover by S. Dinwiddie (bad pass),8,14
53,1,5:25.0,,Loose ball foul by D. Musa (drawn by T. Warren),8,14
54,1,5:19.0,A. Holiday misses 3-pt jump shot from 25 ft,,8,14
55,1,5:16.0,Offensive rebound by A. Holiday,,8,14
56,1,5:14.0,A. Holiday misses 2-pt jump shot from 1 ft,,8,14
57,1,5:10.0,Offensive rebound by D. Sabonis,,8,14
58,1,5:10.0,D. Sabonis misses 2-pt layup at rim,,8,14
59,1,5:09.0,,Defensive rebound by J. Allen,8,14
60,1,5:06.0,,D. Musa misses 2-pt layup from 3 ft (block by M. Turner),8,14
61,1,5:02.0,Defensive rebound by A. Holiday,,8,14
62,1,4:57.0,T. Warren misses 2-pt layup from 2 ft,,8,14
63,1,4:53.0,Offensive rebound by T. Warren,,8,14
64,1,4:53.0,T. Warren misses 2-pt layup at rim,,8,14
65,1,4:51.0,Offensive rebound by D. Sabonis,,8,14
66,1,4:51.0,D. Sabonis misses 2-pt layup at rim,,8,14
67,1,4:51.0,Offensive rebound by M. Turner,,8,14
68,1,4:47.0,T. Warren makes 2-pt jump shot from 13 ft (assist by J. Holiday),,10,14
69,1,4:46.0,,Brooklyn full timeout,10,14
70,1,4:46.0,T. Leaf enters the game for J. Holiday,,10,14
71,1,4:46.0,D. McDermott enters the game for D. Sabonis,,10,14
72,1,4:24.0,,J. Allen misses 2-pt layup from 1 ft,10,14
73,1,4:21.0,Defensive rebound by T. Leaf,,10,14
74,1,4:14.0,M. Turner makes 2-pt layup from 4 ft (assist by A. Holiday),,12,14
75,1,4:14.0,Shooting foul by J. Allen (drawn by M. Turner),,12,14
76,1,4:14.0,M. Turner misses free throw 1 of 1,,12,14
77,1,4:11.0,,Defensive rebound by J. Allen,12,14
78,1,4:02.0,,J. Harris misses 2-pt layup from 2 ft,12,14
79,1,3:58.0,Defensive rebound by T. Warren,,12,14
80,1,3:51.0,T. Leaf misses 2-pt layup from 2 ft,,12,14
81,1,3:48.0,,Defensive rebound by J. Allen,12,14
82,1,3:44.0,,Turnover by S. Dinwiddie (bad pass; steal by T. Warren),12,14
83,1,3:39.0,T. Warren makes 2-pt layup from 2 ft,,14,14
84,1,3:27.0,,S. Dinwiddie misses 2-pt jump shot from 14 ft,14,14
85,1,3:24.0,Defensive rebound by T. Warren,,14,14
86,1,3:21.0,Turnover by T. Warren (bad pass),,14,14
87,1,3:21.0,,D. Jordan enters the game for J. Allen,14,14
88,1,3:21.0,,G. Temple enters the game for J. Harris,14,14
89,1,3:09.0,,Personal foul by A. Holiday (drawn by D. Jordan),14,14
90,1,3:09.0,G. Bitadze enters the game for A. Holiday,,14,14
91,1,3:09.0,N. Mitrou-Long enters the game for M. Turner,,14,14
92,1,3:00.0,,S. Dinwiddie misses 2-pt layup from 2 ft,14,14
93,1,2:57.0,Defensive rebound by T. Leaf,,14,14
94,1,2:39.0,Turnover by N. Mitrou-Long (bad pass; steal by S. Dinwiddie),,14,14
95,1,2:30.0,,Shooting foul by G. Bitadze (drawn by D. Musa),14,14
96,1,2:30.0,,D. Musa makes free throw 1 of 2,14,15
97,1,2:30.0,,T. Pinson enters the game for N. Claxton,14,15
98,1,2:30.0,,T. Prince enters the game for S. Dinwiddie,14,15
99,1,2:30.0,,D. Musa makes free throw 2 of 2,14,16
100,1,2:10.0,T. Warren misses 2-pt jump shot from 12 ft,,14,16
101,1,2:05.0,,Defensive rebound by D. Jordan,14,16
102,1,1:59.0,,G. Temple misses 2-pt jump shot from 16 ft,14,16
103,1,1:57.0,Defensive rebound by T. Leaf,,14,16
104,1,1:40.0,G. Bitadze misses 3-pt jump shot from 25 ft,,14,16
105,1,1:36.0,,Defensive rebound by G. Temple,14,16
106,1,1:26.0,,T. Pinson misses 2-pt jump shot from 2 ft,14,16
107,1,1:23.0,Defensive rebound by T. Leaf,,14,16
108,1,1:12.0,T. Warren misses 2-pt layup from 7 ft,,14,16
109,1,1:12.0,,Defensive rebound by Team,14,16
110,1,0:49.0,,T. Pinson misses 3-pt jump shot from 26 ft,14,16
111,1,0:48.0,Defensive rebound by D. McDermott,,14,16
112,1,0:41.0,T. Warren makes 2-pt layup from 1 ft (assist by N. Mitrou-Long),,16,16
113,1,0:24.0,,T. Prince makes 2-pt jump shot from 18 ft,16,18
114,1,0:07.0,Shooting foul by D. Jordan (drawn by T. Warren),,16,18
115,1,0:07.0,T. Warren makes free throw 1 of 2,,17,18
116,1,0:07.0,J. Holiday enters the game for T. Leaf,,17,18
117,1,0:07.0,T. Warren makes free throw 2 of 2,,18,18
118,1,0:00.0,,T. Pinson misses 2-pt layup from 1 ft (block by G. Bitadze),18,18
119,1,0:00.0,,Offensive rebound by Team,18,18
120,2,11:36.0,D. McDermott misses 2-pt layup from 2 ft,,18,18
121,2,11:34.0,Offensive rebound by G. Bitadze,,18,18
122,2,11:34.0,G. Bitadze misses 2-pt layup at rim,,18,18
123,2,11:33.0,Offensive rebound by G. Bitadze,,18,18
124,2,11:32.0,G. Bitadze makes 2-pt dunk from 2 ft,,20,18
125,2,11:15.0,,T. Prince misses 2-pt jump shot from 9 ft,20,18
126,2,11:14.0,Defensive rebound by D. Sabonis,,20,18
127,2,11:02.0,Personal foul by T. Pinson (drawn by D. Sabonis),,20,18
128,2,10:55.0,N. Mitrou-Long makes 3-pt jump shot from 26 ft (assist by G. Bitadze),,23,18
129,2,10:38.0,,T. Pinson misses 2-pt dunk from 1 ft,23,18
130,2,10:36.0,Defensive rebound by D. Sabonis,,23,18
131,2,10:33.0,N. Mitrou-Long misses 3-pt jump shot from 25 ft,,23,18
132,2,10:33.0,Offensive rebound by Team,,23,18
133,2,10:33.0,,Loose ball foul by T. Prince (drawn by D. Sabonis),23,18
