,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,I. Zubac makes 2-pt hook shot from 2 ft (assist by P. George),0,2
1,1,11:22.0,K. Nunn misses 2-pt jump shot from 11 ft,,0,2
2,1,11:19.0,,Defensive rebound by I. Zubac,0,2
3,1,11:13.0,,P. George misses 2-pt layup from 1 ft,0,2
4,1,11:10.0,Defensive rebound by K. Nunn,,0,2
5,1,11:08.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by K. Nunn),,3,2
6,1,10:56.0,,K. Leonard misses 3-pt jump shot from 25 ft,3,2
7,1,10:53.0,Defensive rebound by J. Butler,,3,2
8,1,10:44.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Butler),,6,2
9,1,10:27.0,,P. George makes 2-pt jump shot from 18 ft,6,4
10,1,10:10.0,B. Adebayo misses 2-pt jump shot from 14 ft,,6,4
11,1,10:07.0,,Defensive rebound by I. Zubac,6,4
12,1,10:00.0,,P. Beverley misses 3-pt jump shot from 27 ft,6,4
13,1,9:56.0,Defensive rebound by D. Robinson,,6,4
14,1,9:44.0,D. Robinson misses 3-pt jump shot from 26 ft,,6,4
15,1,9:41.0,,Defensive rebound by K. Leonard,6,4
16,1,9:36.0,,K. Leonard misses 3-pt jump shot from 25 ft,6,4
17,1,9:32.0,Defensive rebound by J. Butler,,6,4
18,1,9:28.0,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Butler),,8,4
19,1,9:02.0,,P. George misses 3-pt jump shot from 28 ft,8,4
20,1,9:01.0,,Offensive rebound by Team,8,4
21,1,9:01.0,,Turnover by Team (shot clock),8,4
22,1,8:52.0,Shooting foul by P. George (drawn by D. Robinson),,8,4
23,1,8:52.0,D. Robinson makes free throw 1 of 2,,9,4
24,1,8:52.0,D. Robinson makes free throw 2 of 2,,10,4
25,1,8:42.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by P. Beverley),10,7
26,1,8:26.0,K. Nunn makes 3-pt jump shot from 25 ft (assist by J. Butler),,13,7
27,1,8:17.0,,Personal foul by K. Nunn (drawn by K. Leonard),13,7
28,1,8:15.0,,P. George makes 3-pt jump shot from 26 ft (assist by P. Beverley),13,10
29,1,7:57.0,J. Butler makes 2-pt jump shot from 12 ft,,15,10
30,1,7:47.0,,P. George misses 2-pt jump shot from 19 ft,15,10
31,1,7:46.0,,Offensive rebound by Team,15,10
32,1,7:46.0,Loose ball foul by K. Olynyk (drawn by I. Zubac),,15,10
33,1,7:40.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. George),15,13
34,1,7:23.0,B. Adebayo misses 2-pt layup from 1 ft (block by I. Zubac),,15,13
35,1,7:18.0,,Defensive rebound by K. Leonard,15,13
36,1,7:13.0,,Offensive foul by P. George (drawn by K. Olynyk),15,13
37,1,7:13.0,,Turnover by P. George (offensive foul),15,13
38,1,7:13.0,,L. Shamet enters the game for P. George,15,13
39,1,6:53.0,J. Butler misses 2-pt jump shot from 16 ft,,15,13
40,1,6:50.0,,Defensive rebound by M. Harkless,15,13
41,1,6:46.0,,LA Clippers full timeout,15,13
