,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
0,1,11:41.0,D. Gallinari misses 3-pt jump shot from 27 ft,,0,0
1,1,11:38.0,,Defensive rebound by G. Hayward,0,0
2,1,11:23.0,,J. Tatum misses 2-pt jump shot from 12 ft,0,0
3,1,11:21.0,Defensive rebound by S. Adams,,0,0
4,1,11:05.0,L. Dort misses 2-pt layup from 4 ft (block by G. Hayward),,0,0
5,1,11:02.0,,Defensive rebound by G. Hayward,0,0
6,1,10:46.0,,G. Hayward misses 3-pt jump shot from 24 ft,0,0
7,1,10:44.0,Defensive rebound by C. Paul,,0,0
8,1,10:34.0,D. Gallinari makes 2-pt jump shot from 14 ft,,2,0
9,1,10:20.0,,K. Walker makes 3-pt jump shot from 26 ft,2,3
10,1,10:04.0,D. Gallinari makes 3-pt jump shot from 23 ft (assist by C. Paul),,5,3
11,1,9:49.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by D. Theis),5,6
12,1,9:28.0,Turnover by T. Ferguson (bad pass; steal by G. Hayward),,5,6
13,1,9:17.0,,K. Walker misses 3-pt jump shot from 26 ft,5,6
14,1,9:15.0,Defensive rebound by C. Paul,,5,6
15,1,9:08.0,C. Paul makes 2-pt jump shot from 20 ft,,7,6
16,1,8:55.0,,D. Theis misses 3-pt jump shot from 25 ft,7,6
17,1,8:53.0,Defensive rebound by D. Gallinari,,7,6
18,1,8:50.0,Shooting foul by K. Walker (drawn by C. Paul),,7,6
19,1,8:50.0,C. Paul makes free throw 1 of 2,,8,6
20,1,8:50.0,C. Paul makes free throw 2 of 2,,9,6
21,1,8:41.0,,G. Hayward misses 2-pt layup from 4 ft (block by S. Adams),9,6
22,1,8:40.0,,Offensive rebound by Team,9,6
23,1,8:31.0,,J. Tatum makes 2-pt layup from 2 ft,9,8
24,1,8:10.0,Personal foul by D. Theis (drawn by S. Adams),,9,8
25,1,8:05.0,C. Paul misses 2-pt jump shot from 16 ft,,9,8
26,1,8:03.0,,Defensive rebound by G. Hayward,9,8
27,1,7:50.0,,G. Hayward misses 2-pt jump shot from 18 ft,9,8
28,1,7:47.0,Defensive rebound by C. Paul,,9,8
29,1,7:40.0,D. Gallinari misses 2-pt jump shot from 5 ft,,9,8
30,1,7:38.0,,Defensive rebound by J. Tatum,9,8
31,1,7:34.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),9,11
32,1,7:33.0,Oklahoma City full timeout,,9,11
33,1,7:23.0,S. Adams makes 2-pt dunk from 1 ft (assist by C. Paul),,11,11
34,1,7:07.0,,J. Tatum makes 2-pt jump shot from 6 ft,11,13
35,1,7:07.0,,Shooting foul by T. Ferguson (drawn by J. Tatum),11,13
36,1,7:07.0,N. Noel enters the game for S. Adams,,11,13
37,1,7:07.0,,J. Tatum misses free throw 1 of 1,11,13
38,1,7:07.0,Defensive rebound by N. Noel,,11,13
39,1,6:50.0,Turnover by C. Paul (bad pass; steal by J. Tatum),,11,13
40,1,6:43.0,,M. Smart misses 3-pt jump shot from 24 ft,11,13
41,1,6:41.0,Defensive rebound by N. Noel,,11,13
42,1,6:35.0,Personal foul by G. Hayward (drawn by D. Gallinari),,11,13
43,1,6:29.0,L. Dort misses 3-pt jump shot from 24 ft,,11,13
44,1,6:27.0,,Defensive rebound by G. Hayward,11,13
45,1,6:18.0,,D. Theis makes 2-pt layup from 2 ft (assist by G. Hayward),11,15
46,1,6:05.0,L. Dort makes 3-pt jump shot from 27 ft (assist by C. Paul),,14,15
47,1,5:46.0,,K. Walker misses 3-pt jump shot from 23 ft,14,15
48,1,5:44.0,Defensive rebound by N. Noel,,14,15
49,1,5:37.0,L. Dort misses 2-pt layup from 4 ft,,14,15
50,1,5:36.0,Offensive rebound by T. Ferguson,,14,15
51,1,5:34.0,T. Ferguson makes 2-pt dunk at rim,,16,15
52,1,5:16.0,,J. Tatum misses 3-pt jump shot from 28 ft,16,15
53,1,5:14.0,,Offensive rebound by M. Smart,16,15
54,1,5:13.0,,M. Smart makes 2-pt layup at rim,16,17
55,1,4:53.0,D. Gallinari misses 2-pt layup from 4 ft,,16,17
56,1,4:50.0,,Defensive rebound by K. Walker,16,17
57,1,4:50.0,H. Diallo enters the game for L. Dort,,16,17
58,1,4:50.0,D. Schröder enters the game for T. Ferguson,,16,17
59,1,4:50.0,,E. Freedom enters the game for G. Hayward,16,17
60,1,4:50.0,,S. Ojeleye enters the game for D. Theis,16,17
61,1,4:50.0,,B. Wanamaker enters the game for K. Walker,16,17
62,1,4:40.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),16,20
63,1,4:18.0,D. Schröder misses 3-pt jump shot from 27 ft,,16,20
64,1,4:16.0,Offensive rebound by Team,,16,20
65,1,4:14.0,D. Schröder makes 2-pt jump shot from 13 ft (assist by C. Paul),,18,20
66,1,3:55.0,,J. Tatum misses 2-pt jump shot from 9 ft,18,20
67,1,3:53.0,Defensive rebound by N. Noel,,18,20
68,1,3:47.0,D. Schröder makes 3-pt jump shot from 26 ft,,21,20
69,1,3:47.0,Shooting foul by M. Smart (drawn by D. Schröder),,21,20
70,1,3:47.0,D. Schröder makes free throw 1 of 1,,22,20
