,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:45.0,D. Russell misses 2-pt jump shot from 17 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Allen,0,0
2,1,11:29.0,,J. Harris misses 2-pt jump shot from 20 ft,0,0
3,1,11:26.0,,Offensive rebound by J. Harris,0,0
4,1,11:25.0,,J. Harris makes 2-pt layup from 2 ft,0,2
5,1,11:09.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
6,1,11:07.0,,Defensive rebound by J. Allen,0,2
7,1,10:56.0,,C. LeVert misses 2-pt jump shot from 10 ft,0,2
8,1,10:53.0,Defensive rebound by D. Lee,,0,2
9,1,10:53.0,Personal foul by C. LeVert (drawn by D. Lee),,0,2
10,1,10:46.0,D. Russell makes 2-pt jump shot from 13 ft (assist by D. Green),,2,2
11,1,10:23.0,,T. Prince makes 3-pt jump shot from 26 ft,2,5
12,1,10:13.0,D. Lee misses 3-pt jump shot from 23 ft,,2,5
13,1,10:10.0,,Defensive rebound by J. Allen,2,5
14,1,9:56.0,,Personal foul by M. Chriss (drawn by J. Allen),2,5
15,1,9:48.0,,S. Dinwiddie misses 2-pt layup from 9 ft,2,5
16,1,9:46.0,,Offensive rebound by J. Allen,2,5
17,1,9:46.0,,J. Allen misses 2-pt layup from 1 ft,2,5
18,1,9:46.0,,Offensive rebound by Team,2,5
19,1,9:41.0,,J. Harris misses 2-pt layup from 4 ft (block by M. Chriss),2,5
20,1,9:36.0,Defensive rebound by E. Paschall,,2,5
21,1,9:26.0,D. Russell misses 3-pt jump shot from 22 ft,,2,5
22,1,9:25.0,,Defensive rebound by T. Prince,2,5
23,1,9:10.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by C. LeVert),2,8
24,1,8:59.0,E. Paschall misses 3-pt jump shot from 27 ft,,2,8
25,1,8:55.0,,Defensive rebound by S. Dinwiddie,2,8
26,1,8:51.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft,2,11
27,1,8:31.0,E. Paschall misses 2-pt jump shot from 20 ft,,2,11
28,1,8:29.0,,Defensive rebound by T. Prince,2,11
29,1,8:26.0,,T. Prince misses 3-pt jump shot from 26 ft,2,11
30,1,8:22.0,Defensive rebound by D. Green,,2,11
31,1,8:14.0,D. Lee misses 3-pt jump shot from 26 ft,,2,11
32,1,8:10.0,,Defensive rebound by J. Harris,2,11
33,1,8:09.0,,Shooting foul by D. Green (drawn by C. LeVert),2,11
34,1,8:09.0,,C. LeVert makes free throw 1 of 2,2,12
35,1,8:09.0,,C. LeVert makes free throw 2 of 2,2,13
36,1,7:57.0,D. Russell misses 3-pt jump shot from 26 ft,,2,13
37,1,7:53.0,,Defensive rebound by J. Allen,2,13
38,1,7:49.0,,Shooting foul by D. Lee (drawn by S. Dinwiddie),2,13
39,1,7:49.0,,S. Dinwiddie misses free throw 1 of 3,2,13
40,1,7:49.0,,Offensive rebound by Team,2,13
41,1,7:49.0,,S. Dinwiddie makes free throw 2 of 3,2,14
42,1,7:49.0,,S. Dinwiddie makes free throw 3 of 3,2,15
43,1,7:44.0,Golden State full timeout,,2,15
44,1,7:38.0,M. Chriss misses 2-pt layup from 3 ft,,2,15
45,1,7:36.0,,Defensive rebound by J. Allen,2,15
46,1,7:30.0,,S. Dinwiddie misses 3-pt jump shot from 28 ft,2,15
47,1,7:28.0,,Offensive rebound by S. Dinwiddie,2,15
48,1,7:24.0,,C. LeVert misses 3-pt jump shot from 26 ft,2,15
49,1,7:21.0,Defensive rebound by M. Chriss,,2,15
50,1,7:13.0,D. Russell makes 2-pt jump shot from 17 ft,,4,15
51,1,6:54.0,,T. Prince misses 3-pt jump shot from 26 ft,4,15
52,1,6:51.0,,Offensive rebound by J. Allen,4,15
53,1,6:50.0,,T. Prince makes 2-pt layup from 4 ft (assist by J. Allen),4,17
54,1,6:50.0,,Shooting foul by E. Paschall (drawn by T. Prince),4,17
55,1,6:50.0,,T. Prince misses free throw 1 of 1,4,17
56,1,6:48.0,Defensive rebound by D. Green,,4,17
57,1,6:39.0,D. Green misses 2-pt jump shot from 11 ft,,4,17
58,1,6:38.0,,Defensive rebound by J. Harris,4,17
59,1,6:17.0,,J. Harris makes 3-pt jump shot from 27 ft (assist by T. Prince),4,20
60,1,6:06.0,D. Russell makes 2-pt jump shot from 10 ft,,6,20
61,1,6:06.0,Shooting foul by C. LeVert (drawn by D. Russell),,6,20
62,1,6:06.0,J. Poole enters the game for D. Lee,,6,20
