,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:42.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by L. James),0,3
1,1,11:19.0,M. Smart misses 3-pt jump shot from 26 ft,,0,3
2,1,11:17.0,,Defensive rebound by J. McGee,0,3
3,1,10:54.0,,A. Davis misses 2-pt jump shot from 19 ft,0,3
4,1,10:52.0,Defensive rebound by J. Tatum,,0,3
5,1,10:47.0,Shooting foul by J. McGee (drawn by J. Tatum),,0,3
6,1,10:47.0,J. Tatum makes free throw 1 of 2,,1,3
7,1,10:47.0,J. Tatum misses free throw 2 of 2,,1,3
8,1,10:45.0,,Defensive rebound by J. McGee,1,3
9,1,10:31.0,,Turnover by A. Davis (lost ball; steal by J. Brown),1,3
10,1,10:19.0,J. Tatum misses 2-pt jump shot from 5 ft,,1,3
11,1,10:18.0,,Defensive rebound by J. McGee,1,3
12,1,10:14.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),1,5
13,1,9:48.0,G. Hayward misses 2-pt jump shot from 17 ft,,1,5
14,1,9:44.0,Offensive rebound by D. Theis,,1,5
15,1,9:44.0,D. Theis misses 2-pt layup from 1 ft,,1,5
16,1,9:44.0,,Defensive rebound by A. Davis,1,5
17,1,9:40.0,,D. Green misses 3-pt jump shot from 28 ft,1,5
18,1,9:37.0,Defensive rebound by D. Theis,,1,5
19,1,9:31.0,D. Theis makes 2-pt jump shot from 12 ft (assist by G. Hayward),,3,5
20,1,9:23.0,,Personal foul by M. Smart (drawn by A. Bradley),3,5
21,1,9:06.0,,L. James makes 2-pt layup from 2 ft (assist by A. Davis),3,7
22,1,8:39.0,G. Hayward misses 3-pt jump shot from 27 ft,,3,7
23,1,8:36.0,,Defensive rebound by A. Bradley,3,7
24,1,8:20.0,,A. Davis misses 2-pt layup from 4 ft,3,7
25,1,8:15.0,,Offensive rebound by A. Davis,3,7
26,1,8:15.0,,A. Davis makes 2-pt layup at rim,3,9
27,1,8:06.0,J. Tatum misses 3-pt jump shot from 27 ft,,3,9
28,1,8:00.0,,Defensive rebound by J. McGee,3,9
29,1,7:56.0,,L. James makes 3-pt jump shot from 28 ft,3,12
30,1,7:39.0,D. Theis makes 3-pt jump shot from 26 ft (assist by M. Smart),,6,12
31,1,7:25.0,,A. Bradley misses 3-pt jump shot from 26 ft,6,12
32,1,7:21.0,Defensive rebound by M. Smart,,6,12
33,1,7:13.0,J. Brown misses 2-pt jump shot from 20 ft,,6,12
34,1,7:11.0,,Defensive rebound by J. McGee,6,12
35,1,6:57.0,,J. McGee misses 2-pt layup from 2 ft,6,12
36,1,6:55.0,,Offensive rebound by J. McGee,6,12
37,1,6:55.0,,J. McGee makes 2-pt layup at rim,6,14
38,1,6:37.0,J. Brown makes 2-pt layup from 1 ft,,8,14
39,1,6:16.0,,L. James misses 3-pt jump shot from 26 ft,8,14
40,1,6:12.0,Defensive rebound by G. Hayward,,8,14
41,1,6:07.0,M. Smart makes 2-pt jump shot from 10 ft (assist by G. Hayward),,10,14
42,1,6:05.0,,LA Lakers full timeout,10,14
43,1,6:05.0,S. Ojeleye enters the game for J. Tatum,,10,14
44,1,5:49.0,,A. Davis makes 2-pt layup from 2 ft (assist by L. James),10,16
45,1,5:30.0,G. Hayward makes 2-pt jump shot from 20 ft,,12,16
46,1,5:14.0,,A. Davis misses 2-pt jump shot from 22 ft,12,16
47,1,5:12.0,Defensive rebound by S. Ojeleye,,12,16
48,1,5:08.0,J. Brown makes 2-pt layup from 1 ft (assist by S. Ojeleye),,14,16
49,1,4:53.0,,A. Bradley misses 2-pt jump shot from 9 ft,14,16
50,1,4:50.0,Defensive rebound by M. Smart,,14,16
51,1,4:44.0,G. Hayward misses 3-pt jump shot from 25 ft,,14,16
52,1,4:42.0,,Defensive rebound by A. Davis,14,16
53,1,4:30.0,,L. James misses 2-pt jump shot from 18 ft,14,16
54,1,4:28.0,Defensive rebound by G. Hayward,,14,16
55,1,4:23.0,J. Brown misses 3-pt jump shot from 27 ft,,14,16
56,1,4:19.0,,Defensive rebound by J. McGee,14,16
57,1,4:19.0,,Personal foul by J. Brown (drawn by A. Davis),14,16
58,1,4:19.0,,K. Caldwell-Pope enters the game for D. Green,14,16
59,1,4:19.0,,K. Kuzma enters the game for L. James,14,16
60,1,4:19.0,,R. Rondo enters the game for J. McGee,14,16
61,1,4:12.0,,K. Kuzma makes 2-pt jump shot from 10 ft,14,18
62,1,3:48.0,M. Smart makes 3-pt jump shot from 27 ft (assist by J. Brown),,17,18
63,1,3:40.0,,K. Kuzma misses 3-pt jump shot from 23 ft,17,18
64,1,3:37.0,Defensive rebound by G. Hayward,,17,18
65,1,3:27.0,J. Brown misses 3-pt jump shot from 23 ft,,17,18
66,1,3:24.0,,Defensive rebound by A. Bradley,17,18
67,1,3:18.0,,A. Davis misses 3-pt jump shot from 26 ft,17,18
68,1,3:15.0,Defensive rebound by G. Hayward,,17,18
69,1,3:06.0,J. Brown misses 2-pt jump shot from 15 ft,,17,18
70,1,3:03.0,,Defensive rebound by A. Davis,17,18
