,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,A. Davis misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,,Offensive rebound by J. McGee,0,0
2,1,11:43.0,,A. Bradley misses 3-pt jump shot from 23 ft,0,0
3,1,11:41.0,Defensive rebound by Team,,0,0
4,1,11:41.0,,Loose ball foul by J. McGee (drawn by G. Antetokounmpo),0,0
5,1,11:28.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,0,0
6,1,11:25.0,,Defensive rebound by J. McGee,0,0
7,1,11:17.0,,D. Green misses 3-pt jump shot from 28 ft,0,0
8,1,11:15.0,Defensive rebound by G. Antetokounmpo,,0,0
9,1,11:07.0,E. Bledsoe misses 2-pt jump shot from 8 ft,,0,0
10,1,11:05.0,,Defensive rebound by D. Green,0,0
11,1,10:58.0,,L. James misses 2-pt jump shot from 18 ft,0,0
12,1,10:56.0,Defensive rebound by G. Antetokounmpo,,0,0
13,1,10:51.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,2,0
14,1,10:51.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,2,0
15,1,10:51.0,G. Antetokounmpo makes free throw 1 of 1,,3,0
16,1,10:38.0,,Turnover by A. Davis (bad pass; steal by E. Bledsoe),3,0
17,1,10:35.0,Shooting foul by J. McGee (drawn by G. Antetokounmpo),,3,0
18,1,10:35.0,G. Antetokounmpo makes free throw 1 of 2,,4,0
19,1,10:35.0,G. Antetokounmpo makes free throw 2 of 2,,5,0
20,1,10:18.0,,D. Green misses 2-pt jump shot from 10 ft,5,0
21,1,10:16.0,,Offensive rebound by J. McGee,5,0
22,1,10:16.0,,J. McGee makes 2-pt dunk from 2 ft,5,2
23,1,9:47.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,7,2
24,1,9:33.0,,Turnover by A. Bradley (bad pass; steal by E. Bledsoe),7,2
25,1,9:27.0,W. Matthews misses 3-pt jump shot from 23 ft,,7,2
26,1,9:26.0,,Defensive rebound by J. McGee,7,2
27,1,9:16.0,,Personal foul by W. Matthews (drawn by L. James),7,2
28,1,9:06.0,,A. Davis misses 2-pt jump shot from 4 ft,7,2
29,1,9:05.0,Defensive rebound by W. Matthews,,7,2
30,1,8:57.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,7,2
31,1,8:55.0,,Defensive rebound by J. McGee,7,2
32,1,8:48.0,,D. Green makes 3-pt jump shot from 27 ft (assist by L. James),7,5
33,1,8:30.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,10,5
34,1,8:17.0,,A. Bradley misses 3-pt jump shot from 26 ft,10,5
35,1,8:12.0,Defensive rebound by G. Antetokounmpo,,10,5
36,1,8:10.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,12,5
37,1,8:10.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,12,5
38,1,8:10.0,G. Antetokounmpo makes free throw 1 of 1,,13,5
