,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PORTLAND_ACTION,PHOENIX_SCORE,PORTLAND_SCORE
0,1,11:40.0,,C. McCollum misses 2-pt jump shot from 19 ft,0,0
1,1,11:37.0,Defensive rebound by A. Baynes,,0,0
2,1,11:27.0,D. Booker makes 2-pt jump shot from 9 ft,,2,0
3,1,11:07.0,,K. Bazemore misses 2-pt layup from 1 ft,2,0
4,1,11:05.0,Defensive rebound by K. Oubre,,2,0
5,1,10:58.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Booker),,5,0
6,1,10:41.0,,Turnover by H. Whiteside (lost ball; steal by A. Baynes),5,0
7,1,10:29.0,A. Baynes misses 3-pt jump shot from 22 ft,,5,0
8,1,10:27.0,,Defensive rebound by K. Bazemore,5,0
9,1,10:06.0,,C. Anthony makes 2-pt jump shot from 12 ft,5,2
10,1,9:50.0,K. Oubre makes 2-pt jump shot from 22 ft,,7,2
11,1,9:32.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by D. Lillard),7,5
12,1,9:21.0,A. Baynes misses 2-pt jump shot from 21 ft,,7,5
13,1,9:19.0,,Defensive rebound by C. McCollum,7,5
14,1,9:12.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by C. McCollum),7,8
15,1,9:00.0,Personal foul by C. Anthony (drawn by D. Šarić),,7,8
16,1,8:55.0,D. Booker misses 2-pt jump shot from 15 ft,,7,8
17,1,8:52.0,,Defensive rebound by H. Whiteside,7,8
18,1,8:40.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by C. Anthony),7,11
19,1,8:23.0,Turnover by R. Rubio (lost ball; steal by D. Lillard),,7,11
20,1,8:20.0,,Turnover by D. Lillard (bad pass; steal by K. Oubre),7,11
21,1,8:16.0,Personal foul by K. Bazemore (drawn by D. Booker),,7,11
22,1,8:11.0,Turnover by D. Booker (bad pass; steal by K. Bazemore),,7,11
23,1,8:06.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),7,14
24,1,8:05.0,Phoenix full timeout,,7,14
25,1,7:51.0,R. Rubio misses 2-pt jump shot from 21 ft,,7,14
26,1,7:47.0,,Defensive rebound by H. Whiteside,7,14
27,1,7:40.0,,H. Whiteside makes 2-pt jump shot from 5 ft (assist by D. Lillard),7,16
28,1,7:30.0,D. Šarić misses 2-pt jump shot from 20 ft,,7,16
29,1,7:28.0,,Defensive rebound by H. Whiteside,7,16
30,1,7:19.0,,C. Anthony misses 3-pt jump shot from 25 ft,7,16
31,1,7:16.0,Defensive rebound by A. Baynes,,7,16
32,1,7:09.0,K. Oubre makes 2-pt jump shot from 13 ft,,9,16
33,1,6:43.0,,H. Whiteside misses 2-pt jump shot from 6 ft,9,16
34,1,6:39.0,,C. Anthony misses 2-pt layup from 2 ft,9,16
35,1,6:39.0,Defensive rebound by Team,,9,16
36,1,6:39.0,,Offensive rebound by C. Anthony,9,16
37,1,6:39.0,D. Ayton enters the game for A. Baynes,,9,16
38,1,6:31.0,Shooting foul by C. McCollum (drawn by D. Booker),,9,16
39,1,6:31.0,D. Booker makes free throw 1 of 2,,10,16
40,1,6:31.0,J. Carter enters the game for R. Rubio,,10,16
41,1,6:31.0,D. Booker makes free throw 2 of 2,,11,16
42,1,6:14.0,,C. Anthony misses 3-pt jump shot from 25 ft,11,16
43,1,6:09.0,,Offensive rebound by H. Whiteside,11,16
44,1,6:09.0,,H. Whiteside misses 2-pt layup at rim,11,16
45,1,6:08.0,,Offensive rebound by H. Whiteside,11,16
46,1,6:08.0,,H. Whiteside makes 2-pt layup at rim,11,18
47,1,5:49.0,D. Šarić misses 3-pt jump shot from 24 ft,,11,18
48,1,5:47.0,,Defensive rebound by Team,11,18
49,1,5:47.0,M. Bridges enters the game for D. Šarić,,11,18
50,1,5:31.0,,C. McCollum makes 2-pt layup from 1 ft (assist by H. Whiteside),11,20
51,1,5:18.0,Turnover by M. Bridges (step out of bounds),,11,20
52,1,4:54.0,,C. Anthony misses 2-pt layup from 3 ft (block by J. Carter),11,20
53,1,4:54.0,,Offensive rebound by H. Whiteside,11,20
54,1,4:54.0,,H. Whiteside misses 2-pt layup from 2 ft,11,20
55,1,4:54.0,,Offensive rebound by Team,11,20
56,1,4:54.0,,Turnover by Team (shot clock),11,20
57,1,4:54.0,C. Johnson enters the game for K. Oubre,,11,20
58,1,4:47.0,Shooting foul by C. McCollum (drawn by D. Booker),,11,20
59,1,4:47.0,D. Booker makes free throw 1 of 2,,12,20
60,1,4:47.0,,N. Little enters the game for C. Anthony,12,20
61,1,4:47.0,,A. Simons enters the game for C. McCollum,12,20
62,1,4:47.0,D. Booker makes free throw 2 of 2,,13,20
63,1,4:38.0,,D. Lillard makes 3-pt jump shot from 31 ft,13,23
64,1,4:38.0,,Shooting foul by J. Carter (drawn by D. Lillard),13,23
65,1,4:38.0,,D. Lillard makes free throw 1 of 1,13,24
66,1,4:29.0,Shooting foul by K. Bazemore (drawn by D. Booker),,13,24
67,1,4:29.0,D. Booker makes free throw 1 of 2,,14,24
68,1,4:29.0,,G. Trent enters the game for K. Bazemore,14,24
69,1,4:29.0,,Violation by Team (delay of game),14,24
70,1,4:29.0,D. Booker makes free throw 2 of 2,,15,24
71,1,4:11.0,,A. Simons misses 2-pt layup from 1 ft,15,24
72,1,4:08.0,,Offensive rebound by H. Whiteside,15,24
73,1,4:08.0,,H. Whiteside misses 2-pt layup at rim,15,24
74,1,4:08.0,,Offensive rebound by A. Simons,15,24
75,1,4:02.0,,G. Trent misses 2-pt jump shot from 16 ft,15,24
76,1,4:01.0,,Offensive rebound by H. Whiteside,15,24
77,1,3:59.0,,H. Whiteside misses 2-pt jump shot from 20 ft,15,24
78,1,3:57.0,Defensive rebound by D. Booker,,15,24
79,1,3:48.0,D. Booker makes 2-pt jump shot from 12 ft,,17,24
80,1,3:30.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by H. Whiteside),17,27
81,1,3:12.0,D. Booker misses 2-pt jump shot from 13 ft,,17,27
