,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA CLIPPERS_ACTION,WASHINGTON_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,P. George makes 3-pt jump shot from 25 ft (assist by K. Leonard),0,3
1,1,11:28.0,R. Hachimura misses 3-pt jump shot from 26 ft,,0,3
2,1,11:24.0,,Defensive rebound by K. Leonard,0,3
3,1,11:21.0,,Shooting foul by I. Thomas (drawn by I. Zubac),0,3
4,1,11:21.0,,I. Zubac makes free throw 1 of 2,0,4
5,1,11:21.0,,I. Zubac makes free throw 2 of 2,0,5
6,1,11:10.0,R. Hachimura makes 2-pt jump shot from 18 ft (assist by B. Beal),,2,5
7,1,10:57.0,,P. Beverley misses 2-pt hook shot from 9 ft,2,5
8,1,10:53.0,Defensive rebound by I. Thomas,,2,5
9,1,10:49.0,Turnover by I. Thomas (lost ball; steal by P. Beverley),,2,5
10,1,10:45.0,,P. George makes 2-pt layup from 1 ft,2,7
11,1,10:41.0,B. Beal makes 2-pt jump shot from 5 ft,,4,7
12,1,10:41.0,Shooting foul by M. Harkless (drawn by B. Beal),,4,7
13,1,10:41.0,B. Beal makes free throw 1 of 1,,5,7
14,1,10:31.0,,K. Leonard misses 3-pt jump shot from 25 ft,5,7
15,1,10:26.0,,Offensive rebound by P. Beverley,5,7
16,1,10:16.0,,P. George misses 3-pt jump shot from 27 ft,5,7
17,1,10:16.0,Defensive rebound by R. Hachimura,,5,7
18,1,10:04.0,T. Brown misses 2-pt jump shot from 19 ft,,5,7
19,1,10:01.0,Offensive rebound by T. Bryant,,5,7
20,1,9:58.0,Shooting foul by P. Beverley (drawn by I. Thomas),,5,7
21,1,9:58.0,I. Thomas misses free throw 1 of 3,,5,7
22,1,9:58.0,Offensive rebound by Team,,5,7
23,1,9:58.0,I. Thomas misses free throw 2 of 3,,5,7
24,1,9:58.0,Offensive rebound by Team,,5,7
25,1,9:58.0,I. Thomas makes free throw 3 of 3,,6,7
26,1,9:46.0,,K. Leonard makes 2-pt jump shot from 10 ft,6,9
27,1,9:36.0,B. Beal misses 2-pt layup from 4 ft,,6,9
28,1,9:34.0,,Defensive rebound by P. George,6,9
29,1,9:19.0,,K. Leonard makes 2-pt jump shot from 11 ft,6,11
30,1,9:15.0,Turnover by B. Beal (bad pass),,6,11
31,1,9:01.0,,P. George misses 2-pt jump shot from 9 ft,6,11
32,1,8:58.0,Defensive rebound by I. Thomas,,6,11
33,1,8:43.0,T. Bryant misses 2-pt jump shot from 9 ft,,6,11
34,1,8:40.0,,Defensive rebound by I. Zubac,6,11
35,1,8:37.0,,Personal foul by T. Brown (drawn by P. Beverley),6,11
36,1,8:30.0,,K. Leonard misses 2-pt jump shot from 9 ft,6,11
37,1,8:26.0,Defensive rebound by R. Hachimura,,6,11
