,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
0,1,11:42.0,,D. Green misses 2-pt jump shot from 17 ft,0,0
1,1,11:39.0,Defensive rebound by M. Fultz,,0,0
2,1,11:34.0,K. Birch misses 2-pt layup from 3 ft,,0,0
3,1,11:34.0,Offensive rebound by M. Fultz,,0,0
4,1,11:30.0,M. Fultz makes 2-pt layup at rim,,2,0
5,1,11:22.0,,K. Kuzma misses 2-pt jump shot from 14 ft,2,0
6,1,11:19.0,Defensive rebound by K. Birch,,2,0
7,1,11:18.0,Turnover by A. Gordon (out of bounds lost ball),,2,0
8,1,11:07.0,,J. McGee makes 2-pt dunk from 1 ft (assist by A. Bradley),2,2
9,1,10:47.0,W. Iwundu misses 2-pt layup from 11 ft (block by D. Green),,2,2
10,1,10:47.0,,Defensive rebound by Team,2,2
11,1,10:36.0,,A. Bradley makes 2-pt jump shot from 10 ft (assist by L. James),2,4
12,1,10:16.0,M. Fultz misses 2-pt jump shot from 17 ft,,2,4
13,1,10:13.0,,Defensive rebound by L. James,2,4
14,1,10:07.0,,J. McGee makes 2-pt hook shot from 3 ft (assist by L. James),2,6
15,1,9:51.0,Shooting foul by D. Green (drawn by W. Iwundu),,2,6
16,1,9:51.0,W. Iwundu makes free throw 1 of 3,,3,6
17,1,9:51.0,W. Iwundu makes free throw 2 of 3,,4,6
18,1,9:51.0,W. Iwundu makes free throw 3 of 3,,5,6
19,1,9:33.0,,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),5,8
20,1,9:07.0,A. Gordon misses 2-pt jump shot from 16 ft,,5,8
21,1,9:05.0,,Defensive rebound by A. Bradley,5,8
22,1,9:00.0,,D. Green misses 3-pt jump shot from 26 ft,5,8
23,1,8:55.0,Defensive rebound by M. Fultz,,5,8
24,1,8:55.0,Shooting foul by A. Bradley (drawn by A. Gordon),,5,8
25,1,8:55.0,A. Gordon makes free throw 1 of 2,,6,8
26,1,8:55.0,A. Gordon makes free throw 2 of 2,,7,8
27,1,8:44.0,,K. Kuzma misses 2-pt jump shot from 15 ft,7,8
