,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
0,1,11:39.0,,C. LeVert misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,,Offensive rebound by J. Harris,0,0
2,1,11:27.0,,T. Prince misses 2-pt jump shot from 14 ft,0,0
3,1,11:23.0,Defensive rebound by D. Melton,,0,0
4,1,11:03.0,D. Melton misses 2-pt jump shot from 19 ft,,0,0
5,1,11:01.0,,Defensive rebound by J. Allen,0,0
6,1,10:48.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by C. LeVert),0,3
7,1,10:35.0,K. Anderson makes 3-pt jump shot from 26 ft (assist by J. Valančiūnas),,3,3
8,1,10:08.0,,S. Dinwiddie misses 3-pt jump shot from 23 ft,3,3
9,1,10:06.0,Defensive rebound by Team,,3,3
10,1,9:56.0,J. Morant makes 2-pt jump shot from 12 ft,,5,3
11,1,9:42.0,,T. Prince misses 2-pt jump shot from 13 ft,5,3
12,1,9:39.0,,Offensive rebound by T. Prince,5,3
13,1,9:34.0,,Shooting foul by D. Brooks (drawn by C. LeVert),5,3
14,1,9:34.0,,C. LeVert misses free throw 1 of 2,5,3
15,1,9:34.0,,Offensive rebound by Team,5,3
16,1,9:34.0,,C. LeVert makes free throw 2 of 2,5,4
17,1,9:20.0,D. Brooks misses 2-pt jump shot from 20 ft,,5,4
18,1,9:17.0,Offensive rebound by K. Anderson,,5,4
19,1,9:07.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,5,4
20,1,9:07.0,Offensive rebound by Team,,5,4
21,1,8:58.0,J. Valančiūnas misses 2-pt layup from 4 ft,,5,4
22,1,8:55.0,,Defensive rebound by J. Allen,5,4
23,1,8:47.0,,C. LeVert makes 2-pt layup from 8 ft,5,6
24,1,8:28.0,K. Anderson misses 3-pt jump shot from 26 ft,,5,6
25,1,8:21.0,,Defensive rebound by S. Dinwiddie,5,6
26,1,8:12.0,,C. LeVert misses 2-pt jump shot from 9 ft,5,6
27,1,8:11.0,,Offensive rebound by Team,5,6
28,1,8:08.0,,J. Harris makes 3-pt jump shot from 23 ft (assist by C. LeVert),5,9
29,1,7:59.0,Turnover by D. Brooks (lost ball; steal by J. Harris),,5,9
30,1,7:53.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,5,9
31,1,7:50.0,Defensive rebound by J. Valančiūnas,,5,9
32,1,7:41.0,Shooting foul by C. LeVert (drawn by D. Brooks),,5,9
33,1,7:41.0,D. Brooks misses free throw 1 of 2,,5,9
34,1,7:41.0,Offensive rebound by Team,,5,9
35,1,7:41.0,D. Brooks makes free throw 2 of 2,,6,9
36,1,7:28.0,,T. Prince misses 3-pt jump shot from 24 ft,6,9
37,1,7:25.0,Defensive rebound by J. Valančiūnas,,6,9
38,1,7:17.0,J. Morant misses 2-pt jump shot from 11 ft,,6,9
39,1,7:13.0,Offensive rebound by J. Valančiūnas,,6,9
40,1,7:13.0,J. Valančiūnas misses 2-pt layup from 1 ft,,6,9
41,1,7:13.0,Offensive rebound by J. Valančiūnas,,6,9
42,1,7:09.0,D. Brooks misses 3-pt jump shot from 25 ft,,6,9
43,1,7:05.0,,Defensive rebound by J. Allen,6,9
44,1,6:56.0,,T. Prince makes 2-pt layup from 3 ft (assist by C. LeVert),6,11
45,1,6:41.0,K. Anderson misses 2-pt jump shot from 9 ft,,6,11
46,1,6:39.0,,Defensive rebound by C. LeVert,6,11
