,QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
0,1,11:46.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by R. O'Neale),,2,0
1,1,11:30.0,,I. Thomas misses 2-pt layup from 4 ft,2,0
2,1,11:29.0,Defensive rebound by R. Gobert,,2,0
3,1,11:19.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,2,0
4,1,11:15.0,,Defensive rebound by I. Mahinmi,2,0
5,1,11:08.0,,G. Payton misses 2-pt layup from 5 ft (block by R. Gobert),2,0
6,1,11:05.0,Defensive rebound by B. Bogdanović,,2,0
7,1,11:04.0,Turnover by B. Bogdanović (bad pass; steal by B. Beal),,2,0
8,1,10:55.0,,B. Beal makes 2-pt jump shot from 14 ft,2,2
9,1,10:40.0,J. Ingles misses 2-pt jump shot from 15 ft,,2,2
10,1,10:36.0,Offensive rebound by E. Mudiay,,2,2
11,1,10:35.0,E. Mudiay makes 3-pt jump shot from 26 ft,,5,2
12,1,10:13.0,,B. Beal makes 2-pt jump shot from 10 ft,5,4
13,1,9:58.0,R. Gobert makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,7,4
14,1,9:41.0,,G. Payton misses 2-pt layup from 3 ft,7,4
15,1,9:40.0,Defensive rebound by R. Gobert,,7,4
16,1,9:36.0,Shooting foul by I. Bonga (drawn by B. Bogdanović),,7,4
17,1,9:36.0,B. Bogdanović makes free throw 1 of 2,,8,4
18,1,9:36.0,B. Bogdanović makes free throw 2 of 2,,9,4
19,1,9:18.0,,I. Bonga makes 2-pt layup from 1 ft,9,6
20,1,9:06.0,E. Mudiay makes 2-pt jump shot from 11 ft,,11,6
21,1,8:50.0,,B. Beal misses 2-pt jump shot from 15 ft,11,6
22,1,8:50.0,,Offensive rebound by I. Mahinmi,11,6
23,1,8:50.0,,Shooting foul by R. O'Neale (drawn by I. Mahinmi),11,6
24,1,8:50.0,,I. Mahinmi makes free throw 1 of 2,11,7
25,1,8:50.0,,I. Mahinmi makes free throw 2 of 2,11,8
26,1,8:38.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by J. Ingles),,13,8
27,1,8:25.0,,B. Beal misses 3-pt jump shot from 29 ft,13,8
28,1,8:23.0,,Offensive rebound by I. Bonga,13,8
29,1,8:12.0,,B. Beal makes 2-pt dunk from 3 ft (assist by I. Mahinmi),13,10
30,1,7:54.0,E. Mudiay misses 3-pt jump shot from 24 ft,,13,10
31,1,7:53.0,,Defensive rebound by Team,13,10
32,1,7:40.0,,B. Beal makes 2-pt jump shot from 12 ft (assist by I. Mahinmi),13,12
33,1,7:20.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,13,12
34,1,7:19.0,,Defensive rebound by I. Bonga,13,12
35,1,7:09.0,,G. Payton makes 2-pt dunk from 2 ft (assist by I. Bonga),13,14
36,1,7:09.0,Utah full timeout,,13,14
37,1,7:09.0,J. Clarkson enters the game for J. Ingles,,13,14
38,1,6:52.0,E. Mudiay makes 2-pt jump shot from 18 ft,,15,14
39,1,6:28.0,,I. Thomas makes 2-pt jump shot from 18 ft,15,16
40,1,6:13.0,J. Clarkson misses 3-pt jump shot from 26 ft,,15,16
41,1,6:09.0,,Defensive rebound by B. Beal,15,16
42,1,5:50.0,,I. Mahinmi misses 2-pt hook shot from 3 ft,15,16
43,1,5:49.0,Defensive rebound by R. O'Neale,,15,16
44,1,5:37.0,Turnover by R. Gobert (traveling),,15,16
45,1,5:37.0,G. Niang enters the game for R. O'Neale,,15,16
46,1,5:37.0,,J. McRae enters the game for B. Beal,15,16
47,1,5:14.0,,I. Mahinmi makes 2-pt layup from 3 ft (assist by I. Thomas),15,18
48,1,4:57.0,G. Niang makes 2-pt jump shot from 6 ft (assist by E. Mudiay),,17,18
49,1,4:39.0,,I. Thomas makes 2-pt jump shot from 17 ft,17,20
50,1,4:20.0,Offensive foul by J. Clarkson (drawn by I. Bonga),,17,20
51,1,4:20.0,Turnover by J. Clarkson (offensive foul),,17,20
52,1,4:20.0,,T. Brown enters the game for I. Mahinmi,17,20
53,1,4:20.0,,T. Bryant enters the game for G. Payton,17,20
54,1,4:11.0,,J. McRae makes 2-pt jump shot from 14 ft (assist by I. Thomas),17,22
55,1,3:58.0,B. Bogdanović makes 2-pt jump shot from 7 ft,,19,22
56,1,3:49.0,,T. Bryant makes 2-pt layup from 2 ft (assist by I. Thomas),19,24
57,1,3:31.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,19,24
58,1,3:30.0,,Defensive rebound by T. Bryant,19,24
59,1,3:27.0,,Turnover by I. Thomas (bad pass; steal by J. Clarkson),19,24
60,1,3:21.0,Turnover by B. Bogdanović (bad pass),,19,24
61,1,3:10.0,,T. Bryant misses 2-pt jump shot from 15 ft,19,24
62,1,3:05.0,Defensive rebound by B. Bogdanović,,19,24
63,1,2:56.0,J. Clarkson makes 2-pt layup from 1 ft (assist by E. Mudiay),,21,24
64,1,2:42.0,,J. McRae misses 2-pt jump shot from 10 ft,21,24
65,1,2:39.0,Defensive rebound by G. Niang,,21,24
66,1,2:34.0,E. Mudiay misses 3-pt jump shot from 28 ft,,21,24
67,1,2:30.0,,Defensive rebound by J. McRae,21,24
68,1,2:24.0,,J. McRae misses 2-pt jump shot from 20 ft,21,24
69,1,2:22.0,Defensive rebound by R. Gobert,,21,24
70,1,2:11.0,G. Niang misses 3-pt jump shot from 25 ft,,21,24
71,1,2:07.0,,Defensive rebound by T. Brown,21,24
72,1,2:06.0,,Washington full timeout,21,24
73,1,2:06.0,T. Bradley enters the game for B. Bogdanović,,21,24
74,1,2:06.0,J. Ingles enters the game for R. Gobert,,21,24
75,1,2:06.0,R. Tucker enters the game for E. Mudiay,,21,24
76,1,2:06.0,,D. Bertāns enters the game for I. Bonga,21,24
77,1,2:06.0,,I. Smith enters the game for I. Thomas,21,24
78,1,1:59.0,,J. McRae makes 2-pt dunk from 2 ft (assist by T. Bryant),21,26
79,1,1:44.0,Offensive foul by T. Bradley (drawn by D. Bertāns),,21,26
80,1,1:44.0,Turnover by T. Bradley (offensive foul),,21,26
81,1,1:30.0,,T. Bryant makes 2-pt hook shot from 4 ft (assist by D. Bertāns),21,28
82,1,1:14.0,R. Tucker misses 3-pt jump shot from 26 ft,,21,28
83,1,1:09.0,,Defensive rebound by J. McRae,21,28
84,1,1:04.0,,I. Smith makes 2-pt jump shot from 17 ft (assist by J. McRae),21,30
85,1,0:51.0,G. Niang makes 2-pt jump shot from 6 ft,,23,30
86,1,0:39.0,,T. Bryant makes 2-pt jump shot from 19 ft (assist by I. Smith),23,32
87,1,0:29.0,J. Ingles misses 2-pt jump shot from 7 ft,,23,32
88,1,0:29.0,,Defensive rebound by Team,23,32
89,1,0:25.0,Loose ball foul by R. Tucker (drawn by J. McRae),,23,32
90,1,0:04.0,,I. Smith makes 2-pt jump shot from 16 ft,23,34
91,1,0:00.0,J. Ingles misses 2-pt layup from 3 ft,,23,34
92,1,0:00.0,Offensive rebound by T. Bradley,,23,34
93,1,0:00.0,Instant Replay (Request: Ruling Stands),,23,34
94,2,11:42.0,,I. Smith misses 2-pt layup from 8 ft,23,34
95,2,11:40.0,Defensive rebound by T. Bradley,,23,34
96,2,11:30.0,J. Clarkson misses 2-pt jump shot from 10 ft,,23,34
97,2,11:27.0,,Defensive rebound by J. McRae,23,34
98,2,11:13.0,,J. McRae makes 2-pt jump shot from 4 ft,23,36
99,2,10:57.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by T. Bradley),,26,36
100,2,10:42.0,,T. Bryant makes 2-pt hook shot from 6 ft,26,38
101,2,10:24.0,J. Clarkson makes 2-pt jump shot from 7 ft,,28,38
102,2,10:16.0,,Turnover by I. Smith (bad pass; steal by T. Bradley),28,38
103,2,10:09.0,G. Niang misses 3-pt jump shot from 23 ft,,28,38
104,2,10:05.0,,Defensive rebound by J. McRae,28,38
105,2,10:01.0,,Turnover by J. McRae (bad pass),28,38
106,2,9:44.0,J. Ingles makes 3-pt jump shot from 26 ft,,31,38
107,2,9:24.0,,D. Bertāns misses 2-pt jump shot from 20 ft,31,38
108,2,9:21.0,Defensive rebound by J. Ingles,,31,38
109,2,9:16.0,Offensive foul by T. Bradley (drawn by J. McRae),,31,38
110,2,9:16.0,Turnover by T. Bradley (offensive foul),,31,38
111,2,9:03.0,,T. Brown misses 3-pt jump shot from 26 ft,31,38
112,2,9:00.0,Defensive rebound by R. Tucker,,31,38
113,2,8:54.0,J. Clarkson misses 2-pt jump shot from 9 ft,,31,38
114,2,8:53.0,,Defensive rebound by Team,31,38
115,2,8:36.0,,J. McRae misses 3-pt jump shot from 31 ft,31,38
116,2,8:33.0,Defensive rebound by T. Bradley,,31,38
117,2,8:26.0,J. Ingles misses 3-pt jump shot from 26 ft,,31,38
118,2,8:20.0,,Defensive rebound by T. Brown,31,38
119,2,8:17.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by J. McRae),31,41
120,2,8:16.0,Utah full timeout,,31,41
121,2,8:16.0,B. Bogdanović enters the game for T. Bradley,,31,41
122,2,8:16.0,R. Gobert enters the game for J. Ingles,,31,41
123,2,8:16.0,E. Mudiay enters the game for G. Niang,,31,41
124,2,8:16.0,R. O'Neale enters the game for R. Tucker,,31,41
125,2,8:16.0,,I. Mahinmi enters the game for T. Bryant,31,41
126,2,7:54.0,J. Clarkson misses 3-pt jump shot from 26 ft,,31,41
127,2,7:51.0,,Defensive rebound by I. Smith,31,41
128,2,7:47.0,,D. Bertāns makes 3-pt jump shot from 29 ft (assist by I. Smith),31,44
129,2,7:33.0,E. Mudiay makes 2-pt layup from 1 ft,,33,44
130,2,7:23.0,,D. Bertāns misses 2-pt jump shot from 6 ft,33,44
131,2,7:23.0,Defensive rebound by R. Gobert,,33,44
132,2,7:10.0,B. Bogdanović makes 2-pt jump shot from 5 ft,,35,44
133,2,6:54.0,,J. McRae makes 2-pt layup from 2 ft,35,46
134,2,6:35.0,J. Clarkson makes 2-pt jump shot from 10 ft,,37,46
135,2,6:23.0,,I. Mahinmi makes 3-pt jump shot from 26 ft (assist by I. Smith),37,49
136,2,6:06.0,J. Clarkson misses 3-pt jump shot from 25 ft,,37,49
137,2,6:04.0,Offensive rebound by R. O'Neale,,37,49
138,2,6:04.0,,B. Beal enters the game for J. McRae,37,49
139,2,5:54.0,B. Bogdanović makes 2-pt jump shot from 21 ft (assist by R. Gobert),,39,49
140,2,5:46.0,,T. Brown makes 2-pt layup from 2 ft (assist by I. Smith),39,51
141,2,5:24.0,J. Clarkson misses 2-pt layup from 3 ft,,39,51
142,2,5:18.0,Offensive rebound by J. Clarkson,,39,51
143,2,5:15.0,Turnover by J. Clarkson (lost ball; steal by I. Mahinmi),,39,51
144,2,5:13.0,,D. Bertāns misses 3-pt jump shot from 27 ft,39,51
145,2,5:09.0,Defensive rebound by R. Gobert,,39,51
146,2,4:58.0,Turnover by B. Bogdanović (bad pass; steal by I. Mahinmi),,39,51
147,2,4:47.0,,I. Smith makes 3-pt jump shot from 25 ft,39,54
148,2,4:45.0,Utah full timeout,,39,54
149,2,4:45.0,J. Ingles enters the game for J. Clarkson,,39,54
150,2,4:31.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Ingles),,42,54
151,2,4:11.0,,B. Beal makes 2-pt layup from 2 ft (assist by I. Smith),42,56
152,2,3:57.0,J. Ingles makes 2-pt layup from 2 ft,,44,56
153,2,3:45.0,,D. Bertāns misses 2-pt jump shot from 21 ft,44,56
154,2,3:44.0,Defensive rebound by Team,,44,56
155,2,3:44.0,,I. Bonga enters the game for D. Bertāns,44,56
156,2,3:30.0,R. O'Neale makes 2-pt layup from 3 ft (assist by B. Bogdanović),,46,56
157,2,3:20.0,,B. Beal misses 2-pt jump shot from 8 ft,46,56
158,2,3:18.0,Defensive rebound by R. Gobert,,46,56
159,2,3:10.0,J. Ingles misses 3-pt jump shot from 25 ft,,46,56
