,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:33.0,,R. Hood misses 2-pt jump shot from 17 ft,0,0
1,1,11:30.0,Defensive rebound by D. Green,,0,0
2,1,11:20.0,L. James makes 2-pt layup at rim,,2,0
3,1,11:03.0,,C. Anthony misses 3-pt jump shot from 25 ft,2,0
4,1,11:01.0,Defensive rebound by D. Green,,2,0
5,1,10:55.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,4,0
6,1,10:38.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),4,3
7,1,10:22.0,Personal foul by C. Anthony (drawn by A. Davis),,4,3
8,1,10:19.0,D. Green misses 3-pt jump shot from 25 ft,,4,3
9,1,10:19.0,,Defensive rebound by Team,4,3
10,1,10:09.0,,D. Lillard makes 3-pt jump shot from 27 ft,4,6
11,1,9:53.0,A. Davis makes 2-pt dunk at rim (assist by L. James),,6,6
12,1,9:34.0,,C. Anthony misses 2-pt layup from 2 ft (block by J. McGee),6,6
13,1,9:32.0,Defensive rebound by D. Green,,6,6
14,1,9:27.0,D. Green misses 3-pt jump shot from 24 ft,,6,6
15,1,9:27.0,,Defensive rebound by D. Lillard,6,6
16,1,9:24.0,,Turnover by C. Anthony (out of bounds lost ball),6,6
17,1,9:17.0,J. McGee makes 2-pt hook shot from 2 ft (assist by K. Caldwell-Pope),,8,6
18,1,9:17.0,Shooting foul by H. Whiteside (drawn by J. McGee),,8,6
19,1,9:17.0,,Portland full timeout,8,6
20,1,9:17.0,J. McGee makes free throw 1 of 1,,9,6
21,1,9:01.0,,C. McCollum misses 2-pt layup from 2 ft (block by J. McGee),9,6
22,1,9:01.0,,Offensive rebound by H. Whiteside,9,6
23,1,8:58.0,,H. Whiteside misses 2-pt layup from 1 ft,9,6
24,1,8:58.0,Defensive rebound by A. Davis,,9,6
25,1,8:49.0,Turnover by D. Green (bad pass; steal by C. McCollum),,9,6
