,QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
0,1,11:41.0,J. Ingles makes 2-pt layup at rim,,2,0
1,1,11:16.0,,A. Wiggins misses 3-pt jump shot from 26 ft,2,0
2,1,11:13.0,Defensive rebound by R. Gobert,,2,0
3,1,11:05.0,J. Ingles makes 2-pt jump shot from 16 ft,,4,0
4,1,10:59.0,,Personal foul by D. Mitchell (drawn by J. Culver),4,0
5,1,10:52.0,,Turnover by K. Towns (lost ball; steal by R. O'Neale),4,0
6,1,10:48.0,R. O'Neale misses 2-pt layup from 2 ft,,4,0
7,1,10:46.0,,Defensive rebound by R. Covington,4,0
8,1,10:39.0,,J. Okogie misses 3-pt jump shot from 26 ft,4,0
9,1,10:38.0,Defensive rebound by Team,,4,0
10,1,10:21.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,0
11,1,10:18.0,,Defensive rebound by K. Towns,4,0
12,1,10:12.0,,Shooting foul by J. Ingles (drawn by K. Towns),4,0
13,1,10:12.0,,K. Towns misses free throw 1 of 2,4,0
14,1,10:12.0,,Offensive rebound by Team,4,0
15,1,10:12.0,,K. Towns makes free throw 2 of 2,4,1
16,1,10:01.0,Shooting foul by K. Towns (drawn by B. Bogdanović),,4,1
17,1,10:01.0,B. Bogdanović makes free throw 1 of 2,,5,1
18,1,10:01.0,B. Bogdanović makes free throw 2 of 2,,6,1
19,1,9:51.0,,K. Towns misses 3-pt jump shot from 27 ft,6,1
20,1,9:47.0,Defensive rebound by R. O'Neale,,6,1
21,1,9:36.0,J. Ingles misses 3-pt jump shot from 26 ft,,6,1
22,1,9:33.0,,Defensive rebound by A. Wiggins,6,1
23,1,9:27.0,,A. Wiggins makes 2-pt jump shot from 4 ft,6,3
24,1,9:15.0,Turnover by R. Gobert (bad pass; steal by A. Wiggins),,6,3
25,1,9:09.0,,R. Covington makes 2-pt layup from 1 ft (assist by K. Towns),6,5
26,1,9:01.0,Turnover by D. Mitchell (bad pass; steal by J. Okogie),,6,5
27,1,8:51.0,,K. Towns misses 3-pt jump shot from 26 ft,6,5
28,1,8:48.0,Defensive rebound by R. Gobert,,6,5
29,1,8:27.0,J. Ingles makes 2-pt jump shot from 12 ft,,8,5
30,1,8:15.0,,J. Culver misses 3-pt jump shot from 26 ft,8,5
31,1,8:12.0,Defensive rebound by J. Ingles,,8,5
32,1,8:02.0,J. Ingles misses 3-pt jump shot from 26 ft,,8,5
33,1,7:59.0,,Defensive rebound by K. Towns,8,5
34,1,7:51.0,,Shooting foul by D. Mitchell (drawn by J. Okogie),8,5
35,1,7:51.0,,J. Okogie makes free throw 1 of 2,8,6
36,1,7:51.0,E. Mudiay enters the game for D. Mitchell,,8,6
37,1,7:51.0,,J. Teague enters the game for R. Covington,8,6
38,1,7:51.0,,J. Okogie makes free throw 2 of 2,8,7
39,1,7:30.0,Turnover by B. Bogdanović (out of bounds lost ball),,8,7
40,1,7:22.0,,J. Culver misses 2-pt layup from 2 ft,8,7
41,1,7:21.0,Defensive rebound by E. Mudiay,,8,7
42,1,7:15.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,8,7
43,1,7:11.0,,Defensive rebound by J. Teague,8,7
44,1,6:59.0,,A. Wiggins misses 3-pt jump shot from 25 ft,8,7
45,1,6:56.0,Defensive rebound by R. Gobert,,8,7
46,1,6:50.0,E. Mudiay makes 2-pt layup at rim,,10,7
47,1,6:38.0,,J. Culver misses 2-pt layup from 1 ft (block by E. Mudiay),10,7
48,1,6:35.0,Defensive rebound by R. Gobert,,10,7
49,1,6:20.0,R. O'Neale misses 3-pt jump shot from 25 ft,,10,7
50,1,6:17.0,,Defensive rebound by J. Okogie,10,7
51,1,6:17.0,,Turnover by J. Okogie (bad pass),10,7
52,1,6:17.0,,Minnesota full timeout,10,7
53,1,6:17.0,,J. Bell enters the game for J. Culver,10,7
54,1,6:17.0,,S. Napier enters the game for A. Wiggins,10,7
55,1,5:59.0,R. O'Neale misses 2-pt layup from 4 ft,,10,7
56,1,5:54.0,Offensive rebound by R. Gobert,,10,7
57,1,5:54.0,R. Gobert makes 2-pt layup at rim,,12,7
58,1,5:35.0,,Turnover by K. Towns (lost ball; steal by R. Gobert),12,7
59,1,5:30.0,,Violation by Team (kicked ball),12,7
60,1,5:19.0,Turnover by B. Bogdanović (lost ball; steal by S. Napier),,12,7
61,1,5:11.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by S. Napier),12,10
62,1,4:53.0,R. O'Neale makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,15,10
63,1,4:42.0,,J. Teague misses 2-pt layup from 3 ft,15,10
64,1,4:38.0,,Offensive rebound by K. Towns,15,10
65,1,4:38.0,,K. Towns makes 2-pt layup from 1 ft,15,12
66,1,4:28.0,Turnover by B. Bogdanović (lost ball; steal by K. Towns),,15,12
67,1,4:24.0,,S. Napier misses 2-pt layup from 1 ft,15,12
