,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PHOENIX_ACTION,SACRAMENTO_SCORE,PHOENIX_SCORE
0,1,11:42.0,N. Bjelica misses 2-pt layup at rim,,0,0
1,1,11:39.0,Offensive rebound by H. Giles,,0,0
2,1,11:39.0,H. Giles makes 2-pt layup at rim,,2,0
3,1,11:26.0,,R. Rubio misses 3-pt jump shot from 26 ft,2,0
4,1,11:24.0,,Offensive rebound by D. Ayton,2,0
5,1,11:23.0,,D. Ayton makes 2-pt layup at rim,2,2
6,1,11:04.0,D. Fox misses 2-pt jump shot from 10 ft,,2,2
7,1,11:02.0,,Defensive rebound by A. Baynes,2,2
8,1,10:51.0,,Turnover by R. Rubio (bad pass; steal by N. Bjelica),2,2
9,1,10:45.0,B. Hield makes 3-pt jump shot from 24 ft,,5,2
10,1,10:26.0,,A. Baynes misses 3-pt jump shot from 26 ft,5,2
11,1,10:23.0,Defensive rebound by H. Giles,,5,2
12,1,10:15.0,H. Giles makes 2-pt dunk at rim (assist by N. Bjelica),,7,2
13,1,10:02.0,,D. Ayton misses 2-pt jump shot from 12 ft,7,2
14,1,10:01.0,Defensive rebound by N. Bjelica,,7,2
15,1,9:55.0,H. Barnes misses 3-pt jump shot from 25 ft,,7,2
16,1,9:52.0,,Defensive rebound by R. Rubio,7,2
17,1,9:41.0,,A. Baynes misses 2-pt hook shot from 2 ft,7,2
18,1,9:41.0,Defensive rebound by H. Giles,,7,2
19,1,9:31.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by B. Hield),,10,2
20,1,9:07.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by D. Booker),10,5
21,1,8:56.0,Turnover by D. Fox (lost ball; steal by D. Booker),,10,5
22,1,8:51.0,,R. Rubio makes 2-pt layup from 1 ft (assist by D. Booker),10,7
23,1,8:35.0,D. Fox makes 2-pt dunk from 1 ft,,12,7
24,1,8:16.0,,D. Ayton makes 2-pt dunk at rim (assist by D. Booker),12,9
25,1,8:06.0,Offensive foul by N. Bjelica (drawn by R. Rubio),,12,9
26,1,8:06.0,Turnover by N. Bjelica (offensive foul),,12,9
27,1,7:47.0,,D. Ayton makes 2-pt jump shot from 7 ft,12,11
28,1,7:35.0,B. Hield misses 3-pt jump shot from 25 ft,,12,11
29,1,7:33.0,,Defensive rebound by D. Ayton,12,11
30,1,7:24.0,,D. Booker makes 2-pt layup from 1 ft,12,13
31,1,7:05.0,H. Giles makes 2-pt jump shot from 5 ft (assist by H. Barnes),,14,13
32,1,6:52.0,,A. Baynes misses 3-pt jump shot from 25 ft,14,13
33,1,6:49.0,Defensive rebound by H. Giles,,14,13
34,1,6:38.0,N. Bjelica makes 2-pt hook shot from 2 ft,,16,13
35,1,6:31.0,,Phoenix full timeout,16,13
36,1,6:31.0,,D. Šarić enters the game for A. Baynes,16,13
37,1,6:18.0,,D. Ayton makes 2-pt dunk from 1 ft,16,15
38,1,5:55.0,Shooting foul by D. Booker (drawn by H. Barnes),,16,15
39,1,5:55.0,H. Barnes makes free throw 1 of 2,,17,15
40,1,5:55.0,,C. Johnson enters the game for K. Oubre,17,15
41,1,5:55.0,,E. Okobo enters the game for R. Rubio,17,15
42,1,5:55.0,H. Barnes makes free throw 2 of 2,,18,15
43,1,5:42.0,,D. Booker makes 2-pt jump shot from 12 ft,18,17
44,1,5:30.0,D. Fox misses 2-pt jump shot from 11 ft,,18,17
