,QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
0,1,11:46.0,J. Brown makes 3-pt jump shot from 27 ft (assist by J. Tatum),,3,0
1,1,11:25.0,,J. Lamb misses 3-pt jump shot from 25 ft,3,0
2,1,11:22.0,Defensive rebound by D. Theis,,3,0
3,1,11:14.0,D. Theis misses 2-pt jump shot from 13 ft,,3,0
4,1,11:12.0,,Defensive rebound by D. Sabonis,3,0
5,1,11:06.0,,M. Brogdon makes 3-pt jump shot from 26 ft,3,3
6,1,10:47.0,D. Theis makes 2-pt layup from 1 ft (assist by K. Walker),,5,3
7,1,10:35.0,,M. Turner makes 2-pt jump shot from 13 ft (assist by T. Warren),5,5
8,1,10:13.0,K. Walker makes 2-pt layup at rim (assist by J. Tatum),,7,5
9,1,9:57.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by D. Sabonis),7,7
10,1,9:37.0,J. Tatum makes 2-pt jump shot from 11 ft (assist by K. Walker),,9,7
11,1,9:16.0,,Turnover by D. Sabonis (bad pass; steal by J. Tatum),9,7
12,1,9:12.0,G. Hayward misses 2-pt layup from 1 ft (block by J. Lamb),,9,7
13,1,9:12.0,Offensive rebound by Team,,9,7
14,1,9:05.0,D. Theis makes 3-pt jump shot from 28 ft (assist by J. Brown),,12,7
15,1,8:46.0,,Shooting foul by D. Theis (drawn by D. Sabonis),12,7
16,1,8:46.0,,D. Sabonis makes free throw 1 of 2,12,8
17,1,8:46.0,,D. Sabonis makes free throw 2 of 2,12,9
18,1,8:30.0,J. Brown misses 2-pt layup from 2 ft (block by M. Turner),,12,9
19,1,8:29.0,,Defensive rebound by Team,12,9
20,1,8:17.0,,J. Lamb misses 2-pt jump shot from 2 ft,12,9
21,1,8:15.0,,Offensive rebound by D. Sabonis,12,9
22,1,8:11.0,,T. Warren makes 3-pt jump shot from 27 ft (assist by M. Brogdon),12,12
23,1,7:54.0,Personal foul by J. Lamb (drawn by D. Theis),,12,12
24,1,7:47.0,J. Tatum misses 2-pt layup from 2 ft,,12,12
25,1,7:45.0,,Defensive rebound by D. Sabonis,12,12
26,1,7:33.0,,M. Brogdon makes 3-pt jump shot from 23 ft (assist by D. Sabonis),12,15
27,1,7:11.0,K. Walker makes 2-pt jump shot from 16 ft (assist by G. Hayward),,14,15
28,1,6:53.0,,Turnover by T. Warren (bad pass; steal by J. Tatum),14,15
29,1,6:46.0,Shooting foul by D. Sabonis (drawn by K. Walker),,14,15
30,1,6:46.0,,Indiana full timeout,14,15
31,1,6:46.0,S. Ojeleye enters the game for J. Tatum,,14,15
32,1,6:46.0,K. Walker misses free throw 1 of 3,,14,15
33,1,6:46.0,Offensive rebound by Team,,14,15
34,1,6:46.0,K. Walker makes free throw 2 of 3,,15,15
35,1,6:46.0,K. Walker makes free throw 3 of 3,,16,15
36,1,6:34.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by J. Lamb),16,17
37,1,6:34.0,,Shooting foul by D. Theis (drawn by D. Sabonis),16,17
38,1,6:34.0,,D. Sabonis makes free throw 1 of 1,16,18
39,1,6:17.0,D. Theis misses 3-pt jump shot from 27 ft,,16,18
40,1,6:14.0,,Defensive rebound by M. Turner,16,18
41,1,6:14.0,E. Freedom enters the game for D. Theis,,16,18
42,1,6:14.0,,J. Holiday enters the game for D. Sabonis,16,18
43,1,5:56.0,,Turnover by M. Brogdon (lost ball; steal by K. Walker),16,18
44,1,5:40.0,G. Hayward makes 2-pt jump shot from 13 ft (assist by J. Brown),,18,18
45,1,5:25.0,,M. Turner misses 3-pt jump shot from 27 ft,18,18
46,1,5:21.0,Defensive rebound by J. Brown,,18,18
