,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,D. Fox makes 2-pt dunk from 1 ft (assist by H. Barnes),0,2
1,1,11:24.0,A. Wiggins misses 2-pt layup from 4 ft,,0,2
2,1,11:21.0,Offensive rebound by Team,,0,2
3,1,11:08.0,Turnover by Team (shot clock),,0,2
4,1,10:56.0,,M. Bagley makes 2-pt hook shot from 7 ft (assist by D. Fox),0,4
5,1,10:44.0,G. Dieng makes 3-pt jump shot from 25 ft (assist by S. Napier),,3,4
6,1,10:34.0,,Turnover by B. Hield (bad pass),3,4
7,1,10:19.0,S. Napier misses 3-pt jump shot from 25 ft,,3,4
8,1,10:15.0,,Defensive rebound by D. Fox,3,4
9,1,10:08.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),3,7
10,1,10:02.0,Personal foul by B. Hield (drawn by G. Dieng),,3,7
11,1,10:02.0,,C. Joseph enters the game for D. Fox,3,7
12,1,9:52.0,A. Wiggins misses 3-pt jump shot from 26 ft,,3,7
13,1,9:48.0,Offensive rebound by T. Graham,,3,7
14,1,9:47.0,T. Graham makes 2-pt hook shot from 2 ft,,5,7
15,1,9:36.0,,M. Bagley makes 2-pt layup from 2 ft (assist by R. Holmes),5,9
16,1,9:17.0,R. Covington makes 3-pt jump shot from 25 ft (assist by S. Napier),,8,9
17,1,9:03.0,,B. Hield misses 2-pt jump shot from 16 ft,8,9
18,1,8:59.0,Defensive rebound by T. Graham,,8,9
19,1,8:46.0,Turnover by S. Napier (bad pass),,8,9
20,1,8:38.0,,M. Bagley makes 2-pt layup from 3 ft (assist by C. Joseph),8,11
21,1,8:38.0,,Shooting foul by R. Covington (drawn by M. Bagley),8,11
22,1,8:38.0,,M. Bagley makes free throw 1 of 1,8,12
23,1,8:23.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by S. Napier),,11,12
24,1,8:06.0,,B. Hield misses 3-pt jump shot from 25 ft,11,12
25,1,8:03.0,Defensive rebound by S. Napier,,11,12
26,1,8:00.0,Turnover by G. Dieng (bad pass),,11,12
27,1,8:00.0,,Sacramento full timeout,11,12
28,1,8:00.0,,B. Bogdanović enters the game for R. Holmes,11,12
29,1,7:40.0,,Shooting foul by T. Graham (drawn by C. Joseph),11,12
30,1,7:40.0,,C. Joseph makes free throw 1 of 2,11,13
31,1,7:40.0,,C. Joseph makes free throw 2 of 2,11,14
32,1,7:20.0,Turnover by R. Covington (lost ball; steal by M. Bagley),,11,14
33,1,7:02.0,,M. Bagley makes 2-pt layup from 2 ft (assist by B. Bogdanović),11,16
34,1,6:44.0,R. Covington misses 3-pt jump shot from 25 ft,,11,16
35,1,6:40.0,,Defensive rebound by B. Bogdanović,11,16
36,1,6:32.0,,M. Bagley misses 3-pt jump shot from 25 ft,11,16
37,1,6:26.0,,Offensive rebound by C. Joseph,11,16
38,1,6:24.0,,C. Joseph misses 2-pt layup from 2 ft,11,16
39,1,6:22.0,Defensive rebound by R. Covington,,11,16
40,1,6:08.0,A. Wiggins misses 2-pt jump shot from 7 ft,,11,16
41,1,6:06.0,Offensive rebound by A. Wiggins,,11,16
42,1,6:06.0,A. Wiggins makes 2-pt dunk from 4 ft,,13,16
43,1,6:06.0,J. Okogie enters the game for T. Graham,,13,16
44,1,6:06.0,J. Teague enters the game for S. Napier,,13,16
45,1,5:42.0,,M. Bagley misses 3-pt jump shot from 25 ft,13,16
46,1,5:39.0,Defensive rebound by G. Dieng,,13,16
47,1,5:27.0,R. Covington makes 2-pt jump shot from 8 ft (assist by A. Wiggins),,15,16
48,1,5:13.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,15,16
49,1,5:13.0,Defensive rebound by J. Okogie,,15,16
50,1,5:04.0,J. Okogie misses 2-pt layup from 6 ft,,15,16
51,1,5:02.0,,Defensive rebound by B. Bogdanović,15,16
52,1,4:59.0,,B. Hield misses 3-pt jump shot from 25 ft,15,16
53,1,4:56.0,Defensive rebound by R. Covington,,15,16
54,1,4:56.0,,Loose ball foul by M. Bagley (drawn by R. Covington),15,16
55,1,4:56.0,N. Vonleh enters the game for G. Dieng,,15,16
56,1,4:56.0,,R. Holmes enters the game for M. Bagley,15,16
57,1,4:43.0,A. Wiggins misses 3-pt jump shot from 25 ft,,15,16
58,1,4:41.0,,Defensive rebound by C. Joseph,15,16
59,1,4:36.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Joseph),15,19
60,1,4:25.0,Shooting foul by R. Holmes (drawn by A. Wiggins),,15,19
61,1,4:25.0,A. Wiggins makes free throw 1 of 2,,16,19
62,1,4:25.0,K. Bates-Diop enters the game for R. Covington,,16,19
63,1,4:25.0,A. Wiggins misses free throw 2 of 2,,16,19
64,1,4:20.0,,Defensive rebound by R. Holmes,16,19
65,1,4:08.0,,B. Hield misses 3-pt jump shot from 22 ft,16,19
66,1,4:06.0,Defensive rebound by J. Okogie,,16,19
67,1,3:50.0,K. Bates-Diop misses 3-pt jump shot from 23 ft,,16,19
68,1,3:45.0,,Defensive rebound by H. Barnes,16,19
69,1,3:40.0,,B. Hield misses 2-pt layup from 4 ft,16,19
70,1,3:38.0,Defensive rebound by N. Vonleh,,16,19
71,1,3:30.0,J. Teague misses 3-pt jump shot from 26 ft,,16,19
72,1,3:28.0,,Defensive rebound by R. Holmes,16,19
73,1,3:25.0,,Personal foul by J. Teague (drawn by C. Joseph),16,19
74,1,3:25.0,J. Culver enters the game for A. Wiggins,,16,19
75,1,3:25.0,,T. Ariza enters the game for H. Barnes,16,19
76,1,3:25.0,,N. Bjelica enters the game for B. Hield,16,19
77,1,3:12.0,,B. Bogdanović misses 2-pt layup from 3 ft,16,19
78,1,3:07.0,,Offensive rebound by B. Bogdanović,16,19
79,1,3:07.0,,B. Bogdanović makes 2-pt layup at rim,16,21
80,1,2:51.0,J. Culver misses 3-pt jump shot from 26 ft,,16,21
81,1,2:46.0,,Defensive rebound by B. Bogdanović,16,21
82,1,2:33.0,,C. Joseph misses 2-pt jump shot from 14 ft,16,21
83,1,2:30.0,Defensive rebound by J. Culver,,16,21
84,1,2:28.0,Shooting foul by C. Joseph (drawn by J. Culver),,16,21
85,1,2:28.0,Minnesota full timeout,,16,21
86,1,2:28.0,J. Culver misses free throw 1 of 2,,16,21
87,1,2:28.0,Offensive rebound by Team,,16,21
88,1,2:28.0,J. Culver makes free throw 2 of 2,,17,21
