,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ATLANTA_ACTION,MILWAUKEE_SCORE,ATLANTA_SCORE
0,1,11:42.0,Shooting foul by D. Hunter (drawn by B. Lopez),,0,0
1,1,11:42.0,B. Lopez makes free throw 1 of 2,,1,0
2,1,11:42.0,B. Lopez makes free throw 2 of 2,,2,0
3,1,11:21.0,,Offensive foul by J. Parker (drawn by B. Lopez),2,0
4,1,11:21.0,,Turnover by J. Parker (offensive foul),2,0
5,1,11:14.0,Personal foul by D. Jones (drawn by B. Lopez),,2,0
6,1,11:07.0,W. Matthews makes 2-pt jump shot from 19 ft (assist by E. Bledsoe),,4,0
7,1,10:48.0,,Turnover by C. Reddish (bad pass; steal by D. DiVincenzo),4,0
8,1,10:42.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by W. Matthews),,7,0
9,1,10:41.0,,Atlanta full timeout,7,0
10,1,10:29.0,,C. Reddish makes 2-pt jump shot from 13 ft (assist by J. Parker),7,2
11,1,10:23.0,Shooting foul by C. Reddish (drawn by E. Bledsoe),,7,2
12,1,10:23.0,E. Bledsoe makes free throw 1 of 2,,8,2
13,1,10:23.0,E. Bledsoe makes free throw 2 of 2,,9,2
14,1,10:11.0,,D. Hunter makes 2-pt jump shot from 20 ft (assist by J. Parker),9,4
15,1,10:00.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,12,4
16,1,9:36.0,,Turnover by T. Young (bad pass; steal by B. Lopez),12,4
17,1,9:25.0,B. Lopez misses 2-pt dunk from 1 ft,,12,4
18,1,9:23.0,,Defensive rebound by C. Reddish,12,4
19,1,9:15.0,,C. Reddish misses 2-pt layup from 5 ft (block by G. Antetokounmpo),12,4
20,1,9:15.0,Defensive rebound by B. Lopez,,12,4
21,1,9:02.0,Turnover by E. Bledsoe (lost ball; steal by T. Young),,12,4
22,1,8:54.0,,T. Young misses 2-pt jump shot from 10 ft,12,4
23,1,8:52.0,Defensive rebound by G. Antetokounmpo,,12,4
24,1,8:46.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by W. Matthews),,14,4
25,1,8:34.0,,Personal foul by E. Bledsoe (drawn by T. Young),14,4
26,1,8:25.0,,J. Parker misses 3-pt jump shot from 26 ft,14,4
27,1,8:22.0,,Offensive rebound by D. Jones,14,4
28,1,8:19.0,,C. Reddish makes 3-pt jump shot from 24 ft (assist by D. Jones),14,7
29,1,7:55.0,Turnover by G. Antetokounmpo (lost ball; steal by J. Parker),,14,7
30,1,7:50.0,,J. Parker makes 2-pt dunk from 2 ft (assist by D. Hunter),14,9
31,1,7:35.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,14,9
32,1,7:32.0,,Defensive rebound by D. Hunter,14,9
33,1,7:19.0,,D. Hunter makes 2-pt jump shot from 21 ft,14,11
34,1,7:02.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,14,11
35,1,6:59.0,,Defensive rebound by J. Parker,14,11
36,1,6:54.0,,D. Hunter makes 3-pt jump shot from 25 ft (assist by J. Parker),14,14
37,1,6:52.0,Milwaukee full timeout,,14,14
38,1,6:52.0,S. Brown enters the game for E. Bledsoe,,14,14
39,1,6:52.0,,V. Carter enters the game for D. Jones,14,14
40,1,6:52.0,,B. Fernando enters the game for J. Parker,14,14
41,1,6:40.0,W. Matthews misses 3-pt jump shot from 28 ft,,14,14
42,1,6:37.0,,Defensive rebound by B. Fernando,14,14
43,1,6:29.0,,B. Fernando misses 2-pt hook shot from 4 ft,14,14
44,1,6:27.0,Defensive rebound by B. Lopez,,14,14
45,1,6:22.0,D. DiVincenzo misses 3-pt jump shot from 24 ft,,14,14
46,1,6:19.0,,Defensive rebound by D. Hunter,14,14
47,1,6:10.0,,B. Fernando misses 2-pt layup from 3 ft,14,14
48,1,6:08.0,,Offensive rebound by B. Fernando,14,14
49,1,6:08.0,,Turnover by C. Reddish (step out of bounds),14,14
