,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CHICAGO_ACTION,OKLAHOMA CITY_SCORE,CHICAGO_SCORE
0,1,11:46.0,S. Adams makes 2-pt dunk from 1 ft (assist by C. Paul),,2,0
1,1,11:26.0,,Z. LaVine makes 2-pt jump shot from 20 ft (assist by R. Arcidiacono),2,2
2,1,11:10.0,Shooting foul by D. Gafford (drawn by S. Adams),,2,2
3,1,11:10.0,S. Adams makes free throw 1 of 2,,3,2
4,1,11:10.0,S. Adams misses free throw 2 of 2,,3,2
5,1,11:06.0,,Defensive rebound by T. Satoranský,3,2
6,1,10:58.0,,Turnover by T. Satoranský (bad pass; steal by S. Adams),3,2
7,1,10:45.0,S. Adams misses 2-pt layup from 2 ft,,3,2
8,1,10:40.0,Offensive rebound by S. Adams,,3,2
9,1,10:40.0,S. Adams misses 2-pt layup from 1 ft,,3,2
10,1,10:39.0,Offensive rebound by S. Adams,,3,2
11,1,10:25.0,D. Gallinari makes 3-pt jump shot from 27 ft,,6,2
12,1,10:09.0,,Z. LaVine misses 3-pt jump shot from 26 ft,6,2
13,1,10:06.0,Defensive rebound by S. Adams,,6,2
14,1,9:51.0,C. Paul misses 2-pt jump shot from 17 ft,,6,2
15,1,9:47.0,,Defensive rebound by T. Satoranský,6,2
16,1,9:38.0,,T. Young misses 2-pt hook shot from 7 ft,6,2
17,1,9:36.0,Defensive rebound by D. Gallinari,,6,2
18,1,9:30.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Adams),,9,2
19,1,9:14.0,,T. Young misses 2-pt jump shot from 10 ft,9,2
20,1,9:12.0,Defensive rebound by D. Gallinari,,9,2
21,1,9:04.0,Shooting foul by D. Gafford (drawn by D. Gallinari),,9,2
22,1,9:04.0,D. Gallinari makes free throw 1 of 2,,10,2
23,1,9:04.0,,C. Felício enters the game for D. Gafford,10,2
24,1,9:04.0,D. Gallinari makes free throw 2 of 2,,11,2
25,1,8:44.0,,Z. LaVine misses 2-pt layup from 2 ft (block by S. Adams),11,2
