,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,J. Henson misses 2-pt hook shot from 7 ft,0,0
1,1,11:42.0,Defensive rebound by G. Dieng,,0,0
2,1,11:24.0,J. Culver makes 2-pt dunk at rim,,2,0
3,1,11:24.0,Shooting foul by J. Henson (drawn by J. Culver),,2,0
4,1,11:24.0,J. Culver misses free throw 1 of 1,,2,0
5,1,11:21.0,,Defensive rebound by C. Osman,2,0
6,1,11:02.0,,C. Sexton makes 2-pt jump shot from 10 ft,2,2
7,1,10:51.0,S. Napier misses 2-pt jump shot from 18 ft,,2,2
8,1,10:47.0,,Defensive rebound by K. Porter,2,2
9,1,10:35.0,,D. Garland misses 2-pt layup from 1 ft (block by G. Dieng),2,2
10,1,10:31.0,Defensive rebound by G. Dieng,,2,2
11,1,10:27.0,R. Covington makes 3-pt jump shot from 31 ft (assist by S. Napier),,5,2
12,1,10:01.0,,K. Porter makes 2-pt jump shot at rim,5,4
13,1,9:46.0,A. Wiggins misses 2-pt hook shot from 6 ft,,5,4
14,1,9:43.0,,Defensive rebound by J. Henson,5,4
15,1,9:34.0,,J. Henson makes 2-pt dunk from 1 ft (assist by C. Sexton),5,6
16,1,9:18.0,Turnover by S. Napier (bad pass),,5,6
17,1,9:06.0,,C. Osman misses 3-pt jump shot from 28 ft,5,6
18,1,9:02.0,Defensive rebound by G. Dieng,,5,6
19,1,8:53.0,G. Dieng misses 3-pt jump shot from 25 ft,,5,6
20,1,8:50.0,Offensive rebound by A. Wiggins,,5,6
21,1,8:46.0,J. Culver makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,8,6
22,1,8:16.0,,D. Garland misses 2-pt layup from 4 ft,8,6
23,1,8:14.0,Defensive rebound by G. Dieng,,8,6
24,1,8:05.0,A. Wiggins misses 3-pt jump shot from 28 ft,,8,6
25,1,8:02.0,,Defensive rebound by J. Henson,8,6
26,1,7:54.0,,Personal foul by J. Culver (drawn by K. Porter),8,6
27,1,7:48.0,,C. Sexton makes 2-pt jump shot from 16 ft (assist by J. Henson),8,8
28,1,7:38.0,S. Napier misses 3-pt jump shot from 26 ft,,8,8
29,1,7:34.0,,Defensive rebound by C. Sexton,8,8
30,1,7:20.0,,D. Garland makes 2-pt layup at rim,8,10
31,1,7:04.0,R. Covington misses 3-pt jump shot from 29 ft,,8,10
32,1,7:02.0,,Defensive rebound by C. Sexton,8,10
33,1,6:58.0,,Offensive foul by C. Osman (drawn by S. Napier),8,10
34,1,6:58.0,,Turnover by C. Osman (offensive foul),8,10
35,1,6:58.0,,Cleveland full timeout,8,10
36,1,6:58.0,,M. Dellavedova enters the game for D. Garland,8,10
37,1,6:58.0,,A. Žižić enters the game for J. Henson,8,10
38,1,6:44.0,G. Dieng makes 3-pt jump shot from 25 ft (assist by S. Napier),,11,10
39,1,6:26.0,,C. Sexton misses 2-pt layup from 1 ft,11,10
40,1,6:25.0,,Offensive rebound by A. Žižić,11,10
41,1,6:25.0,,A. Žižić makes 2-pt layup from 1 ft,11,12
42,1,6:08.0,S. Napier makes 2-pt layup at rim (assist by G. Dieng),,13,12
43,1,5:44.0,,Turnover by C. Sexton (bad pass; steal by J. Culver),13,12
44,1,5:41.0,J. Culver makes 2-pt dunk from 2 ft,,15,12
45,1,5:23.0,,C. Sexton misses 3-pt jump shot from 25 ft,15,12
46,1,5:20.0,Defensive rebound by G. Dieng,,15,12
47,1,5:14.0,Personal foul by A. Žižić (drawn by G. Dieng),,15,12
48,1,5:14.0,J. Okogie enters the game for G. Dieng,,15,12
49,1,5:14.0,J. Teague enters the game for S. Napier,,15,12
50,1,5:14.0,N. Vonleh enters the game for A. Wiggins,,15,12
51,1,4:59.0,J. Teague misses 2-pt layup at rim,,15,12
52,1,4:56.0,,Defensive rebound by K. Porter,15,12
53,1,4:43.0,,Turnover by K. Porter (lost ball; steal by J. Okogie),15,12
54,1,4:39.0,J. Okogie makes 2-pt layup from 4 ft,,17,12
55,1,4:20.0,,A. Žižić misses 2-pt hook shot from 4 ft,17,12
56,1,4:18.0,Defensive rebound by N. Vonleh,,17,12
57,1,4:11.0,J. Culver misses 2-pt jump shot from 12 ft (block by C. Osman),,17,12
58,1,4:07.0,Offensive rebound by J. Culver,,17,12
59,1,4:05.0,J. Culver misses 3-pt jump shot from 26 ft,,17,12
60,1,4:02.0,,Defensive rebound by K. Porter,17,12
61,1,3:55.0,,K. Porter misses 2-pt layup from 1 ft,17,12
62,1,3:50.0,,Offensive rebound by A. Žižić,17,12
63,1,3:50.0,,A. Žižić makes 2-pt layup from 1 ft,17,14
64,1,3:33.0,J. Okogie makes 2-pt jump shot from 12 ft (assist by R. Covington),,19,14
65,1,3:21.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,19,14
66,1,3:18.0,Defensive rebound by N. Vonleh,,19,14
67,1,3:10.0,J. Teague makes 2-pt layup from 1 ft,,21,14
68,1,3:10.0,Shooting foul by C. Osman (drawn by J. Teague),,21,14
69,1,3:10.0,K. Bates-Diop enters the game for R. Covington,,21,14
70,1,3:10.0,K. Martin enters the game for J. Culver,,21,14
71,1,3:10.0,,D. Exum enters the game for M. Dellavedova,21,14
72,1,3:10.0,,D. Garland enters the game for K. Porter,21,14
73,1,3:10.0,,A. McKinnie enters the game for C. Sexton,21,14
74,1,3:10.0,J. Teague makes free throw 1 of 1,,22,14
75,1,3:04.0,,Turnover by C. Osman (out of bounds lost ball),22,14
76,1,2:55.0,Personal foul by D. Garland (drawn by N. Vonleh),,22,14
77,1,2:55.0,Minnesota full timeout,,22,14
78,1,2:42.0,N. Vonleh misses 2-pt hook shot from 3 ft,,22,14
79,1,2:40.0,,Defensive rebound by A. Žižić,22,14
80,1,2:28.0,,C. Osman makes 2-pt jump shot from 8 ft,22,16
81,1,2:15.0,Offensive foul by K. Bates-Diop (drawn by C. Osman),,22,16
82,1,2:15.0,Turnover by K. Bates-Diop (offensive foul),,22,16
83,1,2:15.0,,B. Knight enters the game for C. Osman,22,16
84,1,2:00.0,,D. Exum misses 2-pt jump shot from 4 ft,22,16
85,1,1:58.0,Defensive rebound by J. Teague,,22,16
86,1,1:55.0,J. Okogie misses 3-pt jump shot from 26 ft,,22,16
87,1,1:50.0,,Defensive rebound by A. McKinnie,22,16
88,1,1:41.0,,D. Garland misses 3-pt jump shot from 28 ft,22,16
89,1,1:38.0,Defensive rebound by J. Okogie,,22,16
90,1,1:31.0,Turnover by J. Okogie (bad pass),,22,16
91,1,1:18.0,,D. Exum misses 2-pt layup at rim (block by N. Vonleh),22,16
92,1,1:18.0,,Offensive rebound by Team,22,16
93,1,1:14.0,,D. Garland misses 2-pt jump shot from 8 ft,22,16
94,1,1:12.0,,Offensive rebound by A. Žižić,22,16
95,1,1:08.0,,A. Žižić makes 2-pt layup from 4 ft,22,18
96,1,0:58.0,N. Vonleh makes 2-pt jump shot from 8 ft (assist by J. Teague),,24,18
97,1,0:47.0,,Shooting foul by J. Teague (drawn by D. Garland),24,18
98,1,0:47.0,,D. Garland makes free throw 1 of 2,24,19
99,1,0:47.0,,D. Garland makes free throw 2 of 2,24,20
100,1,0:33.0,J. Okogie misses 3-pt jump shot from 30 ft,,24,20
101,1,0:30.0,,Defensive rebound by A. Žižić,24,20
