,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
0,1,11:42.0,K. Leonard makes 2-pt layup from 2 ft,,2,0
1,1,11:23.0,,K. Walker misses 2-pt layup from 1 ft (block by I. Zubac),2,0
2,1,11:21.0,,Offensive rebound by D. Theis,2,0
3,1,11:19.0,,D. Theis misses 2-pt layup from 1 ft (block by P. George),2,0
4,1,11:18.0,Defensive rebound by P. George,,2,0
5,1,11:12.0,I. Zubac makes 2-pt dunk from 1 ft (assist by P. George),,4,0
6,1,11:12.0,Shooting foul by J. Tatum (drawn by I. Zubac),,4,0
7,1,11:12.0,I. Zubac makes free throw 1 of 1,,5,0
8,1,10:53.0,,G. Hayward misses 2-pt jump shot from 14 ft,5,0
9,1,10:51.0,Defensive rebound by I. Zubac,,5,0
10,1,10:41.0,M. Morris makes 2-pt jump shot from 10 ft,,7,0
11,1,10:23.0,,D. Theis misses 2-pt jump shot from 20 ft,7,0
12,1,10:21.0,Defensive rebound by K. Leonard,,7,0
13,1,10:11.0,K. Leonard misses 3-pt jump shot from 24 ft,,7,0
14,1,10:09.0,,Defensive rebound by G. Hayward,7,0
15,1,10:05.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by G. Hayward),7,3
16,1,9:45.0,Turnover by M. Morris (lost ball; steal by M. Smart),,7,3
17,1,9:39.0,,M. Smart makes 3-pt jump shot from 26 ft,7,6
18,1,9:26.0,K. Leonard misses 2-pt jump shot from 12 ft,,7,6
19,1,9:24.0,,Defensive rebound by D. Theis,7,6
20,1,9:18.0,,Shooting foul by M. Morris (drawn by M. Smart),7,6
21,1,9:18.0,,Technical foul by M. Morris,7,6
22,1,9:18.0,,M. Smart misses technical free throw,7,6
23,1,9:18.0,,Offensive rebound by Team,7,6
24,1,9:18.0,,M. Smart makes free throw 1 of 3,7,7
25,1,9:18.0,,M. Smart misses free throw 2 of 3,7,7
26,1,9:18.0,,Offensive rebound by Team,7,7
27,1,9:18.0,,M. Smart makes free throw 3 of 3,7,8
28,1,9:10.0,Turnover by L. Shamet (bad pass; steal by M. Smart),,7,8
29,1,9:07.0,,M. Smart makes 2-pt dunk from 2 ft,7,10
30,1,8:53.0,Turnover by P. George (out of bounds lost ball),,7,10
31,1,8:40.0,,M. Smart misses 3-pt jump shot from 23 ft,7,10
32,1,8:37.0,,Offensive rebound by G. Hayward,7,10
33,1,8:36.0,,G. Hayward misses 2-pt jump shot from 16 ft,7,10
34,1,8:34.0,Defensive rebound by M. Morris,,7,10
35,1,8:31.0,P. George misses 2-pt jump shot from 6 ft (block by D. Theis),,7,10
36,1,8:29.0,Offensive rebound by Team,,7,10
37,1,8:22.0,K. Leonard misses 2-pt jump shot from 9 ft,,7,10
38,1,8:20.0,,Defensive rebound by K. Walker,7,10
39,1,8:07.0,,M. Smart misses 3-pt jump shot from 27 ft,7,10
40,1,8:05.0,Defensive rebound by K. Leonard,,7,10
41,1,8:01.0,I. Zubac makes 2-pt dunk from 2 ft (assist by K. Leonard),,9,10
42,1,7:48.0,,Shooting foul by I. Zubac (drawn by K. Walker),9,10
43,1,7:48.0,,K. Walker makes free throw 1 of 2,9,11
44,1,7:48.0,,E. Freedom enters the game for D. Theis,9,11
45,1,7:48.0,,K. Walker makes free throw 2 of 2,9,12
46,1,7:36.0,K. Leonard makes 2-pt jump shot from 15 ft,,11,12
47,1,7:15.0,,J. Tatum makes 3-pt jump shot from 23 ft,11,15
48,1,6:53.0,P. George makes 2-pt layup from 3 ft,,13,15
49,1,6:44.0,,Boston full timeout,13,15
50,1,6:36.0,,E. Freedom misses 2-pt layup from 3 ft (block by K. Leonard),13,15
51,1,6:34.0,Defensive rebound by K. Leonard,,13,15
52,1,6:31.0,K. Leonard makes 2-pt dunk from 2 ft,,15,15
53,1,6:19.0,,E. Freedom misses 2-pt layup from 2 ft,15,15
54,1,6:17.0,Defensive rebound by I. Zubac,,15,15
55,1,6:11.0,P. George misses 2-pt jump shot from 14 ft,,15,15
56,1,6:09.0,,Defensive rebound by G. Hayward,15,15
57,1,5:59.0,,G. Hayward misses 2-pt jump shot from 17 ft,15,15
58,1,5:58.0,,Offensive rebound by Team,15,15
59,1,5:58.0,Loose ball foul by M. Morris (drawn by E. Freedom),,15,15
60,1,5:58.0,J. Green enters the game for M. Morris,,15,15
61,1,5:51.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),15,18
62,1,5:33.0,K. Leonard misses 2-pt layup from 1 ft,,15,18
63,1,5:31.0,,Defensive rebound by E. Freedom,15,18
64,1,5:18.0,,J. Tatum makes 2-pt jump shot from 14 ft,15,20
65,1,5:03.0,P. George misses 2-pt layup from 6 ft (block by E. Freedom),,15,20
66,1,5:02.0,Offensive rebound by Team,,15,20
67,1,5:02.0,M. Harrell enters the game for P. George,,15,20
68,1,5:02.0,L. Williams enters the game for I. Zubac,,15,20
69,1,5:02.0,,B. Wanamaker enters the game for K. Walker,15,20
70,1,4:52.0,Shooting foul by M. Smart (drawn by K. Leonard),,15,20
71,1,4:52.0,K. Leonard makes free throw 1 of 2,,16,20
72,1,4:52.0,K. Leonard makes free throw 2 of 2,,17,20
73,1,4:36.0,,Turnover by J. Tatum (lost ball; steal by M. Harrell),17,20
74,1,4:31.0,L. Shamet misses 3-pt jump shot from 23 ft,,17,20
75,1,4:28.0,,Defensive rebound by J. Tatum,17,20
76,1,4:22.0,,M. Smart misses 3-pt jump shot from 27 ft,17,20
77,1,4:19.0,Defensive rebound by L. Shamet,,17,20
78,1,3:56.0,L. Williams misses 3-pt jump shot from 28 ft,,17,20
79,1,3:54.0,,Defensive rebound by E. Freedom,17,20
80,1,3:48.0,,Personal foul by L. Williams (drawn by J. Tatum),17,20
81,1,3:48.0,,D. Theis enters the game for G. Hayward,17,20
82,1,3:48.0,,G. Williams enters the game for E. Freedom,17,20
83,1,3:39.0,,J. Tatum makes 3-pt jump shot from 26 ft,17,23
84,1,3:26.0,K. Leonard makes 2-pt jump shot from 12 ft,,19,23
85,1,3:15.0,,J. Tatum misses 3-pt jump shot from 26 ft,19,23
86,1,3:13.0,Defensive rebound by L. Williams,,19,23
87,1,3:09.0,K. Leonard makes 3-pt jump shot from 27 ft (assist by L. Williams),,22,23
88,1,2:53.0,,Personal foul by L. Shamet (drawn by J. Tatum),22,23
89,1,2:53.0,LA Clippers full timeout,,22,23
90,1,2:53.0,,J. Tatum misses free throw 1 of 2,22,23
91,1,2:53.0,,Offensive rebound by Team,22,23
92,1,2:53.0,,J. Tatum makes free throw 2 of 2,22,24
93,1,2:42.0,Shooting foul by D. Theis (drawn by K. Leonard),,22,24
94,1,2:42.0,K. Leonard makes free throw 1 of 2,,23,24
95,1,2:42.0,R. McGruder enters the game for L. Shamet,,23,24
96,1,2:42.0,K. Leonard makes free throw 2 of 2,,24,24
97,1,2:26.0,,B. Wanamaker misses 2-pt jump shot from 6 ft (block by L. Williams),24,24
98,1,2:24.0,Defensive rebound by K. Leonard,,24,24
99,1,2:12.0,Turnover by L. Williams (bad pass; steal by J. Tatum),,24,24
100,1,2:06.0,,J. Tatum makes 2-pt layup from 1 ft,24,26
101,1,1:55.0,Shooting foul by D. Theis (drawn by M. Harrell),,24,26
102,1,1:55.0,M. Harrell makes free throw 1 of 2,,25,26
103,1,1:55.0,P. George enters the game for K. Leonard,,25,26
104,1,1:55.0,,S. Ojeleye enters the game for M. Smart,25,26
105,1,1:55.0,,K. Walker enters the game for D. Theis,25,26
106,1,1:55.0,M. Harrell makes free throw 2 of 2,,26,26
107,1,1:44.0,,B. Wanamaker misses 2-pt layup from 5 ft (block by L. Williams),26,26
108,1,1:43.0,,Offensive rebound by Team,26,26
109,1,1:38.0,,J. Tatum misses 2-pt jump shot from 21 ft,26,26
110,1,1:36.0,Defensive rebound by L. Williams,,26,26
111,1,1:23.0,Personal foul by B. Wanamaker (drawn by M. Harrell),,26,26
112,1,1:23.0,M. Harrell makes free throw 1 of 2,,27,26
113,1,1:23.0,,G. Hayward enters the game for J. Tatum,27,26
114,1,1:23.0,M. Harrell makes free throw 2 of 2,,28,26
115,1,1:05.0,,G. Hayward makes 2-pt jump shot from 8 ft,28,28
116,1,0:54.0,P. George misses 3-pt jump shot from 23 ft,,28,28
117,1,0:52.0,Offensive rebound by J. Green,,28,28
118,1,0:51.0,J. Green misses 2-pt layup at rim,,28,28
119,1,0:50.0,,Defensive rebound by K. Walker,28,28
120,1,0:46.0,,K. Walker misses 3-pt jump shot from 25 ft,28,28
121,1,0:43.0,Defensive rebound by J. Green,,28,28
122,1,0:28.0,M. Harrell makes 2-pt dunk from 1 ft,,30,28
123,1,0:14.0,,Personal foul by P. George (drawn by B. Wanamaker),30,28
124,1,0:14.0,,B. Wanamaker makes free throw 1 of 2,30,29
125,1,0:14.0,K. Leonard enters the game for J. Green,,30,29
126,1,0:14.0,L. Shamet enters the game for R. McGruder,,30,29
127,1,0:14.0,,B. Wanamaker makes free throw 2 of 2,30,30
128,1,0:01.0,M. Harrell makes 2-pt hook shot from 7 ft,,32,30
129,1,0:01.0,,K. Walker misses 3-pt jump shot from 58 ft,32,30
130,1,0:00.0,,Offensive rebound by Team,32,30
131,2,11:46.0,,G. Hayward misses 2-pt layup from 3 ft,32,30
132,2,11:44.0,Defensive rebound by M. Harrell,,32,30
133,2,11:34.0,L. Williams misses 2-pt jump shot from 18 ft,,32,30
134,2,11:33.0,,Defensive rebound by E. Freedom,32,30
135,2,11:21.0,,E. Freedom makes 2-pt layup from 1 ft,32,32
136,2,11:10.0,P. George misses 3-pt jump shot from 27 ft,,32,32
137,2,11:09.0,,Defensive rebound by Team,32,32
138,2,11:02.0,,K. Walker makes 3-pt jump shot from 26 ft,32,35
139,2,10:49.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by L. Williams),,35,35
