,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
0,1,11:36.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,0,0
1,1,11:33.0,Defensive rebound by P. Beverley,,0,0
2,1,11:20.0,K. Leonard misses 2-pt jump shot from 14 ft,,0,0
3,1,11:16.0,,Defensive rebound by K. Porziņģis,0,0
4,1,11:12.0,,Personal foul by L. Shamet (drawn by L. Dončić),0,0
5,1,11:02.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,0,0
6,1,11:00.0,Defensive rebound by I. Zubac,,0,0
7,1,10:53.0,P. Beverley misses 2-pt layup from 2 ft (block by L. Dončić),,0,0
8,1,10:53.0,Offensive rebound by Team,,0,0
9,1,10:35.0,I. Zubac misses 2-pt hook shot from 1 ft,,0,0
10,1,10:32.0,,Defensive rebound by L. Dončić,0,0
11,1,10:15.0,,L. Dončić misses 2-pt jump shot from 8 ft,0,0
12,1,10:14.0,,Offensive rebound by L. Dončić,0,0
13,1,10:09.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,0,0
14,1,10:05.0,Defensive rebound by K. Leonard,,0,0
15,1,10:01.0,P. Beverley makes 3-pt jump shot from 25 ft,,3,0
16,1,9:47.0,,T. Hardaway misses 2-pt jump shot from 21 ft,3,0
17,1,9:44.0,Defensive rebound by M. Harkless,,3,0
18,1,9:41.0,,Violation by Team (kicked ball),3,0
19,1,9:28.0,I. Zubac misses 2-pt hook shot from 4 ft,,3,0
20,1,9:27.0,,Defensive rebound by D. Powell,3,0
21,1,9:18.0,,L. Dončić misses 3-pt jump shot from 26 ft,3,0
22,1,9:15.0,Defensive rebound by K. Leonard,,3,0
23,1,9:09.0,K. Leonard misses 2-pt jump shot from 16 ft,,3,0
24,1,9:06.0,,Defensive rebound by L. Dončić,3,0
25,1,9:03.0,,Personal foul by M. Harkless (drawn by K. Porziņģis),3,0
