,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,Turnover by G. Antetokounmpo (bad pass; steal by T. Rozier),0,0
1,1,11:34.0,D. Graham misses 2-pt jump shot from 11 ft,,0,0
2,1,11:31.0,,Defensive rebound by D. DiVincenzo,0,0
3,1,11:25.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft,0,0
4,1,11:23.0,Defensive rebound by B. Biyombo,,0,0
5,1,11:16.0,T. Rozier misses 2-pt jump shot from 11 ft,,0,0
6,1,11:11.0,Offensive rebound by T. Rozier,,0,0
7,1,11:11.0,T. Rozier misses 2-pt layup from 1 ft,,0,0
8,1,11:10.0,,Defensive rebound by D. DiVincenzo,0,0
9,1,11:07.0,,Personal foul by P. Washington (drawn by R. Lopez),0,0
10,1,10:51.0,,Turnover by R. Lopez (bad pass; steal by T. Rozier),0,0
11,1,10:46.0,B. Biyombo misses 2-pt hook shot from 7 ft,,0,0
12,1,10:44.0,,Defensive rebound by G. Antetokounmpo,0,0
13,1,10:33.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,0,0
14,1,10:30.0,,Offensive rebound by R. Lopez,0,0
15,1,10:29.0,,R. Lopez makes 2-pt layup from 2 ft,0,2
16,1,10:09.0,T. Rozier misses 3-pt jump shot from 27 ft,,0,2
17,1,10:07.0,,Defensive rebound by W. Matthews,0,2
18,1,9:55.0,,R. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),0,5
19,1,9:41.0,B. Biyombo misses 2-pt jump shot from 13 ft,,0,5
20,1,9:38.0,Offensive rebound by D. Graham,,0,5
21,1,9:33.0,M. Bridges misses 3-pt jump shot from 24 ft,,0,5
22,1,9:30.0,,Defensive rebound by E. Bledsoe,0,5
23,1,9:23.0,,D. DiVincenzo makes 2-pt layup from 2 ft (assist by E. Bledsoe),0,7
24,1,9:10.0,T. Rozier misses 2-pt layup from 2 ft,,0,7
25,1,9:07.0,Offensive rebound by M. Bridges,,0,7
26,1,9:06.0,M. Bridges makes 2-pt layup from 1 ft,,2,7
27,1,9:00.0,,W. Matthews misses 3-pt jump shot from 26 ft,2,7
28,1,8:58.0,Defensive rebound by B. Biyombo,,2,7
29,1,8:48.0,D. Graham makes 2-pt jump shot from 19 ft (assist by B. Biyombo),,4,7
30,1,8:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),4,9
31,1,8:07.0,B. Biyombo misses 2-pt jump shot from 15 ft,,4,9
32,1,8:04.0,,Defensive rebound by E. Bledsoe,4,9
33,1,7:49.0,,W. Matthews misses 2-pt jump shot from 14 ft,4,9
34,1,7:46.0,Defensive rebound by P. Washington,,4,9
35,1,7:43.0,D. Graham misses 3-pt jump shot from 25 ft,,4,9
36,1,7:39.0,,Defensive rebound by W. Matthews,4,9
37,1,7:37.0,,Milwaukee full timeout,4,9
38,1,7:37.0,N. Batum enters the game for B. Biyombo,,4,9
39,1,7:37.0,C. Zeller enters the game for D. Graham,,4,9
40,1,7:24.0,,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),4,11
41,1,7:09.0,P. Washington misses 2-pt layup from 4 ft,,4,11
42,1,7:06.0,,Defensive rebound by R. Lopez,4,11
43,1,7:06.0,,Shooting foul by T. Rozier (drawn by G. Antetokounmpo),4,11
44,1,7:06.0,,G. Antetokounmpo makes free throw 1 of 2,4,12
45,1,7:06.0,,G. Antetokounmpo makes free throw 2 of 2,4,13
46,1,6:50.0,T. Rozier misses 2-pt layup from 3 ft,,4,13
47,1,6:48.0,Offensive rebound by C. Zeller,,4,13
48,1,6:40.0,M. Bridges makes 3-pt jump shot from 27 ft (assist by N. Batum),,7,13
49,1,6:27.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,7,13
50,1,6:23.0,,Offensive rebound by G. Antetokounmpo,7,13
51,1,6:23.0,,G. Antetokounmpo misses 2-pt layup at rim,7,13
52,1,6:22.0,Defensive rebound by P. Washington,,7,13
53,1,6:20.0,N. Batum misses 3-pt jump shot from 24 ft,,7,13
54,1,6:18.0,,Defensive rebound by Team,7,13
55,1,6:18.0,,P. Connaughton enters the game for D. DiVincenzo,7,13
56,1,6:07.0,,R. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),7,16
57,1,5:46.0,M. Bridges misses 2-pt hook shot from 8 ft,,7,16
58,1,5:43.0,,Defensive rebound by P. Connaughton,7,16
59,1,5:31.0,,G. Antetokounmpo misses 2-pt hook shot from 9 ft,7,16
60,1,5:28.0,Defensive rebound by N. Batum,,7,16
61,1,5:28.0,Turnover by N. Batum (bad pass; steal by G. Antetokounmpo),,7,16
62,1,5:26.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,7,18
63,1,5:26.0,Charlotte full timeout,,7,18
64,1,5:26.0,M. Monk enters the game for M. Bridges,,7,18
65,1,5:26.0,M. Williams enters the game for P. Washington,,7,18
66,1,5:26.0,,E. İlyasova enters the game for G. Antetokounmpo,7,18
67,1,5:13.0,N. Batum makes 2-pt layup from 3 ft,,9,18
68,1,5:02.0,,W. Matthews makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),9,20
69,1,4:48.0,T. Rozier makes 2-pt jump shot from 17 ft,,11,20
70,1,4:32.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),11,23
71,1,4:13.0,M. Monk misses 3-pt jump shot from 28 ft,,11,23
72,1,4:10.0,,Defensive rebound by P. Connaughton,11,23
73,1,4:00.0,,W. Matthews misses 3-pt jump shot from 26 ft,11,23
74,1,3:57.0,Defensive rebound by M. Williams,,11,23
75,1,3:42.0,N. Batum misses 3-pt jump shot from 25 ft,,11,23
76,1,3:39.0,,Defensive rebound by R. Lopez,11,23
77,1,3:21.0,,Turnover by R. Lopez (out of bounds lost ball),11,23
78,1,3:21.0,D. Graham enters the game for T. Rozier,,11,23
79,1,3:21.0,,G. Hill enters the game for E. Bledsoe,11,23
80,1,3:21.0,,K. Middleton enters the game for R. Lopez,11,23
81,1,3:21.0,,D. Wilson enters the game for W. Matthews,11,23
82,1,3:03.0,M. Williams makes 3-pt jump shot from 26 ft (assist by D. Graham),,14,23
83,1,2:48.0,,G. Hill makes 2-pt jump shot from 12 ft,14,25
84,1,2:37.0,C. Zeller makes 2-pt layup from 1 ft (assist by D. Graham),,16,25
85,1,2:37.0,Shooting foul by D. Wilson (drawn by C. Zeller),,16,25
86,1,2:37.0,C. Zeller makes free throw 1 of 1,,17,25
87,1,2:17.0,,G. Hill makes 2-pt layup from 1 ft,17,27
88,1,2:06.0,N. Batum misses 2-pt jump shot from 19 ft,,17,27
89,1,2:03.0,,Defensive rebound by P. Connaughton,17,27
90,1,2:00.0,,K. Middleton misses 3-pt jump shot from 26 ft,17,27
91,1,1:57.0,Defensive rebound by M. Williams,,17,27
92,1,1:47.0,Turnover by N. Batum (bad pass; steal by K. Middleton),,17,27
93,1,1:43.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Hill),17,29
94,1,1:42.0,Charlotte full timeout,,17,29
95,1,1:42.0,M. Bridges enters the game for N. Batum,,17,29
96,1,1:28.0,D. Graham makes 2-pt jump shot from 14 ft,,19,29
97,1,1:21.0,Violation by Team (kicked ball),,19,29
98,1,1:21.0,P. Washington enters the game for C. Zeller,,19,29
99,1,1:21.0,,K. Korver enters the game for P. Connaughton,19,29
100,1,1:03.0,,G. Hill makes 3-pt jump shot from 25 ft (assist by D. Wilson),19,32
101,1,0:51.0,D. Graham makes 3-pt jump shot from 26 ft (assist by P. Washington),,22,32
102,1,0:34.0,,D. Wilson misses 3-pt jump shot from 26 ft,22,32
103,1,0:32.0,,Offensive rebound by K. Middleton,22,32
104,1,0:28.0,,K. Korver misses 3-pt jump shot from 27 ft,22,32
105,1,0:26.0,Defensive rebound by D. Graham,,22,32
106,1,0:20.0,P. Washington makes 3-pt jump shot from 23 ft (assist by M. Monk),,25,32
107,1,0:01.0,,K. Middleton misses 2-pt jump shot from 18 ft,25,32
108,1,0:01.0,Defensive rebound by P. Washington,,25,32
109,2,11:42.0,P. Washington misses 3-pt jump shot from 26 ft,,25,32
110,2,11:39.0,,Defensive rebound by G. Antetokounmpo,25,32
111,2,11:36.0,,G. Antetokounmpo makes 2-pt jump shot from 8 ft,25,34
112,2,11:36.0,,Shooting foul by M. Williams (drawn by G. Antetokounmpo),25,34
113,2,11:36.0,,G. Antetokounmpo misses free throw 1 of 1,25,34
114,2,11:32.0,,Offensive rebound by G. Antetokounmpo,25,34
115,2,11:31.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,25,36
116,2,11:14.0,D. Graham makes 2-pt jump shot from 14 ft,,27,36
117,2,11:00.0,,Turnover by K. Korver (bad pass; steal by M. Williams),27,36
118,2,10:56.0,D. Graham makes 3-pt jump shot from 27 ft (assist by M. Williams),,30,36
119,2,10:41.0,,G. Hill makes 3-pt jump shot from 24 ft (assist by K. Middleton),30,39
120,2,10:22.0,D. Graham makes 3-pt jump shot from 28 ft (assist by M. Williams),,33,39
121,2,10:03.0,,Offensive foul by K. Middleton (drawn by M. Bridges),33,39
122,2,10:03.0,,Turnover by K. Middleton (offensive foul),33,39
123,2,10:03.0,T. Rozier enters the game for M. Bridges,,33,39
124,2,10:03.0,,R. Lopez enters the game for D. Wilson,33,39
125,2,9:53.0,Personal foul by G. Antetokounmpo (drawn by P. Washington),,33,39
126,2,9:53.0,,D. DiVincenzo enters the game for K. Middleton,33,39
127,2,9:48.0,D. Graham misses 3-pt jump shot from 27 ft,,33,39
128,2,9:43.0,,Defensive rebound by R. Lopez,33,39
129,2,9:35.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft (assist by K. Korver),33,42
130,2,9:20.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by P. Washington),,36,42
131,2,9:08.0,,R. Lopez misses 3-pt jump shot from 27 ft,36,42
132,2,9:05.0,Defensive rebound by T. Rozier,,36,42
133,2,8:58.0,P. Washington misses 3-pt jump shot from 27 ft,,36,42
134,2,8:55.0,,Defensive rebound by G. Antetokounmpo,36,42
135,2,8:48.0,,Personal foul by M. Monk (drawn by G. Antetokounmpo),36,42
136,2,8:48.0,B. Biyombo enters the game for M. Monk,,36,42
137,2,8:48.0,M. Bridges enters the game for M. Williams,,36,42
138,2,8:48.0,,E. Bledsoe enters the game for G. Hill,36,42
139,2,8:43.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,36,42
140,2,8:41.0,Defensive rebound by M. Bridges,,36,42
141,2,8:38.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by P. Washington),,39,42
142,2,8:17.0,,R. Lopez misses 2-pt hook shot from 4 ft,39,42
143,2,8:14.0,,Offensive rebound by G. Antetokounmpo,39,42
144,2,8:14.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,39,44
145,2,8:00.0,D. Graham makes 2-pt jump shot from 12 ft (assist by B. Biyombo),,41,44
146,2,7:42.0,,G. Antetokounmpo makes 2-pt jump shot from 8 ft,41,46
147,2,7:42.0,N. Batum enters the game for D. Graham,,41,46
148,2,7:42.0,,W. Matthews enters the game for K. Korver,41,46
149,2,7:20.0,T. Rozier misses 3-pt jump shot from 27 ft,,41,46
150,2,7:17.0,,Defensive rebound by D. DiVincenzo,41,46
151,2,7:09.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by R. Lopez),41,48
152,2,7:09.0,,Shooting foul by B. Biyombo (drawn by G. Antetokounmpo),41,48
153,2,7:09.0,,G. Antetokounmpo misses free throw 1 of 1,41,48
154,2,7:05.0,Defensive rebound by M. Bridges,,41,48
155,2,6:51.0,P. Washington misses 2-pt layup from 3 ft,,41,48
156,2,6:48.0,,Defensive rebound by D. DiVincenzo,41,48
157,2,6:41.0,,R. Lopez makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),41,51
158,2,6:21.0,Turnover by N. Batum (lost ball; steal by D. DiVincenzo),,41,51
159,2,6:20.0,,Personal foul by N. Batum (drawn by D. DiVincenzo),41,51
160,2,6:20.0,,Milwaukee full timeout,41,51
161,2,6:20.0,,Instant Replay (Request: Ruling Stands),41,51
162,2,6:20.0,D. Bacon enters the game for N. Batum,,41,51
163,2,6:20.0,C. Zeller enters the game for B. Biyombo,,41,51
164,2,6:03.0,,D. DiVincenzo misses 2-pt jump shot from 18 ft,41,51
165,2,6:00.0,Defensive rebound by T. Rozier,,41,51
166,2,5:51.0,T. Rozier misses 2-pt layup from 3 ft (block by R. Lopez),,41,51
167,2,5:48.0,,Defensive rebound by R. Lopez,41,51
168,2,5:45.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,41,53
169,2,5:31.0,C. Zeller misses 3-pt jump shot from 26 ft,,41,53
170,2,5:28.0,,Defensive rebound by E. Bledsoe,41,53
171,2,5:26.0,,R. Lopez makes 2-pt layup from 3 ft (assist by E. Bledsoe),41,55
172,2,5:10.0,P. Washington misses 2-pt layup from 3 ft (block by R. Lopez),,41,55
173,2,5:10.0,Offensive rebound by Team,,41,55
174,2,5:10.0,,E. İlyasova enters the game for G. Antetokounmpo,41,55
175,2,5:03.0,D. Bacon misses 2-pt jump shot from 14 ft,,41,55
176,2,4:57.0,,Defensive rebound by E. İlyasova,41,55
177,2,4:43.0,,R. Lopez misses 2-pt hook shot from 8 ft,41,55
178,2,4:41.0,Defensive rebound by D. Bacon,,41,55
179,2,4:30.0,P. Washington misses 2-pt layup from 3 ft,,41,55
180,2,4:27.0,,Defensive rebound by D. DiVincenzo,41,55
181,2,4:25.0,,Turnover by D. DiVincenzo (bad pass),41,55
182,2,4:25.0,D. Graham enters the game for M. Bridges,,41,55
183,2,4:25.0,,K. Middleton enters the game for D. DiVincenzo,41,55
184,2,4:11.0,D. Graham misses 2-pt layup from 4 ft,,41,55
185,2,4:07.0,,Defensive rebound by K. Middleton,41,55
186,2,3:48.0,,K. Middleton misses 2-pt layup from 4 ft,41,55
187,2,3:46.0,Defensive rebound by D. Graham,,41,55
188,2,3:42.0,D. Bacon makes 2-pt layup from 1 ft (assist by D. Graham),,43,55
189,2,3:21.0,,E. Bledsoe misses 2-pt jump shot from 8 ft,43,55
190,2,3:18.0,Defensive rebound by C. Zeller,,43,55
191,2,3:12.0,C. Zeller misses 2-pt jump shot from 14 ft,,43,55
192,2,3:09.0,,Defensive rebound by K. Middleton,43,55
193,2,2:58.0,,K. Middleton makes 2-pt jump shot from 6 ft (assist by E. İlyasova),43,57
194,2,2:47.0,C. Zeller makes 3-pt jump shot from 26 ft (assist by D. Graham),,46,57
195,2,2:35.0,,Shooting foul by C. Zeller (drawn by E. İlyasova),46,57
196,2,2:35.0,Charlotte full timeout,,46,57
197,2,2:35.0,,P. Connaughton enters the game for E. Bledsoe,46,57
198,2,2:35.0,,G. Hill enters the game for R. Lopez,46,57
199,2,2:35.0,,D. Wilson enters the game for W. Matthews,46,57
200,2,2:35.0,,E. İlyasova makes free throw 1 of 2,46,58
201,2,2:35.0,,E. İlyasova makes free throw 2 of 2,46,59
202,2,2:14.0,T. Rozier misses 2-pt jump shot from 12 ft,,46,59
203,2,2:10.0,,Defensive rebound by P. Connaughton,46,59
204,2,1:59.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by D. Wilson),46,61
205,2,1:43.0,D. Bacon misses 3-pt jump shot from 23 ft,,46,61
206,2,1:41.0,,Defensive rebound by E. İlyasova,46,61
207,2,1:27.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by K. Middleton),46,64
208,2,1:09.0,Personal foul by D. Wilson (drawn by P. Washington),,46,64
209,2,1:09.0,M. Williams enters the game for P. Washington,,46,64
210,2,0:57.0,D. Graham misses 2-pt layup from 4 ft,,46,64
211,2,0:54.0,,Defensive rebound by K. Middleton,46,64
212,2,0:52.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by P. Connaughton),46,66
213,2,0:39.0,C. Zeller misses 2-pt layup from 2 ft,,46,66
214,2,0:37.0,,Defensive rebound by P. Connaughton,46,66
215,2,0:30.0,,K. Middleton misses 2-pt layup from 3 ft (block by M. Williams),46,66
216,2,0:25.0,Defensive rebound by M. Williams,,46,66
217,2,0:25.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by D. Graham),,49,66
218,2,0:02.0,,K. Middleton misses 2-pt jump shot from 12 ft,49,66
219,2,0:02.0,Defensive rebound by T. Rozier,,49,66
220,3,11:48.0,Personal foul by E. Bledsoe (drawn by D. Graham),,49,66
221,3,11:41.0,Personal foul by D. DiVincenzo (drawn by T. Rozier),,49,66
222,3,11:29.0,M. Bridges misses 2-pt jump shot from 5 ft,,49,66
223,3,11:26.0,,Defensive rebound by G. Antetokounmpo,49,66
224,3,11:20.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),49,69
225,3,11:04.0,D. Graham makes 2-pt jump shot from 8 ft,,51,69
226,3,10:56.0,,G. Antetokounmpo makes 2-pt layup at rim,51,71
227,3,10:56.0,,Shooting foul by P. Washington (drawn by G. Antetokounmpo),51,71
228,3,10:56.0,,G. Antetokounmpo misses free throw 1 of 1,51,71
229,3,10:51.0,Defensive rebound by D. Graham,,51,71
230,3,10:42.0,D. Graham misses 3-pt jump shot from 27 ft,,51,71
231,3,10:38.0,Offensive rebound by P. Washington,,51,71
232,3,10:25.0,D. Graham misses 3-pt jump shot from 35 ft,,51,71
233,3,10:22.0,,Defensive rebound by G. Antetokounmpo,51,71
234,3,10:06.0,,R. Lopez misses 3-pt jump shot from 27 ft,51,71
235,3,10:03.0,Defensive rebound by M. Bridges,,51,71
236,3,9:57.0,P. Washington makes 2-pt layup from 3 ft (assist by M. Bridges),,53,71
237,3,9:49.0,,Personal foul by M. Bridges (drawn by D. DiVincenzo),53,71
238,3,9:43.0,,D. DiVincenzo makes 2-pt layup from 1 ft (assist by R. Lopez),53,73
239,3,9:28.0,T. Rozier makes 2-pt jump shot from 17 ft,,55,73
240,3,9:17.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),55,76
241,3,8:59.0,Turnover by B. Biyombo (bad pass; steal by E. Bledsoe),,55,76
242,3,8:52.0,,G. Antetokounmpo makes 2-pt layup at rim,55,78
243,3,8:51.0,Charlotte full timeout,,55,78
244,3,8:51.0,M. Williams enters the game for B. Biyombo,,55,78
245,3,8:30.0,P. Washington misses 3-pt jump shot from 26 ft,,55,78
246,3,8:27.0,,Defensive rebound by E. Bledsoe,55,78
247,3,8:20.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),55,81
248,3,8:03.0,M. Williams makes 3-pt jump shot from 23 ft (assist by T. Rozier),,58,81
249,3,7:58.0,,Personal take foul by M. Williams (drawn by G. Antetokounmpo),58,81
250,3,7:52.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,58,81
251,3,7:48.0,Defensive rebound by T. Rozier,,58,81
252,3,7:42.0,P. Washington misses 3-pt jump shot from 27 ft,,58,81
253,3,7:39.0,Offensive rebound by T. Rozier,,58,81
