,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:42.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,2,0
1,1,11:24.0,,D. Rose misses 2-pt layup from 3 ft,2,0
2,1,11:18.0,,Offensive rebound by A. Drummond,2,0
3,1,11:18.0,,A. Drummond makes 2-pt layup from 1 ft,2,2
4,1,11:08.0,A. Wiggins misses 2-pt layup from 1 ft,,2,2
5,1,11:05.0,,Defensive rebound by T. Snell,2,2
6,1,11:01.0,,L. Kennard makes 2-pt layup from 1 ft (assist by B. Griffin),2,4
7,1,10:44.0,K. Towns misses 2-pt layup from 2 ft,,2,4
8,1,10:44.0,,Defensive rebound by Team,2,4
9,1,10:44.0,,Personal foul by K. Towns (drawn by B. Griffin),2,4
10,1,10:29.0,,A. Drummond misses 2-pt layup from 2 ft (block by R. Covington),2,4
11,1,10:27.0,Defensive rebound by A. Wiggins,,2,4
12,1,10:20.0,Turnover by A. Wiggins (bad pass; steal by A. Drummond),,2,4
13,1,10:15.0,,Shooting foul by R. Covington (drawn by B. Griffin),2,4
14,1,10:15.0,,B. Griffin makes free throw 1 of 2,2,5
15,1,10:15.0,,B. Griffin makes free throw 2 of 2,2,6
16,1,10:05.0,R. Covington makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,5,6
17,1,9:51.0,,B. Griffin misses 2-pt layup from 3 ft,5,6
18,1,9:49.0,Defensive rebound by K. Towns,,5,6
19,1,9:46.0,Shooting foul by T. Snell (drawn by R. Covington),,5,6
20,1,9:46.0,R. Covington makes free throw 1 of 2,,6,6
21,1,9:46.0,R. Covington makes free throw 2 of 2,,7,6
22,1,9:33.0,,D. Rose makes 2-pt layup from 4 ft,7,8
23,1,9:11.0,T. Graham makes 2-pt jump shot from 8 ft,,9,8
24,1,9:04.0,,T. Snell makes 3-pt jump shot from 26 ft (assist by D. Rose),9,11
25,1,8:46.0,Turnover by R. Covington (lost ball; steal by A. Drummond),,9,11
26,1,8:40.0,,L. Kennard misses 3-pt jump shot from 25 ft,9,11
27,1,8:37.0,Defensive rebound by A. Wiggins,,9,11
28,1,8:26.0,J. Okogie misses 3-pt jump shot from 23 ft (block by D. Rose),,9,11
29,1,8:26.0,Offensive rebound by Team,,9,11
30,1,8:22.0,A. Wiggins makes 3-pt jump shot from 25 ft,,12,11
31,1,8:06.0,,B. Griffin makes 3-pt jump shot from 26 ft,12,14
32,1,7:49.0,T. Graham misses 3-pt jump shot from 28 ft,,12,14
33,1,7:47.0,,Defensive rebound by A. Drummond,12,14
34,1,7:45.0,,Personal foul by T. Graham (drawn by B. Griffin),12,14
35,1,7:34.0,,B. Griffin makes 2-pt hook shot from 5 ft,12,16
36,1,7:21.0,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Graham),,15,16
