,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA LAKERS_ACTION,MINNESOTA_SCORE,LA LAKERS_SCORE
0,1,11:34.0,,L. James misses 2-pt jump shot from 8 ft,0,0
1,1,11:33.0,Defensive rebound by A. Wiggins,,0,0
2,1,11:17.0,A. Wiggins misses 2-pt layup from 2 ft,,0,0
3,1,11:15.0,,Defensive rebound by A. Davis,0,0
4,1,11:10.0,,A. Davis makes 2-pt layup from 2 ft,0,2
5,1,11:10.0,,Shooting foul by A. Wiggins (drawn by A. Davis),0,2
6,1,11:10.0,,A. Davis makes free throw 1 of 1,0,3
7,1,10:58.0,K. Towns misses 3-pt jump shot from 28 ft,,0,3
8,1,10:55.0,,Defensive rebound by A. Davis,0,3
9,1,10:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,0,3
10,1,10:38.0,Defensive rebound by Team,,0,3
11,1,10:22.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Towns),,2,3
12,1,10:22.0,Shooting foul by J. McGee (drawn by A. Wiggins),,2,3
13,1,10:22.0,A. Wiggins misses free throw 1 of 1,,2,3
14,1,10:20.0,,Defensive rebound by J. McGee,2,3
15,1,10:11.0,,A. Davis makes 2-pt jump shot from 6 ft (assist by L. James),2,5
16,1,10:00.0,J. Okogie makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,5,5
17,1,9:50.0,,L. James makes 2-pt layup from 2 ft,5,7
18,1,9:34.0,K. Towns makes 2-pt layup from 3 ft (assist by A. Wiggins),,7,7
19,1,9:25.0,,A. Davis makes 2-pt layup from 1 ft (assist by L. James),7,9
20,1,9:16.0,J. Culver makes 2-pt layup from 2 ft,,9,9
21,1,9:09.0,,J. McGee makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),9,11
22,1,8:56.0,Turnover by K. Towns (bad pass; steal by D. Green),,9,11
23,1,8:52.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,9,11
24,1,8:48.0,Defensive rebound by J. Okogie,,9,11
25,1,8:42.0,R. Covington misses 2-pt layup from 2 ft,,9,11
26,1,8:40.0,,Defensive rebound by D. Green,9,11
27,1,8:37.0,,L. James makes 2-pt layup from 2 ft,9,13
28,1,8:22.0,Personal foul by D. Green (drawn by A. Wiggins),,9,13
29,1,8:17.0,K. Towns makes 2-pt jump shot from 22 ft (assist by J. Culver),,11,13
30,1,8:06.0,,Turnover by L. James (bad pass; steal by K. Towns),11,13
31,1,8:00.0,R. Covington makes 2-pt layup from 3 ft (assist by K. Towns),,13,13
32,1,7:51.0,,A. Davis makes 2-pt dunk from 2 ft (assist by L. James),13,15
33,1,7:34.0,A. Wiggins misses 3-pt jump shot from 27 ft,,13,15
34,1,7:32.0,,Defensive rebound by J. McGee,13,15
35,1,7:28.0,,A. Davis makes 2-pt layup from 3 ft (assist by L. James),13,17
36,1,7:28.0,Minnesota full timeout,,13,17
37,1,7:28.0,J. Bell enters the game for R. Covington,,13,17
38,1,7:28.0,J. Teague enters the game for A. Wiggins,,13,17
39,1,7:19.0,K. Towns misses 3-pt jump shot from 28 ft,,13,17
40,1,7:17.0,,Defensive rebound by J. McGee,13,17
41,1,7:13.0,Violation by Team (kicked ball),,13,17
42,1,7:08.0,,L. James misses 2-pt layup from 3 ft,13,17
43,1,7:04.0,,Offensive rebound by J. McGee,13,17
44,1,7:04.0,,J. McGee makes 2-pt dunk from 1 ft,13,19
45,1,7:04.0,Personal foul by L. James (drawn by J. Okogie),,13,19
46,1,6:55.0,J. Okogie misses 2-pt layup from 2 ft,,13,19
47,1,6:53.0,,Defensive rebound by J. McGee,13,19
48,1,6:40.0,,L. James makes 3-pt jump shot from 27 ft,13,22
49,1,6:23.0,J. Teague makes 2-pt jump shot from 19 ft,,15,22
50,1,6:02.0,,L. James misses 2-pt layup from 3 ft (block by J. Bell),15,22
51,1,5:59.0,Defensive rebound by K. Towns,,15,22
52,1,5:58.0,J. Culver makes 2-pt dunk from 1 ft (assist by K. Towns),,17,22
53,1,5:42.0,,A. Davis makes 2-pt jump shot from 12 ft (assist by L. James),17,24
54,1,5:27.0,Turnover by J. Teague (bad pass),,17,24
55,1,5:27.0,,A. Caruso enters the game for D. Green,17,24
56,1,5:05.0,,Offensive foul by L. James (drawn by J. Okogie),17,24
57,1,5:05.0,,Turnover by L. James (offensive foul),17,24
58,1,5:05.0,T. Graham enters the game for J. Culver,,17,24
59,1,5:05.0,S. Napier enters the game for J. Okogie,,17,24
60,1,5:05.0,,Q. Cook enters the game for L. James,17,24
61,1,5:05.0,,Violation by Team (delay of game),17,24
62,1,4:45.0,J. Bell misses 3-pt jump shot from 25 ft,,17,24
63,1,4:43.0,,Defensive rebound by K. Caldwell-Pope,17,24
64,1,4:24.0,,Q. Cook misses 3-pt jump shot from 23 ft,17,24
65,1,4:18.0,Defensive rebound by T. Graham,,17,24
66,1,4:16.0,S. Napier makes 2-pt layup from 2 ft,,19,24
67,1,4:06.0,,LA Lakers full timeout,19,24
68,1,4:06.0,,K. Kuzma enters the game for J. McGee,19,24
69,1,3:57.0,,A. Caruso makes 3-pt jump shot from 27 ft (assist by Q. Cook),19,27
70,1,3:40.0,J. Teague makes 3-pt jump shot from 27 ft (assist by S. Napier),,22,27
71,1,3:22.0,,Personal foul by J. Teague (drawn by A. Davis),22,27
72,1,3:16.0,,K. Caldwell-Pope makes 2-pt jump shot from 13 ft (assist by A. Davis),22,29
73,1,3:00.0,J. Teague misses 2-pt layup from 4 ft,,22,29
74,1,2:58.0,Offensive rebound by J. Teague,,22,29
75,1,2:56.0,J. Teague makes 2-pt layup from 2 ft,,24,29
76,1,2:46.0,,A. Caruso makes 2-pt layup from 1 ft,24,31
77,1,2:31.0,Turnover by S. Napier (bad pass; steal by A. Davis),,24,31
78,1,2:27.0,,Q. Cook makes 2-pt layup from 1 ft (assist by A. Davis),24,33
79,1,2:15.0,J. Teague makes 3-pt jump shot from 27 ft,,27,33
80,1,1:58.0,,A. Davis misses 2-pt jump shot from 13 ft,27,33
81,1,1:55.0,Defensive rebound by J. Bell,,27,33
82,1,1:35.0,K. Towns misses 2-pt layup from 6 ft,,27,33
83,1,1:33.0,Offensive rebound by J. Bell,,27,33
84,1,1:32.0,J. Bell makes 2-pt layup from 2 ft,,29,33
85,1,1:13.0,,A. Caruso makes 2-pt jump shot from 15 ft (assist by A. Davis),29,35
86,1,0:58.0,S. Napier makes 2-pt layup from 2 ft (assist by K. Towns),,31,35
87,1,0:46.0,,Shooting foul by K. Towns (drawn by A. Davis),31,35
88,1,0:46.0,,A. Davis makes free throw 1 of 2,31,36
89,1,0:46.0,K. Bates-Diop enters the game for J. Bell,,31,36
90,1,0:46.0,G. Dieng enters the game for T. Graham,,31,36
91,1,0:46.0,A. Wiggins enters the game for K. Towns,,31,36
92,1,0:46.0,,T. Daniels enters the game for K. Caldwell-Pope,31,36
93,1,0:46.0,,A. Davis makes free throw 2 of 2,31,37
94,1,0:32.0,S. Napier misses 2-pt layup from 2 ft,,31,37
95,1,0:29.0,,Defensive rebound by A. Caruso,31,37
96,1,0:27.0,,A. Davis makes 2-pt dunk from 2 ft (assist by A. Caruso),31,39
97,1,0:06.0,S. Napier misses 3-pt jump shot from 27 ft,,31,39
98,1,0:04.0,,Defensive rebound by A. Davis,31,39
99,1,0:01.0,,A. Davis misses 3-pt jump shot from 26 ft,31,39
100,1,0:01.0,,Offensive rebound by Team,31,39
101,2,11:48.0,Turnover by R. Covington (traveling),,31,39
102,2,11:26.0,,L. James makes 3-pt jump shot from 27 ft,31,42
103,2,11:09.0,A. Wiggins misses 2-pt layup from 2 ft,,31,42
104,2,11:07.0,,Defensive rebound by L. James,31,42
105,2,11:04.0,,L. James misses 3-pt jump shot from 25 ft,31,42
106,2,11:01.0,Defensive rebound by K. Bates-Diop,,31,42
107,2,10:48.0,K. Bates-Diop makes 3-pt jump shot from 25 ft (assist by J. Culver),,34,42
108,2,10:28.0,,Turnover by L. James (bad pass; steal by R. Covington),34,42
109,2,10:23.0,Shooting foul by T. Daniels (drawn by K. Bates-Diop),,34,42
110,2,10:23.0,K. Bates-Diop misses free throw 1 of 2,,34,42
111,2,10:23.0,Offensive rebound by Team,,34,42
112,2,10:23.0,K. Bates-Diop makes free throw 2 of 2,,35,42
113,2,10:09.0,,Turnover by K. Kuzma (bad pass; steal by R. Covington),35,42
114,2,9:59.0,J. Culver misses 2-pt jump shot from 4 ft,,35,42
115,2,9:57.0,,Defensive rebound by A. Caruso,35,42
116,2,9:42.0,,L. James makes 2-pt dunk from 4 ft,35,44
117,2,9:29.0,R. Covington misses 2-pt jump shot from 17 ft,,35,44
118,2,9:27.0,,Defensive rebound by T. Daniels,35,44
119,2,9:21.0,,Offensive foul by L. James (drawn by G. Dieng),35,44
120,2,9:21.0,,Turnover by L. James (offensive foul),35,44
121,2,9:09.0,Shooting foul by D. Howard (drawn by A. Wiggins),,35,44
122,2,9:09.0,A. Wiggins makes free throw 1 of 2,,36,44
123,2,9:09.0,,K. Caldwell-Pope enters the game for L. James,36,44
124,2,9:09.0,A. Wiggins makes free throw 2 of 2,,37,44
125,2,9:00.0,,A. Caruso misses 2-pt jump shot from 2 ft (block by K. Bates-Diop),37,44
126,2,8:58.0,,Offensive rebound by D. Howard,37,44
127,2,8:57.0,,D. Howard misses 2-pt layup from 3 ft (block by K. Bates-Diop),37,44
128,2,8:52.0,Defensive rebound by R. Covington,,37,44
129,2,8:51.0,Turnover by R. Covington (lost ball; steal by A. Caruso),,37,44
130,2,8:46.0,,Personal foul by R. Covington (drawn by A. Caruso),37,44
131,2,8:40.0,,Shooting foul by G. Dieng (drawn by A. Caruso),37,44
132,2,8:40.0,,A. Caruso misses free throw 1 of 2,37,44
133,2,8:40.0,,Offensive rebound by Team,37,44
134,2,8:40.0,,A. Caruso makes free throw 2 of 2,37,45
135,2,8:34.0,Turnover by A. Wiggins (traveling),,37,45
136,2,8:22.0,,D. Howard makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),37,47
137,2,8:09.0,R. Covington makes 3-pt jump shot from 29 ft (assist by K. Bates-Diop),,40,47
138,2,7:58.0,,T. Daniels misses 3-pt jump shot from 24 ft,40,47
139,2,7:56.0,Defensive rebound by G. Dieng,,40,47
140,2,7:47.0,A. Wiggins makes 2-pt hook shot from 9 ft,,42,47
141,2,7:47.0,,Violation by Team (def goaltending),42,47
142,2,7:32.0,,Turnover by K. Caldwell-Pope (bad pass; steal by R. Covington),42,47
143,2,7:26.0,R. Covington misses 2-pt jump shot from 6 ft,,42,47
144,2,7:26.0,Offensive rebound by J. Culver,,42,47
145,2,7:26.0,J. Culver makes 2-pt layup at rim,,44,47
146,2,7:26.0,,LA Lakers full timeout,44,47
147,2,7:26.0,J. Bell enters the game for K. Bates-Diop,,44,47
148,2,7:26.0,K. Towns enters the game for G. Dieng,,44,47
149,2,7:26.0,,Q. Cook enters the game for K. Caldwell-Pope,44,47
150,2,7:26.0,,A. Davis enters the game for A. Caruso,44,47
151,2,7:26.0,,D. Green enters the game for T. Daniels,44,47
152,2,7:09.0,,Personal foul by J. Bell (drawn by A. Davis),44,47
153,2,6:57.0,,K. Kuzma makes 2-pt jump shot from 19 ft,44,49
154,2,6:41.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by K. Towns),,46,49
155,2,6:28.0,,Q. Cook misses 2-pt layup from 2 ft,46,49
156,2,6:23.0,,Offensive rebound by D. Howard,46,49
157,2,6:23.0,,D. Howard makes 2-pt layup from 1 ft,46,51
158,2,6:17.0,R. Covington makes 3-pt jump shot from 27 ft (assist by J. Culver),,49,51
159,2,6:05.0,,K. Kuzma misses 2-pt jump shot from 21 ft,49,51
160,2,6:01.0,,Offensive rebound by D. Howard,49,51
161,2,5:57.0,,D. Green misses 3-pt jump shot from 24 ft,49,51
162,2,5:54.0,Defensive rebound by K. Towns,,49,51
163,2,5:46.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),,52,51
164,2,5:45.0,,LA Lakers full timeout,52,51
165,2,5:45.0,J. Okogie enters the game for J. Culver,,52,51
166,2,5:45.0,J. Teague enters the game for A. Wiggins,,52,51
167,2,5:45.0,,K. Caldwell-Pope enters the game for K. Kuzma,52,51
168,2,5:30.0,,K. Caldwell-Pope misses 2-pt layup from 4 ft (block by R. Covington),52,51
169,2,5:27.0,Defensive rebound by J. Bell,,52,51
170,2,5:27.0,Shooting foul by D. Howard (drawn by R. Covington),,52,51
171,2,5:27.0,R. Covington makes free throw 1 of 3,,53,51
172,2,5:27.0,R. Covington makes free throw 2 of 3,,54,51
173,2,5:27.0,,A. Caruso enters the game for Q. Cook,54,51
174,2,5:27.0,R. Covington makes free throw 3 of 3,,55,51
175,2,5:14.0,,A. Caruso misses 2-pt jump shot from 22 ft,55,51
176,2,5:11.0,Defensive rebound by J. Bell,,55,51
177,2,4:48.0,Turnover by Team (shot clock),,55,51
178,2,4:42.0,,Personal foul by J. Okogie (drawn by K. Caldwell-Pope),55,51
179,2,4:42.0,A. Wiggins enters the game for R. Covington,,55,51
180,2,4:28.0,,A. Davis makes 2-pt hook shot from 4 ft (assist by D. Green),55,53
181,2,4:16.0,Shooting foul by K. Caldwell-Pope (drawn by J. Okogie),,55,53
182,2,4:16.0,J. Okogie makes free throw 1 of 3,,56,53
183,2,4:16.0,J. Okogie makes free throw 2 of 3,,57,53
184,2,4:16.0,,L. James enters the game for D. Howard,57,53
185,2,4:16.0,J. Okogie makes free throw 3 of 3,,58,53
