,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:32.0,J. Barea makes 2-pt layup from 2 ft (assist by T. Hardaway),,2,0
1,1,11:18.0,,J. Harden misses 3-pt jump shot from 27 ft,2,0
2,1,11:15.0,Defensive rebound by K. Porziņģis,,2,0
3,1,10:55.0,J. Barea misses 2-pt jump shot from 13 ft,,2,0
4,1,10:54.0,,Defensive rebound by E. Gordon,2,0
5,1,10:48.0,,J. Harden misses 2-pt jump shot from 10 ft,2,0
6,1,10:46.0,,Offensive rebound by J. Harden,2,0
7,1,10:42.0,,R. Westbrook misses 2-pt jump shot from 13 ft,2,0
8,1,10:40.0,Defensive rebound by T. Hardaway,,2,0
9,1,10:26.0,K. Porziņģis makes 2-pt jump shot from 10 ft (assist by T. Hardaway),,4,0
10,1,10:15.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by J. Harden),4,3
11,1,10:02.0,T. Hardaway misses 3-pt jump shot from 27 ft,,4,3
12,1,10:00.0,,Defensive rebound by J. Harden,4,3
13,1,9:55.0,,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),4,5
14,1,9:40.0,Shooting foul by P. Tucker (drawn by K. Porziņģis),,4,5
15,1,9:40.0,K. Porziņģis makes free throw 1 of 2,,5,5
16,1,9:40.0,K. Porziņģis makes free throw 2 of 2,,6,5
17,1,9:33.0,,J. Harden misses 2-pt jump shot from 4 ft (block by R. Broekhoff),6,5
18,1,9:32.0,,Offensive rebound by Team,6,5
19,1,9:28.0,,J. Harden makes 3-pt jump shot from 23 ft,6,8
20,1,9:14.0,R. Broekhoff misses 3-pt jump shot from 27 ft,,6,8
21,1,9:11.0,,Defensive rebound by J. Harden,6,8
22,1,9:02.0,,E. Gordon misses 3-pt jump shot from 26 ft,6,8
23,1,8:59.0,Defensive rebound by K. Porziņģis,,6,8
24,1,8:53.0,T. Hardaway misses 3-pt jump shot from 23 ft,,6,8
25,1,8:50.0,,Defensive rebound by J. Harden,6,8
26,1,8:46.0,,R. Westbrook misses 2-pt jump shot from 15 ft,6,8
27,1,8:43.0,Defensive rebound by T. Hardaway,,6,8
28,1,8:31.0,J. Barea makes 2-pt layup from 1 ft,,8,8
29,1,8:25.0,,Shooting foul by R. Broekhoff (drawn by J. Harden),8,8
30,1,8:25.0,,J. Harden makes free throw 1 of 2,8,9
31,1,8:25.0,,J. Harden makes free throw 2 of 2,8,10
32,1,8:08.0,Turnover by T. Hardaway (lost ball; steal by P. Tucker),,8,10
33,1,7:59.0,,D. House makes 3-pt jump shot from 26 ft (assist by J. Harden),8,13
34,1,7:40.0,Shooting foul by R. Westbrook (drawn by J. Barea),,8,13
35,1,7:40.0,J. Barea makes free throw 1 of 2,,9,13
36,1,7:40.0,J. Barea makes free throw 2 of 2,,10,13
37,1,7:22.0,,D. House misses 2-pt layup from 2 ft,10,13
38,1,7:20.0,Defensive rebound by K. Porziņģis,,10,13
39,1,7:15.0,K. Porziņģis misses 3-pt jump shot from 29 ft,,10,13
40,1,7:13.0,,Defensive rebound by Team,10,13
41,1,6:52.0,,D. House misses 2-pt layup from 1 ft,10,13
42,1,6:50.0,Defensive rebound by R. Broekhoff,,10,13
43,1,6:45.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,10,13
44,1,6:42.0,,Defensive rebound by J. Harden,10,13
45,1,6:35.0,,J. Harden misses 2-pt layup from 1 ft (block by D. Finney-Smith),10,13
46,1,6:33.0,Defensive rebound by T. Hardaway,,10,13
47,1,6:28.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by J. Barea),,13,13
48,1,6:18.0,,R. Westbrook makes 2-pt layup from 2 ft,13,15
49,1,6:07.0,J. Barea misses 3-pt jump shot from 29 ft,,13,15
50,1,6:06.0,,Defensive rebound by R. Westbrook,13,15
51,1,6:02.0,,R. Westbrook makes 2-pt jump shot from 6 ft,13,17
52,1,6:02.0,,Shooting foul by D. Finney-Smith (drawn by R. Westbrook),13,17
53,1,6:02.0,,Houston full timeout,13,17
