,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
0,1,11:36.0,B. Forbes makes 2-pt jump shot from 6 ft,,2,0
1,1,11:23.0,,H. Giles makes 2-pt dunk at rim (assist by D. Fox),2,2
2,1,11:07.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. Murray),,4,2
3,1,10:54.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,4,2
4,1,10:47.0,Defensive rebound by L. Aldridge,,4,2
5,1,10:35.0,T. Lyles misses 3-pt jump shot from 23 ft,,4,2
6,1,10:33.0,,Defensive rebound by H. Giles,4,2
7,1,10:24.0,,H. Giles misses 2-pt jump shot from 12 ft,4,2
8,1,10:21.0,Defensive rebound by T. Lyles,,4,2
9,1,10:10.0,L. Aldridge misses 2-pt jump shot from 18 ft,,4,2
10,1,10:08.0,,Defensive rebound by H. Giles,4,2
11,1,10:03.0,,Shooting foul by T. Lyles (drawn by D. Fox),4,2
12,1,10:03.0,,D. Fox misses free throw 1 of 2,4,2
13,1,10:03.0,,Offensive rebound by Team,4,2
14,1,10:03.0,,D. Fox makes free throw 2 of 2,4,3
15,1,9:49.0,T. Lyles misses 2-pt jump shot from 15 ft,,4,3
16,1,9:44.0,,Defensive rebound by H. Giles,4,3
17,1,9:33.0,,H. Barnes makes 2-pt jump shot from 9 ft,4,5
18,1,9:18.0,Personal foul by D. Fox (drawn by T. Lyles),,4,5
19,1,9:07.0,T. Lyles misses 2-pt jump shot from 21 ft,,4,5
20,1,9:03.0,,Defensive rebound by H. Barnes,4,5
21,1,8:49.0,,Personal foul by D. DeRozan (drawn by H. Giles),4,5
22,1,8:37.0,,N. Bjelica misses 2-pt layup from 6 ft,4,5
23,1,8:34.0,Defensive rebound by L. Aldridge,,4,5
24,1,8:16.0,D. DeRozan makes 2-pt layup from 1 ft,,6,5
25,1,8:16.0,Shooting foul by N. Bjelica (drawn by D. DeRozan),,6,5
26,1,8:16.0,D. DeRozan makes free throw 1 of 1,,7,5
27,1,8:01.0,,D. Fox misses 3-pt jump shot from 23 ft,7,5
28,1,7:59.0,Defensive rebound by L. Aldridge,,7,5
29,1,7:54.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Murray),,10,5
30,1,7:39.0,,Turnover by H. Giles (lost ball; steal by D. Murray),10,5
31,1,7:28.0,Turnover by D. DeRozan (bad pass; steal by N. Bjelica),,10,5
32,1,7:19.0,,B. Bogdanović misses 2-pt layup from 2 ft,10,5
33,1,7:16.0,,Offensive rebound by B. Bogdanović,10,5
34,1,7:16.0,,B. Bogdanović misses 2-pt layup from 3 ft,10,5
35,1,7:13.0,Defensive rebound by T. Lyles,,10,5
36,1,7:05.0,D. DeRozan misses 2-pt jump shot from 9 ft,,10,5
37,1,7:02.0,,Defensive rebound by H. Giles,10,5
38,1,6:57.0,,Sacramento full timeout,10,5
39,1,6:57.0,,B. Hield enters the game for N. Bjelica,10,5
40,1,6:48.0,,H. Barnes misses 2-pt jump shot from 11 ft,10,5
41,1,6:44.0,Defensive rebound by D. Murray,,10,5
42,1,6:39.0,L. Aldridge misses 3-pt jump shot from 25 ft,,10,5
43,1,6:34.0,Offensive rebound by D. Murray,,10,5
44,1,6:32.0,D. Murray misses 2-pt layup at rim,,10,5
45,1,6:31.0,,Defensive rebound by H. Barnes,10,5
46,1,6:28.0,,D. Fox misses 2-pt layup from 3 ft,10,5
