,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:35.0,,Turnover by T. Prince (bad pass; steal by D. Howard),0,0
1,1,11:15.0,A. Bradley misses 2-pt jump shot from 15 ft,,0,0
2,1,11:09.0,,Defensive rebound by J. Allen,0,0
3,1,11:08.0,,Shooting foul by A. Davis (drawn by T. Prince),0,0
4,1,11:08.0,,T. Prince misses free throw 1 of 2,0,0
5,1,11:08.0,,Offensive rebound by Team,0,0
6,1,11:08.0,,T. Prince makes free throw 2 of 2,0,1
7,1,10:56.0,D. Howard misses 2-pt layup from 1 ft (block by J. Allen),,0,1
8,1,10:51.0,Offensive rebound by D. Howard,,0,1
9,1,10:50.0,D. Howard misses 2-pt hook shot from 7 ft,,0,1
10,1,10:48.0,,Defensive rebound by J. Allen,0,1
11,1,10:45.0,,Shooting foul by D. Howard (drawn by K. Irving),0,1
12,1,10:45.0,,K. Irving misses free throw 1 of 2,0,1
13,1,10:45.0,,Offensive rebound by Team,0,1
14,1,10:45.0,,K. Irving makes free throw 2 of 2,0,2
15,1,10:38.0,Turnover by L. James (bad pass; steal by T. Prince),,0,2
16,1,10:33.0,,T. Prince makes 2-pt dunk from 1 ft,0,4
17,1,10:25.0,D. Green makes 2-pt layup from 1 ft,,2,4
18,1,10:11.0,,Turnover by T. Prince (bad pass),2,4
19,1,10:03.0,A. Davis misses 3-pt jump shot from 24 ft,,2,4
20,1,10:01.0,Offensive rebound by D. Howard,,2,4
21,1,10:01.0,D. Howard makes 2-pt layup from 1 ft,,4,4
22,1,10:01.0,Shooting foul by J. Allen (drawn by D. Howard),,4,4
23,1,10:01.0,D. Howard misses free throw 1 of 1,,4,4
24,1,9:58.0,,Defensive rebound by T. Prince,4,4
25,1,9:47.0,,K. Irving misses 2-pt jump shot from 20 ft,4,4
26,1,9:42.0,Defensive rebound by A. Bradley,,4,4
27,1,9:35.0,Turnover by L. James (bad pass; steal by S. Dinwiddie),,4,4
28,1,9:31.0,,K. Irving makes 2-pt layup at rim,4,6
29,1,9:21.0,D. Howard misses 2-pt layup from 2 ft,,4,6
30,1,9:18.0,,Defensive rebound by J. Harris,4,6
31,1,9:14.0,,T. Prince misses 3-pt jump shot from 23 ft,4,6
32,1,9:11.0,Defensive rebound by L. James,,4,6
33,1,9:06.0,D. Green misses 3-pt jump shot from 25 ft,,4,6
34,1,9:06.0,,Defensive rebound by S. Dinwiddie,4,6
35,1,9:00.0,,T. Prince makes 2-pt layup from 1 ft (assist by S. Dinwiddie),4,8
36,1,9:00.0,LA Lakers full timeout,,4,8
37,1,8:46.0,A. Davis makes 2-pt layup from 2 ft,,6,8
38,1,8:25.0,,J. Allen misses 2-pt layup from 2 ft (block by L. James),6,8
39,1,8:21.0,Defensive rebound by L. James,,6,8
40,1,8:20.0,L. James makes 2-pt layup from 2 ft,,8,8
41,1,8:10.0,,Personal foul by D. Green (drawn by K. Irving),8,8
42,1,8:05.0,,K. Irving misses 3-pt jump shot from 26 ft,8,8
43,1,8:05.0,,Offensive rebound by T. Prince,8,8
44,1,7:53.0,,T. Prince misses 2-pt jump shot from 13 ft,8,8
45,1,7:49.0,Defensive rebound by D. Howard,,8,8
46,1,7:43.0,L. James makes 3-pt jump shot from 25 ft,,11,8
47,1,7:27.0,,Turnover by S. Dinwiddie (bad pass; steal by D. Howard),11,8
48,1,7:15.0,L. James makes 2-pt jump shot from 11 ft,,13,8
49,1,7:14.0,,Brooklyn full timeout,13,8
50,1,6:55.0,,J. Harris misses 3-pt jump shot from 25 ft,13,8
51,1,6:51.0,Defensive rebound by A. Davis,,13,8
52,1,6:48.0,Turnover by A. Davis (bad pass; steal by J. Harris),,13,8
53,1,6:44.0,,T. Prince makes 2-pt dunk from 1 ft (assist by J. Harris),13,10
54,1,6:23.0,Shooting foul by T. Prince (drawn by A. Davis),,13,10
55,1,6:23.0,A. Davis makes free throw 1 of 2,,14,10
56,1,6:23.0,,C. LeVert enters the game for S. Dinwiddie,14,10
57,1,6:23.0,A. Davis makes free throw 2 of 2,,15,10
58,1,6:06.0,,J. Allen makes 2-pt dunk from 1 ft (assist by K. Irving),15,12
59,1,5:59.0,L. James misses 3-pt jump shot from 24 ft,,15,12
60,1,5:56.0,Offensive rebound by D. Howard,,15,12
61,1,5:54.0,A. Bradley misses 3-pt jump shot from 23 ft,,15,12
62,1,5:49.0,Offensive rebound by A. Davis,,15,12
63,1,5:49.0,A. Davis makes 2-pt dunk at rim,,17,12
64,1,5:32.0,,T. Prince misses 3-pt jump shot from 25 ft,17,12
65,1,5:29.0,Defensive rebound by D. Green,,17,12
66,1,5:24.0,D. Howard makes 2-pt dunk from 1 ft (assist by L. James),,19,12
67,1,5:17.0,,C. LeVert makes 3-pt jump shot from 25 ft (assist by K. Irving),19,15
68,1,5:02.0,Shooting foul by C. LeVert (drawn by A. Davis),,19,15
69,1,5:02.0,A. Davis makes free throw 1 of 2,,20,15
70,1,5:02.0,K. Caldwell-Pope enters the game for D. Green,,20,15
71,1,5:02.0,K. Kuzma enters the game for D. Howard,,20,15
72,1,5:02.0,,W. Chandler enters the game for T. Prince,20,15
73,1,5:02.0,A. Davis makes free throw 2 of 2,,21,15
74,1,4:50.0,Violation by Team (kicked ball),,21,15
75,1,4:43.0,,K. Irving makes 2-pt jump shot from 13 ft (assist by C. LeVert),21,17
76,1,4:22.0,A. Davis misses 2-pt jump shot from 15 ft,,21,17
77,1,4:17.0,,Defensive rebound by C. LeVert,21,17
78,1,4:11.0,,Shooting foul by A. Davis (drawn by C. LeVert),21,17
79,1,4:11.0,,C. LeVert makes free throw 1 of 2,21,18
80,1,4:11.0,J. Dudley enters the game for A. Davis,,21,18
81,1,4:11.0,,G. Temple enters the game for J. Harris,21,18
82,1,4:11.0,,C. LeVert makes free throw 2 of 2,21,19
83,1,3:57.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,24,19
84,1,3:46.0,,G. Temple misses 3-pt jump shot from 24 ft,24,19
85,1,3:44.0,,Offensive rebound by J. Allen,24,19
86,1,3:35.0,,C. LeVert misses 2-pt layup from 1 ft,24,19
87,1,3:31.0,,Offensive rebound by G. Temple,24,19
88,1,3:30.0,,G. Temple makes 2-pt layup from 1 ft,24,21
89,1,3:21.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. James),,27,21
90,1,3:09.0,,Shooting foul by K. Kuzma (drawn by J. Allen),27,21
91,1,3:09.0,,J. Allen makes free throw 1 of 2,27,22
92,1,3:09.0,A. Caruso enters the game for A. Bradley,,27,22
93,1,3:09.0,,J. Allen misses free throw 2 of 2,27,22
94,1,3:03.0,Defensive rebound by L. James,,27,22
95,1,2:57.0,J. Dudley makes 3-pt jump shot from 25 ft (assist by A. Caruso),,30,22
