,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:45.0,Turnover by K. Walker (out of bounds lost ball),,0,0
1,1,11:29.0,,T. Thompson makes 2-pt jump shot from 5 ft,0,2
2,1,11:16.0,G. Hayward makes 2-pt jump shot from 8 ft (assist by D. Theis),,2,2
3,1,10:54.0,,T. Thompson misses 2-pt hook shot from 6 ft,2,2
4,1,10:52.0,Defensive rebound by J. Tatum,,2,2
5,1,10:46.0,J. Tatum makes 2-pt layup from 1 ft,,4,2
6,1,10:46.0,,Violation by Team (def goaltending),4,2
7,1,10:31.0,,C. Osman misses 3-pt jump shot from 27 ft,4,2
8,1,10:27.0,Defensive rebound by J. Tatum,,4,2
9,1,10:21.0,J. Tatum misses 3-pt jump shot from 26 ft,,4,2
10,1,10:17.0,,Defensive rebound by C. Osman,4,2
11,1,10:08.0,,C. Osman misses 2-pt jump shot from 9 ft,4,2
12,1,10:04.0,Defensive rebound by G. Hayward,,4,2
13,1,9:57.0,K. Walker makes 3-pt jump shot from 28 ft,,7,2
14,1,9:40.0,,K. Love misses 3-pt jump shot from 24 ft,7,2
15,1,9:39.0,Defensive rebound by J. Tatum,,7,2
16,1,9:29.0,K. Walker misses 2-pt layup at rim,,7,2
17,1,9:27.0,,Defensive rebound by C. Osman,7,2
18,1,9:18.0,,Turnover by C. Sexton (traveling),7,2
19,1,9:10.0,J. Tatum misses 3-pt jump shot from 27 ft,,7,2
20,1,9:07.0,,Defensive rebound by K. Love,7,2
21,1,9:02.0,,C. Sexton misses 2-pt layup from 2 ft (block by D. Theis),7,2
22,1,8:59.0,Defensive rebound by J. Tatum,,7,2
23,1,8:55.0,J. Tatum makes 2-pt layup from 1 ft (assist by G. Hayward),,9,2
24,1,8:40.0,,Personal foul by M. Smart (drawn by K. Love),9,2
25,1,8:28.0,,C. Osman misses 3-pt jump shot from 24 ft,9,2
26,1,8:24.0,Defensive rebound by D. Theis,,9,2
27,1,8:17.0,D. Theis misses 3-pt jump shot from 27 ft,,9,2
28,1,8:13.0,,Defensive rebound by T. Thompson,9,2
29,1,8:08.0,,D. Garland misses 3-pt jump shot from 27 ft,9,2
30,1,8:06.0,Defensive rebound by D. Theis,,9,2
31,1,7:46.0,Turnover by J. Tatum (bad pass),,9,2
32,1,7:29.0,,C. Sexton misses 2-pt jump shot from 11 ft,9,2
33,1,7:27.0,Defensive rebound by D. Theis,,9,2
34,1,7:24.0,M. Smart misses 3-pt jump shot from 27 ft,,9,2
35,1,7:20.0,,Defensive rebound by T. Thompson,9,2
36,1,7:12.0,,Shooting foul by D. Theis (drawn by C. Osman),9,2
37,1,7:12.0,,C. Osman misses free throw 1 of 2,9,2
38,1,7:12.0,,Offensive rebound by Team,9,2
39,1,7:12.0,,C. Osman makes free throw 2 of 2,9,3
40,1,6:51.0,K. Walker makes 2-pt jump shot from 8 ft,,11,3
41,1,6:33.0,,C. Sexton makes 2-pt jump shot from 14 ft,11,5
42,1,6:17.0,G. Hayward makes 2-pt jump shot from 11 ft,,13,5
43,1,6:00.0,,C. Osman misses 2-pt jump shot from 13 ft,13,5
44,1,5:55.0,,Offensive rebound by T. Thompson,13,5
45,1,5:55.0,,T. Thompson misses 2-pt layup at rim,13,5
46,1,5:54.0,,Offensive rebound by T. Thompson,13,5
47,1,5:52.0,,T. Thompson makes 2-pt jump shot from 8 ft,13,7
48,1,5:37.0,D. Theis makes 2-pt dunk at rim (assist by M. Smart),,15,7
49,1,5:30.0,,Cleveland full timeout,15,7
50,1,5:30.0,J. Green enters the game for M. Smart,,15,7
51,1,5:30.0,G. Williams enters the game for J. Tatum,,15,7
52,1,5:30.0,R. Williams enters the game for D. Theis,,15,7
53,1,5:30.0,,J. Clarkson enters the game for D. Garland,15,7
54,1,5:30.0,,L. Nance enters the game for K. Love,15,7
55,1,5:09.0,,L. Nance makes 3-pt jump shot from 24 ft (assist by C. Sexton),15,10
56,1,4:56.0,Shooting foul by C. Osman (drawn by G. Hayward),,15,10
57,1,4:56.0,G. Hayward makes free throw 1 of 2,,16,10
58,1,4:56.0,G. Hayward makes free throw 2 of 2,,17,10
59,1,4:43.0,,J. Clarkson misses 3-pt jump shot from 27 ft,17,10
60,1,4:40.0,Defensive rebound by J. Green,,17,10
61,1,4:26.0,G. Hayward makes 2-pt jump shot from 9 ft (assist by K. Walker),,19,10
62,1,4:15.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by T. Thompson),19,13
63,1,3:48.0,G. Williams misses 3-pt jump shot from 25 ft,,19,13
64,1,3:47.0,,Defensive rebound by T. Thompson,19,13
65,1,3:40.0,,Shooting foul by G. Hayward (drawn by T. Thompson),19,13
66,1,3:40.0,,T. Thompson misses free throw 1 of 2,19,13
67,1,3:40.0,,Offensive rebound by Team,19,13
68,1,3:40.0,,M. Dellavedova enters the game for C. Sexton,19,13
69,1,3:40.0,,T. Thompson makes free throw 2 of 2,19,14
70,1,3:28.0,G. Hayward makes 2-pt layup at rim,,21,14
71,1,3:11.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,21,14
72,1,3:09.0,,Offensive rebound by T. Thompson,21,14
73,1,3:09.0,,Shooting foul by G. Williams (drawn by T. Thompson),21,14
74,1,3:09.0,,T. Thompson makes free throw 1 of 2,21,15
75,1,3:09.0,,A. McKinnie enters the game for C. Osman,21,15
76,1,3:09.0,,T. Thompson makes free throw 2 of 2,21,16
77,1,2:56.0,Personal foul by A. McKinnie (drawn by G. Hayward),,21,16
78,1,2:56.0,Boston full timeout,,21,16
79,1,2:56.0,,K. Love enters the game for T. Thompson,21,16
80,1,2:49.0,K. Walker makes 3-pt jump shot from 26 ft (assist by G. Hayward),,24,16
81,1,2:26.0,,K. Love makes 3-pt jump shot from 28 ft,24,19
82,1,2:09.0,G. Hayward makes 2-pt jump shot from 9 ft (assist by R. Williams),,26,19
83,1,1:59.0,,L. Nance makes 2-pt layup from 2 ft (assist by M. Dellavedova),26,21
84,1,1:43.0,G. Hayward makes 2-pt layup at rim (assist by R. Williams),,28,21
85,1,1:24.0,,Turnover by M. Dellavedova (bad pass; steal by R. Williams),28,21
86,1,1:17.0,G. Williams misses 2-pt jump shot from 10 ft,,28,21
87,1,1:12.0,Offensive rebound by R. Williams,,28,21
88,1,1:12.0,R. Williams misses 2-pt layup from 1 ft,,28,21
89,1,1:11.0,,Defensive rebound by A. McKinnie,28,21
90,1,1:08.0,,M. Dellavedova misses 3-pt jump shot from 29 ft,28,21
91,1,1:04.0,Defensive rebound by G. Hayward,,28,21
92,1,0:52.0,K. Walker makes 2-pt layup from 2 ft,,30,21
93,1,0:40.0,,A. McKinnie makes 3-pt jump shot from 24 ft (assist by L. Nance),30,24
94,1,0:34.0,,Violation by Team (kicked ball),30,24
95,1,0:34.0,M. Smart enters the game for J. Green,,30,24
96,1,0:34.0,J. Tatum enters the game for K. Walker,,30,24
97,1,0:34.0,B. Wanamaker enters the game for G. Williams,,30,24
98,1,0:31.0,G. Hayward makes 2-pt dunk at rim (assist by J. Tatum),,32,24
99,1,0:14.0,,J. Clarkson misses 2-pt jump shot from 9 ft,32,24
100,1,0:08.0,,Offensive rebound by L. Nance,32,24
101,1,0:08.0,,L. Nance misses 2-pt layup at rim (block by J. Tatum),32,24
