,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:38.0,Turnover by J. Embiid (out of bounds lost ball),,0,0
1,1,11:26.0,,D. Garland makes 2-pt jump shot from 16 ft,0,2
2,1,11:01.0,A. Horford misses 2-pt jump shot from 21 ft,,0,2
3,1,10:57.0,,Defensive rebound by K. Love,0,2
4,1,10:47.0,,C. Sexton makes 2-pt jump shot from 9 ft (assist by K. Love),0,4
5,1,10:33.0,Shooting foul by C. Osman (drawn by T. Harris),,0,4
6,1,10:33.0,T. Harris makes free throw 1 of 2,,1,4
7,1,10:33.0,T. Harris makes free throw 2 of 2,,2,4
8,1,10:20.0,,D. Garland makes 2-pt layup at rim,2,6
9,1,10:01.0,J. Embiid makes 2-pt jump shot from 14 ft,,4,6
10,1,9:54.0,,C. Sexton makes 2-pt layup from 1 ft,4,8
11,1,9:54.0,Philadelphia full timeout,,4,8
12,1,9:44.0,S. Milton misses 2-pt jump shot from 10 ft,,4,8
13,1,9:43.0,,Defensive rebound by T. Thompson,4,8
14,1,9:24.0,,D. Garland makes 2-pt jump shot from 11 ft (assist by T. Thompson),4,10
15,1,9:07.0,T. Harris misses 2-pt layup from 1 ft,,4,10
16,1,9:05.0,,Defensive rebound by K. Love,4,10
17,1,8:59.0,,K. Love misses 3-pt jump shot from 32 ft,4,10
18,1,8:55.0,Defensive rebound by S. Milton,,4,10
19,1,8:47.0,A. Horford makes 2-pt jump shot from 11 ft (assist by S. Milton),,6,10
20,1,8:29.0,,D. Garland misses 3-pt jump shot from 27 ft,6,10
21,1,8:26.0,Defensive rebound by J. Richardson,,6,10
22,1,8:23.0,Personal foul by T. Thompson (drawn by J. Embiid),,6,10
23,1,8:17.0,Turnover by A. Horford (bad pass),,6,10
24,1,8:06.0,,K. Love misses 3-pt jump shot from 25 ft,6,10
25,1,8:02.0,,Offensive rebound by C. Sexton,6,10
26,1,7:59.0,,T. Thompson misses 3-pt jump shot from 27 ft,6,10
27,1,7:57.0,Defensive rebound by J. Richardson,,6,10
28,1,7:49.0,A. Horford makes 2-pt hook shot from 11 ft (assist by J. Richardson),,8,10
29,1,7:27.0,,C. Sexton misses 2-pt jump shot from 17 ft (block by J. Richardson),8,10
30,1,7:23.0,,Offensive rebound by T. Thompson,8,10
31,1,7:21.0,,T. Thompson misses 2-pt jump shot from 10 ft,8,10
32,1,7:19.0,Defensive rebound by S. Milton,,8,10
33,1,7:15.0,A. Horford misses 2-pt layup from 2 ft,,8,10
34,1,7:11.0,,Defensive rebound by T. Thompson,8,10
35,1,6:58.0,,C. Sexton misses 2-pt layup from 1 ft,8,10
36,1,6:52.0,,Offensive rebound by T. Thompson,8,10
37,1,6:52.0,,T. Thompson makes 2-pt dunk from 1 ft,8,12
38,1,6:40.0,A. Horford misses 3-pt jump shot from 26 ft,,8,12
39,1,6:37.0,,Defensive rebound by T. Thompson,8,12
40,1,6:29.0,,Shooting foul by S. Milton (drawn by K. Love),8,12
41,1,6:29.0,,K. Love makes free throw 1 of 2,8,13
42,1,6:29.0,F. Korkmaz enters the game for J. Embiid,,8,13
43,1,6:29.0,M. Thybulle enters the game for J. Richardson,,8,13
44,1,6:29.0,,L. Nance enters the game for C. Sexton,8,13
45,1,6:29.0,,K. Porter enters the game for T. Thompson,8,13
46,1,6:29.0,,K. Love makes free throw 2 of 2,8,14
47,1,6:17.0,T. Harris misses 3-pt jump shot from 26 ft,,8,14
48,1,6:13.0,,Defensive rebound by K. Love,8,14
49,1,6:05.0,,L. Nance misses 2-pt jump shot from 14 ft,8,14
50,1,6:03.0,Defensive rebound by A. Horford,,8,14
51,1,5:58.0,S. Milton makes 2-pt layup from 1 ft,,10,14
52,1,5:41.0,,Turnover by C. Osman (bad pass; steal by A. Horford),10,14
53,1,5:36.0,T. Harris misses 3-pt jump shot from 26 ft,,10,14
54,1,5:34.0,,Defensive rebound by Team,10,14
55,1,5:10.0,,D. Garland misses 2-pt jump shot from 10 ft,10,14
56,1,5:08.0,Defensive rebound by A. Horford,,10,14
57,1,5:04.0,T. Harris misses 3-pt jump shot from 26 ft,,10,14
58,1,5:02.0,Offensive rebound by M. Thybulle,,10,14
59,1,4:59.0,T. Harris makes 2-pt dunk from 2 ft (assist by A. Horford),,12,14
60,1,4:45.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by D. Garland),12,17
61,1,4:26.0,Shooting foul by C. Osman (drawn by F. Korkmaz),,12,17
62,1,4:26.0,F. Korkmaz misses free throw 1 of 2,,12,17
63,1,4:26.0,Offensive rebound by Team,,12,17
64,1,4:26.0,,M. Dellavedova enters the game for C. Osman,12,17
65,1,4:26.0,F. Korkmaz makes free throw 2 of 2,,13,17
66,1,4:11.0,,Turnover by D. Garland (bad pass),13,17
67,1,3:57.0,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by A. Horford),,16,17
68,1,3:35.0,,Turnover by K. Love (lost ball; steal by T. Harris),16,17
69,1,3:29.0,M. Thybulle misses 2-pt layup from 2 ft,,16,17
70,1,3:25.0,,Defensive rebound by K. Porter,16,17
71,1,3:22.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by K. Porter),16,20
72,1,2:54.0,F. Korkmaz misses 3-pt jump shot from 33 ft,,16,20
73,1,2:52.0,,Defensive rebound by L. Nance,16,20
74,1,2:46.0,,Turnover by L. Nance (bad pass; steal by F. Korkmaz),16,20
75,1,2:46.0,Personal take foul by L. Nance (drawn by M. Thybulle),,16,20
76,1,2:46.0,,Cleveland full timeout,16,20
77,1,2:46.0,A. Burks enters the game for T. Harris,,16,20
78,1,2:46.0,J. Embiid enters the game for A. Horford,,16,20
79,1,2:46.0,J. Richardson enters the game for S. Milton,,16,20
80,1,2:46.0,G. Robinson enters the game for M. Thybulle,,16,20
81,1,2:46.0,,C. Sexton enters the game for D. Garland,16,20
82,1,2:46.0,,T. Thompson enters the game for K. Love,16,20
83,1,2:33.0,Shooting foul by T. Thompson (drawn by J. Embiid),,16,20
84,1,2:33.0,J. Embiid misses free throw 1 of 2,,16,20
85,1,2:33.0,Offensive rebound by Team,,16,20
86,1,2:33.0,,A. Žižić enters the game for T. Thompson,16,20
87,1,2:33.0,J. Embiid makes free throw 2 of 2,,17,20
88,1,2:15.0,,C. Sexton misses 2-pt layup at rim (block by J. Embiid),17,20
89,1,2:11.0,Defensive rebound by F. Korkmaz,,17,20
90,1,1:59.0,A. Burks misses 3-pt jump shot from 23 ft,,17,20
91,1,1:56.0,,Defensive rebound by A. Žižić,17,20
92,1,1:37.0,,K. Porter makes 2-pt jump shot from 7 ft,17,22
93,1,1:11.0,G. Robinson misses 3-pt jump shot from 23 ft,,17,22
94,1,1:09.0,,Defensive rebound by L. Nance,17,22
95,1,1:02.0,,A. Žižić makes 2-pt hook shot from 8 ft (assist by K. Porter),17,24
96,1,0:49.0,Personal foul by A. Žižić (drawn by J. Embiid),,17,24
97,1,0:49.0,J. Embiid misses free throw 1 of 2,,17,24
98,1,0:49.0,Offensive rebound by Team,,17,24
99,1,0:49.0,J. Embiid misses free throw 2 of 2,,17,24
100,1,0:47.0,,Defensive rebound by L. Nance,17,24
101,1,0:40.0,,Personal foul by F. Korkmaz (drawn by M. Dellavedova),17,24
102,1,0:40.0,A. Horford enters the game for J. Embiid,,17,24
103,1,0:31.0,,A. Žižić makes 2-pt jump shot from 11 ft (assist by K. Porter),17,26
104,1,0:07.0,J. Richardson misses 3-pt jump shot from 26 ft,,17,26
105,1,0:05.0,,Defensive rebound by M. Dellavedova,17,26
106,1,0:03.0,,L. Nance makes 2-pt dunk from 2 ft (assist by M. Dellavedova),17,28
107,1,0:00.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,17,28
108,1,0:00.0,Offensive rebound by Team,,17,28
109,2,11:40.0,,Offensive foul by A. Žižić (drawn by G. Robinson),17,28
110,2,11:40.0,,Turnover by A. Žižić (offensive foul),17,28
111,2,11:29.0,T. Harris misses 2-pt jump shot from 19 ft,,17,28
112,2,11:26.0,,Defensive rebound by L. Nance,17,28
