,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,D. Green misses 3-pt jump shot from 27 ft,0,0
1,1,11:41.0,Defensive rebound by J. Culver,,0,0
2,1,11:23.0,Turnover by A. Wiggins (bad pass; steal by A. Burks),,0,0
3,1,11:20.0,,D. Russell makes 3-pt jump shot from 30 ft (assist by D. Green),0,3
4,1,11:12.0,Turnover by J. Okogie (bad pass),,0,3
5,1,11:08.0,,Turnover by D. Green (bad pass),0,3
6,1,10:55.0,Shooting foul by W. Cauley-Stein (drawn by J. Okogie),,0,3
7,1,10:55.0,J. Okogie makes free throw 1 of 2,,1,3
8,1,10:55.0,J. Okogie makes free throw 2 of 2,,2,3
9,1,10:47.0,,D. Green misses 2-pt layup from 7 ft (block by R. Covington),2,3
10,1,10:46.0,,Offensive rebound by Team,2,3
11,1,10:38.0,,Turnover by D. Russell (lost ball; steal by G. Dieng),2,3
12,1,10:32.0,A. Wiggins makes 2-pt layup from 4 ft (assist by J. Okogie),,4,3
13,1,10:18.0,,D. Lee misses 2-pt jump shot from 18 ft,4,3
14,1,10:16.0,,Offensive rebound by W. Cauley-Stein,4,3
15,1,10:13.0,,D. Russell makes 3-pt jump shot from 28 ft (assist by W. Cauley-Stein),4,6
16,1,10:01.0,A. Wiggins misses 3-pt jump shot from 26 ft,,4,6
17,1,9:59.0,,Defensive rebound by D. Green,4,6
18,1,9:54.0,,W. Cauley-Stein misses 2-pt hook shot from 10 ft,4,6
19,1,9:52.0,Defensive rebound by R. Covington,,4,6
20,1,9:44.0,R. Covington misses 3-pt jump shot from 27 ft,,4,6
21,1,9:42.0,Offensive rebound by J. Okogie,,4,6
22,1,9:33.0,A. Wiggins makes 2-pt hook shot from 8 ft,,6,6
23,1,9:19.0,,D. Lee makes 2-pt layup from 4 ft (assist by A. Burks),6,8
24,1,8:57.0,Turnover by J. Okogie (traveling),,6,8
25,1,8:48.0,,D. Russell misses 3-pt jump shot from 27 ft,6,8
26,1,8:46.0,Defensive rebound by A. Wiggins,,6,8
27,1,8:35.0,Turnover by J. Okogie (bad pass; steal by D. Green),,6,8
28,1,8:30.0,,A. Burks misses 2-pt layup from 2 ft (block by J. Okogie),6,8
29,1,8:28.0,,Offensive rebound by D. Lee,6,8
30,1,8:19.0,,A. Burks misses 2-pt jump shot from 17 ft (block by A. Wiggins),6,8
31,1,8:17.0,Defensive rebound by R. Covington,,6,8
32,1,8:09.0,G. Dieng misses 3-pt jump shot from 27 ft,,6,8
33,1,8:06.0,Offensive rebound by Team,,6,8
34,1,8:00.0,Shooting foul by D. Lee (drawn by R. Covington),,6,8
35,1,8:00.0,R. Covington makes free throw 1 of 2,,7,8
36,1,8:00.0,R. Covington makes free throw 2 of 2,,8,8
37,1,7:45.0,,Shooting foul by J. Okogie (drawn by D. Russell),8,8
38,1,7:45.0,,D. Russell makes free throw 1 of 2,8,9
39,1,7:45.0,,D. Russell makes free throw 2 of 2,8,10
40,1,7:27.0,J. Okogie misses 3-pt jump shot from 24 ft,,8,10
