,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:45.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by L. Kennard),0,3
1,1,11:28.0,Offensive foul by M. Morris (drawn by T. Snell),,0,3
2,1,11:28.0,Turnover by M. Morris (offensive foul),,0,3
3,1,11:18.0,,T. Snell makes 2-pt layup from 2 ft (assist by A. Drummond),0,5
4,1,11:01.0,Turnover by F. Ntilikina (lost ball; steal by B. Brown),,0,5
5,1,10:52.0,,M. Morris misses 3-pt jump shot from 23 ft,0,5
6,1,10:48.0,Defensive rebound by J. Randle,,0,5
7,1,10:45.0,R. Barrett makes 3-pt jump shot from 26 ft (assist by J. Randle),,3,5
8,1,10:20.0,,M. Morris makes 2-pt jump shot from 12 ft,3,7
9,1,10:01.0,M. Robinson makes 2-pt dunk from 2 ft (assist by M. Morris),,5,7
10,1,9:41.0,,A. Drummond misses 2-pt layup from 3 ft,5,7
11,1,9:39.0,Defensive rebound by M. Robinson,,5,7
12,1,9:35.0,J. Randle misses 2-pt layup from 2 ft,,5,7
13,1,9:30.0,,Defensive rebound by M. Morris,5,7
14,1,9:19.0,,Loose ball foul by M. Morris (drawn by M. Robinson),5,7
15,1,9:19.0,,Turnover by M. Morris (turnover),5,7
16,1,9:07.0,M. Morris misses 3-pt jump shot from 27 ft,,5,7
17,1,9:04.0,,Defensive rebound by L. Kennard,5,7
18,1,9:01.0,,T. Snell makes 2-pt dunk from 3 ft (assist by L. Kennard),5,9
19,1,8:46.0,M. Robinson makes 2-pt dunk from 1 ft (assist by R. Barrett),,7,9
20,1,8:20.0,,M. Morris misses 2-pt jump shot from 22 ft,7,9
21,1,8:17.0,Defensive rebound by M. Morris,,7,9
22,1,7:57.0,J. Randle makes 2-pt jump shot from 8 ft,,9,9
23,1,7:45.0,,B. Brown misses 2-pt layup from 5 ft (block by F. Ntilikina),9,9
24,1,7:42.0,Defensive rebound by M. Morris,,9,9
25,1,7:38.0,Shooting foul by T. Snell (drawn by J. Randle),,9,9
26,1,7:38.0,J. Randle makes free throw 1 of 2,,10,9
27,1,7:38.0,J. Randle misses free throw 2 of 2,,10,9
28,1,7:35.0,Offensive rebound by M. Robinson,,10,9
29,1,7:33.0,M. Robinson makes 2-pt layup from 2 ft,,12,9
30,1,7:17.0,,B. Brown misses 2-pt layup from 1 ft (block by F. Ntilikina),12,9
31,1,7:14.0,Defensive rebound by M. Morris,,12,9
32,1,7:10.0,F. Ntilikina misses 2-pt layup from 3 ft,,12,9
33,1,7:06.0,Offensive rebound by M. Robinson,,12,9
34,1,7:06.0,M. Robinson misses 2-pt layup from 1 ft,,12,9
35,1,7:04.0,,Defensive rebound by A. Drummond,12,9
36,1,7:02.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by A. Drummond),12,12
37,1,6:44.0,J. Randle misses 3-pt jump shot from 23 ft,,12,12
38,1,6:42.0,,Defensive rebound by A. Drummond,12,12
39,1,6:37.0,,Turnover by A. Drummond (bad pass; steal by M. Morris),12,12
40,1,6:27.0,Turnover by R. Barrett (bad pass; steal by M. Morris),,12,12
41,1,6:26.0,,Personal foul by M. Robinson (drawn by M. Morris),12,12
42,1,6:26.0,,Detroit full timeout,12,12
43,1,6:16.0,,Personal foul by M. Morris (drawn by T. Snell),12,12
44,1,6:16.0,K. Knox enters the game for M. Morris,,12,12
45,1,6:10.0,,L. Kennard misses 2-pt hook shot from 8 ft,12,12
46,1,6:08.0,Defensive rebound by M. Robinson,,12,12
47,1,5:50.0,R. Barrett misses 2-pt jump shot from 7 ft,,12,12
48,1,5:48.0,,Defensive rebound by T. Snell,12,12
49,1,5:40.0,,A. Drummond makes 2-pt dunk from 4 ft (assist by T. Snell),12,14
50,1,5:26.0,R. Barrett misses 2-pt jump shot from 7 ft,,12,14
51,1,5:24.0,,Defensive rebound by L. Kennard,12,14
52,1,5:09.0,,L. Kennard misses 3-pt jump shot from 23 ft,12,14
53,1,5:07.0,Defensive rebound by R. Barrett,,12,14
54,1,4:58.0,J. Randle makes 2-pt layup from 2 ft (assist by R. Barrett),,14,14
55,1,4:47.0,,M. Morris makes 2-pt layup from 2 ft (assist by L. Kennard),14,16
56,1,4:30.0,F. Ntilikina makes 2-pt jump shot from 21 ft (assist by M. Robinson),,16,16
57,1,4:14.0,,L. Kennard misses 3-pt jump shot from 26 ft,16,16
58,1,4:12.0,,Offensive rebound by A. Drummond,16,16
59,1,4:12.0,W. Ellington enters the game for F. Ntilikina,,16,16
60,1,4:12.0,B. Portis enters the game for M. Robinson,,16,16
61,1,4:12.0,,L. Galloway enters the game for L. Kennard,16,16
62,1,4:12.0,,C. Wood enters the game for M. Morris,16,16
63,1,4:03.0,,Shooting foul by J. Randle (drawn by L. Galloway),16,16
64,1,4:03.0,,L. Galloway makes free throw 1 of 2,16,17
65,1,4:03.0,,L. Galloway makes free throw 2 of 2,16,18
66,1,3:50.0,Turnover by J. Randle (bad pass; steal by C. Wood),,16,18
67,1,3:37.0,,C. Wood makes 2-pt dunk from 4 ft (assist by B. Brown),16,20
68,1,3:33.0,New York full timeout,,16,20
69,1,3:33.0,T. Gibson enters the game for J. Randle,,16,20
70,1,3:33.0,,S. Mykhailiuk enters the game for T. Snell,16,20
71,1,3:23.0,W. Ellington misses 3-pt jump shot from 25 ft,,16,20
72,1,3:22.0,,Defensive rebound by A. Drummond,16,20
73,1,3:04.0,,C. Wood misses 3-pt jump shot from 25 ft,16,20
74,1,3:03.0,,Offensive rebound by B. Brown,16,20
75,1,3:02.0,,C. Wood makes 2-pt dunk from 2 ft (assist by B. Brown),16,22
76,1,2:44.0,K. Knox misses 2-pt jump shot from 12 ft,,16,22
77,1,2:43.0,,Defensive rebound by A. Drummond,16,22
78,1,2:38.0,,B. Brown makes 2-pt layup from 5 ft,16,24
79,1,2:29.0,K. Knox makes 3-pt jump shot from 25 ft (assist by R. Barrett),,19,24
80,1,2:12.0,,Shooting foul by B. Portis (drawn by A. Drummond),19,24
81,1,2:12.0,,A. Drummond makes free throw 1 of 2,19,25
82,1,2:12.0,,A. Drummond makes free throw 2 of 2,19,26
83,1,2:12.0,,L. Kennard enters the game for B. Brown,19,26
84,1,2:03.0,B. Portis misses 2-pt hook shot from 5 ft,,19,26
85,1,2:02.0,,Defensive rebound by A. Drummond,19,26
86,1,1:51.0,,A. Drummond makes 2-pt layup from 3 ft (assist by L. Galloway),19,28
87,1,1:51.0,F. Ntilikina enters the game for R. Barrett,,19,28
88,1,1:31.0,W. Ellington makes 2-pt layup from 3 ft,,21,28
89,1,1:11.0,,Turnover by S. Mykhailiuk (lost ball; steal by F. Ntilikina),21,28
90,1,1:05.0,T. Gibson makes 2-pt layup from 2 ft (assist by B. Portis),,23,28
91,1,0:45.0,,L. Kennard makes 2-pt layup from 4 ft,23,30
92,1,0:38.0,F. Ntilikina makes 2-pt jump shot from 17 ft,,25,30
93,1,0:12.0,,C. Wood makes 3-pt jump shot from 24 ft (assist by L. Kennard),25,33
94,1,0:02.0,Personal take foul by L. Kennard (drawn by F. Ntilikina),,25,33
95,1,0:01.0,B. Portis misses 2-pt jump shot from 20 ft,,25,33
96,1,0:01.0,Offensive rebound by Team,,25,33
97,2,11:48.0,K. Knox makes 2-pt dunk from 2 ft,,27,33
98,2,11:21.0,,L. Kennard misses 3-pt jump shot from 31 ft,27,33
99,2,11:18.0,Defensive rebound by T. Gibson,,27,33
100,2,11:11.0,F. Ntilikina makes 2-pt layup from 3 ft,,29,33
101,2,10:55.0,,Turnover by C. Wood (traveling),29,33
102,2,10:37.0,T. Gibson makes 2-pt dunk from 2 ft (assist by W. Ellington),,31,33
103,2,10:16.0,,T. Maker makes 2-pt jump shot from 16 ft (assist by S. Mykhailiuk),31,35
104,2,10:01.0,T. Gibson misses 2-pt jump shot from 18 ft,,31,35
105,2,9:57.0,,Defensive rebound by L. Galloway,31,35
106,2,9:48.0,,Turnover by S. Mykhailiuk (bad pass; steal by K. Knox),31,35
107,2,9:44.0,Shooting foul by L. Kennard (drawn by F. Ntilikina),,31,35
108,2,9:44.0,F. Ntilikina misses free throw 1 of 2,,31,35
109,2,9:44.0,Offensive rebound by Team,,31,35
110,2,9:44.0,M. Morris enters the game for T. Gibson,,31,35
111,2,9:44.0,,B. Brown enters the game for L. Kennard,31,35
112,2,9:44.0,,T. Snell enters the game for S. Mykhailiuk,31,35
113,2,9:44.0,F. Ntilikina misses free throw 2 of 2,,31,35
114,2,9:41.0,,Defensive rebound by T. Maker,31,35
115,2,9:30.0,,B. Brown misses 2-pt jump shot from 8 ft,31,35
116,2,9:28.0,Defensive rebound by M. Morris,,31,35
117,2,9:14.0,Turnover by K. Knox (lost ball; steal by L. Galloway),,31,35
118,2,9:09.0,,L. Galloway makes 2-pt layup from 2 ft (assist by C. Wood),31,37
119,2,8:50.0,K. Knox makes 3-pt jump shot from 25 ft (assist by W. Ellington),,34,37
120,2,8:25.0,,T. Maker makes 3-pt jump shot from 23 ft (assist by L. Galloway),34,40
121,2,8:12.0,M. Morris misses 2-pt jump shot from 16 ft,,34,40
122,2,8:10.0,,Defensive rebound by L. Galloway,34,40
123,2,8:06.0,,B. Brown misses 2-pt layup from 3 ft (block by F. Ntilikina),34,40
124,2,8:06.0,,Offensive rebound by Team,34,40
125,2,8:06.0,R. Barrett enters the game for W. Ellington,,34,40
126,2,8:06.0,J. Randle enters the game for B. Portis,,34,40
127,2,7:59.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by T. Maker),34,43
128,2,7:50.0,R. Barrett makes 2-pt layup from 3 ft,,36,43
129,2,7:50.0,Shooting foul by T. Maker (drawn by R. Barrett),,36,43
130,2,7:50.0,,M. Morris enters the game for C. Wood,36,43
131,2,7:50.0,R. Barrett makes free throw 1 of 1,,37,43
132,2,7:34.0,,M. Morris makes 2-pt jump shot from 9 ft,37,45
133,2,7:24.0,J. Randle makes 2-pt layup from 5 ft (assist by R. Barrett),,39,45
134,2,6:59.0,,Shooting foul by J. Randle (drawn by M. Morris),39,45
135,2,6:59.0,,Detroit full timeout,39,45
136,2,6:59.0,,M. Morris makes free throw 1 of 2,39,46
137,2,6:59.0,,M. Morris makes free throw 2 of 2,39,47
138,2,6:50.0,K. Knox misses 3-pt jump shot from 26 ft,,39,47
139,2,6:47.0,,Defensive rebound by Team,39,47
140,2,6:28.0,,Turnover by B. Brown (bad pass; steal by R. Barrett),39,47
141,2,6:19.0,J. Randle makes 2-pt jump shot from 7 ft,,41,47
142,2,6:03.0,,L. Galloway misses 2-pt jump shot from 11 ft,41,47
143,2,6:01.0,Defensive rebound by R. Barrett,,41,47
144,2,5:45.0,J. Randle makes 3-pt jump shot from 26 ft,,44,47
145,2,5:21.0,,Shooting foul by F. Ntilikina (drawn by M. Morris),44,47
146,2,5:21.0,,M. Morris misses free throw 1 of 2,44,47
147,2,5:21.0,,Offensive rebound by Team,44,47
148,2,5:21.0,B. Portis enters the game for K. Knox,,44,47
149,2,5:21.0,,A. Drummond enters the game for L. Galloway,44,47
150,2,5:21.0,,L. Kennard enters the game for T. Maker,44,47
151,2,5:21.0,,M. Morris makes free throw 2 of 2,44,48
152,2,5:10.0,J. Randle misses 2-pt jump shot from 18 ft,,44,48
153,2,5:05.0,,Defensive rebound by L. Kennard,44,48
154,2,4:59.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Drummond),44,51
