,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:49.0,T. Young makes 3-pt jump shot from 28 ft,,3,0
1,1,11:29.0,,D. Sabonis misses 2-pt jump shot from 7 ft,3,0
2,1,11:27.0,Defensive rebound by J. Parker,,3,0
3,1,11:20.0,J. Parker misses 3-pt jump shot from 28 ft,,3,0
4,1,11:17.0,,Defensive rebound by M. Brogdon,3,0
5,1,11:08.0,,M. Brogdon makes 2-pt jump shot from 12 ft,3,2
6,1,10:43.0,D. Jones makes 2-pt layup from 2 ft (assist by D. Hunter),,5,2
7,1,10:24.0,,D. Sabonis makes 2-pt layup from 1 ft,5,4
8,1,10:14.0,Turnover by C. Reddish (traveling),,5,4
9,1,10:01.0,,Shooting foul by J. Parker (drawn by M. Turner),5,4
10,1,10:01.0,,M. Turner misses free throw 1 of 2,5,4
11,1,10:01.0,,Offensive rebound by Team,5,4
12,1,10:01.0,,M. Turner makes free throw 2 of 2,5,5
13,1,9:53.0,D. Jones misses 2-pt dunk from 2 ft,,5,5
14,1,9:51.0,,Defensive rebound by J. Lamb,5,5
15,1,9:40.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by M. Brogdon),5,7
16,1,9:24.0,C. Reddish misses 2-pt jump shot from 17 ft,,5,7
17,1,9:22.0,,Defensive rebound by M. Brogdon,5,7
18,1,9:15.0,,Turnover by M. Brogdon (bad pass),5,7
19,1,9:02.0,T. Young makes 2-pt jump shot from 12 ft,,7,7
20,1,8:49.0,,M. Brogdon misses 2-pt layup from 2 ft,7,7
21,1,8:46.0,Defensive rebound by J. Parker,,7,7
22,1,8:43.0,J. Parker misses 2-pt layup from 2 ft,,7,7
23,1,8:41.0,,Defensive rebound by M. Brogdon,7,7
24,1,8:27.0,,M. Turner misses 3-pt jump shot from 26 ft,7,7
25,1,8:24.0,,Offensive rebound by Team,7,7
26,1,8:21.0,,T. Warren makes 2-pt layup from 1 ft (assist by J. Lamb),7,9
27,1,8:02.0,C. Reddish makes 2-pt layup from 1 ft,,9,9
28,1,7:53.0,,M. Brogdon makes 2-pt jump shot from 16 ft,9,11
29,1,7:34.0,Personal foul by T. Warren (drawn by D. Hunter),,9,11
30,1,7:34.0,D. Bembry enters the game for C. Reddish,,9,11
31,1,7:24.0,Turnover by T. Young (lost ball; steal by M. Brogdon),,9,11
32,1,7:21.0,,M. Brogdon makes 2-pt layup from 2 ft,9,13
33,1,7:08.0,Personal foul by M. Brogdon (drawn by T. Young),,9,13
34,1,7:08.0,B. Fernando enters the game for D. Jones,,9,13
35,1,7:02.0,D. Hunter makes 2-pt layup from 3 ft (assist by J. Parker),,11,13
36,1,6:42.0,,J. Lamb makes 2-pt jump shot from 13 ft,11,15
37,1,6:30.0,B. Fernando makes 2-pt dunk from 3 ft (assist by T. Young),,13,15
38,1,6:16.0,,M. Brogdon makes 2-pt layup from 2 ft,13,17
39,1,6:10.0,Turnover by B. Fernando (out of bounds lost ball),,13,17
40,1,6:10.0,,Indiana full timeout,13,17
41,1,6:10.0,A. Len enters the game for J. Parker,,13,17
42,1,5:57.0,,T. Warren misses 2-pt jump shot from 17 ft,13,17
43,1,5:54.0,Defensive rebound by D. Hunter,,13,17
44,1,5:43.0,A. Len makes 2-pt hook shot from 5 ft,,15,17
45,1,5:24.0,,Shooting foul by D. Bembry (drawn by J. Lamb),15,17
46,1,5:24.0,,J. Lamb makes free throw 1 of 2,15,18
47,1,5:24.0,E. Turner enters the game for T. Young,,15,18
48,1,5:24.0,,J. Lamb makes free throw 2 of 2,15,19
49,1,5:07.0,A. Len misses 2-pt layup from 2 ft,,15,19
50,1,5:05.0,,Defensive rebound by M. Brogdon,15,19
51,1,4:57.0,,Shooting foul by B. Fernando (drawn by D. Sabonis),15,19
52,1,4:57.0,,D. Sabonis misses free throw 1 of 2,15,19
53,1,4:57.0,,Offensive rebound by Team,15,19
54,1,4:57.0,,D. Sabonis makes free throw 2 of 2,15,20
55,1,4:44.0,D. Bembry makes 2-pt layup from 2 ft (assist by B. Fernando),,17,20
56,1,4:26.0,,M. Turner misses 2-pt jump shot from 18 ft,17,20
57,1,4:23.0,Defensive rebound by Team,,17,20
58,1,4:23.0,,J. Holiday enters the game for D. Sabonis,17,20
59,1,4:11.0,Personal foul by T. Warren (drawn by D. Hunter),,17,20
60,1,4:11.0,V. Carter enters the game for B. Fernando,,17,20
61,1,4:11.0,A. Crabbe enters the game for D. Hunter,,17,20
62,1,4:11.0,,A. Holiday enters the game for T. Warren,17,20
63,1,4:02.0,A. Crabbe misses 2-pt jump shot from 13 ft,,17,20
64,1,4:00.0,Offensive rebound by D. Bembry,,17,20
65,1,3:58.0,V. Carter misses 2-pt jump shot from 13 ft,,17,20
66,1,3:55.0,,Defensive rebound by J. Lamb,17,20
67,1,3:45.0,,M. Turner misses 3-pt jump shot from 27 ft,17,20
68,1,3:41.0,Defensive rebound by D. Bembry,,17,20
69,1,3:35.0,D. Bembry makes 2-pt jump shot from 8 ft,,19,20
70,1,3:24.0,,M. Brogdon misses 2-pt layup from 2 ft,19,20
71,1,3:21.0,Defensive rebound by A. Len,,19,20
72,1,3:14.0,V. Carter misses 3-pt jump shot from 25 ft,,19,20
73,1,3:11.0,,Defensive rebound by J. Holiday,19,20
74,1,3:05.0,,J. Lamb makes 2-pt jump shot from 11 ft,19,22
75,1,2:46.0,V. Carter misses 2-pt layup from 4 ft,,19,22
76,1,2:43.0,,Defensive rebound by J. Holiday,19,22
77,1,2:39.0,,A. Holiday misses 2-pt layup from 1 ft,19,22
78,1,2:37.0,Defensive rebound by A. Len,,19,22
79,1,2:26.0,Atlanta full timeout,,19,22
80,1,2:26.0,,G. Bitadze enters the game for M. Brogdon,19,22
81,1,2:26.0,,T. McConnell enters the game for J. Lamb,19,22
82,1,2:26.0,,D. McDermott enters the game for M. Turner,19,22
83,1,2:21.0,E. Turner misses 2-pt layup from 3 ft,,19,22
84,1,2:19.0,,Defensive rebound by J. Holiday,19,22
85,1,1:58.0,,G. Bitadze misses 2-pt jump shot from 21 ft,19,22
86,1,1:56.0,Defensive rebound by D. Bembry,,19,22
87,1,1:50.0,Shooting foul by G. Bitadze (drawn by A. Len),,19,22
