,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
0,1,11:43.0,I. Thomas misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by D. Gafford,0,0
2,1,11:27.0,,D. Gafford makes 2-pt dunk from 1 ft (assist by K. Dunn),0,2
3,1,11:11.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by B. Beal),,3,2
4,1,10:52.0,,T. Satoranský misses 3-pt jump shot from 24 ft,3,2
5,1,10:49.0,Defensive rebound by T. Bryant,,3,2
6,1,10:41.0,Turnover by I. Mahinmi (bad pass; steal by D. Gafford),,3,2
7,1,10:39.0,,Chicago full timeout,3,2
8,1,10:39.0,,L. Kornet enters the game for D. Gafford,3,2
9,1,10:20.0,,T. Satoranský misses 2-pt jump shot from 2 ft,3,2
10,1,10:18.0,Defensive rebound by B. Beal,,3,2
11,1,9:59.0,Shooting foul by T. Satoranský (drawn by B. Beal),,3,2
12,1,9:59.0,B. Beal makes free throw 1 of 2,,4,2
13,1,9:59.0,B. Beal makes free throw 2 of 2,,5,2
14,1,9:45.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by L. Kornet),5,4
15,1,9:34.0,Shooting foul by L. Kornet (drawn by I. Mahinmi),,5,4
16,1,9:34.0,I. Mahinmi misses free throw 1 of 2,,5,4
17,1,9:34.0,Offensive rebound by Team,,5,4
18,1,9:34.0,I. Mahinmi makes free throw 2 of 2,,6,4
19,1,9:11.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by T. Satoranský),6,6
20,1,8:55.0,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),,8,6
21,1,8:44.0,,L. Markkanen misses 3-pt jump shot from 26 ft,8,6
22,1,8:42.0,Defensive rebound by G. Payton,,8,6
23,1,8:37.0,B. Beal makes 3-pt jump shot from 25 ft (assist by G. Payton),,11,6
24,1,8:25.0,,L. Kornet makes 3-pt jump shot from 24 ft (assist by Z. LaVine),11,9
25,1,8:11.0,B. Beal misses 2-pt jump shot from 8 ft,,11,9
26,1,8:06.0,,Defensive rebound by L. Kornet,11,9
27,1,7:56.0,,L. Kornet makes 2-pt hook shot from 3 ft (assist by T. Satoranský),11,11
28,1,7:30.0,I. Thomas makes 2-pt jump shot from 9 ft,,13,11
29,1,7:23.0,,Z. LaVine misses 3-pt jump shot from 23 ft,13,11
30,1,7:19.0,,Offensive rebound by K. Dunn,13,11
31,1,7:18.0,,Z. LaVine makes 2-pt dunk from 2 ft (assist by K. Dunn),13,13
32,1,6:57.0,I. Thomas misses 2-pt jump shot from 8 ft,,13,13
33,1,6:55.0,Offensive rebound by T. Bryant,,13,13
34,1,6:46.0,B. Beal makes 2-pt layup from 1 ft,,15,13
35,1,6:38.0,,T. Satoranský misses 3-pt jump shot from 25 ft,15,13
36,1,6:36.0,Defensive rebound by T. Bryant,,15,13
37,1,6:22.0,B. Beal makes 2-pt jump shot from 12 ft (assist by I. Thomas),,17,13
38,1,6:06.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),17,16
39,1,6:06.0,T. Brown enters the game for G. Payton,,17,16
40,1,6:06.0,,C. White enters the game for T. Satoranský,17,16
41,1,5:40.0,T. Bryant misses 2-pt jump shot from 16 ft,,17,16
42,1,5:40.0,,Defensive rebound by C. White,17,16
43,1,5:40.0,,Turnover by C. White (bad pass),17,16
44,1,5:33.0,Personal foul by Z. LaVine (drawn by I. Mahinmi),,17,16
45,1,5:20.0,I. Thomas misses 2-pt layup from 3 ft (block by K. Dunn),,17,16
46,1,5:17.0,,Defensive rebound by Z. LaVine,17,16
47,1,5:13.0,,C. White misses 3-pt jump shot from 23 ft,17,16
48,1,5:11.0,Defensive rebound by Team,,17,16
49,1,5:11.0,,Loose ball foul by C. White (drawn by T. Brown),17,16
50,1,5:04.0,B. Beal makes 2-pt layup from 1 ft,,19,16
51,1,4:52.0,,Z. LaVine misses 2-pt layup from 2 ft (block by I. Mahinmi),19,16
52,1,4:52.0,Defensive rebound by I. Mahinmi,,19,16
53,1,4:48.0,I. Thomas makes 3-pt jump shot from 26 ft (assist by B. Beal),,22,16
54,1,4:46.0,,Chicago full timeout,22,16
55,1,4:46.0,D. Bertāns enters the game for B. Beal,,22,16
56,1,4:46.0,J. McRae enters the game for T. Bryant,,22,16
57,1,4:46.0,,T. Young enters the game for L. Markkanen,22,16
58,1,4:22.0,,T. Young makes 2-pt layup from 3 ft,22,18
59,1,4:10.0,J. McRae misses 3-pt jump shot from 25 ft,,22,18
60,1,4:06.0,,Defensive rebound by C. White,22,18
61,1,3:58.0,,Z. LaVine makes 2-pt dunk from 1 ft,22,20
62,1,3:42.0,Turnover by D. Bertāns (bad pass),,22,20
63,1,3:42.0,A. Pasečņiks enters the game for I. Mahinmi,,22,20
64,1,3:42.0,I. Smith enters the game for I. Thomas,,22,20
65,1,3:42.0,,R. Arcidiacono enters the game for K. Dunn,22,20
66,1,3:28.0,,Z. LaVine misses 3-pt jump shot from 25 ft,22,20
67,1,3:25.0,,Offensive rebound by T. Young,22,20
68,1,3:19.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,22,20
