,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:44.0,Turnover by R. O'Neale (bad pass; steal by J. Morant),,0,0
1,1,11:38.0,,J. Crowder misses 3-pt jump shot from 26 ft,0,0
2,1,11:34.0,Defensive rebound by M. Conley,,0,0
3,1,11:28.0,R. Gobert makes 2-pt layup from 1 ft (assist by M. Conley),,2,0
4,1,11:11.0,,Turnover by J. Morant (traveling),2,0
5,1,10:52.0,Turnover by D. Mitchell (bad pass),,2,0
6,1,10:31.0,,D. Brooks misses 2-pt layup from 3 ft,2,0
7,1,10:30.0,,Offensive rebound by J. Valančiūnas,2,0
8,1,10:30.0,,J. Valančiūnas makes 2-pt layup at rim,2,2
9,1,10:16.0,M. Conley misses 2-pt jump shot from 5 ft,,2,2
10,1,10:16.0,Offensive rebound by Team,,2,2
11,1,10:16.0,,Loose ball foul by D. Brooks (drawn by R. Gobert),2,2
12,1,10:05.0,Shooting foul by J. Morant (drawn by R. Gobert),,2,2
13,1,10:05.0,R. Gobert misses free throw 1 of 2,,2,2
14,1,10:05.0,Offensive rebound by Team,,2,2
15,1,10:05.0,R. Gobert makes free throw 2 of 2,,3,2
16,1,9:48.0,,J. Jackson misses 2-pt jump shot from 10 ft,3,2
17,1,9:45.0,Defensive rebound by R. Gobert,,3,2
18,1,9:38.0,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Valančiūnas),,3,2
19,1,9:35.0,Offensive rebound by B. Bogdanović,,3,2
20,1,9:25.0,B. Bogdanović makes 3-pt jump shot from 25 ft,,6,2
21,1,9:02.0,,J. Morant makes 3-pt jump shot from 26 ft (assist by J. Jackson),6,5
22,1,8:46.0,D. Mitchell makes 2-pt jump shot from 20 ft (assist by R. O'Neale),,8,5
23,1,8:29.0,,J. Morant misses 2-pt jump shot from 12 ft,8,5
24,1,8:26.0,Defensive rebound by D. Mitchell,,8,5
25,1,8:11.0,D. Mitchell makes 3-pt jump shot from 27 ft,,11,5
26,1,7:52.0,,Shooting foul by M. Conley (drawn by J. Crowder),11,5
27,1,7:52.0,,J. Crowder makes free throw 1 of 3,11,6
28,1,7:52.0,,J. Crowder misses free throw 2 of 3,11,6
29,1,7:52.0,,Offensive rebound by Team,11,6
30,1,7:52.0,,J. Crowder makes free throw 3 of 3,11,7
31,1,7:42.0,M. Conley misses 2-pt jump shot from 10 ft,,11,7
32,1,7:40.0,,Defensive rebound by J. Crowder,11,7
33,1,7:36.0,,J. Crowder misses 3-pt jump shot from 26 ft,11,7
34,1,7:32.0,Defensive rebound by R. Gobert,,11,7
35,1,7:25.0,Shooting foul by D. Brooks (drawn by D. Mitchell),,11,7
36,1,7:25.0,D. Mitchell misses free throw 1 of 2,,11,7
37,1,7:25.0,Offensive rebound by Team,,11,7
38,1,7:25.0,,G. Allen enters the game for D. Brooks,11,7
39,1,7:25.0,D. Mitchell makes free throw 2 of 2,,12,7
40,1,7:14.0,,J. Jackson misses 3-pt jump shot from 26 ft,12,7
41,1,7:11.0,Defensive rebound by R. O'Neale,,12,7
42,1,6:56.0,D. Mitchell misses 2-pt jump shot from 2 ft,,12,7
43,1,6:54.0,,Defensive rebound by J. Valančiūnas,12,7
44,1,6:47.0,,J. Jackson makes 2-pt hook shot from 2 ft (assist by G. Allen),12,9
45,1,6:28.0,D. Mitchell misses 2-pt layup from 1 ft,,12,9
46,1,6:26.0,,Defensive rebound by J. Valančiūnas,12,9
47,1,6:19.0,,Shooting foul by R. Gobert (drawn by J. Valančiūnas),12,9
48,1,6:19.0,,Memphis full timeout,12,9
49,1,6:19.0,J. Ingles enters the game for R. O'Neale,,12,9
50,1,6:19.0,,T. Jones enters the game for J. Morant,12,9
51,1,6:19.0,,J. Valančiūnas makes free throw 1 of 2,12,10
52,1,6:19.0,,J. Valančiūnas makes free throw 2 of 2,12,11
53,1,6:00.0,R. Gobert misses 2-pt layup from 2 ft,,12,11
54,1,5:58.0,,Defensive rebound by J. Crowder,12,11
55,1,5:47.0,,J. Valančiūnas misses 2-pt jump shot from 10 ft,12,11
56,1,5:43.0,Defensive rebound by B. Bogdanović,,12,11
57,1,5:31.0,R. Gobert misses 2-pt layup from 3 ft (block by J. Valančiūnas),,12,11
58,1,5:29.0,,Defensive rebound by J. Jackson,12,11
59,1,5:24.0,,G. Allen misses 3-pt jump shot from 29 ft,12,11
60,1,5:20.0,Defensive rebound by M. Conley,,12,11
61,1,5:13.0,M. Conley misses 2-pt jump shot from 9 ft,,12,11
