,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,R. Hachimura makes 2-pt dunk from 2 ft (assist by T. Bryant),0,2
1,1,11:31.0,Turnover by J. Randle (bad pass),,0,2
2,1,11:20.0,,T. Bryant makes 2-pt jump shot from 15 ft (assist by B. Beal),0,4
3,1,11:03.0,R. Barrett misses 3-pt jump shot from 26 ft,,0,4
4,1,11:00.0,,Defensive rebound by T. Bryant,0,4
5,1,10:52.0,,S. Napier makes 3-pt jump shot from 26 ft (assist by R. Hachimura),0,7
6,1,10:41.0,E. Payton misses 2-pt layup from 4 ft (block by R. Hachimura),,0,7
7,1,10:39.0,,Defensive rebound by T. Bryant,0,7
8,1,10:33.0,,Turnover by S. Napier (bad pass; steal by R. Barrett),0,7
9,1,10:21.0,J. Randle misses 2-pt jump shot from 10 ft,,0,7
10,1,10:19.0,,Defensive rebound by R. Hachimura,0,7
11,1,10:12.0,,T. Bryant makes 2-pt layup from 1 ft (assist by R. Hachimura),0,9
12,1,10:05.0,New York full timeout,,0,9
13,1,9:55.0,J. Randle makes 2-pt hook shot from 8 ft,,2,9
14,1,9:41.0,,Shooting foul by T. Gibson (drawn by T. Bryant),2,9
15,1,9:41.0,,T. Bryant makes free throw 1 of 2,2,10
16,1,9:41.0,,T. Bryant makes free throw 2 of 2,2,11
17,1,9:25.0,Turnover by E. Payton (lost ball; steal by S. Napier),,2,11
18,1,9:21.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Robinson),2,14
19,1,9:06.0,T. Gibson makes 2-pt layup from 2 ft (assist by M. Harkless),,4,14
20,1,8:47.0,,R. Hachimura makes 2-pt jump shot from 5 ft,4,16
21,1,8:26.0,R. Barrett misses 3-pt jump shot from 27 ft,,4,16
22,1,8:26.0,,Defensive rebound by Team,4,16
23,1,8:17.0,,T. Bryant misses 2-pt jump shot from 17 ft,4,16
24,1,8:14.0,Defensive rebound by R. Barrett,,4,16
25,1,8:02.0,Turnover by R. Barrett (bad pass; steal by T. Bryant),,4,16
26,1,7:57.0,,R. Hachimura makes 2-pt dunk from 1 ft (assist by B. Beal),4,18
27,1,7:57.0,New York full timeout,,4,18
28,1,7:57.0,R. Bullock enters the game for R. Barrett,,4,18
29,1,7:57.0,K. Knox enters the game for T. Gibson,,4,18
30,1,7:57.0,F. Ntilikina enters the game for M. Harkless,,4,18
31,1,7:57.0,B. Portis enters the game for E. Payton,,4,18
32,1,7:57.0,M. Robinson enters the game for J. Randle,,4,18
33,1,7:41.0,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by K. Knox),,7,18
34,1,7:25.0,,R. Hachimura misses 2-pt jump shot from 14 ft,7,18
35,1,7:24.0,Defensive rebound by K. Knox,,7,18
36,1,7:17.0,M. Robinson misses 2-pt dunk from 2 ft,,7,18
37,1,7:16.0,,Defensive rebound by Team,7,18
38,1,6:57.0,,T. Bryant makes 3-pt jump shot from 25 ft (assist by S. Napier),7,21
39,1,6:34.0,B. Portis makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),,10,21
40,1,6:15.0,,B. Beal misses 3-pt jump shot from 26 ft,10,21
41,1,6:13.0,Defensive rebound by F. Ntilikina,,10,21
42,1,6:07.0,B. Portis makes 2-pt jump shot from 21 ft (assist by K. Knox),,12,21
