,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,,D. Bender makes 2-pt hook shot from 8 ft (assist by D. Lee),0,2
1,1,11:21.0,B. Beal makes 3-pt jump shot from 26 ft,,3,2
2,1,11:06.0,,A. Wiggins misses 3-pt jump shot from 27 ft,3,2
3,1,11:04.0,Defensive rebound by R. Hachimura,,3,2
4,1,10:53.0,B. Beal misses 2-pt jump shot from 8 ft,,3,2
5,1,10:52.0,,Defensive rebound by A. Wiggins,3,2
6,1,10:42.0,,D. Lee misses 3-pt jump shot from 27 ft,3,2
7,1,10:40.0,Defensive rebound by I. Bonga,,3,2
8,1,10:32.0,Turnover by I. Bonga (bad pass; steal by J. Toscano-Anderson),,3,2
9,1,10:23.0,,A. Wiggins makes 2-pt layup from 7 ft,3,4
10,1,10:12.0,Shooting foul by D. Bender (drawn by B. Beal),,3,4
11,1,10:12.0,B. Beal misses free throw 1 of 2,,3,4
12,1,10:12.0,Offensive rebound by Team,,3,4
13,1,10:12.0,B. Beal makes free throw 2 of 2,,4,4
14,1,9:59.0,,Turnover by A. Wiggins (bad pass; steal by S. Napier),4,4
15,1,9:46.0,T. Bryant makes 2-pt layup from 1 ft (assist by S. Napier),,6,4
16,1,9:46.0,Shooting foul by A. Wiggins (drawn by T. Bryant),,6,4
17,1,9:46.0,T. Bryant makes free throw 1 of 1,,7,4
18,1,9:32.0,,J. Toscano-Anderson misses 2-pt jump shot from 20 ft,7,4
19,1,9:29.0,Defensive rebound by Team,,7,4
20,1,9:17.0,B. Beal makes 3-pt jump shot from 23 ft,,10,4
21,1,9:07.0,,Golden State full timeout,10,4
22,1,8:57.0,,D. Bender misses 3-pt jump shot from 23 ft,10,4
23,1,8:55.0,Defensive rebound by S. Napier,,10,4
24,1,8:34.0,T. Bryant misses 2-pt jump shot from 20 ft,,10,4
25,1,8:32.0,,Defensive rebound by M. Chriss,10,4
26,1,8:15.0,,D. Lee misses 3-pt jump shot from 24 ft,10,4
27,1,8:13.0,Defensive rebound by R. Hachimura,,10,4
28,1,8:04.0,R. Hachimura makes 2-pt jump shot from 8 ft,,12,4
29,1,7:49.0,,Turnover by M. Chriss (out of bounds lost ball),12,4
30,1,7:34.0,R. Hachimura misses 2-pt jump shot from 8 ft,,12,4
31,1,7:33.0,,Defensive rebound by D. Bender,12,4
32,1,7:23.0,,Turnover by A. Wiggins (lost ball; steal by B. Beal),12,4
33,1,7:18.0,S. Napier makes 2-pt layup from 2 ft (assist by B. Beal),,14,4
34,1,7:05.0,,Turnover by J. Toscano-Anderson (lost ball; steal by T. Bryant),14,4
35,1,7:03.0,Personal foul by A. Wiggins (drawn by S. Napier),,14,4
36,1,7:03.0,M. Wagner enters the game for T. Bryant,,14,4
37,1,7:03.0,,M. Mulder enters the game for D. Bender,14,4
38,1,7:03.0,,E. Paschall enters the game for J. Toscano-Anderson,14,4
39,1,6:47.0,Turnover by M. Wagner (lost ball; steal by D. Lee),,14,4
40,1,6:34.0,,Shooting foul by I. Bonga (drawn by A. Wiggins),14,4
41,1,6:34.0,,A. Wiggins makes free throw 1 of 2,14,5
42,1,6:34.0,D. Bertāns enters the game for I. Bonga,,14,5
43,1,6:34.0,,J. Poole enters the game for D. Lee,14,5
44,1,6:34.0,,A. Wiggins makes free throw 2 of 2,14,6
45,1,6:25.0,Turnover by S. Napier (bad pass),,14,6
46,1,6:19.0,,M. Mulder misses 3-pt jump shot from 24 ft,14,6
47,1,6:17.0,Defensive rebound by R. Hachimura,,14,6
48,1,6:08.0,B. Beal makes 3-pt jump shot from 27 ft (assist by R. Hachimura),,17,6
49,1,5:57.0,,A. Wiggins makes 3-pt jump shot from 30 ft,17,9
50,1,5:50.0,Shooting foul by M. Mulder (drawn by B. Beal),,17,9
51,1,5:50.0,B. Beal makes free throw 1 of 2,,18,9
52,1,5:50.0,B. Beal makes free throw 2 of 2,,19,9
53,1,5:40.0,,E. Paschall makes 2-pt jump shot from 20 ft (assist by J. Poole),19,11
54,1,5:19.0,B. Beal makes 3-pt jump shot from 26 ft,,22,11
55,1,5:19.0,,D. Lee enters the game for A. Wiggins,22,11
56,1,4:53.0,,M. Chriss makes 2-pt dunk from 2 ft (assist by E. Paschall),22,13
57,1,4:52.0,Washington full timeout,,22,13
58,1,4:36.0,Turnover by D. Bertāns (bad pass; steal by M. Mulder),,22,13
59,1,4:29.0,,Shooting foul by D. Bertāns (drawn by M. Mulder),22,13
60,1,4:29.0,,M. Mulder misses free throw 1 of 2,22,13
61,1,4:29.0,,Offensive rebound by Team,22,13
62,1,4:29.0,I. Smith enters the game for S. Napier,,22,13
63,1,4:29.0,,M. Mulder makes free throw 2 of 2,22,14
64,1,4:20.0,B. Beal makes 3-pt jump shot from 26 ft (assist by M. Wagner),,25,14
65,1,4:20.0,J. Robinson enters the game for R. Hachimura,,25,14
66,1,4:20.0,,D. Bender enters the game for M. Chriss,25,14
67,1,4:04.0,,J. Poole makes 2-pt jump shot from 16 ft,25,16
68,1,3:54.0,D. Bertāns makes 3-pt jump shot from 22 ft (assist by I. Smith),,28,16
69,1,3:53.0,,Golden State full timeout,28,16
70,1,3:41.0,,M. Mulder makes 2-pt jump shot from 5 ft (assist by E. Paschall),28,18
71,1,3:28.0,B. Beal misses 2-pt dunk from 3 ft,,28,18
72,1,3:26.0,,Defensive rebound by D. Lee,28,18
73,1,3:18.0,,E. Paschall makes 2-pt dunk from 2 ft (assist by D. Lee),28,20
74,1,3:09.0,B. Beal makes 2-pt layup from 4 ft,,30,20
75,1,2:53.0,,D. Bender makes 2-pt layup from 3 ft (assist by J. Poole),30,22
76,1,2:45.0,Turnover by I. Smith (bad pass; steal by D. Lee),,30,22
77,1,2:40.0,,D. Bender misses 3-pt jump shot from 29 ft,30,22
78,1,2:37.0,Defensive rebound by D. Bertāns,,30,22
79,1,2:20.0,I. Smith misses 2-pt jump shot from 11 ft,,30,22
80,1,2:19.0,,Defensive rebound by D. Lee,30,22
81,1,2:08.0,,M. Mulder misses 3-pt jump shot from 23 ft,30,22
82,1,2:06.0,Defensive rebound by J. Robinson,,30,22
83,1,1:59.0,B. Beal misses 3-pt jump shot from 27 ft,,30,22
84,1,1:57.0,,Defensive rebound by D. Lee,30,22
85,1,1:38.0,,E. Paschall misses 2-pt layup from 2 ft,30,22
86,1,1:37.0,Defensive rebound by J. Robinson,,30,22
87,1,1:28.0,B. Beal misses 2-pt layup from 8 ft,,30,22
88,1,1:26.0,Offensive rebound by B. Beal,,30,22
89,1,1:14.0,Shooting foul by J. Poole (drawn by B. Beal),,30,22
90,1,1:14.0,B. Beal makes free throw 1 of 2,,31,22
91,1,1:14.0,,J. Toscano-Anderson enters the game for D. Bender,31,22
92,1,1:14.0,,A. Wiggins enters the game for D. Lee,31,22
93,1,1:14.0,B. Beal makes free throw 2 of 2,,32,22
94,1,1:06.0,,Shooting foul by D. Bertāns (drawn by A. Wiggins),32,22
95,1,1:06.0,,A. Wiggins makes free throw 1 of 2,32,23
96,1,1:06.0,T. Brown enters the game for B. Beal,,32,23
97,1,1:06.0,,A. Wiggins misses free throw 2 of 2,32,23
98,1,1:04.0,Defensive rebound by M. Wagner,,32,23
99,1,0:50.0,Shooting foul by J. Toscano-Anderson (drawn by D. Bertāns),,32,23
100,1,0:50.0,D. Bertāns makes free throw 1 of 3,,33,23
101,1,0:50.0,D. Bertāns makes free throw 2 of 3,,34,23
102,1,0:50.0,D. Bertāns makes free throw 3 of 3,,35,23
103,1,0:34.0,,J. Poole misses 3-pt jump shot from 28 ft,35,23
104,1,0:32.0,,Offensive rebound by E. Paschall,35,23
105,1,0:31.0,,J. Poole makes 2-pt layup from 3 ft (assist by E. Paschall),35,25
106,1,0:31.0,,Shooting foul by M. Wagner (drawn by J. Poole),35,25
107,1,0:31.0,,D. Lee enters the game for A. Wiggins,35,25
108,1,0:31.0,,J. Poole misses free throw 1 of 1,35,25
109,1,0:29.0,Defensive rebound by T. Brown,,35,25
110,1,0:16.0,D. Bertāns misses 2-pt layup from 3 ft (block by M. Mulder),,35,25
111,1,0:14.0,,Defensive rebound by J. Poole,35,25
112,1,0:01.0,,E. Paschall makes 3-pt jump shot from 26 ft (assist by J. Toscano-Anderson),35,28
113,1,0:01.0,,Instant Replay (Request: Ruling Stands),35,28
114,2,11:50.0,T. Brown misses 2-pt layup from 2 ft,,35,28
115,2,11:48.0,,Defensive rebound by D. Bender,35,28
116,2,11:35.0,,M. Mulder misses 3-pt jump shot from 28 ft,35,28
117,2,11:33.0,Defensive rebound by J. Robinson,,35,28
118,2,11:21.0,I. Smith makes 2-pt jump shot from 19 ft,,37,28
119,2,10:55.0,,D. Bender misses 2-pt layup from 4 ft (block by I. Smith),37,28
120,2,10:54.0,,Offensive rebound by D. Bender,37,28
121,2,10:54.0,,Turnover by Team (shot clock),37,28
122,2,10:48.0,I. Smith misses 2-pt jump shot from 7 ft,,37,28
123,2,10:47.0,,Defensive rebound by D. Bender,37,28
124,2,10:40.0,,M. Mulder makes 3-pt jump shot from 27 ft (assist by J. Poole),37,31
125,2,10:24.0,T. Brown misses 3-pt jump shot from 26 ft,,37,31
126,2,10:22.0,,Defensive rebound by M. Mulder,37,31
127,2,10:16.0,,Personal foul by T. Brown (drawn by D. Bender),37,31
128,2,10:16.0,,J. Toscano-Anderson enters the game for E. Paschall,37,31
129,2,10:07.0,,A. Wiggins misses 2-pt jump shot from 11 ft,37,31
130,2,10:06.0,Defensive rebound by T. Brown,,37,31
131,2,9:59.0,R. Hachimura makes 2-pt layup from 3 ft (assist by T. Brown),,39,31
