,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,,D. Fox misses 2-pt jump shot from 21 ft,0,0
1,1,11:41.0,Defensive rebound by Team,,0,0
2,1,11:27.0,P. George misses 3-pt jump shot from 26 ft,,0,0
3,1,11:24.0,,Defensive rebound by N. Bjelica,0,0
4,1,11:15.0,,R. Holmes makes 2-pt jump shot from 5 ft (assist by H. Barnes),0,2
5,1,11:01.0,Personal foul by B. Hield (drawn by K. Leonard),,0,2
6,1,10:58.0,K. Leonard misses 2-pt jump shot from 18 ft,,0,2
7,1,10:55.0,,Defensive rebound by N. Bjelica,0,2
8,1,10:47.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by D. Fox),0,5
9,1,10:34.0,P. George misses 2-pt jump shot from 19 ft,,0,5
10,1,10:31.0,,Defensive rebound by N. Bjelica,0,5
11,1,10:15.0,,H. Barnes misses 3-pt jump shot from 27 ft,0,5
12,1,10:11.0,Defensive rebound by M. Harkless,,0,5
13,1,10:01.0,M. Harkless makes 3-pt jump shot from 25 ft (assist by P. George),,3,5
14,1,9:47.0,,R. Holmes misses 2-pt jump shot from 13 ft,3,5
15,1,9:44.0,Defensive rebound by M. Harkless,,3,5
16,1,9:35.0,P. George misses 2-pt hook shot from 6 ft,,3,5
17,1,9:33.0,,Defensive rebound by H. Barnes,3,5
18,1,9:31.0,,Personal foul by L. Shamet (drawn by D. Fox),3,5
19,1,9:25.0,,Turnover by N. Bjelica (bad pass),3,5
20,1,9:16.0,,Violation by Team (kicked ball),3,5
21,1,9:02.0,K. Leonard misses 3-pt jump shot from 26 ft,,3,5
22,1,9:02.0,Offensive rebound by Team,,3,5
23,1,8:50.0,P. George misses 3-pt jump shot from 25 ft,,3,5
24,1,8:47.0,Offensive rebound by I. Zubac,,3,5
25,1,8:44.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by M. Harkless),,6,5
26,1,8:38.0,,Personal foul by L. Shamet (drawn by N. Bjelica),6,5
27,1,8:38.0,D. Walton enters the game for L. Shamet,,6,5
28,1,8:30.0,,D. Fox misses 2-pt jump shot from 9 ft,6,5
29,1,8:30.0,Defensive rebound by I. Zubac,,6,5
30,1,8:17.0,Personal foul by N. Bjelica (drawn by K. Leonard),,6,5
31,1,8:03.0,K. Leonard misses 2-pt jump shot from 22 ft,,6,5
32,1,7:58.0,Offensive rebound by M. Harkless,,6,5
33,1,7:49.0,P. George misses 2-pt jump shot from 7 ft,,6,5
