,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHOENIX_ACTION,DALLAS_SCORE,PHOENIX_SCORE
0,1,11:45.0,T. Hardaway misses 2-pt jump shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by D. Šarić,0,0
2,1,11:35.0,,D. Šarić makes 2-pt jump shot from 19 ft (assist by D. Booker),0,2
3,1,11:18.0,L. Dončić misses 2-pt jump shot from 19 ft,,0,2
4,1,11:17.0,Offensive rebound by L. Dončić,,0,2
5,1,11:14.0,L. Dončić makes 2-pt layup from 1 ft,,2,2
6,1,11:00.0,,Turnover by R. Rubio (bad pass; steal by K. Porziņģis),2,2
7,1,10:52.0,L. Dončić misses 3-pt jump shot from 27 ft,,2,2
8,1,10:49.0,,Defensive rebound by D. Šarić,2,2
9,1,10:43.0,,D. Šarić misses 3-pt jump shot from 26 ft,2,2
10,1,10:41.0,Defensive rebound by L. Dončić,,2,2
11,1,10:29.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,2,2
12,1,10:27.0,,Defensive rebound by A. Baynes,2,2
13,1,10:19.0,,R. Rubio misses 2-pt jump shot at rim,2,2
14,1,10:17.0,Defensive rebound by D. Powell,,2,2
15,1,10:08.0,L. Dončić makes 2-pt layup at rim,,4,2
16,1,9:52.0,,A. Baynes makes 3-pt jump shot from 23 ft (assist by D. Booker),4,5
17,1,9:36.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,4,5
18,1,9:33.0,,Defensive rebound by K. Oubre,4,5
19,1,9:28.0,,K. Oubre makes 2-pt jump shot from 18 ft,4,7
20,1,9:15.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by L. Dončić),,6,7
21,1,9:15.0,Shooting foul by K. Oubre (drawn by D. Finney-Smith),,6,7
22,1,9:15.0,D. Finney-Smith makes free throw 1 of 1,,7,7
23,1,9:06.0,,D. Šarić makes 2-pt layup from 1 ft (assist by D. Booker),7,9
24,1,9:06.0,,Shooting foul by D. Powell (drawn by D. Šarić),7,9
25,1,9:06.0,,D. Šarić makes free throw 1 of 1,7,10
26,1,8:54.0,T. Hardaway misses 2-pt layup from 1 ft,,7,10
27,1,8:53.0,,Defensive rebound by D. Booker,7,10
28,1,8:48.0,,D. Booker misses 3-pt jump shot from 29 ft,7,10
29,1,8:45.0,Defensive rebound by L. Dončić,,7,10
30,1,8:36.0,L. Dončić makes 2-pt layup from 1 ft,,9,10
31,1,8:29.0,,K. Oubre misses 3-pt jump shot from 25 ft,9,10
32,1,8:25.0,Defensive rebound by K. Porziņģis,,9,10
33,1,8:15.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by L. Dončić),,12,10
34,1,8:02.0,,D. Booker makes 2-pt layup at rim (assist by R. Rubio),12,12
35,1,7:45.0,Personal foul by R. Rubio (drawn by L. Dončić),,12,12
36,1,7:45.0,,F. Kaminsky enters the game for A. Baynes,12,12
37,1,7:35.0,L. Dončić makes 2-pt layup from 1 ft,,14,12
38,1,7:24.0,,F. Kaminsky misses 3-pt jump shot from 23 ft,14,12
39,1,7:22.0,Defensive rebound by L. Dončić,,14,12
40,1,7:02.0,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),,17,12
41,1,7:00.0,,Phoenix full timeout,17,12
42,1,6:40.0,,K. Oubre misses 2-pt layup from 2 ft (block by K. Porziņģis),17,12
43,1,6:40.0,,Offensive rebound by Team,17,12
44,1,6:40.0,,Away from play foul by D. Powell (drawn by D. Šarić),17,12
45,1,6:40.0,,Instant Replay (Request: Ruling Stands),17,12
46,1,6:40.0,,D. Booker makes free throw 1 of 1,17,13
47,1,6:31.0,,D. Šarić misses 2-pt hook shot from 10 ft,17,13
48,1,6:27.0,Defensive rebound by K. Porziņģis,,17,13
49,1,6:23.0,L. Dončić misses 3-pt jump shot from 26 ft,,17,13
50,1,6:20.0,,Defensive rebound by K. Oubre,17,13
51,1,6:13.0,,K. Oubre makes 2-pt jump shot from 23 ft,17,15
52,1,5:51.0,T. Hardaway misses 3-pt jump shot from 24 ft,,17,15
53,1,5:47.0,,Defensive rebound by D. Šarić,17,15
54,1,5:37.0,,R. Rubio makes 3-pt jump shot from 24 ft (assist by D. Šarić),17,18
55,1,5:11.0,Turnover by D. Finney-Smith (bad pass; steal by D. Booker),,17,18
56,1,5:05.0,,D. Booker misses 2-pt jump shot from 12 ft,17,18
57,1,5:02.0,Defensive rebound by D. Finney-Smith,,17,18
58,1,4:55.0,Personal foul by D. Booker (drawn by L. Dončić),,17,18
59,1,4:55.0,M. Kleber enters the game for D. Powell,,17,18
60,1,4:55.0,,C. Johnson enters the game for K. Oubre,17,18
61,1,4:55.0,,E. Okobo enters the game for R. Rubio,17,18
62,1,4:45.0,M. Kleber misses 2-pt layup from 2 ft,,17,18
63,1,4:41.0,,Defensive rebound by C. Johnson,17,18
64,1,4:39.0,,Turnover by D. Booker (bad pass; steal by T. Hardaway),17,18
65,1,4:19.0,L. Dončić makes 2-pt layup at rim,,19,18
66,1,4:07.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by D. Booker),19,21
67,1,3:52.0,K. Porziņģis misses 3-pt jump shot from 23 ft,,19,21
68,1,3:49.0,,Defensive rebound by C. Johnson,19,21
69,1,3:41.0,,C. Johnson misses 2-pt jump shot from 4 ft,19,21
70,1,3:38.0,Defensive rebound by K. Porziņģis,,19,21
71,1,3:33.0,L. Dončić misses 3-pt jump shot from 25 ft,,19,21
72,1,3:30.0,,Defensive rebound by E. Okobo,19,21
73,1,3:27.0,,Turnover by D. Booker (traveling),19,21
74,1,3:27.0,Dallas full timeout,,19,21
75,1,3:27.0,D. Wright enters the game for T. Hardaway,,19,21
76,1,3:27.0,,C. Diallo enters the game for D. Šarić,19,21
77,1,3:09.0,M. Kleber makes 2-pt layup from 1 ft (assist by L. Dončić),,21,21
78,1,2:46.0,,C. Diallo misses 2-pt jump shot from 11 ft,21,21
79,1,2:43.0,Defensive rebound by K. Porziņģis,,21,21
80,1,2:38.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,21,21
81,1,2:35.0,,Defensive rebound by E. Okobo,21,21
82,1,2:30.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,21,21
83,1,2:29.0,Defensive rebound by Team,,21,21
84,1,2:15.0,Shooting foul by F. Kaminsky (drawn by L. Dončić),,21,21
85,1,2:15.0,L. Dončić makes free throw 1 of 2,,22,21
86,1,2:15.0,J. Jackson enters the game for K. Porziņģis,,22,21
87,1,2:15.0,,M. Bridges enters the game for F. Kaminsky,22,21
88,1,2:15.0,L. Dončić makes free throw 2 of 2,,23,21
89,1,1:56.0,,E. Okobo misses 3-pt jump shot from 26 ft,23,21
90,1,1:52.0,,Offensive rebound by C. Johnson,23,21
91,1,1:51.0,,C. Johnson misses 2-pt jump shot from 23 ft,23,21
92,1,1:51.0,Defensive rebound by L. Dončić,,23,21
93,1,1:45.0,J. Jackson makes 2-pt layup from 1 ft (assist by L. Dončić),,25,21
94,1,1:31.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by C. Johnson),25,23
95,1,1:20.0,Personal foul by C. Diallo (drawn by D. Wright),,25,23
96,1,1:20.0,D. Wright makes free throw 1 of 2,,26,23
97,1,1:20.0,,A. Baynes enters the game for C. Diallo,26,23
98,1,1:20.0,,K. Oubre enters the game for C. Johnson,26,23
99,1,1:20.0,D. Wright makes free throw 2 of 2,,27,23
100,1,1:09.0,,D. Booker misses 3-pt jump shot from 25 ft,27,23
101,1,1:07.0,Defensive rebound by J. Jackson,,27,23
102,1,1:01.0,L. Dončić makes 2-pt jump shot from 7 ft,,29,23
103,1,0:51.0,,Personal foul by J. Jackson (drawn by M. Bridges),29,23
104,1,0:43.0,,E. Okobo misses 3-pt jump shot from 26 ft,29,23
105,1,0:40.0,Defensive rebound by D. Wright,,29,23
106,1,0:32.0,M. Kleber makes 2-pt dunk at rim (assist by L. Dončić),,31,23
107,1,0:12.0,,A. Baynes makes 2-pt dunk at rim (assist by E. Okobo),31,25
108,1,0:02.0,L. Dončić misses 2-pt jump shot from 6 ft,,31,25
109,1,0:00.0,Offensive rebound by L. Dončić,,31,25
110,1,0:00.0,L. Dončić misses 2-pt jump shot from 6 ft,,31,25
111,1,0:00.0,Offensive rebound by Team,,31,25
112,2,11:47.0,,C. Johnson misses 3-pt jump shot from 26 ft,31,25
113,2,11:43.0,Defensive rebound by M. Kleber,,31,25
114,2,11:25.0,S. Curry misses 2-pt jump shot from 13 ft,,31,25
115,2,11:23.0,,Defensive rebound by K. Oubre,31,25
116,2,11:15.0,,A. Baynes makes 2-pt hook shot from 7 ft (assist by R. Rubio),31,27
117,2,11:00.0,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Wright),,34,27
118,2,10:39.0,,A. Baynes misses 2-pt hook shot from 3 ft,34,27
119,2,10:38.0,Defensive rebound by M. Kleber,,34,27
120,2,10:32.0,J. Brunson makes 2-pt layup at rim,,36,27
121,2,10:22.0,,Turnover by M. Bridges (bad pass; steal by J. Jackson),36,27
122,2,10:17.0,J. Brunson misses 3-pt jump shot from 23 ft,,36,27
123,2,10:14.0,,Defensive rebound by A. Baynes,36,27
124,2,10:01.0,,A. Baynes misses 2-pt hook shot from 8 ft,36,27
125,2,9:59.0,Defensive rebound by D. Wright,,36,27
126,2,9:54.0,Turnover by D. Wright (lost ball; steal by K. Oubre),,36,27
127,2,9:54.0,,Personal foul by J. Jackson (drawn by M. Bridges),36,27
128,2,9:54.0,,T. Johnson enters the game for C. Johnson,36,27
129,2,9:42.0,,M. Bridges makes 2-pt jump shot from 13 ft,36,29
130,2,9:23.0,M. Kleber misses 3-pt jump shot from 28 ft,,36,29
131,2,9:21.0,,Defensive rebound by Team,36,29
132,2,9:05.0,,Shooting foul by J. Brunson (drawn by R. Rubio),36,29
133,2,9:05.0,,R. Rubio makes free throw 1 of 2,36,30
134,2,9:05.0,,D. Šarić enters the game for A. Baynes,36,30
135,2,9:05.0,,R. Rubio misses free throw 2 of 2,36,30
136,2,9:01.0,Defensive rebound by J. Jackson,,36,30
137,2,8:41.0,D. Wright misses 2-pt layup from 1 ft (block by K. Oubre),,36,30
138,2,8:39.0,,Defensive rebound by D. Šarić,36,30
139,2,8:36.0,,M. Bridges makes 2-pt layup from 1 ft (assist by R. Rubio),36,32
140,2,8:36.0,Dallas full timeout,,36,32
141,2,8:36.0,D. Powell enters the game for M. Kleber,,36,32
142,2,8:12.0,J. Brunson misses 3-pt jump shot from 28 ft,,36,32
