,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:42.0,K. Love misses 3-pt jump shot from 26 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Tatum,0,0
2,1,11:24.0,,J. Brown makes 2-pt jump shot from 14 ft,0,2
3,1,10:59.0,K. Love misses 2-pt jump shot from 17 ft (block by J. Tatum),,0,2
4,1,10:57.0,,Defensive rebound by J. Tatum,0,2
5,1,10:51.0,,K. Walker makes 2-pt layup from 2 ft,0,4
6,1,10:32.0,C. Sexton makes 2-pt jump shot from 19 ft,,2,4
7,1,10:13.0,,J. Tatum misses 2-pt jump shot from 12 ft,2,4
8,1,10:11.0,Defensive rebound by K. Love,,2,4
9,1,10:05.0,Turnover by C. Sexton (bad pass; steal by G. Hayward),,2,4
10,1,9:57.0,,J. Brown makes 2-pt layup from 3 ft,2,6
11,1,9:57.0,,Shooting foul by D. Garland (drawn by J. Brown),2,6
12,1,9:57.0,,J. Brown makes free throw 1 of 1,2,7
13,1,9:40.0,D. Garland makes 2-pt layup from 3 ft,,4,7
14,1,9:24.0,,K. Walker misses 3-pt jump shot from 27 ft,4,7
15,1,9:22.0,Defensive rebound by D. Garland,,4,7
16,1,9:13.0,D. Garland misses 2-pt layup from 2 ft,,4,7
17,1,9:11.0,,Defensive rebound by J. Brown,4,7
18,1,9:07.0,,J. Brown makes 2-pt layup from 2 ft,4,9
19,1,8:49.0,K. Love makes 2-pt jump shot from 14 ft,,6,9
20,1,8:30.0,,D. Theis makes 3-pt jump shot from 27 ft (assist by K. Walker),6,12
21,1,8:14.0,C. Sexton misses 3-pt jump shot from 24 ft,,6,12
22,1,8:12.0,,Defensive rebound by J. Brown,6,12
23,1,8:09.0,,J. Brown misses 3-pt jump shot from 28 ft,6,12
24,1,8:07.0,Defensive rebound by C. Osman,,6,12
25,1,7:48.0,K. Love misses 2-pt jump shot from 19 ft,,6,12
26,1,7:46.0,,Defensive rebound by G. Hayward,6,12
27,1,7:39.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by G. Hayward),6,15
28,1,7:15.0,Turnover by T. Thompson (3 sec),,6,15
29,1,7:09.0,,Personal foul by C. Osman (drawn by G. Hayward),6,15
30,1,7:06.0,,Turnover by D. Theis (traveling),6,15
31,1,6:49.0,C. Sexton misses 2-pt layup from 4 ft (block by D. Theis),,6,15
32,1,6:47.0,,Defensive rebound by J. Brown,6,15
33,1,6:44.0,,G. Hayward makes 2-pt layup from 3 ft (assist by J. Brown),6,17
34,1,6:44.0,Cleveland full timeout,,6,17
35,1,6:27.0,C. Osman makes 3-pt jump shot from 25 ft (assist by D. Garland),,9,17
36,1,6:13.0,,Offensive foul by D. Theis (drawn by C. Osman),9,17
37,1,6:13.0,,Turnover by D. Theis (offensive foul),9,17
38,1,6:02.0,D. Garland misses 3-pt jump shot from 26 ft,,9,17
39,1,5:57.0,,Defensive rebound by J. Tatum,9,17
40,1,5:54.0,,J. Tatum makes 3-pt jump shot from 28 ft,9,20
41,1,5:42.0,C. Sexton misses 2-pt layup from 1 ft,,9,20
42,1,5:40.0,Offensive rebound by T. Thompson,,9,20
43,1,5:40.0,T. Thompson makes 2-pt layup from 1 ft,,11,20
44,1,5:14.0,,G. Hayward makes 2-pt jump shot from 18 ft,11,22
45,1,5:02.0,K. Love misses 3-pt jump shot from 25 ft,,11,22
46,1,4:58.0,Offensive rebound by Team,,11,22
47,1,4:58.0,J. Clarkson enters the game for D. Garland,,11,22
48,1,4:58.0,,J. Green enters the game for G. Hayward,11,22
49,1,4:58.0,,E. Freedom enters the game for J. Tatum,11,22
50,1,4:58.0,,S. Ojeleye enters the game for D. Theis,11,22
51,1,4:51.0,K. Love misses 3-pt jump shot from 24 ft,,11,22
52,1,4:48.0,,Defensive rebound by J. Brown,11,22
53,1,4:46.0,,Turnover by K. Walker (out of bounds lost ball),11,22
54,1,4:46.0,L. Nance enters the game for K. Love,,11,22
55,1,4:46.0,K. Porter enters the game for C. Osman,,11,22
56,1,4:27.0,J. Clarkson misses 3-pt jump shot from 25 ft,,11,22
57,1,4:24.0,,Defensive rebound by K. Walker,11,22
58,1,4:18.0,,E. Freedom makes 2-pt layup from 2 ft (assist by K. Walker),11,24
59,1,4:08.0,T. Thompson makes 2-pt dunk at rim (assist by C. Sexton),,13,24
60,1,3:56.0,,K. Walker misses 3-pt jump shot from 28 ft,13,24
61,1,3:54.0,Defensive rebound by C. Sexton,,13,24
62,1,3:34.0,Turnover by T. Thompson (traveling),,13,24
63,1,3:20.0,,J. Brown makes 2-pt dunk from 1 ft (assist by E. Freedom),13,26
64,1,3:01.0,C. Sexton misses 2-pt jump shot from 10 ft,,13,26
65,1,2:59.0,Offensive rebound by C. Sexton,,13,26
66,1,2:59.0,C. Sexton misses 2-pt layup from 1 ft,,13,26
67,1,2:58.0,Offensive rebound by T. Thompson,,13,26
68,1,2:58.0,T. Thompson makes 2-pt dunk from 3 ft,,15,26
69,1,2:52.0,,Boston full timeout,15,26
70,1,2:52.0,M. Dellavedova enters the game for C. Sexton,,15,26
71,1,2:52.0,,B. Wanamaker enters the game for K. Walker,15,26
