,QUARTER,TIME_REMAINING,ORLANDO_ACTION,GOLDEN STATE_ACTION,ORLANDO_SCORE,GOLDEN STATE_SCORE
0,1,11:39.0,,E. Paschall misses 2-pt hook shot from 6 ft,0,0
1,1,11:38.0,Defensive rebound by N. Vučević,,0,0
2,1,11:26.0,A. Gordon makes 2-pt jump shot from 12 ft,,2,0
3,1,11:07.0,,A. Burks misses 3-pt jump shot from 25 ft,2,0
4,1,11:05.0,Defensive rebound by E. Fournier,,2,0
5,1,10:52.0,Shooting foul by D. Russell (drawn by M. Fultz),,2,0
6,1,10:52.0,M. Fultz misses free throw 1 of 2,,2,0
7,1,10:52.0,Offensive rebound by Team,,2,0
8,1,10:52.0,M. Fultz makes free throw 2 of 2,,3,0
9,1,10:45.0,,D. Lee misses 3-pt jump shot from 29 ft,3,0
10,1,10:43.0,Defensive rebound by N. Vučević,,3,0
11,1,10:34.0,E. Fournier misses 2-pt jump shot from 11 ft,,3,0
12,1,10:33.0,Offensive rebound by Team,,3,0
13,1,10:21.0,A. Gordon misses 2-pt jump shot from 22 ft,,3,0
14,1,10:19.0,,Defensive rebound by E. Paschall,3,0
15,1,10:09.0,,D. Russell misses 2-pt jump shot from 19 ft,3,0
16,1,10:08.0,Defensive rebound by A. Gordon,,3,0
17,1,9:58.0,K. Birch makes 2-pt dunk from 1 ft (assist by E. Fournier),,5,0
18,1,9:43.0,,E. Paschall misses 2-pt jump shot from 11 ft,5,0
19,1,9:42.0,Defensive rebound by N. Vučević,,5,0
20,1,9:33.0,Turnover by M. Fultz (lost ball; steal by D. Russell),,5,0
21,1,9:21.0,,Turnover by D. Lee (bad pass; steal by N. Vučević),5,0
22,1,9:16.0,A. Gordon makes 2-pt layup from 2 ft,,7,0
23,1,9:16.0,,Violation by Team (def goaltending),7,0
24,1,8:53.0,,D. Russell misses 3-pt jump shot from 28 ft,7,0
25,1,8:51.0,Defensive rebound by N. Vučević,,7,0
26,1,8:40.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by N. Vučević),,10,0
27,1,8:34.0,,Golden State full timeout,10,0
28,1,8:30.0,,A. Burks misses 3-pt jump shot from 26 ft,10,0
29,1,8:28.0,Defensive rebound by M. Fultz,,10,0
30,1,8:08.0,N. Vučević misses 2-pt hook shot from 6 ft,,10,0
31,1,8:07.0,,Defensive rebound by E. Paschall,10,0
32,1,8:01.0,,Turnover by E. Paschall (bad pass; steal by A. Gordon),10,0
33,1,7:53.0,E. Fournier makes 3-pt jump shot from 26 ft,,13,0
34,1,7:36.0,,Turnover by D. Russell (lost ball; steal by E. Fournier),13,0
35,1,7:34.0,Shooting foul by D. Lee (drawn by A. Gordon),,13,0
36,1,7:34.0,A. Gordon misses free throw 1 of 2,,13,0
37,1,7:34.0,Offensive rebound by Team,,13,0
38,1,7:34.0,,J. Poole enters the game for A. Burks,13,0
39,1,7:34.0,A. Gordon misses free throw 2 of 2,,13,0
40,1,7:33.0,,Defensive rebound by W. Cauley-Stein,13,0
41,1,7:10.0,,J. Poole makes 3-pt jump shot from 23 ft (assist by D. Russell),13,3
42,1,6:57.0,N. Vučević misses 3-pt jump shot from 28 ft,,13,3
43,1,6:55.0,,Defensive rebound by E. Paschall,13,3
44,1,6:44.0,,E. Paschall makes 3-pt jump shot from 29 ft (assist by D. Russell),13,6
45,1,6:30.0,K. Birch makes 2-pt layup from 3 ft (assist by E. Fournier),,15,6
46,1,6:30.0,,Violation by Team (def goaltending),15,6
47,1,6:24.0,,D. Russell misses 2-pt jump shot from 11 ft,15,6
48,1,6:23.0,Defensive rebound by N. Vučević,,15,6
49,1,6:15.0,Turnover by A. Gordon (step out of bounds),,15,6
50,1,6:07.0,,Personal foul by E. Fournier (drawn by W. Cauley-Stein),15,6
51,1,6:07.0,T. Ross enters the game for K. Birch,,15,6
52,1,6:02.0,,J. Poole makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),15,8
53,1,5:47.0,Turnover by N. Vučević (lost ball; steal by D. Lee),,15,8
54,1,5:39.0,,J. Poole misses 2-pt jump shot from 17 ft,15,8
55,1,5:38.0,,Offensive rebound by E. Paschall,15,8
56,1,5:38.0,,E. Paschall misses 2-pt layup from 1 ft,15,8
57,1,5:37.0,,Offensive rebound by W. Cauley-Stein,15,8
58,1,5:35.0,,W. Cauley-Stein makes 2-pt hook shot from 11 ft,15,10
