,QUARTER,TIME_REMAINING,DALLAS_ACTION,DETROIT_ACTION,DALLAS_SCORE,DETROIT_SCORE
0,1,11:44.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by B. Brown),0,3
1,1,11:29.0,L. Dončić misses 2-pt jump shot from 10 ft,,0,3
2,1,11:26.0,,Defensive rebound by B. Griffin,0,3
3,1,11:23.0,,T. Snell misses 3-pt jump shot from 25 ft,0,3
4,1,11:20.0,,Offensive rebound by B. Brown,0,3
5,1,11:13.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),0,5
6,1,10:57.0,T. Hardaway makes 2-pt jump shot from 16 ft,,2,5
7,1,10:43.0,,B. Griffin misses 3-pt jump shot from 25 ft,2,5
8,1,10:41.0,Defensive rebound by L. Dončić,,2,5
9,1,10:32.0,K. Porziņģis misses 3-pt jump shot from 28 ft,,2,5
10,1,10:30.0,Offensive rebound by Team,,2,5
11,1,10:28.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,2,5
12,1,10:25.0,,Defensive rebound by T. Snell,2,5
13,1,10:17.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Brown),2,7
14,1,9:58.0,L. Dončić misses 2-pt jump shot from 6 ft,,2,7
15,1,9:56.0,,Defensive rebound by A. Drummond,2,7
16,1,9:48.0,,B. Griffin makes 2-pt dunk from 1 ft (assist by L. Kennard),2,9
17,1,9:47.0,Dallas full timeout,,2,9
18,1,9:29.0,Shooting foul by B. Brown (drawn by L. Dončić),,2,9
19,1,9:29.0,L. Dončić misses free throw 1 of 2,,2,9
20,1,9:29.0,Offensive rebound by Team,,2,9
21,1,9:29.0,L. Dončić misses free throw 2 of 2,,2,9
22,1,9:25.0,,Defensive rebound by A. Drummond,2,9
23,1,9:15.0,,B. Griffin misses 2-pt layup from 4 ft,2,9
24,1,9:13.0,Defensive rebound by L. Dončić,,2,9
25,1,9:09.0,T. Hardaway misses 3-pt jump shot from 22 ft,,2,9
26,1,9:04.0,,Defensive rebound by A. Drummond,2,9
27,1,9:03.0,,Personal foul by L. Dončić (drawn by B. Griffin),2,9
28,1,8:50.0,,A. Drummond misses 2-pt layup from 1 ft,2,9
29,1,8:48.0,Defensive rebound by D. Finney-Smith,,2,9
30,1,8:43.0,Shooting foul by T. Snell (drawn by L. Dončić),,2,9
