,QUARTER,TIME_REMAINING,UTAH_ACTION,MEMPHIS_ACTION,UTAH_SCORE,MEMPHIS_SCORE
0,1,11:37.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by J. Morant),0,3
1,1,11:16.0,D. Mitchell misses 3-pt jump shot from 24 ft,,0,3
2,1,11:13.0,Offensive rebound by R. Gobert,,0,3
3,1,11:12.0,R. Gobert makes 2-pt layup from 1 ft,,2,3
4,1,11:03.0,,Turnover by J. Valančiūnas (traveling),2,3
5,1,10:52.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,3
6,1,10:50.0,,Defensive rebound by J. Valančiūnas,2,3
7,1,10:41.0,,J. Morant misses 3-pt jump shot from 29 ft,2,3
8,1,10:37.0,Defensive rebound by R. Gobert,,2,3
9,1,10:29.0,M. Conley misses 3-pt jump shot from 27 ft,,2,3
10,1,10:26.0,,Defensive rebound by J. Crowder,2,3
11,1,10:15.0,,J. Morant misses 2-pt layup from 2 ft,2,3
12,1,10:13.0,Defensive rebound by R. O'Neale,,2,3
13,1,10:02.0,D. Mitchell makes 3-pt jump shot from 25 ft,,5,3
14,1,9:46.0,,Personal foul by D. Mitchell (drawn by D. Brooks),5,3
15,1,9:41.0,,D. Brooks misses 3-pt jump shot from 26 ft,5,3
16,1,9:38.0,Defensive rebound by R. O'Neale,,5,3
17,1,9:26.0,M. Conley misses 2-pt jump shot from 19 ft,,5,3
18,1,9:25.0,,Defensive rebound by Team,5,3
19,1,9:07.0,,J. Jackson misses 3-pt jump shot from 27 ft,5,3
20,1,9:01.0,,Offensive rebound by J. Valančiūnas,5,3
21,1,9:01.0,,J. Valančiūnas makes 2-pt layup from 1 ft,5,5
22,1,8:49.0,Turnover by D. Mitchell (bad pass; steal by J. Jackson),,5,5
23,1,8:44.0,,D. Brooks misses 3-pt jump shot from 25 ft,5,5
24,1,8:41.0,,Offensive rebound by J. Jackson,5,5
25,1,8:39.0,,J. Crowder misses 3-pt jump shot from 25 ft,5,5
26,1,8:38.0,,Offensive rebound by Team,5,5
27,1,8:38.0,Loose ball foul by R. O'Neale (drawn by D. Brooks),,5,5
28,1,8:31.0,,J. Morant misses 2-pt layup from 2 ft,5,5
29,1,8:29.0,Defensive rebound by R. Gobert,,5,5
30,1,8:25.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,5,5
31,1,8:21.0,,Defensive rebound by J. Valančiūnas,5,5
32,1,8:15.0,,Offensive foul by D. Brooks (drawn by M. Conley),5,5
33,1,8:15.0,,Turnover by D. Brooks (offensive foul),5,5
34,1,8:02.0,R. Gobert makes 2-pt dunk at rim (assist by D. Mitchell),,7,5
35,1,8:02.0,,Memphis full timeout,7,5
36,1,7:46.0,,Turnover by J. Crowder (bad pass; steal by R. O'Neale),7,5
37,1,7:26.0,D. Mitchell misses 3-pt jump shot from 26 ft,,7,5
38,1,7:22.0,,Defensive rebound by J. Valančiūnas,7,5
39,1,7:11.0,,J. Jackson misses 2-pt hook shot from 6 ft,7,5
40,1,7:08.0,Defensive rebound by D. Mitchell,,7,5
41,1,7:04.0,R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,10,5
