,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,S. Adams misses 2-pt hook shot from 10 ft,0,0
1,1,11:37.0,Defensive rebound by C. Anthony,,0,0
2,1,11:18.0,N. Little misses 3-pt jump shot from 24 ft,,0,0
3,1,11:15.0,Offensive rebound by N. Little,,0,0
4,1,11:13.0,N. Little makes 2-pt layup from 1 ft,,2,0
5,1,11:07.0,,H. Diallo makes 2-pt layup from 2 ft (assist by C. Paul),2,2
6,1,10:51.0,A. Simons misses 2-pt jump shot from 21 ft,,2,2
7,1,10:47.0,,Defensive rebound by D. Bazley,2,2
8,1,10:38.0,,C. Paul makes 2-pt jump shot from 14 ft,2,4
9,1,10:23.0,D. Lillard makes 3-pt jump shot from 25 ft,,5,4
10,1,10:08.0,,D. Bazley misses 2-pt layup from 2 ft,5,4
11,1,10:07.0,,Offensive rebound by D. Bazley,5,4
12,1,10:07.0,,Personal foul by N. Little (drawn by D. Bazley),5,4
13,1,9:59.0,,Shooting foul by H. Whiteside (drawn by D. Bazley),5,4
14,1,9:59.0,,D. Bazley makes free throw 1 of 2,5,5
15,1,9:59.0,,D. Bazley makes free throw 2 of 2,5,6
16,1,9:46.0,H. Whiteside misses 2-pt jump shot from 15 ft,,5,6
17,1,9:43.0,,Defensive rebound by C. Paul,5,6
18,1,9:37.0,,S. Adams misses 2-pt jump shot from 4 ft (block by H. Whiteside),5,6
19,1,9:35.0,Defensive rebound by H. Whiteside,,5,6
20,1,9:32.0,D. Lillard misses 3-pt jump shot from 27 ft,,5,6
21,1,9:29.0,,Defensive rebound by Team,5,6
22,1,9:22.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,5,6
23,1,9:19.0,,Offensive rebound by S. Adams,5,6
24,1,9:18.0,,S. Adams misses 2-pt layup from 1 ft (block by N. Little),5,6
25,1,9:16.0,Defensive rebound by C. Anthony,,5,6
26,1,9:12.0,C. Anthony makes 2-pt jump shot from 20 ft,,7,6
27,1,9:03.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,7,8
28,1,8:49.0,Personal foul by H. Diallo (drawn by D. Lillard),,7,8
29,1,8:41.0,C. Anthony makes 2-pt jump shot from 10 ft,,9,8
30,1,8:33.0,,C. Paul makes 3-pt jump shot from 25 ft,9,11
31,1,8:17.0,D. Lillard makes 2-pt layup from 2 ft,,11,11
32,1,8:06.0,,C. Paul makes 2-pt jump shot from 14 ft,11,13
33,1,7:49.0,H. Whiteside misses 2-pt jump shot from 21 ft,,11,13
34,1,7:46.0,,Defensive rebound by S. Adams,11,13
35,1,7:32.0,,C. Paul makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),11,16
36,1,7:11.0,H. Whiteside makes 2-pt jump shot from 8 ft (assist by D. Lillard),,13,16
37,1,6:55.0,,S. Gilgeous-Alexander makes 2-pt layup from 5 ft,13,18
38,1,6:38.0,C. Anthony misses 2-pt jump shot from 11 ft,,13,18
39,1,6:35.0,,Defensive rebound by C. Paul,13,18
40,1,6:31.0,,S. Gilgeous-Alexander makes 2-pt layup from 3 ft (assist by C. Paul),13,20
41,1,6:31.0,Portland full timeout,,13,20
42,1,6:31.0,M. Hezonja enters the game for N. Little,,13,20
43,1,6:31.0,G. Trent enters the game for A. Simons,,13,20
44,1,6:31.0,,N. Noel enters the game for S. Adams,13,20
