,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SAN ANTONIO_ACTION,NEW ORLEANS_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,J. Holiday makes 2-pt jump shot from 11 ft,,2,0
1,1,11:21.0,,L. Aldridge misses 2-pt jump shot from 12 ft,2,0
2,1,11:20.0,Defensive rebound by S. Hill,,2,0
3,1,11:10.0,F. Jackson misses 3-pt jump shot from 24 ft,,2,0
4,1,11:07.0,,Defensive rebound by L. Aldridge,2,0
5,1,10:59.0,,D. White misses 3-pt jump shot from 26 ft,2,0
6,1,10:57.0,,Offensive rebound by L. Aldridge,2,0
7,1,10:45.0,,D. DeRozan misses 2-pt jump shot from 7 ft,2,0
8,1,10:43.0,Defensive rebound by J. Holiday,,2,0
9,1,10:40.0,S. Hill misses 2-pt layup from 2 ft,,2,0
10,1,10:37.0,,Defensive rebound by D. DeRozan,2,0
11,1,10:19.0,,L. Aldridge makes 2-pt jump shot from 8 ft (assist by B. Forbes),2,2
12,1,10:06.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,2
13,1,10:04.0,,Defensive rebound by L. Aldridge,2,2
14,1,9:51.0,,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. DeRozan),2,4
15,1,9:37.0,D. Miller misses 3-pt jump shot from 24 ft,,2,4
16,1,9:34.0,,Defensive rebound by D. White,2,4
17,1,9:27.0,,R. Gay makes 2-pt dunk from 1 ft (assist by D. White),2,6
18,1,9:11.0,J. Okafor misses 2-pt jump shot from 10 ft,,2,6
19,1,9:10.0,,Defensive rebound by D. White,2,6
20,1,8:57.0,,L. Aldridge misses 2-pt jump shot from 10 ft,2,6
21,1,8:56.0,Defensive rebound by Team,,2,6
22,1,8:48.0,J. Okafor makes 2-pt layup from 4 ft (assist by J. Holiday),,4,6
23,1,8:33.0,,L. Aldridge makes 2-pt hook shot from 10 ft,4,8
24,1,8:11.0,J. Okafor misses 2-pt jump shot from 11 ft (block by D. DeRozan),,4,8
25,1,8:08.0,,Defensive rebound by D. White,4,8
26,1,8:06.0,,D. White makes 2-pt layup at rim,4,10
27,1,7:54.0,F. Jackson makes 2-pt layup from 2 ft (assist by J. Okafor),,6,10
28,1,7:38.0,,B. Forbes misses 3-pt jump shot from 23 ft,6,10
29,1,7:35.0,Defensive rebound by J. Holiday,,6,10
30,1,7:23.0,S. Hill misses 3-pt jump shot from 23 ft,,6,10
31,1,7:20.0,,Defensive rebound by D. DeRozan,6,10
32,1,7:11.0,,R. Gay makes 3-pt jump shot from 23 ft (assist by D. White),6,13
33,1,6:42.0,S. Hill misses 2-pt jump shot from 2 ft,,6,13
34,1,6:38.0,,Defensive rebound by L. Aldridge,6,13
35,1,6:27.0,,D. White misses 2-pt dunk from 3 ft (block by J. Okafor),6,13
36,1,6:24.0,Defensive rebound by S. Hill,,6,13
37,1,6:21.0,D. Miller misses 3-pt jump shot from 25 ft,,6,13
38,1,6:21.0,,Defensive rebound by L. Aldridge,6,13
39,1,6:13.0,,San Antonio full timeout,6,13
40,1,6:13.0,K. Williams enters the game for S. Hill,,6,13
41,1,6:07.0,,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),6,16
42,1,6:07.0,,Shooting foul by F. Jackson (drawn by B. Forbes),6,16
43,1,6:07.0,,B. Forbes makes free throw 1 of 1,6,17
44,1,5:49.0,F. Jackson misses 3-pt jump shot from 23 ft,,6,17
45,1,5:49.0,Offensive rebound by J. Holiday,,6,17
46,1,5:45.0,D. Miller misses 3-pt jump shot from 26 ft,,6,17
47,1,5:42.0,,Defensive rebound by D. White,6,17
48,1,5:34.0,,Shooting foul by K. Williams (drawn by D. DeRozan),6,17
49,1,5:34.0,,D. DeRozan makes free throw 1 of 2,6,18
50,1,5:34.0,,P. Mills enters the game for B. Forbes,6,18
51,1,5:34.0,,D. DeRozan makes free throw 2 of 2,6,19
52,1,5:21.0,J. Holiday makes 2-pt layup from 2 ft (assist by J. Okafor),,8,19
53,1,5:04.0,,L. Aldridge makes 2-pt jump shot from 14 ft,8,21
54,1,4:57.0,Turnover by D. Miller (step out of bounds),,8,21
55,1,4:44.0,,D. DeRozan misses 2-pt layup from 2 ft,8,21
56,1,4:42.0,,Offensive rebound by D. DeRozan,8,21
57,1,4:31.0,,L. Aldridge makes 2-pt jump shot from 15 ft,8,23
58,1,4:17.0,J. Holiday misses 2-pt jump shot from 8 ft,,8,23
59,1,4:15.0,,Defensive rebound by R. Gay,8,23
60,1,4:09.0,,D. White misses 2-pt jump shot from 2 ft,8,23
61,1,4:07.0,Defensive rebound by J. Okafor,,8,23
62,1,4:01.0,F. Jackson makes 2-pt dunk from 1 ft (assist by K. Williams),,10,23
63,1,3:49.0,,P. Mills makes 2-pt jump shot from 19 ft,10,25
64,1,3:38.0,K. Williams makes 2-pt layup from 3 ft (assist by F. Jackson),,12,25
65,1,3:38.0,,Violation by Team (def goaltending),12,25
66,1,3:25.0,,R. Gay makes 2-pt jump shot from 12 ft (assist by D. DeRozan),12,27
67,1,3:14.0,D. Miller makes 2-pt jump shot from 8 ft,,14,27
68,1,3:01.0,,D. DeRozan misses 2-pt jump shot from 8 ft,14,27
69,1,2:56.0,Defensive rebound by D. Miller,,14,27
70,1,2:51.0,J. Holiday makes 2-pt layup from 5 ft,,16,27
71,1,2:51.0,Shooting foul by D. DeRozan (drawn by J. Holiday),,16,27
72,1,2:51.0,,Technical foul by D. DeRozan,16,27
73,1,2:51.0,New Orleans full timeout,,16,27
74,1,2:51.0,C. Diallo enters the game for F. Jackson,,16,27
75,1,2:51.0,T. Frazier enters the game for J. Okafor,,16,27
76,1,2:51.0,,M. Belinelli enters the game for D. DeRozan,16,27
77,1,2:51.0,,D. Bertāns enters the game for R. Gay,16,27
78,1,2:51.0,,B. Forbes enters the game for D. White,16,27
79,1,2:51.0,D. Miller makes technical free throw,,17,27
80,1,2:51.0,J. Holiday makes free throw 1 of 1,,18,27
81,1,2:34.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. Bertāns),18,29
82,1,2:27.0,Personal foul by D. Bertāns (drawn by K. Williams),,18,29
83,1,2:10.0,T. Frazier misses 3-pt jump shot from 23 ft,,18,29
84,1,2:07.0,Offensive rebound by T. Frazier,,18,29
85,1,2:06.0,T. Frazier makes 2-pt layup from 2 ft,,20,29
86,1,1:56.0,,B. Forbes misses 3-pt jump shot from 23 ft,20,29
87,1,1:56.0,Defensive rebound by T. Frazier,,20,29
88,1,1:45.0,Turnover by T. Frazier (bad pass; steal by L. Aldridge),,20,29
89,1,1:37.0,,L. Aldridge makes 2-pt layup at rim (assist by M. Belinelli),20,31
90,1,1:22.0,J. Holiday misses 2-pt jump shot from 14 ft,,20,31
91,1,1:20.0,,Defensive rebound by D. Bertāns,20,31
92,1,1:10.0,,M. Belinelli makes 2-pt jump shot from 7 ft (assist by B. Forbes),20,33
93,1,0:54.0,C. Diallo makes 2-pt jump shot from 10 ft (assist by T. Frazier),,22,33
