,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:32.0,C. Capela misses 2-pt hook shot from 5 ft,,0,0
1,1,11:30.0,,Defensive rebound by L. James,0,0
2,1,11:21.0,,Turnover by L. James (bad pass),0,0
3,1,11:06.0,J. Harden misses 2-pt layup from 2 ft (block by J. McGee),,0,0
4,1,11:03.0,,Defensive rebound by K. Kuzma,0,0
5,1,11:00.0,,B. Ingram misses 3-pt jump shot from 23 ft,0,0
6,1,10:55.0,Defensive rebound by J. Harden,,0,0
7,1,10:52.0,Turnover by J. Harden (lost ball; steal by K. Kuzma),,0,0
8,1,10:46.0,,K. Kuzma misses 2-pt layup from 2 ft,0,0
9,1,10:44.0,Defensive rebound by C. Paul,,0,0
10,1,10:31.0,C. Paul makes 3-pt jump shot from 24 ft,,3,0
11,1,10:11.0,,Shooting foul by P. Tucker (drawn by B. Ingram),3,0
12,1,10:11.0,,B. Ingram misses free throw 1 of 2,3,0
13,1,10:11.0,,Offensive rebound by Team,3,0
14,1,10:11.0,,B. Ingram misses free throw 2 of 2,3,0
15,1,10:08.0,,Offensive rebound by L. James,3,0
16,1,10:05.0,,L. James makes 2-pt jump shot from 22 ft,3,2
17,1,9:50.0,E. Gordon misses 3-pt jump shot from 27 ft,,3,2
18,1,9:46.0,,Defensive rebound by B. Ingram,3,2
19,1,9:38.0,,R. Bullock misses 3-pt jump shot from 27 ft,3,2
20,1,9:33.0,,Offensive rebound by J. McGee,3,2
21,1,9:32.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by J. McGee),3,5
22,1,9:18.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),,6,5
23,1,8:51.0,,B. Ingram makes 2-pt layup from 1 ft,6,7
24,1,8:41.0,Personal foul by B. Ingram (drawn by C. Capela),,6,7
25,1,8:36.0,Personal foul by J. McGee (drawn by C. Capela),,6,7
26,1,8:26.0,C. Capela misses 2-pt layup from 3 ft (block by L. James),,6,7
27,1,8:23.0,Offensive rebound by C. Paul,,6,7
28,1,8:22.0,J. Harden misses 3-pt jump shot from 27 ft,,6,7
29,1,8:19.0,,Defensive rebound by J. McGee,6,7
30,1,8:12.0,,L. James misses 2-pt jump shot from 19 ft,6,7
31,1,8:09.0,Defensive rebound by J. Harden,,6,7
32,1,8:01.0,J. Harden makes 2-pt layup from 1 ft,,8,7
33,1,7:48.0,,Turnover by L. James (bad pass; steal by E. Gordon),8,7
34,1,7:44.0,C. Capela makes 2-pt dunk from 2 ft (assist by E. Gordon),,10,7
35,1,7:30.0,,R. Bullock misses 3-pt jump shot from 27 ft,10,7
36,1,7:26.0,Defensive rebound by C. Paul,,10,7
37,1,7:20.0,P. Tucker misses 3-pt jump shot from 24 ft,,10,7
38,1,7:18.0,,Defensive rebound by B. Ingram,10,7
39,1,7:15.0,,Personal foul by J. Harden (drawn by B. Ingram),10,7
40,1,7:07.0,,B. Ingram makes 2-pt layup from 2 ft (assist by L. James),10,9
41,1,6:51.0,C. Paul misses 2-pt jump shot from 11 ft,,10,9
42,1,6:49.0,,Defensive rebound by L. James,10,9
43,1,6:46.0,Violation by Team (kicked ball),,10,9
44,1,6:46.0,,LA Lakers full timeout,10,9
45,1,6:46.0,G. Green enters the game for C. Paul,,10,9
46,1,6:38.0,,K. Kuzma misses 3-pt jump shot from 26 ft,10,9
47,1,6:34.0,,Offensive rebound by L. James,10,9
48,1,6:24.0,,R. Bullock makes 3-pt jump shot from 27 ft (assist by K. Kuzma),10,12
49,1,6:10.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,12,12
50,1,5:50.0,,J. McGee makes 2-pt jump shot from 13 ft (assist by K. Kuzma),12,14
51,1,5:50.0,,Shooting foul by J. Harden (drawn by J. McGee),12,14
52,1,5:50.0,A. Rivers enters the game for E. Gordon,,12,14
53,1,5:50.0,,K. Caldwell-Pope enters the game for R. Bullock,12,14
54,1,5:50.0,,R. Rondo enters the game for B. Ingram,12,14
55,1,5:50.0,,J. McGee makes free throw 1 of 1,12,15
56,1,5:41.0,Shooting foul by J. McGee (drawn by J. Harden),,12,15
57,1,5:41.0,J. Harden makes free throw 1 of 2,,13,15
58,1,5:41.0,,T. Chandler enters the game for J. McGee,13,15
59,1,5:41.0,J. Harden makes free throw 2 of 2,,14,15
60,1,5:26.0,,L. James misses 2-pt layup from 3 ft,14,15
61,1,5:24.0,Defensive rebound by C. Capela,,14,15
62,1,5:15.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,16,15
63,1,5:04.0,,Turnover by R. Rondo (bad pass),16,15
64,1,5:04.0,N. Hilário enters the game for C. Capela,,16,15
65,1,4:46.0,Turnover by J. Harden (step out of bounds),,16,15
66,1,4:30.0,,K. Kuzma makes 2-pt dunk from 3 ft (assist by R. Rondo),16,17
67,1,4:07.0,Shooting foul by K. Caldwell-Pope (drawn by J. Harden),,16,17
68,1,4:07.0,J. Harden makes free throw 1 of 2,,17,17
69,1,4:07.0,J. Harden makes free throw 2 of 2,,18,17
70,1,3:59.0,,Turnover by R. Rondo (bad pass),18,17
71,1,3:51.0,Offensive foul by J. Harden (drawn by K. Caldwell-Pope),,18,17
72,1,3:51.0,Turnover by J. Harden (offensive foul),,18,17
73,1,3:51.0,C. Paul enters the game for J. Harden,,18,17
74,1,3:42.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,18,17
75,1,3:41.0,,Offensive rebound by Team,18,17
76,1,3:36.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,18,17
77,1,3:31.0,Defensive rebound by C. Paul,,18,17
78,1,3:23.0,G. Green misses 3-pt jump shot from 26 ft,,18,17
79,1,3:22.0,,Defensive rebound by K. Kuzma,18,17
80,1,3:22.0,,Personal take foul by G. Green (drawn by K. Caldwell-Pope),18,17
81,1,3:07.0,,Turnover by L. James (back court),18,17
82,1,2:54.0,G. Green makes 2-pt layup from 2 ft (assist by C. Paul),,20,17
83,1,2:47.0,,L. James makes 2-pt layup from 3 ft (assist by R. Rondo),20,19
84,1,2:47.0,Violation by Team (def goaltending),,20,19
85,1,2:33.0,A. Rivers makes 2-pt jump shot from 8 ft,,22,19
86,1,2:24.0,,K. Kuzma misses 2-pt jump shot from 20 ft,22,19
87,1,2:20.0,Defensive rebound by A. Rivers,,22,19
88,1,2:13.0,C. Paul misses 2-pt jump shot from 14 ft,,22,19
89,1,2:12.0,Offensive rebound by Team,,22,19
90,1,2:12.0,,Loose ball foul by K. Caldwell-Pope (drawn by N. Hilário),22,19
91,1,2:12.0,Houston full timeout,,22,19
92,1,2:12.0,K. Faried enters the game for P. Tucker,,22,19
93,1,2:12.0,,B. Ingram enters the game for L. James,22,19
94,1,2:12.0,,L. Stephenson enters the game for K. Kuzma,22,19
95,1,2:12.0,N. Hilário makes free throw 1 of 2,,23,19
96,1,2:12.0,N. Hilário makes free throw 2 of 2,,24,19
97,1,2:02.0,,Turnover by K. Caldwell-Pope (bad pass; steal by C. Paul),24,19
98,1,1:57.0,G. Green misses 3-pt jump shot from 25 ft,,24,19
99,1,1:53.0,,Defensive rebound by B. Ingram,24,19
100,1,1:48.0,,B. Ingram makes 2-pt layup from 1 ft,24,21
101,1,1:48.0,,Shooting foul by K. Faried (drawn by B. Ingram),24,21
102,1,1:48.0,,B. Ingram makes free throw 1 of 1,24,22
103,1,1:33.0,Personal foul by L. Stephenson (drawn by K. Faried),,24,22
104,1,1:33.0,K. Faried makes free throw 1 of 2,,25,22
105,1,1:33.0,K. Faried makes free throw 2 of 2,,26,22
106,1,1:15.0,,R. Rondo misses 2-pt jump shot from 13 ft,26,22
107,1,1:12.0,Defensive rebound by C. Paul,,26,22
108,1,0:58.0,K. Faried makes 3-pt jump shot from 27 ft (assist by C. Paul),,29,22
109,1,0:47.0,,Turnover by T. Chandler (bad pass; steal by A. Rivers),29,22
110,1,0:41.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Paul),,32,22
111,1,0:23.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,32,22
112,1,0:20.0,Defensive rebound by C. Paul,,32,22
113,1,0:03.0,C. Paul misses 3-pt jump shot from 26 ft,,32,22
114,1,0:01.0,,Defensive rebound by T. Chandler,32,22
115,2,11:49.0,,Personal take foul by C. Paul (drawn by L. James),32,22
116,2,11:41.0,,B. Ingram misses 2-pt layup from 3 ft,32,22
117,2,11:38.0,Defensive rebound by C. Capela,,32,22
118,2,11:23.0,A. Rivers misses 3-pt jump shot from 25 ft,,32,22
119,2,11:21.0,,Defensive rebound by R. Rondo,32,22
120,2,11:07.0,,L. James makes 2-pt layup from 1 ft (assist by B. Ingram),32,24
121,2,10:47.0,E. Gordon makes 3-pt jump shot from 27 ft (assist by C. Paul),,35,24
122,2,10:32.0,,L. Stephenson misses 3-pt jump shot from 25 ft,35,24
