,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:50.0,Turnover by M. Conley (bad pass; steal by D. Jones),,0,0
1,1,11:45.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Jones),0,2
2,1,11:20.0,K. Anderson misses 2-pt jump shot from 17 ft,,0,2
3,1,11:20.0,,Defensive rebound by D. Jones,0,2
4,1,11:06.0,,Personal foul by M. Conley (drawn by S. Curry),0,2
5,1,10:59.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),0,4
6,1,10:39.0,M. Conley makes 3-pt jump shot from 27 ft,,3,4
7,1,10:32.0,,S. Curry misses 3-pt jump shot from 31 ft,3,4
8,1,10:30.0,Defensive rebound by Team,,3,4
9,1,10:06.0,M. Conley makes 2-pt layup from 2 ft,,5,4
10,1,9:49.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),5,6
11,1,9:26.0,Turnover by J. Jackson (out of bounds lost ball),,5,6
12,1,9:19.0,,K. Thompson misses 3-pt jump shot from 23 ft,5,6
13,1,9:17.0,,Offensive rebound by S. Curry,5,6
14,1,9:15.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),5,6
15,1,9:01.0,G. Temple makes 2-pt jump shot from 11 ft (assist by K. Anderson),,7,6
16,1,8:46.0,,S. Curry misses 2-pt jump shot from 22 ft,7,6
17,1,8:45.0,Defensive rebound by M. Gasol,,7,6
18,1,8:37.0,J. Jackson makes 2-pt layup from 1 ft (assist by G. Temple),,9,6
19,1,8:23.0,,Shooting foul by K. Anderson (drawn by D. Jones),9,6
20,1,8:23.0,,D. Jones makes free throw 1 of 2,9,7
21,1,8:23.0,,D. Jones makes free throw 2 of 2,9,8
22,1,8:10.0,Turnover by M. Gasol (bad pass; steal by K. Durant),,9,8
23,1,8:02.0,,K. Durant makes 2-pt layup from 2 ft,9,10
24,1,7:49.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by M. Conley),,11,10
25,1,7:35.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,10
26,1,7:33.0,Defensive rebound by M. Gasol,,11,10
27,1,7:13.0,M. Conley misses 3-pt jump shot from 25 ft,,11,10
28,1,7:11.0,,Defensive rebound by D. Green,11,10
29,1,7:04.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),11,12
30,1,7:03.0,Memphis full timeout,,11,12
31,1,6:40.0,K. Anderson misses 2-pt jump shot from 9 ft,,11,12
32,1,6:37.0,,Defensive rebound by D. Jones,11,12
33,1,6:33.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,12
34,1,6:29.0,Defensive rebound by M. Gasol,,11,12
35,1,6:28.0,J. Jackson misses 2-pt hook shot from 7 ft,,11,12
36,1,6:20.0,,Defensive rebound by S. Curry,11,12
37,1,6:11.0,,D. Green misses 2-pt layup from 1 ft,11,12
38,1,6:07.0,Defensive rebound by M. Gasol,,11,12
39,1,5:51.0,M. Conley misses 3-pt jump shot from 27 ft,,11,12
40,1,5:47.0,,Defensive rebound by S. Curry,11,12
41,1,5:43.0,,Offensive foul by D. Jones (drawn by M. Gasol),11,12
42,1,5:43.0,,Turnover by D. Jones (offensive foul),11,12
43,1,5:43.0,D. Brooks enters the game for K. Anderson,,11,12
44,1,5:23.0,D. Brooks makes 3-pt jump shot from 23 ft (assist by J. Jackson),,14,12
45,1,5:06.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),14,15
46,1,4:41.0,D. Brooks makes 2-pt layup from 2 ft (assist by M. Gasol),,16,15
47,1,4:41.0,Shooting foul by D. Jones (drawn by D. Brooks),,16,15
48,1,4:41.0,S. Mack enters the game for M. Conley,,16,15
49,1,4:41.0,W. Selden enters the game for G. Temple,,16,15
50,1,4:41.0,,K. Looney enters the game for D. Jones,16,15
51,1,4:41.0,D. Brooks makes free throw 1 of 1,,17,15
52,1,4:32.0,,Offensive foul by K. Looney (drawn by S. Mack),17,15
53,1,4:32.0,,Turnover by K. Looney (offensive foul),17,15
