,QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
0,1,11:43.0,T. Rozier misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by C. Sexton,0,0
2,1,11:35.0,,C. Sexton makes 2-pt layup at rim,0,2
3,1,11:22.0,M. Smart misses 2-pt jump shot from 16 ft,,0,2
4,1,11:20.0,,Defensive rebound by K. Love,0,2
5,1,11:08.0,,K. Love misses 3-pt jump shot from 27 ft,0,2
6,1,11:04.0,Defensive rebound by T. Rozier,,0,2
7,1,10:54.0,Turnover by A. Baynes (lost ball; steal by K. Love),,0,2
8,1,10:42.0,,B. Knight makes 2-pt layup from 1 ft (assist by T. Thompson),0,4
9,1,10:28.0,J. Tatum misses 2-pt jump shot from 16 ft,,0,4
10,1,10:26.0,Offensive rebound by J. Tatum,,0,4
11,1,10:22.0,Personal foul by C. Osman (drawn by J. Tatum),,0,4
12,1,10:12.0,A. Horford makes 2-pt jump shot from 1 ft,,2,4
13,1,9:57.0,,K. Love misses 2-pt jump shot from 18 ft,2,4
14,1,9:54.0,Defensive rebound by A. Horford,,2,4
15,1,9:47.0,T. Rozier misses 2-pt jump shot from 6 ft,,2,4
16,1,9:43.0,,Defensive rebound by C. Sexton,2,4
17,1,9:40.0,,C. Osman misses 3-pt jump shot from 23 ft,2,4
18,1,9:37.0,Defensive rebound by A. Baynes,,2,4
19,1,9:32.0,M. Smart misses 2-pt layup at rim,,2,4
20,1,9:28.0,,Defensive rebound by K. Love,2,4
21,1,9:26.0,,C. Sexton misses 2-pt layup from 1 ft (block by A. Horford),2,4
22,1,9:23.0,Defensive rebound by T. Rozier,,2,4
23,1,9:19.0,T. Rozier makes 2-pt layup from 1 ft,,4,4
24,1,9:05.0,,Shooting foul by A. Baynes (drawn by T. Thompson),4,4
25,1,9:05.0,,T. Thompson misses free throw 1 of 2,4,4
26,1,9:05.0,,Offensive rebound by Team,4,4
27,1,9:05.0,,T. Thompson makes free throw 2 of 2,4,5
28,1,8:51.0,M. Smart makes 2-pt jump shot from 11 ft (assist by A. Baynes),,6,5
29,1,8:29.0,,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),6,7
30,1,8:19.0,M. Smart misses 3-pt jump shot from 25 ft,,6,7
31,1,8:15.0,,Defensive rebound by K. Love,6,7
32,1,8:12.0,,Offensive foul by T. Thompson (drawn by A. Baynes),6,7
33,1,8:12.0,,Turnover by T. Thompson (offensive foul),6,7
34,1,7:56.0,J. Tatum misses 3-pt jump shot from 26 ft,,6,7
35,1,7:53.0,,Defensive rebound by K. Love,6,7
36,1,7:44.0,,Turnover by K. Love (out of bounds lost ball),6,7
37,1,7:37.0,Offensive foul by J. Tatum (drawn by C. Sexton),,6,7
38,1,7:37.0,Turnover by J. Tatum (offensive foul),,6,7
39,1,7:20.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by K. Love),6,9
40,1,7:06.0,J. Tatum makes 2-pt layup at rim,,8,9
41,1,6:53.0,,K. Love misses 2-pt jump shot from 20 ft,8,9
42,1,6:51.0,,Offensive rebound by Team,8,9
43,1,6:51.0,,Cleveland full timeout,8,9
44,1,6:51.0,G. Hayward enters the game for A. Horford,,8,9
45,1,6:51.0,M. Morris enters the game for T. Rozier,,8,9
46,1,6:50.0,,K. Love misses 2-pt layup from 1 ft,8,9
47,1,6:49.0,,Offensive rebound by K. Love,8,9
48,1,6:48.0,,K. Love misses 2-pt layup from 1 ft,8,9
49,1,6:47.0,,Offensive rebound by T. Thompson,8,9
50,1,6:47.0,,T. Thompson misses 2-pt layup from 1 ft,8,9
51,1,6:46.0,Defensive rebound by G. Hayward,,8,9
52,1,6:27.0,M. Morris misses 3-pt jump shot from 26 ft,,8,9
53,1,6:27.0,,Defensive rebound by K. Love,8,9
54,1,6:13.0,,Turnover by C. Sexton (lost ball; steal by M. Morris),8,9
55,1,6:08.0,M. Morris makes 2-pt layup from 1 ft,,10,9
56,1,6:08.0,,J. Clarkson enters the game for B. Knight,10,9
57,1,5:50.0,,K. Love misses 3-pt jump shot from 25 ft,10,9
58,1,5:50.0,Defensive rebound by M. Smart,,10,9
59,1,5:43.0,J. Tatum makes 2-pt jump shot from 19 ft,,12,9
60,1,5:18.0,,T. Thompson makes 2-pt jump shot from 11 ft,12,11
61,1,5:05.0,M. Smart makes 2-pt jump shot from 20 ft (assist by G. Hayward),,14,11
62,1,4:41.0,,K. Love misses 3-pt jump shot from 27 ft,14,11
63,1,4:38.0,Defensive rebound by G. Hayward,,14,11
64,1,4:31.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by G. Hayward),,17,11
65,1,4:29.0,,Cleveland full timeout,17,11
66,1,4:29.0,D. Theis enters the game for A. Baynes,,17,11
67,1,4:29.0,,L. Nance enters the game for K. Love,17,11
68,1,4:29.0,,D. Nwaba enters the game for T. Thompson,17,11
69,1,4:19.0,,J. Clarkson makes 2-pt jump shot from 13 ft,17,13
70,1,4:05.0,J. Tatum makes 2-pt jump shot from 14 ft,,19,13
71,1,3:44.0,,Turnover by J. Clarkson (bad pass; steal by J. Tatum),19,13
72,1,3:40.0,J. Tatum makes 2-pt layup from 2 ft (assist by M. Smart),,21,13
73,1,3:21.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Osman),21,15
74,1,3:10.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by G. Hayward),,24,15
75,1,2:51.0,,D. Nwaba misses 3-pt jump shot from 25 ft,24,15
76,1,2:49.0,Defensive rebound by J. Tatum,,24,15
77,1,2:45.0,M. Morris misses 3-pt jump shot from 26 ft,,24,15
78,1,2:41.0,Offensive rebound by D. Theis,,24,15
79,1,2:39.0,G. Hayward misses 3-pt jump shot from 26 ft,,24,15
80,1,2:34.0,Offensive rebound by M. Smart,,24,15
81,1,2:34.0,M. Smart misses 2-pt dunk from 1 ft,,24,15
82,1,2:33.0,,Defensive rebound by D. Nwaba,24,15
83,1,2:24.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by L. Nance),24,18
84,1,2:08.0,J. Tatum misses 2-pt jump shot from 23 ft,,24,18
85,1,2:04.0,,Defensive rebound by J. Clarkson,24,18
86,1,2:04.0,,C. Osman makes 2-pt layup from 2 ft (assist by J. Clarkson),24,20
87,1,2:04.0,,Shooting foul by D. Theis (drawn by C. Osman),24,20
88,1,2:04.0,J. Brown enters the game for M. Smart,,24,20
89,1,2:04.0,T. Rozier enters the game for J. Tatum,,24,20
90,1,2:04.0,,B. Knight enters the game for C. Sexton,24,20
91,1,2:04.0,,C. Osman misses free throw 1 of 1,24,20
92,1,2:01.0,Defensive rebound by M. Morris,,24,20
93,1,1:47.0,M. Morris misses 2-pt jump shot from 11 ft,,24,20
94,1,1:42.0,Offensive rebound by T. Rozier,,24,20
95,1,1:39.0,T. Rozier misses 2-pt jump shot from 1 ft,,24,20
96,1,1:36.0,,Defensive rebound by C. Osman,24,20
97,1,1:36.0,,M. Chriss enters the game for C. Osman,24,20
