,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:42.0,B. Lopez makes 2-pt layup from 1 ft,,2,0
1,1,11:24.0,,R. McGruder misses 2-pt jump shot from 8 ft (block by B. Lopez),2,0
2,1,11:22.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:16.0,K. Middleton misses 3-pt jump shot from 22 ft,,2,0
4,1,11:13.0,,Defensive rebound by J. Richardson,2,0
5,1,11:05.0,,Personal foul by E. Bledsoe (drawn by J. Richardson),2,0
6,1,10:51.0,,Turnover by R. McGruder (bad pass; steal by B. Lopez),2,0
7,1,10:45.0,B. Lopez misses 3-pt jump shot from 29 ft,,2,0
8,1,10:43.0,,Defensive rebound by H. Whiteside,2,0
9,1,10:34.0,,J. Winslow misses 3-pt jump shot from 25 ft,2,0
10,1,10:30.0,Defensive rebound by G. Antetokounmpo,,2,0
11,1,10:22.0,G. Antetokounmpo misses 3-pt jump shot from 29 ft,,2,0
12,1,10:18.0,,Defensive rebound by H. Whiteside,2,0
13,1,10:06.0,,J. Winslow misses 3-pt jump shot from 23 ft,2,0
14,1,10:04.0,Defensive rebound by G. Antetokounmpo,,2,0
15,1,9:58.0,T. Snell misses 3-pt jump shot from 25 ft,,2,0
16,1,9:56.0,,Defensive rebound by Team,2,0
17,1,9:40.0,,J. Johnson misses 3-pt jump shot from 26 ft,2,0
18,1,9:37.0,Defensive rebound by K. Middleton,,2,0
19,1,9:31.0,B. Lopez misses 3-pt jump shot from 26 ft,,2,0
20,1,9:27.0,,Defensive rebound by J. Winslow,2,0
21,1,9:20.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),2,2
22,1,8:54.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,2,2
23,1,8:50.0,,Defensive rebound by H. Whiteside,2,2
24,1,8:40.0,,J. Richardson misses 2-pt jump shot from 2 ft (block by B. Lopez),2,2
25,1,8:36.0,Defensive rebound by K. Middleton,,2,2
26,1,8:35.0,Turnover by K. Middleton (lost ball; steal by J. Johnson),,2,2
27,1,8:21.0,,J. Johnson makes 2-pt layup from 2 ft (assist by R. McGruder),2,4
28,1,8:08.0,K. Middleton makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),,4,4
29,1,7:46.0,,Turnover by H. Whiteside (3 sec),4,4
30,1,7:46.0,D. Wilson enters the game for B. Lopez,,4,4
31,1,7:36.0,K. Middleton misses 3-pt jump shot from 26 ft,,4,4
32,1,7:34.0,,Defensive rebound by H. Whiteside,4,4
33,1,7:28.0,,H. Whiteside makes 2-pt jump shot from 7 ft,4,6
34,1,7:13.0,D. Wilson misses 3-pt jump shot from 24 ft,,4,6
35,1,7:11.0,,Defensive rebound by J. Winslow,4,6
36,1,7:06.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Winslow),4,9
37,1,6:53.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Winslow),,4,9
38,1,6:52.0,,Turnover by J. Richardson (bad pass),4,9
39,1,6:52.0,,Miami full timeout,4,9
40,1,6:37.0,T. Snell misses 3-pt jump shot from 25 ft,,4,9
41,1,6:34.0,,Defensive rebound by J. Johnson,4,9
42,1,6:30.0,,J. Richardson misses 3-pt jump shot from 27 ft,4,9
43,1,6:26.0,Defensive rebound by D. Wilson,,4,9
44,1,6:17.0,T. Snell misses 3-pt jump shot from 24 ft,,4,9
45,1,6:14.0,,Defensive rebound by J. Richardson,4,9
46,1,5:59.0,,H. Whiteside misses 2-pt jump shot from 3 ft,4,9
47,1,5:57.0,Defensive rebound by G. Antetokounmpo,,4,9
48,1,5:53.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,4,9
49,1,5:50.0,,Defensive rebound by J. Richardson,4,9
50,1,5:40.0,,H. Whiteside misses 2-pt jump shot from 16 ft,4,9
51,1,5:38.0,Defensive rebound by G. Antetokounmpo,,4,9
52,1,5:16.0,Turnover by G. Antetokounmpo (bad pass),,4,9
53,1,5:16.0,S. Brown enters the game for G. Antetokounmpo,,4,9
54,1,5:16.0,B. Lopez enters the game for T. Snell,,4,9
55,1,5:16.0,,D. Wade enters the game for R. McGruder,4,9
56,1,4:57.0,,Turnover by J. Winslow (bad pass; steal by K. Middleton),4,9
57,1,4:53.0,K. Middleton misses 2-pt layup from 1 ft,,4,9
58,1,4:50.0,,Defensive rebound by J. Johnson,4,9
