,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:49.0,,Personal foul by B. Bogdanović (drawn by A. Gordon),0,0
1,1,11:36.0,,A. Gordon makes 2-pt layup from 1 ft (assist by J. Isaac),0,2
2,1,11:16.0,T. Young misses 2-pt jump shot from 21 ft,,0,2
3,1,11:15.0,,Defensive rebound by Team,0,2
4,1,11:01.0,,Turnover by J. Isaac (bad pass; steal by C. Joseph),0,2
5,1,10:57.0,C. Joseph misses 2-pt layup from 2 ft,,0,2
6,1,10:54.0,,Defensive rebound by N. Vučević,0,2
7,1,10:40.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by N. Vučević),0,5
8,1,10:19.0,M. Turner misses 2-pt jump shot from 18 ft,,0,5
9,1,10:16.0,,Defensive rebound by A. Gordon,0,5
10,1,10:05.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by E. Fournier),0,7
11,1,9:44.0,T. Young misses 2-pt jump shot from 16 ft,,0,7
12,1,9:40.0,,Defensive rebound by J. Isaac,0,7
13,1,9:33.0,,N. Vučević makes 2-pt jump shot from 15 ft (assist by J. Isaac),0,9
14,1,9:28.0,Indiana full timeout,,0,9
15,1,9:10.0,D. Collison misses 3-pt jump shot from 24 ft,,0,9
16,1,9:06.0,,Defensive rebound by J. Isaac,0,9
17,1,8:53.0,,N. Vučević makes 2-pt jump shot from 8 ft,0,11
18,1,8:31.0,T. Young makes 2-pt hook shot from 11 ft (assist by D. Collison),,2,11
19,1,8:14.0,,N. Vučević misses 2-pt jump shot from 16 ft,2,11
20,1,8:11.0,Defensive rebound by M. Turner,,2,11
21,1,8:03.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Collison),,4,11
22,1,7:45.0,,J. Isaac misses 2-pt jump shot from 18 ft,4,11
23,1,7:42.0,Defensive rebound by B. Bogdanović,,4,11
24,1,7:35.0,B. Bogdanović makes 2-pt layup from 1 ft,,6,11
25,1,7:18.0,,E. Fournier misses 3-pt jump shot from 23 ft,6,11
26,1,7:14.0,Defensive rebound by T. Young,,6,11
