,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
0,1,11:44.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,2,0
1,1,11:23.0,,W. Carter misses 2-pt jump shot from 16 ft,2,0
2,1,11:21.0,Defensive rebound by S. Curry,,2,0
3,1,11:09.0,D. Green misses 3-pt jump shot from 25 ft,,2,0
4,1,11:06.0,,Defensive rebound by C. Payne,2,0
5,1,10:55.0,,Z. LaVine misses 2-pt jump shot from 12 ft,2,0
6,1,10:52.0,Defensive rebound by D. Green,,2,0
7,1,10:47.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Durant),,4,0
8,1,10:28.0,,J. Holiday misses 3-pt jump shot from 23 ft,4,0
9,1,10:25.0,Defensive rebound by S. Curry,,4,0
10,1,10:15.0,K. Durant misses 3-pt jump shot from 25 ft,,4,0
11,1,10:12.0,,Defensive rebound by W. Carter,4,0
12,1,10:03.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),4,3
13,1,9:50.0,K. Thompson makes 3-pt jump shot from 22 ft,,7,3
14,1,9:44.0,,Personal foul by K. Thompson (drawn by Z. LaVine),7,3
15,1,9:37.0,,W. Carter misses 2-pt layup from 3 ft,7,3
16,1,9:34.0,Defensive rebound by S. Curry,,7,3
17,1,9:31.0,S. Curry makes 2-pt layup from 1 ft,,9,3
18,1,9:17.0,,C. Payne makes 2-pt jump shot from 12 ft (assist by Z. LaVine),9,5
19,1,9:07.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,12,5
20,1,8:53.0,,C. Payne misses 3-pt jump shot from 25 ft,12,5
21,1,8:51.0,Defensive rebound by D. Green,,12,5
22,1,8:46.0,Personal foul by J. Holiday (drawn by K. Thompson),,12,5
23,1,8:40.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,15,5
24,1,8:39.0,,Chicago full timeout,15,5
25,1,8:17.0,,Z. LaVine misses 2-pt jump shot from 10 ft,15,5
26,1,8:16.0,,Offensive rebound by Team,15,5
27,1,8:16.0,Loose ball foul by D. Jones (drawn by W. Carter),,15,5
28,1,8:09.0,,Turnover by C. Hutchison (lost ball; steal by S. Curry),15,5
29,1,8:05.0,K. Thompson misses 3-pt jump shot from 25 ft,,15,5
30,1,8:01.0,,Defensive rebound by C. Payne,15,5
31,1,7:54.0,,C. Payne misses 2-pt layup from 1 ft,15,5
32,1,7:51.0,,Offensive rebound by C. Payne,15,5
33,1,7:49.0,,W. Carter misses 3-pt jump shot from 25 ft,15,5
34,1,7:46.0,Defensive rebound by S. Curry,,15,5
35,1,7:36.0,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),,17,5
36,1,7:18.0,,Z. LaVine makes 2-pt layup from 1 ft,17,7
37,1,7:18.0,,Shooting foul by D. Jones (drawn by Z. LaVine),17,7
38,1,7:18.0,,J. Parker enters the game for C. Hutchison,17,7
39,1,7:18.0,,Z. LaVine makes free throw 1 of 1,17,8
40,1,7:08.0,Shooting foul by C. Payne (drawn by S. Curry),,17,8
41,1,7:08.0,S. Curry makes free throw 1 of 2,,18,8
42,1,7:08.0,S. Curry makes free throw 2 of 2,,19,8
43,1,6:46.0,,W. Carter misses 3-pt jump shot from 23 ft,19,8
44,1,6:43.0,Defensive rebound by D. Jones,,19,8
45,1,6:26.0,D. Green misses 2-pt jump shot from 7 ft,,19,8
46,1,6:24.0,Offensive rebound by Team,,19,8
47,1,6:19.0,Turnover by K. Thompson (lost ball; steal by Z. LaVine),,19,8
48,1,6:15.0,,Z. LaVine makes 2-pt layup at rim (assist by J. Holiday),19,10
49,1,6:09.0,S. Curry makes 3-pt jump shot from 29 ft,,22,10
50,1,5:53.0,,Z. LaVine makes 3-pt jump shot from 29 ft,22,13
51,1,5:40.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),,24,13
52,1,5:30.0,,J. Parker misses 2-pt jump shot from 9 ft (block by D. Green),24,13
53,1,5:30.0,Defensive rebound by D. Green,,24,13
54,1,5:21.0,D. Jones misses 2-pt layup from 1 ft (block by C. Payne),,24,13
55,1,5:19.0,,Defensive rebound by W. Carter,24,13
56,1,5:17.0,,Personal foul by S. Curry (drawn by Z. LaVine),24,13
57,1,5:17.0,K. Looney enters the game for D. Jones,,24,13
58,1,5:03.0,,Z. LaVine misses 3-pt jump shot from 27 ft,24,13
59,1,5:01.0,Defensive rebound by D. Green,,24,13
60,1,4:58.0,Shooting foul by J. Holiday (drawn by D. Green),,24,13
61,1,4:58.0,D. Green misses free throw 1 of 2,,24,13
62,1,4:58.0,Offensive rebound by Team,,24,13
63,1,4:58.0,,C. Hutchison enters the game for J. Holiday,24,13
64,1,4:58.0,D. Green makes free throw 2 of 2,,25,13
65,1,4:39.0,,Z. LaVine misses 2-pt jump shot from 9 ft,25,13
66,1,4:37.0,Defensive rebound by K. Looney,,25,13
67,1,4:30.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,28,13
68,1,4:20.0,,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),28,15
69,1,4:09.0,D. Green misses 2-pt layup from 1 ft (block by C. Hutchison),,28,15
70,1,4:07.0,,Defensive rebound by C. Hutchison,28,15
71,1,4:07.0,,Personal foul by K. Durant (drawn by C. Payne),28,15
72,1,4:07.0,,C. Payne makes free throw 1 of 2,28,16
73,1,4:07.0,J. Jerebko enters the game for K. Durant,,28,16
74,1,4:07.0,A. McKinnie enters the game for D. Green,,28,16
75,1,4:07.0,,C. Felício enters the game for W. Carter,28,16
76,1,4:07.0,,C. Payne makes free throw 2 of 2,28,17
77,1,4:00.0,Personal foul by C. Hutchison (drawn by K. Looney),,28,17
78,1,3:52.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by S. Curry),,30,17
79,1,3:30.0,,C. Payne makes 2-pt layup from 2 ft,30,19
80,1,3:16.0,A. McKinnie misses 2-pt jump shot from 8 ft,,30,19
81,1,3:15.0,Offensive rebound by A. McKinnie,,30,19
82,1,3:14.0,A. McKinnie misses 2-pt layup from 2 ft,,30,19
83,1,3:12.0,,Defensive rebound by C. Felício,30,19
84,1,3:07.0,,C. Payne misses 3-pt jump shot from 25 ft,30,19
85,1,2:59.0,,Offensive rebound by C. Felício,30,19
86,1,2:59.0,,C. Felício misses 2-pt layup at rim,30,19
87,1,2:58.0,Defensive rebound by K. Thompson,,30,19
88,1,2:57.0,K. Thompson makes 3-pt jump shot from 25 ft,,33,19
89,1,2:45.0,,J. Parker makes 2-pt jump shot from 18 ft,33,21
90,1,2:25.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,36,21
91,1,2:11.0,,C. Payne makes 2-pt layup from 1 ft,36,23
92,1,2:02.0,Turnover by S. Curry (bad pass; steal by Z. LaVine),,36,23
93,1,1:57.0,,Shooting foul by K. Thompson (drawn by C. Hutchison),36,23
94,1,1:57.0,Golden State full timeout,,36,23
95,1,1:57.0,A. Iguodala enters the game for K. Thompson,,36,23
96,1,1:57.0,,R. Arcidiacono enters the game for C. Payne,36,23
97,1,1:57.0,,C. Hutchison makes free throw 1 of 2,36,24
98,1,1:57.0,,C. Hutchison makes free throw 2 of 2,36,25
99,1,1:43.0,J. Jerebko makes 2-pt layup from 2 ft (assist by A. Iguodala),,38,25
100,1,1:28.0,,J. Parker makes 2-pt jump shot from 22 ft,38,27
101,1,1:16.0,S. Curry misses 3-pt jump shot from 25 ft,,38,27
102,1,1:14.0,,Defensive rebound by Z. LaVine,38,27
103,1,1:08.0,,Shooting foul by S. Curry (drawn by Z. LaVine),38,27
104,1,1:08.0,,Z. LaVine makes free throw 1 of 2,38,28
105,1,1:08.0,K. Durant enters the game for S. Curry,,38,28
106,1,1:08.0,,Z. LaVine misses free throw 2 of 2,38,28
107,1,1:04.0,Defensive rebound by J. Jerebko,,38,28
108,1,0:49.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,41,28
109,1,0:40.0,,J. Parker misses 2-pt jump shot from 16 ft,41,28
110,1,0:36.0,Defensive rebound by K. Looney,,41,28
111,1,0:32.0,K. Durant misses 3-pt jump shot from 25 ft,,41,28
112,1,0:28.0,Offensive rebound by A. McKinnie,,41,28
113,1,0:23.0,K. Durant makes 2-pt layup from 2 ft,,43,28
114,1,0:23.0,Shooting foul by C. Felício (drawn by K. Durant),,43,28
115,1,0:23.0,K. Durant makes free throw 1 of 1,,44,28
116,1,0:00.0,,J. Parker misses 3-pt jump shot from 25 ft (block by K. Durant),44,28
117,1,0:00.0,,Offensive rebound by C. Hutchison,44,28
118,2,11:44.0,,A. Blakeney misses 2-pt jump shot from 21 ft,44,28
119,2,11:39.0,Defensive rebound by A. Iguodala,,44,28
120,2,11:23.0,K. Durant makes 2-pt jump shot from 15 ft (assist by A. Iguodala),,46,28
121,2,11:09.0,,J. Holiday misses 2-pt jump shot from 22 ft,46,28
122,2,11:06.0,Defensive rebound by A. McKinnie,,46,28
123,2,10:58.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by K. Durant),,49,28
124,2,10:57.0,,Chicago full timeout,49,28
125,2,10:45.0,,J. Parker misses 2-pt layup from 2 ft (block by A. McKinnie),49,28
126,2,10:41.0,,Offensive rebound by J. Parker,49,28
127,2,10:40.0,,Shooting foul by A. Iguodala (drawn by J. Parker),49,28
128,2,10:40.0,,J. Parker misses free throw 1 of 2,49,28
129,2,10:40.0,,Offensive rebound by Team,49,28
130,2,10:40.0,,J. Parker makes free throw 2 of 2,49,29
131,2,10:13.0,J. Jerebko makes 3-pt jump shot from 29 ft (assist by K. Durant),,52,29
132,2,10:05.0,,C. Felício makes 2-pt layup from 2 ft (assist by R. Arcidiacono),52,31
133,2,9:50.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,55,31
134,2,9:32.0,,J. Holiday makes 3-pt jump shot from 26 ft,55,34
135,2,9:22.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,58,34
136,2,9:02.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,58,34
137,2,8:59.0,,Offensive rebound by J. Parker,58,34
138,2,8:54.0,,Personal foul by K. Durant (drawn by A. Blakeney),58,34
139,2,8:47.0,,J. Holiday misses 3-pt jump shot from 26 ft,58,34
140,2,8:45.0,Defensive rebound by J. Jerebko,,58,34
141,2,8:42.0,A. McKinnie misses 2-pt jump shot from 9 ft,,58,34
142,2,8:42.0,Offensive rebound by D. Green,,58,34
143,2,8:35.0,D. Green misses 2-pt layup from 1 ft,,58,34
144,2,8:35.0,,Defensive rebound by C. Felício,58,34
145,2,8:35.0,,Personal foul by J. Jerebko (drawn by R. Arcidiacono),58,34
146,2,8:35.0,J. Bell enters the game for J. Jerebko,,58,34
147,2,8:35.0,K. Thompson enters the game for A. McKinnie,,58,34
148,2,8:29.0,,J. Parker misses 3-pt jump shot from 25 ft,58,34
149,2,8:25.0,Defensive rebound by K. Durant,,58,34
150,2,8:17.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,61,34
151,2,8:03.0,,J. Parker makes 2-pt layup from 1 ft (assist by R. Arcidiacono),61,36
152,2,7:57.0,K. Durant misses 3-pt jump shot from 26 ft,,61,36
153,2,7:54.0,,Defensive rebound by J. Parker,61,36
154,2,7:47.0,,J. Holiday misses 2-pt layup from 3 ft,61,36
155,2,7:47.0,,Offensive rebound by J. Holiday,61,36
156,2,7:47.0,,Personal foul by A. Iguodala (drawn by J. Holiday),61,36
157,2,7:47.0,,Z. LaVine enters the game for A. Blakeney,61,36
158,2,7:34.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Parker),61,39
159,2,7:23.0,Shooting foul by C. Felício (drawn by K. Durant),,61,39
160,2,7:23.0,K. Durant makes free throw 1 of 2,,62,39
161,2,7:23.0,,W. Carter enters the game for C. Felício,62,39
162,2,7:23.0,K. Durant makes free throw 2 of 2,,63,39
163,2,7:15.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,63,39
164,2,7:12.0,Defensive rebound by K. Thompson,,63,39
165,2,7:08.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,66,39
166,2,7:08.0,S. Curry enters the game for A. Iguodala,,66,39
167,2,6:44.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Arcidiacono),66,41
168,2,6:35.0,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),,68,41
169,2,6:18.0,,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),68,43
170,2,6:11.0,K. Thompson misses 3-pt jump shot from 28 ft,,68,43
171,2,6:09.0,,Defensive rebound by Team,68,43
172,2,5:50.0,,Turnover by J. Parker (bad pass; steal by S. Curry),68,43
173,2,5:40.0,S. Curry misses 3-pt jump shot from 23 ft,,68,43
174,2,5:39.0,,Defensive rebound by Team,68,43
175,2,5:23.0,,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),68,45
176,2,5:11.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,71,45
177,2,5:00.0,,Turnover by Z. LaVine (bad pass; steal by K. Thompson),71,45
178,2,4:54.0,K. Durant misses 2-pt layup at rim,,71,45
179,2,4:50.0,,Defensive rebound by J. Parker,71,45
180,2,4:48.0,,Shooting foul by J. Bell (drawn by W. Carter),71,45
181,2,4:48.0,,W. Carter makes free throw 1 of 2,71,46
182,2,4:48.0,A. McKinnie enters the game for D. Green,,71,46
183,2,4:48.0,,S. Harrison enters the game for J. Parker,71,46
184,2,4:48.0,,W. Carter misses free throw 2 of 2,71,46
185,2,4:48.0,Defensive rebound by A. McKinnie,,71,46
186,2,4:35.0,K. Thompson misses 3-pt jump shot from 26 ft,,71,46
187,2,4:35.0,,Defensive rebound by J. Holiday,71,46
188,2,4:32.0,,S. Harrison makes 2-pt layup at rim (assist by J. Holiday),71,48
189,2,4:22.0,S. Curry makes 2-pt jump shot from 20 ft,,73,48
190,2,4:01.0,,W. Carter misses 2-pt hook shot from 13 ft,73,48
191,2,3:59.0,Defensive rebound by K. Thompson,,73,48
192,2,3:57.0,S. Curry makes 2-pt layup from 2 ft,,75,48
