,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
0,1,11:45.0,,Turnover by K. Dunn (traveling),0,0
1,1,11:35.0,J. Tatum makes 2-pt layup from 2 ft (assist by M. Morris),,2,0
2,1,11:18.0,,L. Markkanen misses 3-pt jump shot from 22 ft,2,0
3,1,11:15.0,Defensive rebound by M. Smart,,2,0
4,1,11:08.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),,5,0
5,1,10:54.0,,O. Porter misses 3-pt jump shot from 25 ft,5,0
6,1,10:49.0,Defensive rebound by M. Smart,,5,0
7,1,10:43.0,J. Tatum makes 2-pt jump shot from 18 ft (assist by M. Smart),,7,0
8,1,10:43.0,,Chicago full timeout,7,0
9,1,10:16.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by O. Porter),7,2
10,1,10:04.0,K. Irving misses 2-pt jump shot from 8 ft,,7,2
11,1,10:00.0,,Defensive rebound by L. Markkanen,7,2
12,1,9:55.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),7,4
13,1,9:55.0,,Shooting foul by J. Tatum (drawn by R. Lopez),7,4
14,1,9:55.0,,R. Lopez makes free throw 1 of 1,7,5
15,1,9:40.0,M. Morris misses 3-pt jump shot from 25 ft,,7,5
16,1,9:36.0,,Defensive rebound by R. Lopez,7,5
17,1,9:35.0,,Offensive foul by O. Porter (drawn by M. Smart),7,5
18,1,9:35.0,,Turnover by O. Porter (offensive foul),7,5
19,1,9:23.0,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Irving),,9,5
20,1,9:12.0,,L. Markkanen misses 3-pt jump shot from 27 ft,9,5
21,1,9:09.0,,Offensive rebound by R. Lopez,9,5
22,1,9:07.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),9,7
23,1,8:56.0,A. Horford makes 2-pt jump shot from 15 ft (assist by K. Irving),,11,7
24,1,8:33.0,,R. Lopez misses 2-pt hook shot from 2 ft,11,7
25,1,8:31.0,Defensive rebound by M. Smart,,11,7
26,1,8:24.0,K. Irving makes 2-pt layup from 1 ft,,13,7
27,1,8:15.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),13,10
28,1,8:02.0,K. Irving misses 3-pt jump shot from 26 ft,,13,10
29,1,8:00.0,,Defensive rebound by Z. LaVine,13,10
30,1,7:56.0,,Z. LaVine makes 3-pt jump shot from 26 ft,13,13
31,1,7:39.0,M. Morris makes 2-pt jump shot from 15 ft (assist by A. Horford),,15,13
32,1,7:25.0,,Z. LaVine misses 3-pt jump shot from 26 ft,15,13
33,1,7:23.0,Defensive rebound by A. Horford,,15,13
34,1,7:17.0,M. Smart misses 3-pt jump shot from 25 ft,,15,13
35,1,7:17.0,,Defensive rebound by L. Markkanen,15,13
36,1,7:03.0,,R. Lopez makes 2-pt layup from 1 ft (assist by L. Markkanen),15,15
37,1,6:46.0,A. Horford makes 2-pt layup from 1 ft (assist by M. Smart),,17,15
38,1,6:24.0,,Turnover by Z. LaVine (bad pass; steal by M. Morris),17,15
39,1,6:23.0,Personal foul by K. Dunn (drawn by M. Morris),,17,15
40,1,6:23.0,G. Hayward enters the game for M. Morris,,17,15
41,1,6:14.0,A. Horford makes 2-pt jump shot from 18 ft (assist by M. Smart),,19,15
42,1,5:55.0,,O. Porter misses 2-pt jump shot from 21 ft,19,15
43,1,5:53.0,Defensive rebound by K. Irving,,19,15
44,1,5:48.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,22,15
45,1,5:23.0,,Shooting foul by G. Hayward (drawn by L. Markkanen),22,15
46,1,5:23.0,,L. Markkanen makes free throw 1 of 2,22,16
47,1,5:23.0,,L. Markkanen makes free throw 2 of 2,22,17
48,1,5:06.0,K. Irving makes 2-pt jump shot from 20 ft,,24,17
49,1,4:49.0,,R. Lopez makes 2-pt layup from 2 ft (assist by Z. LaVine),24,19
50,1,4:35.0,J. Tatum misses 2-pt jump shot from 13 ft,,24,19
51,1,4:33.0,,Defensive rebound by L. Markkanen,24,19
52,1,4:19.0,,K. Dunn misses 2-pt layup from 4 ft (block by G. Hayward),24,19
53,1,4:13.0,,Offensive rebound by K. Dunn,24,19
54,1,4:13.0,,K. Dunn makes 2-pt layup from 1 ft,24,21
55,1,3:51.0,J. Tatum makes 2-pt jump shot from 22 ft,,26,21
56,1,3:30.0,,L. Markkanen misses 2-pt layup from 2 ft (block by A. Horford),26,21
57,1,3:27.0,,Offensive rebound by R. Lopez,26,21
58,1,3:25.0,,K. Dunn misses 3-pt jump shot from 26 ft,26,21
59,1,3:22.0,Defensive rebound by M. Smart,,26,21
60,1,3:20.0,K. Irving misses 2-pt layup from 1 ft,,26,21
61,1,3:19.0,,Defensive rebound by O. Porter,26,21
62,1,3:16.0,,O. Porter misses 3-pt jump shot from 26 ft,26,21
63,1,3:13.0,,Offensive rebound by O. Porter,26,21
64,1,3:11.0,,K. Dunn misses 3-pt jump shot from 25 ft,26,21
65,1,3:08.0,Defensive rebound by A. Horford,,26,21
66,1,2:57.0,A. Horford makes 2-pt hook shot from 3 ft (assist by J. Tatum),,28,21
67,1,2:37.0,,L. Markkanen makes 2-pt jump shot from 17 ft (assist by K. Dunn),28,23
68,1,2:37.0,Boston full timeout,,28,23
69,1,2:37.0,J. Brown enters the game for A. Horford,,28,23
70,1,2:37.0,T. Rozier enters the game for M. Smart,,28,23
71,1,2:37.0,D. Theis enters the game for J. Tatum,,28,23
72,1,2:37.0,,R. Arcidiacono enters the game for K. Dunn,28,23
73,1,2:37.0,,C. Felício enters the game for R. Lopez,28,23
74,1,2:37.0,,W. Selden enters the game for O. Porter,28,23
75,1,2:25.0,G. Hayward misses 3-pt jump shot from 26 ft,,28,23
76,1,2:21.0,,Defensive rebound by Z. LaVine,28,23
77,1,2:13.0,,Shooting foul by D. Theis (drawn by L. Markkanen),28,23
78,1,2:13.0,,Offensive rebound by Team,28,23
79,1,2:13.0,,L. Markkanen misses free throw 1 of 2,28,23
80,1,2:13.0,,L. Markkanen makes free throw 2 of 2,28,24
81,1,1:54.0,K. Irving misses 2-pt jump shot from 11 ft,,28,24
82,1,1:52.0,,Defensive rebound by L. Markkanen,28,24
83,1,1:38.0,,Z. LaVine misses 2-pt jump shot from 19 ft,28,24
84,1,1:36.0,Defensive rebound by K. Irving,,28,24
85,1,1:25.0,J. Brown misses 2-pt jump shot from 12 ft,,28,24
86,1,1:22.0,,Defensive rebound by C. Felício,28,24
87,1,0:59.0,,L. Markkanen misses 3-pt jump shot from 26 ft,28,24
88,1,0:57.0,Defensive rebound by T. Rozier,,28,24
89,1,0:50.0,J. Brown misses 3-pt jump shot from 23 ft,,28,24
90,1,0:47.0,,Defensive rebound by R. Arcidiacono,28,24
91,1,0:45.0,,Z. LaVine makes 2-pt layup at rim (assist by R. Arcidiacono),28,26
92,1,0:34.0,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),,30,26
93,1,0:29.0,,Personal foul by K. Irving (drawn by Z. LaVine),30,26
94,1,0:29.0,M. Morris enters the game for K. Irving,,30,26
95,1,0:29.0,,T. Luwawu-Cabarrot enters the game for L. Markkanen,30,26
96,1,0:22.0,,Z. LaVine makes 2-pt jump shot from 19 ft,30,28
97,1,0:03.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),,33,28
98,2,11:42.0,J. Brown misses 2-pt layup from 2 ft,,33,28
99,2,11:38.0,,Defensive rebound by W. Selden,33,28
100,2,11:26.0,,C. Felício misses 2-pt layup from 3 ft (block by D. Theis),33,28
101,2,11:23.0,Defensive rebound by J. Brown,,33,28
102,2,11:23.0,Offensive foul by D. Theis (drawn by R. Arcidiacono),,33,28
103,2,11:23.0,Turnover by D. Theis (offensive foul),,33,28
104,2,11:07.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,33,28
105,2,11:04.0,,Offensive rebound by C. Felício,33,28
106,2,11:03.0,,C. Felício makes 2-pt hook shot from 2 ft,33,30
107,2,10:52.0,M. Morris misses 2-pt layup from 2 ft (block by W. Selden),,33,30
108,2,10:49.0,,Defensive rebound by W. Selden,33,30
109,2,10:45.0,,W. Selden makes 2-pt layup from 1 ft,33,32
110,2,10:38.0,J. Brown misses 2-pt jump shot from 4 ft,,33,32
111,2,10:36.0,,Defensive rebound by C. Felício,33,32
112,2,10:28.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),33,35
113,2,10:19.0,Personal foul by R. Arcidiacono (drawn by T. Rozier),,33,35
114,2,10:09.0,Turnover by G. Hayward (bad pass; steal by S. Harrison),,33,35
115,2,10:05.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by S. Harrison),33,38
116,2,10:05.0,Boston full timeout,,33,38
117,2,9:48.0,M. Morris misses 2-pt jump shot from 5 ft (block by S. Harrison),,33,38
118,2,9:45.0,,Defensive rebound by S. Harrison,33,38
119,2,9:29.0,,W. Selden misses 3-pt jump shot from 28 ft,33,38
120,2,9:28.0,Defensive rebound by Team,,33,38
121,2,9:28.0,J. Tatum enters the game for G. Hayward,,33,38
122,2,9:09.0,M. Morris misses 3-pt jump shot from 25 ft,,33,38
123,2,9:08.0,Offensive rebound by Team,,33,38
124,2,9:08.0,,Loose ball foul by T. Luwawu-Cabarrot (drawn by D. Theis),33,38
125,2,9:08.0,Technical foul by J. Boylen,,33,38
126,2,9:08.0,J. Tatum makes technical free throw,,34,38
127,2,9:01.0,T. Rozier misses 2-pt layup from 3 ft,,34,38
128,2,8:59.0,,Defensive rebound by C. Felício,34,38
129,2,8:53.0,,C. Felício makes 2-pt jump shot from 11 ft (assist by R. Arcidiacono),34,40
130,2,8:35.0,T. Rozier misses 3-pt jump shot from 25 ft,,34,40
131,2,8:30.0,,Defensive rebound by R. Arcidiacono,34,40
132,2,8:23.0,,C. Felício makes 2-pt layup from 2 ft (assist by R. Arcidiacono),34,42
133,2,8:02.0,J. Brown makes 2-pt layup from 2 ft (assist by D. Theis),,36,42
134,2,7:40.0,,C. Felício misses 2-pt jump shot from 12 ft,36,42
135,2,7:37.0,Defensive rebound by T. Rozier,,36,42
136,2,7:32.0,T. Rozier misses 3-pt jump shot from 22 ft,,36,42
137,2,7:30.0,,Defensive rebound by C. Felício,36,42
138,2,7:19.0,,Shooting foul by T. Rozier (drawn by R. Arcidiacono),36,42
139,2,7:19.0,,R. Arcidiacono makes free throw 1 of 2,36,43
140,2,7:19.0,K. Irving enters the game for J. Brown,,36,43
141,2,7:19.0,,O. Porter enters the game for T. Luwawu-Cabarrot,36,43
142,2,7:19.0,,R. Arcidiacono makes free throw 2 of 2,36,44
143,2,7:04.0,T. Rozier misses 3-pt jump shot from 25 ft,,36,44
144,2,7:01.0,,Defensive rebound by W. Selden,36,44
145,2,7:00.0,,S. Harrison makes 2-pt layup from 2 ft (assist by W. Selden),36,46
146,2,6:57.0,Boston full timeout,,36,46
147,2,6:57.0,A. Horford enters the game for T. Rozier,,36,46
148,2,6:57.0,M. Smart enters the game for D. Theis,,36,46
149,2,6:39.0,J. Tatum makes 2-pt dunk at rim (assist by K. Irving),,38,46
150,2,6:18.0,,Turnover by W. Selden (bad pass; steal by J. Tatum),38,46
151,2,6:10.0,Turnover by J. Tatum (lost ball; steal by S. Harrison),,38,46
152,2,6:10.0,,Personal take foul by K. Irving (drawn by S. Harrison),38,46
153,2,6:10.0,,Z. LaVine enters the game for C. Felício,38,46
154,2,6:10.0,,L. Markkanen enters the game for W. Selden,38,46
155,2,5:57.0,,Z. LaVine misses 2-pt jump shot from 20 ft,38,46
156,2,5:57.0,Defensive rebound by M. Morris,,38,46
157,2,5:50.0,Turnover by K. Irving (bad pass; steal by R. Arcidiacono),,38,46
158,2,5:44.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by O. Porter),38,48
159,2,5:31.0,Turnover by M. Smart (bad pass; steal by L. Markkanen),,38,48
160,2,5:26.0,,L. Markkanen makes 2-pt layup from 2 ft,38,50
161,2,5:10.0,M. Morris makes 2-pt layup from 2 ft (assist by K. Irving),,40,50
