,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHOENIX_ACTION,DETROIT_SCORE,PHOENIX_SCORE
0,1,11:41.0,R. Jackson makes 2-pt jump shot from 20 ft (assist by A. Drummond),,2,0
1,1,11:20.0,,J. Jackson misses 2-pt jump shot from 14 ft (block by W. Ellington),2,0
2,1,11:10.0,Defensive rebound by W. Ellington,,2,0
3,1,11:05.0,W. Ellington misses 3-pt jump shot from 26 ft,,2,0
4,1,11:04.0,,Defensive rebound by D. Booker,2,0
5,1,10:46.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by D. Bender),2,3
6,1,10:24.0,W. Ellington misses 3-pt jump shot from 25 ft,,2,3
7,1,10:24.0,,Defensive rebound by M. Bridges,2,3
8,1,10:16.0,,D. Ayton makes 2-pt dunk from 2 ft (assist by D. Booker),2,5
9,1,9:59.0,R. Jackson makes 2-pt jump shot from 10 ft,,4,5
10,1,9:44.0,,Turnover by D. Booker (bad pass; steal by A. Drummond),4,5
11,1,9:39.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by R. Jackson),,7,5
12,1,9:24.0,,J. Jackson misses 3-pt jump shot from 26 ft,7,5
13,1,9:23.0,,Offensive rebound by D. Ayton,7,5
14,1,9:22.0,,D. Ayton makes 2-pt layup from 1 ft,7,7
15,1,9:22.0,,Shooting foul by B. Griffin (drawn by D. Ayton),7,7
16,1,9:22.0,,D. Ayton makes free throw 1 of 1,7,8
17,1,9:14.0,B. Griffin misses 3-pt jump shot from 26 ft,,7,8
18,1,9:13.0,Offensive rebound by A. Drummond,,7,8
19,1,9:13.0,A. Drummond misses 2-pt layup from 1 ft,,7,8
20,1,9:12.0,,Defensive rebound by D. Ayton,7,8
21,1,9:02.0,,D. Ayton misses 2-pt hook shot from 5 ft,7,8
22,1,9:00.0,Defensive rebound by A. Drummond,,7,8
23,1,8:56.0,R. Jackson misses 3-pt jump shot from 25 ft,,7,8
24,1,8:53.0,,Defensive rebound by D. Bender,7,8
25,1,8:36.0,,Turnover by D. Booker (bad pass; steal by R. Jackson),7,8
26,1,8:31.0,Turnover by R. Jackson (lost ball; steal by D. Booker),,7,8
27,1,8:20.0,,D. Bender makes 2-pt dunk from 1 ft (assist by D. Ayton),7,10
28,1,7:56.0,B. Griffin misses 3-pt jump shot from 24 ft,,7,10
29,1,7:53.0,,Defensive rebound by M. Bridges,7,10
30,1,7:42.0,,D. Booker makes 2-pt jump shot from 9 ft,7,12
31,1,7:24.0,A. Drummond misses 2-pt hook shot from 5 ft,,7,12
32,1,7:24.0,Offensive rebound by Team,,7,12
33,1,7:24.0,,Loose ball foul by D. Booker (drawn by B. Brown),7,12
34,1,7:14.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),,10,12
35,1,6:59.0,,D. Booker makes 2-pt jump shot from 3 ft,10,14
36,1,6:59.0,,Shooting foul by A. Drummond (drawn by D. Booker),10,14
37,1,6:59.0,,Phoenix full timeout,10,14
38,1,6:59.0,,D. Booker makes free throw 1 of 1,10,15
39,1,6:37.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Brown),,13,15
40,1,6:21.0,,D. Ayton makes 2-pt dunk from 2 ft (assist by M. Bridges),13,17
41,1,6:02.0,B. Griffin makes 3-pt jump shot from 26 ft,,16,17
42,1,5:38.0,,M. Bridges misses 2-pt dunk from 3 ft (block by A. Drummond),16,17
43,1,5:32.0,,Offensive rebound by D. Ayton,16,17
44,1,5:28.0,,D. Ayton misses 2-pt jump shot from 21 ft,16,17
45,1,5:26.0,Defensive rebound by B. Griffin,,16,17
46,1,5:21.0,B. Griffin misses 3-pt jump shot from 26 ft,,16,17
47,1,5:21.0,Offensive rebound by A. Drummond,,16,17
48,1,5:21.0,A. Drummond misses 2-pt layup from 1 ft,,16,17
49,1,5:21.0,Offensive rebound by A. Drummond,,16,17
50,1,5:21.0,A. Drummond misses 2-pt layup from 2 ft,,16,17
51,1,5:21.0,Offensive rebound by A. Drummond,,16,17
52,1,5:21.0,A. Drummond makes 2-pt dunk from 3 ft,,18,17
53,1,4:51.0,,J. Jackson makes 2-pt layup from 1 ft (assist by M. Bridges),18,19
54,1,4:41.0,Turnover by R. Jackson (bad pass),,18,19
55,1,4:28.0,Violation by Team (kicked ball),,18,19
56,1,4:28.0,,R. Holmes enters the game for D. Ayton,18,19
57,1,4:28.0,,D. Melton enters the game for M. Bridges,18,19
58,1,4:21.0,,Personal foul by R. Jackson (drawn by D. Melton),18,19
59,1,4:13.0,,R. Holmes makes 2-pt layup from 4 ft (assist by J. Jackson),18,21
60,1,3:54.0,B. Brown makes 3-pt jump shot from 24 ft (assist by B. Griffin),,21,21
61,1,3:43.0,,Personal foul by B. Brown (drawn by D. Booker),21,21
62,1,3:43.0,Detroit full timeout,,21,21
63,1,3:43.0,L. Galloway enters the game for B. Brown,,21,21
64,1,3:43.0,I. Smith enters the game for R. Jackson,,21,21
65,1,3:33.0,,D. Booker makes 2-pt jump shot from 24 ft,21,23
66,1,3:17.0,Shooting foul by D. Bender (drawn by B. Griffin),,21,23
67,1,3:17.0,B. Griffin makes free throw 1 of 2,,22,23
68,1,3:17.0,,T. Daniels enters the game for J. Jackson,22,23
69,1,3:17.0,B. Griffin makes free throw 2 of 2,,23,23
70,1,3:06.0,,Personal foul by B. Griffin (drawn by R. Holmes),23,23
71,1,3:06.0,,R. Holmes makes free throw 1 of 2,23,24
72,1,3:06.0,,R. Holmes makes free throw 2 of 2,23,25
73,1,2:52.0,Shooting foul by D. Bender (drawn by B. Griffin),,23,25
74,1,2:52.0,B. Griffin misses free throw 1 of 2,,23,25
75,1,2:52.0,Offensive rebound by Team,,23,25
76,1,2:52.0,L. Kennard enters the game for W. Ellington,,23,25
77,1,2:52.0,B. Griffin misses free throw 2 of 2,,23,25
78,1,2:50.0,Offensive rebound by A. Drummond,,23,25
79,1,2:49.0,A. Drummond misses 2-pt hook shot from 3 ft,,23,25
80,1,2:47.0,Offensive rebound by Team,,23,25
81,1,2:38.0,Turnover by B. Griffin (bad pass; steal by R. Holmes),,23,25
82,1,2:35.0,,Turnover by D. Melton (step out of bounds),23,25
83,1,2:24.0,B. Griffin makes 2-pt hook shot from 4 ft,,25,25
84,1,2:11.0,,R. Holmes makes 2-pt dunk from 1 ft,25,27
85,1,1:54.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by B. Griffin),,27,27
86,1,1:39.0,,D. Booker makes 2-pt jump shot from 11 ft,27,29
87,1,1:22.0,B. Griffin misses 3-pt jump shot from 26 ft,,27,29
88,1,1:19.0,Offensive rebound by L. Galloway,,27,29
89,1,1:16.0,L. Kennard misses 3-pt jump shot from 26 ft,,27,29
90,1,1:12.0,Offensive rebound by B. Griffin,,27,29
91,1,1:12.0,T. Maker enters the game for B. Griffin,,27,29
92,1,1:12.0,,M. Bridges enters the game for D. Bender,27,29
93,1,1:04.0,L. Galloway misses 2-pt layup from 8 ft,,27,29
94,1,1:01.0,,Defensive rebound by R. Holmes,27,29
95,1,0:59.0,,D. Booker makes 2-pt layup from 2 ft,27,31
96,1,0:59.0,,Shooting foul by L. Kennard (drawn by D. Booker),27,31
97,1,0:59.0,,D. Booker makes free throw 1 of 1,27,32
98,1,0:49.0,L. Kennard makes 2-pt jump shot from 20 ft,,29,32
99,1,0:37.0,,Turnover by D. Booker (bad pass; steal by A. Drummond),29,32
100,1,0:30.0,A. Drummond misses 2-pt hook shot at rim,,29,32
101,1,0:29.0,Offensive rebound by I. Smith,,29,32
102,1,0:19.0,I. Smith misses 2-pt jump shot from 14 ft,,29,32
103,1,0:15.0,,Defensive rebound by D. Booker,29,32
104,1,0:00.0,,D. Booker misses 2-pt jump shot from 16 ft,29,32
105,1,0:00.0,,Offensive rebound by Team,29,32
106,2,11:47.0,,M. Bridges misses 3-pt jump shot from 26 ft,29,32
107,2,11:45.0,Defensive rebound by L. Galloway,,29,32
108,2,11:39.0,Personal foul by T. Daniels (drawn by L. Kennard),,29,32
109,2,11:30.0,Z. Pachulia misses 2-pt layup from 2 ft (block by R. Holmes),,29,32
110,2,11:30.0,Offensive rebound by Team,,29,32
111,2,11:28.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by I. Smith),,32,32
112,2,11:13.0,,T. Daniels misses 3-pt jump shot from 27 ft,32,32
113,2,11:12.0,Defensive rebound by L. Galloway,,32,32
114,2,11:06.0,Personal foul by T. Daniels (drawn by L. Kennard),,32,32
115,2,11:06.0,,D. Ayton enters the game for R. Holmes,32,32
116,2,10:59.0,L. Galloway misses 2-pt jump shot from 12 ft,,32,32
117,2,10:55.0,,Defensive rebound by D. Ayton,32,32
118,2,10:52.0,,M. Bridges makes 2-pt layup from 4 ft (assist by J. Crawford),32,34
119,2,10:52.0,,Shooting foul by L. Galloway (drawn by M. Bridges),32,34
120,2,10:52.0,,M. Bridges makes free throw 1 of 1,32,35
121,2,10:32.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by L. Galloway),,35,35
122,2,10:18.0,,T. Daniels misses 3-pt jump shot from 27 ft,35,35
123,2,10:15.0,,Offensive rebound by D. Melton,35,35
124,2,10:11.0,,D. Ayton makes 2-pt layup from 2 ft (assist by M. Bridges),35,37
125,2,9:56.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),,38,37
126,2,9:45.0,,Personal foul by L. Kennard (drawn by T. Daniels),38,37
127,2,9:36.0,,D. Ayton makes 2-pt jump shot from 16 ft (assist by M. Bridges),38,39
128,2,9:25.0,I. Smith makes 2-pt layup from 2 ft,,40,39
129,2,9:02.0,,J. Crawford makes 3-pt jump shot from 26 ft,40,42
130,2,8:46.0,Shooting foul by T. Daniels (drawn by L. Kennard),,40,42
131,2,8:46.0,L. Kennard makes free throw 1 of 2,,41,42
132,2,8:46.0,,J. Jackson enters the game for T. Daniels,41,42
133,2,8:46.0,L. Kennard makes free throw 2 of 2,,42,42
134,2,8:35.0,,Shooting foul by L. Galloway (drawn by J. Crawford),42,42
135,2,8:35.0,Technical foul by L. Kennard,,42,42
136,2,8:35.0,,J. Crawford makes technical free throw,42,43
137,2,8:35.0,,J. Crawford makes free throw 1 of 2,42,44
138,2,8:35.0,,J. Crawford makes free throw 2 of 2,42,45
139,2,8:17.0,L. Galloway misses 3-pt jump shot from 23 ft,,42,45
140,2,8:14.0,Offensive rebound by L. Galloway,,42,45
141,2,8:11.0,L. Galloway makes 3-pt jump shot from 23 ft (assist by L. Kennard),,45,45
142,2,8:01.0,,Shooting foul by Z. Pachulia (drawn by D. Ayton),45,45
143,2,8:01.0,,D. Ayton misses free throw 1 of 2,45,45
144,2,8:01.0,,Offensive rebound by Team,45,45
145,2,8:01.0,B. Griffin enters the game for Z. Pachulia,,45,45
146,2,8:01.0,,D. Bender enters the game for D. Melton,45,45
147,2,8:01.0,,D. Ayton makes free throw 2 of 2,45,46
148,2,7:49.0,Personal foul by D. Ayton (drawn by B. Griffin),,45,46
149,2,7:44.0,L. Galloway misses 3-pt jump shot from 26 ft,,45,46
150,2,7:42.0,,Defensive rebound by J. Crawford,45,46
151,2,7:34.0,,D. Ayton makes 2-pt jump shot from 6 ft (assist by J. Crawford),45,48
152,2,7:27.0,Shooting foul by D. Ayton (drawn by T. Maker),,45,48
153,2,7:27.0,T. Maker makes free throw 1 of 2,,46,48
154,2,7:27.0,,R. Holmes enters the game for D. Ayton,46,48
155,2,7:27.0,T. Maker misses free throw 2 of 2,,46,48
156,2,7:24.0,,Defensive rebound by R. Holmes,46,48
157,2,7:09.0,,J. Jackson misses 3-pt jump shot from 27 ft,46,48
158,2,7:06.0,Defensive rebound by I. Smith,,46,48
159,2,6:56.0,T. Maker misses 2-pt hook shot from 7 ft,,46,48
160,2,6:53.0,,Defensive rebound by M. Bridges,46,48
161,2,6:37.0,,J. Crawford misses 3-pt jump shot from 24 ft,46,48
162,2,6:34.0,Defensive rebound by B. Griffin,,46,48
163,2,6:34.0,,Phoenix full timeout,46,48
164,2,6:34.0,A. Drummond enters the game for T. Maker,,46,48
165,2,6:18.0,B. Griffin misses 2-pt hook shot from 6 ft (block by D. Bender),,46,48
166,2,6:18.0,Offensive rebound by Team,,46,48
