,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,0
1,1,11:29.0,,K. Durant misses 2-pt jump shot from 19 ft,3,0
2,1,11:28.0,Defensive rebound by W. Chandler,,3,0
3,1,11:21.0,J. Embiid misses 3-pt jump shot from 26 ft,,3,0
4,1,11:19.0,,Defensive rebound by A. McKinnie,3,0
5,1,11:14.0,,Turnover by K. Durant (bad pass; steal by B. Simmons),3,0
6,1,11:10.0,Turnover by W. Chandler (out of bounds lost ball),,3,0
7,1,10:59.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by D. Cousins),3,2
8,1,10:47.0,B. Simmons makes 2-pt hook shot from 6 ft (assist by J. Redick),,5,2
9,1,10:38.0,,S. Curry makes 2-pt layup from 3 ft (assist by D. Cousins),5,4
10,1,10:38.0,,Shooting foul by J. Redick (drawn by S. Curry),5,4
11,1,10:38.0,,S. Curry misses free throw 1 of 1,5,4
12,1,10:37.0,Defensive rebound by J. Embiid,,5,4
13,1,10:34.0,Turnover by J. Embiid (lost ball; steal by D. Cousins),,5,4
14,1,10:28.0,,D. Cousins misses 3-pt jump shot from 26 ft,5,4
15,1,10:26.0,Defensive rebound by B. Simmons,,5,4
16,1,10:22.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,8,4
17,1,10:01.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by D. Cousins),8,6
18,1,9:54.0,Turnover by J. Embiid (bad pass; steal by S. Curry),,8,6
19,1,9:43.0,,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),8,8
20,1,9:27.0,J. Embiid misses 2-pt jump shot from 13 ft,,8,8
21,1,9:26.0,Offensive rebound by B. Simmons,,8,8
22,1,9:23.0,Offensive foul by J. Embiid (drawn by D. Cousins),,8,8
23,1,9:23.0,Turnover by J. Embiid (offensive foul),,8,8
24,1,9:07.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by D. Cousins),8,10
25,1,8:56.0,J. Redick misses 3-pt jump shot from 26 ft,,8,10
26,1,8:54.0,Offensive rebound by B. Simmons,,8,10
27,1,8:53.0,Shooting foul by D. Cousins (drawn by B. Simmons),,8,10
28,1,8:53.0,B. Simmons makes free throw 1 of 2,,9,10
29,1,8:53.0,B. Simmons makes free throw 2 of 2,,10,10
30,1,8:30.0,,D. Cousins misses 2-pt jump shot from 19 ft,10,10
31,1,8:29.0,Defensive rebound by J. Butler,,10,10
32,1,8:21.0,W. Chandler misses 3-pt jump shot from 26 ft,,10,10
33,1,8:19.0,,Defensive rebound by D. Cousins,10,10
34,1,8:04.0,,D. Green makes 2-pt layup from 2 ft,10,12
35,1,7:44.0,Turnover by W. Chandler (traveling),,10,12
36,1,7:30.0,,D. Cousins makes 2-pt layup from 2 ft (assist by S. Curry),10,14
37,1,7:19.0,Turnover by B. Simmons (lost ball; steal by D. Green),,10,14
38,1,7:07.0,,S. Curry misses 2-pt layup from 2 ft,10,14
39,1,7:06.0,Defensive rebound by J. Butler,,10,14
40,1,6:58.0,Turnover by J. Embiid (step out of bounds),,10,14
41,1,6:58.0,,Golden State full timeout,10,14
42,1,6:58.0,J. Bolden enters the game for J. Butler,,10,14
43,1,6:58.0,T. McConnell enters the game for J. Embiid,,10,14
44,1,6:47.0,,Personal foul by W. Chandler (drawn by K. Durant),10,14
45,1,6:42.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),10,17
46,1,6:30.0,B. Simmons makes 2-pt dunk from 1 ft (assist by T. McConnell),,12,17
47,1,6:09.0,,D. Cousins misses 2-pt jump shot from 6 ft (block by J. Bolden),12,17
48,1,6:09.0,,Offensive rebound by Team,12,17
49,1,6:02.0,,D. Green misses 3-pt jump shot from 29 ft,12,17
50,1,6:00.0,,Offensive rebound by D. Cousins,12,17
51,1,5:57.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Cousins),12,20
52,1,5:57.0,,Shooting foul by J. Redick (drawn by S. Curry),12,20
53,1,5:57.0,L. Shamet enters the game for J. Redick,,12,20
54,1,5:57.0,,A. Iguodala enters the game for D. Cousins,12,20
55,1,5:57.0,,K. Looney enters the game for D. Green,12,20
56,1,5:57.0,,S. Curry makes free throw 1 of 1,12,21
57,1,5:31.0,W. Chandler misses 3-pt jump shot from 22 ft,,12,21
58,1,5:29.0,,Defensive rebound by A. Iguodala,12,21
59,1,5:25.0,,A. McKinnie makes 2-pt jump shot from 3 ft (assist by A. Iguodala),12,23
60,1,5:23.0,Philadelphia full timeout,,12,23
61,1,5:10.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by W. Chandler),,15,23
62,1,4:49.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by A. Iguodala),15,25
63,1,4:27.0,B. Simmons makes 2-pt jump shot from 8 ft,,17,25
64,1,4:17.0,,S. Curry misses 2-pt jump shot from 22 ft,17,25
65,1,4:15.0,Defensive rebound by B. Simmons,,17,25
66,1,4:15.0,Personal foul by A. McKinnie (drawn by B. Simmons),,17,25
67,1,4:15.0,,S. Livingston enters the game for A. McKinnie,17,25
68,1,4:12.0,Personal foul by S. Livingston (drawn by L. Shamet),,17,25
69,1,4:04.0,Personal foul by S. Livingston (drawn by B. Simmons),,17,25
70,1,3:52.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by L. Shamet),,20,25
71,1,3:30.0,,Turnover by S. Curry (bad pass; steal by B. Simmons),20,25
72,1,3:16.0,W. Chandler makes 2-pt jump shot from 15 ft (assist by B. Simmons),,22,25
73,1,3:03.0,,S. Curry makes 2-pt jump shot from 10 ft,22,27
74,1,2:50.0,J. Bolden makes 3-pt jump shot from 27 ft (assist by W. Chandler),,25,27
75,1,2:40.0,,Turnover by S. Curry (bad pass; steal by J. Bolden),25,27
76,1,2:36.0,B. Simmons makes 2-pt dunk from 1 ft (assist by W. Chandler),,27,27
77,1,2:36.0,,Golden State full timeout,27,27
78,1,2:36.0,C. Brewer enters the game for J. Bolden,,27,27
79,1,2:36.0,J. Butler enters the game for W. Chandler,,27,27
80,1,2:36.0,J. Embiid enters the game for T. McConnell,,27,27
81,1,2:36.0,M. Muscala enters the game for B. Simmons,,27,27
82,1,2:36.0,,Q. Cook enters the game for S. Curry,27,27
83,1,2:23.0,,K. Looney makes 2-pt dunk from 2 ft (assist by K. Durant),27,29
84,1,2:07.0,M. Muscala makes 2-pt hook shot from 3 ft (assist by L. Shamet),,29,29
