,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:41.0,W. Ellington misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,,Defensive rebound by J. Parker,0,0
2,1,11:27.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),0,3
3,1,11:13.0,R. McGruder makes 2-pt jump shot from 7 ft,,2,3
4,1,11:03.0,,Personal foul by W. Ellington (drawn by J. Holiday),2,3
5,1,10:55.0,,J. Parker misses 2-pt jump shot from 19 ft,2,3
6,1,10:49.0,Defensive rebound by H. Whiteside,,2,3
7,1,10:45.0,J. Johnson misses 3-pt jump shot from 25 ft,,2,3
8,1,10:42.0,,Defensive rebound by R. Arcidiacono,2,3
9,1,10:32.0,,R. Arcidiacono makes 2-pt layup from 2 ft (assist by W. Carter),2,5
10,1,10:20.0,Personal foul by W. Carter (drawn by H. Whiteside),,2,5
11,1,10:10.0,Personal foul by R. Arcidiacono (drawn by J. Johnson),,2,5
12,1,10:07.0,R. McGruder misses 3-pt jump shot from 26 ft,,2,5
13,1,10:03.0,,Defensive rebound by Z. LaVine,2,5
14,1,9:55.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by Z. LaVine),2,8
15,1,9:39.0,R. McGruder misses 2-pt jump shot from 12 ft,,2,8
16,1,9:38.0,Offensive rebound by H. Whiteside,,2,8
17,1,9:38.0,Shooting foul by J. Parker (drawn by H. Whiteside),,2,8
18,1,9:38.0,H. Whiteside misses free throw 1 of 2,,2,8
19,1,9:38.0,Offensive rebound by Team,,2,8
20,1,9:38.0,H. Whiteside misses free throw 2 of 2,,2,8
21,1,9:35.0,,Defensive rebound by J. Holiday,2,8
22,1,9:26.0,,Turnover by J. Holiday (bad pass; steal by W. Ellington),2,8
23,1,9:22.0,J. Richardson makes 2-pt layup from 1 ft (assist by H. Whiteside),,4,8
24,1,9:14.0,,Shooting foul by H. Whiteside (drawn by W. Carter),4,8
25,1,9:14.0,,W. Carter makes free throw 1 of 2,4,9
26,1,9:14.0,,W. Carter makes free throw 2 of 2,4,10
27,1,9:02.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by W. Ellington),,7,10
28,1,8:47.0,,J. Holiday misses 2-pt jump shot from 19 ft,7,10
29,1,8:43.0,,Offensive rebound by W. Carter,7,10
30,1,8:42.0,,W. Carter misses 3-pt jump shot from 24 ft,7,10
31,1,8:39.0,Defensive rebound by R. McGruder,,7,10
32,1,8:33.0,R. McGruder makes 3-pt jump shot from 25 ft (assist by J. Johnson),,10,10
33,1,8:18.0,,Z. LaVine makes 2-pt layup from 2 ft,10,12
34,1,8:00.0,J. Richardson misses 2-pt layup from 4 ft,,10,12
35,1,7:58.0,,Defensive rebound by W. Carter,10,12
36,1,7:42.0,,Turnover by Z. LaVine (bad pass; steal by H. Whiteside),10,12
37,1,7:39.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by R. McGruder),,13,12
38,1,7:16.0,,Z. LaVine misses 3-pt jump shot from 26 ft,13,12
39,1,7:10.0,,Offensive rebound by J. Parker,13,12
40,1,7:07.0,,J. Parker misses 3-pt jump shot from 23 ft,13,12
41,1,7:04.0,Defensive rebound by H. Whiteside,,13,12
