,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,GOLDEN STATE_ACTION,BROOKLYN_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,D. Russell makes 2-pt jump shot from 12 ft,,2,0
1,1,11:22.0,,K. Durant misses 2-pt jump shot from 18 ft,2,0
2,1,11:21.0,Defensive rebound by J. Dudley,,2,0
3,1,11:13.0,Personal foul by K. Thompson (drawn by J. Allen),,2,0
4,1,11:10.0,D. Russell makes 3-pt jump shot from 29 ft (assist by J. Harris),,5,0
5,1,10:52.0,,Personal foul by J. Allen (drawn by D. Jones),5,0
6,1,10:47.0,,K. Thompson misses 3-pt jump shot from 26 ft,5,0
7,1,10:45.0,,Offensive rebound by K. Durant,5,0
8,1,10:39.0,,K. Durant makes 2-pt layup from 3 ft,5,2
9,1,10:29.0,J. Harris misses 3-pt jump shot from 23 ft,,5,2
10,1,10:27.0,,Defensive rebound by J. Jerebko,5,2
11,1,10:24.0,,Turnover by K. Thompson (out of bounds lost ball),5,2
12,1,10:09.0,Turnover by J. Dudley (bad pass; steal by K. Durant),,5,2
13,1,10:05.0,,K. Thompson misses 2-pt layup from 2 ft,5,2
14,1,10:04.0,Defensive rebound by D. Russell,,5,2
15,1,9:57.0,J. Harris misses 2-pt layup from 3 ft (block by D. Jones),,5,2
16,1,9:55.0,,Defensive rebound by Q. Cook,5,2
17,1,9:50.0,,K. Thompson makes 2-pt layup from 3 ft (assist by Q. Cook),5,4
18,1,9:39.0,Shooting foul by K. Thompson (drawn by C. LeVert),,5,4
19,1,9:39.0,,Technical foul by K. Thompson,5,4
20,1,9:39.0,D. Russell makes technical free throw,,6,4
21,1,9:39.0,C. LeVert misses free throw 1 of 2,,6,4
22,1,9:39.0,Offensive rebound by Team,,6,4
23,1,9:39.0,C. LeVert makes free throw 2 of 2,,7,4
24,1,9:26.0,,Q. Cook makes 2-pt jump shot from 19 ft (assist by K. Durant),7,6
25,1,9:12.0,Shooting foul by D. Jones (drawn by J. Harris),,7,6
26,1,9:12.0,J. Harris makes free throw 1 of 2,,8,6
27,1,9:12.0,J. Harris makes free throw 2 of 2,,9,6
28,1,8:58.0,,Q. Cook makes 2-pt jump shot from 17 ft,9,8
29,1,8:50.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,11,8
30,1,8:48.0,,Golden State full timeout,11,8
31,1,8:35.0,,K. Durant makes 2-pt jump shot from 16 ft,11,10
32,1,8:21.0,D. Russell makes 2-pt jump shot from 20 ft,,13,10
33,1,8:09.0,,Turnover by K. Durant (bad pass; steal by D. Russell),13,10
34,1,8:03.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,16,10
35,1,7:46.0,,K. Durant makes 3-pt jump shot from 25 ft (assist by J. Jerebko),16,13
