,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:48.0,,Z. LaVine misses 2-pt jump shot from 21 ft,0,0
1,1,11:45.0,Defensive rebound by J. Johnson,,0,0
2,1,11:39.0,R. McGruder misses 2-pt jump shot from 9 ft,,0,0
3,1,11:34.0,,Defensive rebound by K. Dunn,0,0
4,1,11:15.0,,R. Lopez makes 3-pt jump shot from 26 ft (assist by Z. LaVine),0,3
5,1,10:55.0,J. Johnson makes 2-pt layup from 2 ft (assist by R. McGruder),,2,3
6,1,10:55.0,Shooting foul by Z. LaVine (drawn by J. Johnson),,2,3
7,1,10:55.0,J. Johnson makes free throw 1 of 1,,3,3
8,1,10:37.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,3
9,1,10:33.0,Defensive rebound by J. Richardson,,3,3
10,1,10:24.0,J. Winslow misses 2-pt jump shot from 9 ft,,3,3
11,1,10:22.0,Offensive rebound by H. Whiteside,,3,3
12,1,10:16.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,6,3
13,1,9:53.0,,R. Lopez misses 2-pt hook shot from 6 ft,6,3
14,1,9:50.0,Defensive rebound by R. McGruder,,6,3
15,1,9:42.0,R. McGruder misses 3-pt jump shot from 25 ft,,6,3
16,1,9:39.0,,Defensive rebound by L. Markkanen,6,3
17,1,9:32.0,,C. Hutchison misses 2-pt layup from 2 ft,6,3
18,1,9:27.0,,Offensive rebound by L. Markkanen,6,3
19,1,9:27.0,,L. Markkanen misses 2-pt layup at rim,6,3
20,1,9:26.0,Defensive rebound by R. McGruder,,6,3
21,1,9:24.0,J. Richardson misses 3-pt jump shot from 25 ft,,6,3
22,1,9:21.0,,Defensive rebound by C. Hutchison,6,3
23,1,9:11.0,,Shooting foul by R. McGruder (drawn by Z. LaVine),6,3
24,1,9:11.0,,Z. LaVine makes free throw 1 of 2,6,4
25,1,9:11.0,,Z. LaVine makes free throw 2 of 2,6,5
26,1,8:55.0,Shooting foul by C. Hutchison (drawn by J. Winslow),,6,5
27,1,8:55.0,J. Winslow makes free throw 1 of 2,,7,5
28,1,8:55.0,J. Winslow misses free throw 2 of 2,,7,5
29,1,8:52.0,,Defensive rebound by C. Hutchison,7,5
30,1,8:46.0,,K. Dunn misses 2-pt jump shot from 14 ft,7,5
31,1,8:44.0,Defensive rebound by Team,,7,5
32,1,8:29.0,R. McGruder misses 3-pt jump shot from 23 ft,,7,5
33,1,8:25.0,,Defensive rebound by K. Dunn,7,5
34,1,8:20.0,,C. Hutchison misses 2-pt layup from 4 ft,7,5
35,1,8:20.0,,Offensive rebound by L. Markkanen,7,5
36,1,8:13.0,,L. Markkanen makes 2-pt layup at rim,7,7
37,1,8:11.0,Personal foul by L. Markkanen (drawn by H. Whiteside),,7,7
38,1,7:58.0,R. McGruder misses 3-pt jump shot from 24 ft,,7,7
39,1,7:50.0,Offensive rebound by H. Whiteside,,7,7
40,1,7:50.0,H. Whiteside misses 2-pt layup from 1 ft,,7,7
41,1,7:49.0,,Defensive rebound by L. Markkanen,7,7
42,1,7:41.0,,K. Dunn misses 2-pt layup from 2 ft,7,7
43,1,7:39.0,Defensive rebound by J. Winslow,,7,7
44,1,7:37.0,Shooting foul by C. Hutchison (drawn by J. Winslow),,7,7
45,1,7:37.0,J. Winslow makes free throw 1 of 2,,8,7
46,1,7:37.0,,W. Selden enters the game for C. Hutchison,8,7
47,1,7:37.0,J. Winslow makes free throw 2 of 2,,9,7
48,1,7:25.0,,L. Markkanen makes 2-pt jump shot from 9 ft,9,9
49,1,7:25.0,,Shooting foul by J. Johnson (drawn by L. Markkanen),9,9
50,1,7:25.0,,L. Markkanen makes free throw 1 of 1,9,10
51,1,7:13.0,J. Johnson misses 2-pt dunk from 3 ft,,9,10
52,1,7:13.0,Offensive rebound by H. Whiteside,,9,10
53,1,7:09.0,H. Whiteside makes 2-pt dunk from 1 ft,,11,10
54,1,7:04.0,,Z. LaVine makes 2-pt layup from 2 ft,11,12
55,1,6:51.0,J. Richardson makes 2-pt layup from 2 ft,,13,12
56,1,6:44.0,,K. Dunn misses 2-pt layup from 4 ft (block by H. Whiteside),13,12
57,1,6:42.0,Defensive rebound by J. Johnson,,13,12
58,1,6:38.0,J. Winslow misses 2-pt layup from 1 ft,,13,12
59,1,6:28.0,,Defensive rebound by Z. LaVine,13,12
60,1,6:28.0,,Turnover by Z. LaVine (bad pass; steal by J. Johnson),13,12
61,1,6:28.0,Personal foul by Z. LaVine (drawn by J. Johnson),,13,12
62,1,6:28.0,,Chicago full timeout,13,12
63,1,6:28.0,J. Johnson makes free throw 1 of 2,,14,12
64,1,6:28.0,,S. Harrison enters the game for Z. LaVine,14,12
65,1,6:28.0,J. Johnson makes free throw 2 of 2,,15,12
66,1,6:09.0,,L. Markkanen misses 2-pt layup from 2 ft,15,12
