,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:37.0,,J. Layman misses 2-pt hook shot from 7 ft,0,0
1,1,11:33.0,,Offensive rebound by J. Nurkić,0,0
2,1,11:27.0,,Shooting foul by M. Turner (drawn by J. Nurkić),0,0
3,1,11:27.0,,J. Nurkić makes free throw 1 of 2,0,1
4,1,11:27.0,,J. Nurkić makes free throw 2 of 2,0,2
5,1,11:05.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,0,2
6,1,11:03.0,,Defensive rebound by J. Nurkić,0,2
7,1,10:50.0,,D. Lillard misses 2-pt jump shot from 20 ft,0,2
8,1,10:46.0,Defensive rebound by T. Young,,0,2
9,1,10:39.0,D. Collison misses 2-pt jump shot from 20 ft,,0,2
10,1,10:36.0,,Defensive rebound by J. Layman,0,2
11,1,10:23.0,,M. Harkless misses 3-pt jump shot from 26 ft,0,2
12,1,10:20.0,Defensive rebound by B. Bogdanović,,0,2
13,1,10:14.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by T. Young),,3,2
14,1,9:50.0,,J. Nurkić makes 2-pt hook shot from 4 ft,3,4
15,1,9:39.0,B. Bogdanović misses 2-pt layup from 3 ft,,3,4
16,1,9:32.0,Offensive rebound by M. Turner,,3,4
17,1,9:32.0,M. Turner makes 2-pt dunk at rim,,5,4
18,1,9:23.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),5,6
19,1,9:04.0,Turnover by M. Turner (lost ball; steal by M. Harkless),,5,6
20,1,8:56.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),5,8
21,1,8:39.0,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),,7,8
22,1,8:22.0,,D. Lillard makes 2-pt layup at rim (assist by J. Nurkić),7,10
23,1,8:07.0,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),,9,10
24,1,7:43.0,,J. Nurkić misses 2-pt jump shot from 15 ft,9,10
25,1,7:40.0,Defensive rebound by W. Matthews,,9,10
26,1,7:31.0,M. Turner misses 3-pt jump shot from 27 ft,,9,10
27,1,7:27.0,Offensive rebound by W. Matthews,,9,10
28,1,7:24.0,T. Young misses 2-pt layup from 2 ft (block by M. Harkless),,9,10
29,1,7:19.0,Offensive rebound by M. Turner,,9,10
30,1,7:17.0,M. Turner makes 2-pt layup from 2 ft,,11,10
31,1,7:05.0,,J. Nurkić makes 2-pt jump shot from 15 ft (assist by D. Lillard),11,12
32,1,6:51.0,M. Turner makes 3-pt jump shot from 28 ft (assist by D. Collison),,14,12
33,1,6:38.0,,J. Layman misses 3-pt jump shot from 26 ft,14,12
34,1,6:38.0,Defensive rebound by M. Turner,,14,12
35,1,6:18.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by M. Turner),,17,12
36,1,6:00.0,,Turnover by D. Lillard (lost ball; steal by D. Collison),17,12
37,1,5:56.0,B. Bogdanović makes 2-pt dunk from 2 ft (assist by D. Collison),,19,12
38,1,5:54.0,,Portland full timeout,19,12
39,1,5:40.0,,J. Layman misses 3-pt jump shot from 25 ft,19,12
40,1,5:36.0,Defensive rebound by M. Turner,,19,12
41,1,5:14.0,D. Collison makes 2-pt jump shot from 21 ft,,21,12
42,1,4:56.0,,Offensive foul by J. Nurkić (drawn by M. Turner),21,12
43,1,4:56.0,,Turnover by J. Nurkić (offensive foul),21,12
44,1,4:56.0,,S. Curry enters the game for A. Aminu,21,12
45,1,4:56.0,,R. Hood enters the game for J. Layman,21,12
46,1,4:34.0,B. Bogdanović makes 2-pt layup from 3 ft,,23,12
47,1,4:23.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),23,14
48,1,4:04.0,W. Matthews misses 2-pt jump shot from 6 ft (block by D. Lillard),,23,14
49,1,4:02.0,Offensive rebound by T. Young,,23,14
50,1,4:02.0,D. Sabonis enters the game for T. Young,,23,14
51,1,3:53.0,B. Bogdanović misses 2-pt jump shot from 11 ft (block by R. Hood),,23,14
52,1,3:53.0,,Defensive rebound by R. Hood,23,14
53,1,3:45.0,,R. Hood makes 2-pt jump shot from 13 ft,23,16
54,1,3:32.0,Shooting foul by S. Curry (drawn by D. Collison),,23,16
