,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,Turnover by W. Selden (bad pass),,0,0
1,1,11:18.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by B. Marjanović),0,2
2,1,11:07.0,R. Lopez misses 3-pt jump shot from 26 ft,,0,2
3,1,11:03.0,,Defensive rebound by M. Scott,0,2
4,1,10:53.0,,Z. Smith misses 3-pt jump shot from 26 ft,0,2
5,1,10:49.0,Defensive rebound by S. Harrison,,0,2
6,1,10:43.0,S. Harrison makes 2-pt jump shot from 9 ft,,2,2
7,1,10:25.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,2,2
8,1,10:21.0,Defensive rebound by W. Selden,,2,2
9,1,10:07.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 17 ft,,2,2
10,1,10:04.0,,Defensive rebound by M. Scott,2,2
11,1,9:51.0,,M. Scott misses 2-pt jump shot from 7 ft,2,2
12,1,9:49.0,Defensive rebound by W. Selden,,2,2
13,1,9:39.0,R. Lopez misses 2-pt hook shot from 8 ft,,2,2
14,1,9:36.0,,Defensive rebound by F. Korkmaz,2,2
15,1,9:28.0,,F. Korkmaz makes 2-pt jump shot from 12 ft,2,4
16,1,9:11.0,R. Lopez misses 2-pt hook shot from 4 ft,,2,4
17,1,9:09.0,,Defensive rebound by B. Marjanović,2,4
18,1,8:58.0,,T. McConnell makes 2-pt layup at rim,2,6
19,1,8:36.0,S. Harrison misses 2-pt layup from 2 ft (block by B. Marjanović),,2,6
20,1,8:29.0,,Defensive rebound by M. Scott,2,6
21,1,8:26.0,,T. McConnell makes 2-pt layup from 1 ft,2,8
22,1,8:26.0,Chicago full timeout,,2,8
23,1,8:10.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by T. Luwawu-Cabarrot),,4,8
24,1,7:52.0,,F. Korkmaz misses 2-pt layup from 5 ft (block by S. Harrison),4,8
25,1,7:52.0,,Offensive rebound by Team,4,8
26,1,7:50.0,,B. Marjanović makes 3-pt jump shot from 24 ft (assist by T. McConnell),4,11
27,1,7:37.0,S. Harrison makes 3-pt jump shot from 26 ft,,7,11
28,1,7:14.0,,T. McConnell misses 2-pt jump shot from 15 ft,7,11
29,1,7:11.0,Defensive rebound by R. Lopez,,7,11
30,1,7:02.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,7,11
31,1,6:59.0,,Defensive rebound by B. Marjanović,7,11
32,1,6:48.0,,Z. Smith makes 2-pt jump shot from 16 ft (assist by T. McConnell),7,13
33,1,6:38.0,R. Arcidiacono misses 2-pt jump shot from 12 ft,,7,13
34,1,6:33.0,,Defensive rebound by B. Marjanović,7,13
35,1,6:25.0,,B. Marjanović makes 2-pt layup from 3 ft (assist by T. McConnell),7,15
36,1,6:07.0,R. Lopez makes 2-pt hook shot from 6 ft,,9,15
37,1,5:52.0,,M. Scott makes 2-pt jump shot from 13 ft (assist by Z. Smith),9,17
38,1,5:40.0,R. Arcidiacono misses 2-pt jump shot from 8 ft (block by B. Marjanović),,9,17
39,1,5:40.0,Offensive rebound by Team,,9,17
40,1,5:40.0,B. Sampson enters the game for W. Selden,,9,17
41,1,5:40.0,,S. Milton enters the game for F. Korkmaz,9,17
42,1,5:40.0,,J. Simmons enters the game for T. McConnell,9,17
43,1,5:31.0,S. Harrison misses 2-pt layup from 5 ft,,9,17
44,1,5:27.0,Offensive rebound by R. Arcidiacono,,9,17
45,1,5:16.0,R. Lopez misses 2-pt hook shot from 3 ft,,9,17
46,1,5:14.0,,Defensive rebound by M. Scott,9,17
47,1,4:57.0,,M. Scott makes 2-pt jump shot from 3 ft (assist by B. Marjanović),9,19
48,1,4:45.0,R. Lopez misses 3-pt jump shot from 26 ft,,9,19
49,1,4:43.0,,Defensive rebound by B. Marjanović,9,19
50,1,4:34.0,,S. Milton misses 2-pt jump shot from 12 ft,9,19
