,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:37.0,,N. Jokić makes 2-pt hook shot from 3 ft (assist by P. Millsap),0,2
1,1,11:26.0,Turnover by B. Beal (bad pass; steal by G. Harris),,0,2
2,1,11:22.0,,G. Harris misses 3-pt jump shot from 25 ft,0,2
3,1,11:19.0,Defensive rebound by B. Portis,,0,2
4,1,11:06.0,T. Bryant misses 2-pt jump shot from 13 ft,,0,2
5,1,11:04.0,Offensive rebound by T. Brown,,0,2
6,1,10:53.0,Shooting foul by P. Millsap (drawn by T. Bryant),,0,2
7,1,10:53.0,T. Bryant makes free throw 1 of 2,,1,2
8,1,10:53.0,T. Bryant makes free throw 2 of 2,,2,2
9,1,10:42.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),2,4
10,1,10:42.0,,Shooting foul by T. Bryant (drawn by N. Jokić),2,4
11,1,10:42.0,,N. Jokić misses free throw 1 of 1,2,4
12,1,10:40.0,Defensive rebound by B. Portis,,2,4
13,1,10:31.0,Shooting foul by W. Barton (drawn by B. Beal),,2,4
14,1,10:31.0,B. Beal makes free throw 1 of 2,,3,4
15,1,10:31.0,B. Beal makes free throw 2 of 2,,4,4
16,1,10:16.0,,N. Jokić makes 2-pt layup from 2 ft (assist by P. Millsap),4,6
17,1,10:08.0,B. Beal makes 2-pt layup from 2 ft,,6,6
18,1,9:58.0,,W. Barton misses 3-pt jump shot from 25 ft,6,6
19,1,9:55.0,Defensive rebound by B. Portis,,6,6
20,1,9:46.0,T. Satoranský misses 2-pt jump shot from 9 ft,,6,6
21,1,9:42.0,,Defensive rebound by J. Murray,6,6
22,1,9:27.0,,W. Barton misses 3-pt jump shot from 25 ft,6,6
23,1,9:24.0,Defensive rebound by T. Bryant,,6,6
24,1,9:15.0,B. Beal misses 3-pt jump shot from 23 ft,,6,6
25,1,9:12.0,,Defensive rebound by P. Millsap,6,6
26,1,9:07.0,,G. Harris misses 3-pt jump shot from 23 ft,6,6
27,1,9:02.0,,Offensive rebound by N. Jokić,6,6
28,1,9:02.0,,N. Jokić makes 2-pt layup from 1 ft,6,8
29,1,8:51.0,Turnover by T. Satoranský (bad pass; steal by N. Jokić),,6,8
30,1,8:47.0,,N. Jokić makes 2-pt layup from 1 ft,6,10
31,1,8:47.0,Washington full timeout,,6,10
32,1,8:32.0,T. Brown misses 2-pt jump shot from 8 ft,,6,10
33,1,8:28.0,,Defensive rebound by P. Millsap,6,10
34,1,8:16.0,,W. Barton makes 2-pt jump shot from 16 ft,6,12
35,1,8:04.0,B. Portis makes 2-pt jump shot from 15 ft (assist by T. Brown),,8,12
36,1,7:49.0,,N. Jokić misses 3-pt jump shot from 25 ft,8,12
37,1,7:44.0,Defensive rebound by T. Brown,,8,12
38,1,7:37.0,T. Brown makes 3-pt jump shot from 24 ft (assist by B. Beal),,11,12
39,1,7:22.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),11,15
40,1,7:05.0,Shooting foul by N. Jokić (drawn by T. Satoranský),,11,15
41,1,7:05.0,T. Satoranský makes free throw 1 of 2,,12,15
42,1,7:05.0,T. Satoranský misses free throw 2 of 2,,12,15
43,1,7:05.0,,Defensive rebound by N. Jokić,12,15
44,1,6:51.0,,P. Millsap misses 2-pt jump shot from 8 ft,12,15
45,1,6:48.0,Defensive rebound by B. Portis,,12,15
46,1,6:43.0,Personal foul by J. Murray (drawn by B. Beal),,12,15
47,1,6:43.0,,M. Morris enters the game for J. Murray,12,15
48,1,6:32.0,B. Portis misses 3-pt jump shot from 25 ft,,12,15
49,1,6:29.0,,Defensive rebound by N. Jokić,12,15
