,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
0,1,11:39.0,,N. Bjelica misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by A. Žižić,,0,0
2,1,11:20.0,C. Osman misses 2-pt jump shot from 18 ft,,0,0
3,1,11:17.0,,Defensive rebound by D. Fox,0,0
4,1,11:16.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Fox),0,2
5,1,11:05.0,Personal foul by N. Bjelica (drawn by L. Nance),,0,2
6,1,10:48.0,A. Žižić misses 2-pt jump shot from 15 ft,,0,2
7,1,10:45.0,,Defensive rebound by D. Fox,0,2
8,1,10:41.0,,B. Hield misses 3-pt jump shot from 25 ft,0,2
9,1,10:35.0,Defensive rebound by L. Nance,,0,2
10,1,10:28.0,L. Nance misses 3-pt jump shot from 25 ft,,0,2
11,1,10:23.0,,Defensive rebound by B. Hield,0,2
12,1,10:16.0,,D. Fox misses 3-pt jump shot from 22 ft,0,2
13,1,10:13.0,Defensive rebound by L. Nance,,0,2
14,1,10:03.0,B. Knight misses 2-pt jump shot from 19 ft,,0,2
15,1,10:01.0,,Defensive rebound by H. Barnes,0,2
16,1,9:52.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by D. Fox),0,4
17,1,9:32.0,C. Osman makes 2-pt jump shot from 23 ft,,2,4
18,1,9:07.0,,D. Fox makes 3-pt jump shot from 25 ft,2,7
19,1,8:52.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),,5,7
20,1,8:36.0,,Personal foul by C. Osman (drawn by W. Cauley-Stein),5,7
21,1,8:29.0,,B. Hield misses 2-pt jump shot from 19 ft,5,7
22,1,8:26.0,Defensive rebound by L. Nance,,5,7
23,1,8:12.0,L. Nance misses 2-pt hook shot from 9 ft,,5,7
24,1,8:09.0,,Defensive rebound by W. Cauley-Stein,5,7
25,1,8:01.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),5,9
26,1,7:49.0,C. Sexton misses 2-pt hook shot from 5 ft,,5,9
27,1,7:45.0,Offensive rebound by A. Žižić,,5,9
28,1,7:44.0,A. Žižić makes 2-pt layup from 2 ft,,7,9
29,1,7:34.0,,B. Hield makes 2-pt dunk from 1 ft (assist by W. Cauley-Stein),7,11
30,1,7:10.0,Turnover by A. Žižić (out of bounds lost ball),,7,11
31,1,7:00.0,,N. Bjelica misses 3-pt jump shot from 25 ft,7,11
32,1,6:58.0,Defensive rebound by C. Sexton,,7,11
33,1,6:43.0,C. Osman misses 3-pt jump shot from 26 ft,,7,11
34,1,6:40.0,,Defensive rebound by D. Fox,7,11
35,1,6:33.0,,N. Bjelica misses 2-pt layup from 2 ft (block by A. Žižić),7,11
36,1,6:30.0,Defensive rebound by L. Nance,,7,11
37,1,6:16.0,B. Knight misses 3-pt jump shot from 25 ft,,7,11
38,1,6:14.0,Offensive rebound by L. Nance,,7,11
39,1,6:14.0,L. Nance makes 2-pt layup at rim,,9,11
40,1,6:14.0,Violation by Team (delay of game),,9,11
41,1,6:02.0,,W. Cauley-Stein makes 2-pt jump shot from 18 ft (assist by N. Bjelica),9,13
42,1,5:36.0,L. Nance misses 2-pt hook shot from 5 ft,,9,13
43,1,5:33.0,,Defensive rebound by W. Cauley-Stein,9,13
44,1,5:32.0,,Sacramento full timeout,9,13
45,1,5:32.0,J. Clarkson enters the game for B. Knight,,9,13
46,1,5:32.0,,M. Bagley enters the game for W. Cauley-Stein,9,13
47,1,5:23.0,,H. Barnes misses 3-pt jump shot from 24 ft,9,13
48,1,5:19.0,Defensive rebound by A. Žižić,,9,13
49,1,5:18.0,Turnover by A. Žižić (lost ball; steal by B. Hield),,9,13
50,1,5:09.0,,B. Hield makes 2-pt layup from 2 ft,9,15
51,1,5:06.0,Personal foul by M. Bagley (drawn by A. Žižić),,9,15
52,1,5:06.0,M. Chriss enters the game for A. Žižić,,9,15
53,1,4:50.0,C. Sexton misses 2-pt layup from 3 ft,,9,15
54,1,4:47.0,,Defensive rebound by N. Bjelica,9,15
55,1,4:45.0,,D. Fox misses 2-pt jump shot from 13 ft,9,15
56,1,4:43.0,Defensive rebound by L. Nance,,9,15
57,1,4:35.0,J. Clarkson makes 2-pt layup from 3 ft,,11,15
58,1,4:18.0,,N. Bjelica misses 3-pt jump shot from 27 ft,11,15
59,1,4:16.0,Defensive rebound by M. Chriss,,11,15
60,1,4:09.0,J. Clarkson makes 2-pt jump shot from 8 ft,,13,15
61,1,4:09.0,,Sacramento full timeout,13,15
62,1,4:09.0,,B. Bogdanović enters the game for H. Barnes,13,15
63,1,4:09.0,,K. Koufos enters the game for N. Bjelica,13,15
64,1,3:51.0,,B. Hield misses 3-pt jump shot from 25 ft,13,15
65,1,3:47.0,Defensive rebound by C. Osman,,13,15
66,1,3:47.0,Turnover by C. Sexton (step out of bounds),,13,15
67,1,3:31.0,,M. Bagley misses 2-pt hook shot from 13 ft,13,15
68,1,3:29.0,Defensive rebound by L. Nance,,13,15
69,1,3:29.0,D. Nwaba enters the game for L. Nance,,13,15
70,1,3:18.0,Turnover by C. Sexton (bad pass),,13,15
71,1,3:06.0,,K. Koufos makes 2-pt hook shot from 4 ft (assist by M. Bagley),13,17
72,1,3:06.0,,Shooting foul by D. Nwaba (drawn by K. Koufos),13,17
73,1,3:06.0,,C. Brewer enters the game for D. Fox,13,17
74,1,3:06.0,,Y. Ferrell enters the game for B. Hield,13,17
75,1,3:06.0,,K. Koufos misses free throw 1 of 1,13,17
76,1,2:54.0,Defensive rebound by M. Chriss,,13,17
77,1,2:45.0,C. Osman makes 2-pt hook shot from 3 ft,,15,17
78,1,2:20.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. Koufos),15,20
79,1,2:07.0,Turnover by D. Nwaba (bad pass; steal by C. Brewer),,15,20
80,1,2:03.0,,M. Bagley makes 2-pt layup from 2 ft (assist by B. Bogdanović),15,22
81,1,1:54.0,C. Sexton makes 2-pt layup from 2 ft,,17,22
82,1,1:45.0,,M. Bagley makes 2-pt hook shot from 8 ft (assist by Y. Ferrell),17,24
