,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:41.0,,M. Bridges misses 2-pt layup from 2 ft,0,0
1,1,11:39.0,Defensive rebound by A. Gordon,,0,0
2,1,11:36.0,Turnover by A. Gordon (lost ball; steal by M. Bridges),,0,0
3,1,11:29.0,,M. Bridges makes 2-pt dunk from 2 ft (assist by N. Batum),0,2
4,1,11:13.0,A. Gordon misses 2-pt layup from 2 ft,,0,2
5,1,11:10.0,Offensive rebound by Team,,0,2
6,1,11:00.0,A. Gordon makes 2-pt jump shot from 12 ft (assist by W. Iwundu),,2,2
7,1,10:45.0,,Turnover by D. Bacon (step out of bounds),2,2
8,1,10:23.0,A. Gordon misses 2-pt jump shot from 12 ft,,2,2
9,1,10:19.0,,Defensive rebound by N. Batum,2,2
10,1,10:10.0,,K. Walker makes 2-pt jump shot from 13 ft (assist by N. Batum),2,4
11,1,9:54.0,D. Augustin makes 2-pt layup from 2 ft,,4,4
12,1,9:37.0,,K. Walker misses 3-pt jump shot from 26 ft,4,4
13,1,9:33.0,Defensive rebound by A. Gordon,,4,4
14,1,9:28.0,W. Iwundu misses 2-pt layup from 3 ft (block by K. Walker),,4,4
15,1,9:28.0,Offensive rebound by Team,,4,4
16,1,9:25.0,E. Fournier makes 2-pt layup from 2 ft (assist by W. Iwundu),,6,4
17,1,9:09.0,,D. Bacon makes 2-pt layup from 3 ft (assist by N. Batum),6,6
18,1,8:55.0,D. Augustin misses 2-pt layup from 1 ft,,6,6
19,1,8:53.0,Offensive rebound by K. Birch,,6,6
20,1,8:50.0,W. Iwundu misses 3-pt jump shot from 26 ft,,6,6
21,1,8:47.0,,Defensive rebound by N. Batum,6,6
22,1,8:43.0,,Personal foul by W. Iwundu (drawn by D. Bacon),6,6
23,1,8:39.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Bridges),6,9
24,1,8:19.0,E. Fournier misses 3-pt jump shot from 25 ft,,6,9
25,1,8:17.0,,Defensive rebound by K. Walker,6,9
26,1,8:06.0,,D. Bacon misses 2-pt jump shot from 15 ft,6,9
27,1,7:59.0,,Offensive rebound by B. Biyombo,6,9
28,1,7:59.0,,B. Biyombo makes 2-pt dunk from 1 ft,6,11
29,1,7:40.0,E. Fournier makes 2-pt layup from 2 ft,,8,11
30,1,7:16.0,,M. Bridges makes 2-pt jump shot from 5 ft (assist by D. Bacon),8,13
31,1,6:54.0,D. Augustin misses 3-pt jump shot from 24 ft,,8,13
32,1,6:51.0,,Defensive rebound by D. Bacon,8,13
33,1,6:47.0,,K. Walker misses 2-pt layup from 1 ft,8,13
34,1,6:47.0,,Offensive rebound by B. Biyombo,8,13
35,1,6:47.0,,Shooting foul by K. Birch (drawn by B. Biyombo),8,13
36,1,6:47.0,,Charlotte full timeout,8,13
37,1,6:47.0,,J. Lamb enters the game for N. Batum,8,13
38,1,6:47.0,,B. Biyombo makes free throw 1 of 2,8,14
39,1,6:47.0,,B. Biyombo misses free throw 2 of 2,8,14
40,1,6:44.0,Defensive rebound by K. Birch,,8,14
41,1,6:32.0,Personal foul by J. Lamb (drawn by E. Fournier),,8,14
42,1,6:25.0,E. Fournier misses 2-pt jump shot from 19 ft,,8,14
43,1,6:22.0,,Defensive rebound by M. Bridges,8,14
44,1,6:15.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by K. Walker),8,16
45,1,5:49.0,W. Iwundu makes 2-pt dunk from 2 ft (assist by K. Birch),,10,16
46,1,5:32.0,,K. Walker misses 3-pt jump shot from 25 ft,10,16
47,1,5:28.0,Defensive rebound by A. Gordon,,10,16
48,1,5:20.0,W. Iwundu makes 2-pt jump shot from 18 ft,,12,16
49,1,4:56.0,,Shooting foul by E. Fournier (drawn by J. Lamb),12,16
50,1,4:56.0,,J. Lamb makes free throw 1 of 2,12,17
51,1,4:56.0,J. Martin enters the game for E. Fournier,,12,17
52,1,4:56.0,T. Ross enters the game for W. Iwundu,,12,17
53,1,4:56.0,,J. Lamb makes free throw 2 of 2,12,18
54,1,4:44.0,Shooting foul by B. Biyombo (drawn by A. Gordon),,12,18
55,1,4:44.0,A. Gordon makes free throw 1 of 2,,13,18
56,1,4:44.0,,F. Kaminsky enters the game for B. Biyombo,13,18
57,1,4:44.0,A. Gordon makes free throw 2 of 2,,14,18
58,1,4:27.0,,F. Kaminsky misses 2-pt jump shot from 4 ft,14,18
59,1,4:25.0,Defensive rebound by A. Gordon,,14,18
60,1,4:08.0,D. Augustin makes 2-pt layup from 7 ft,,16,18
61,1,3:54.0,,F. Kaminsky misses 3-pt jump shot from 27 ft,16,18
62,1,3:51.0,Defensive rebound by D. Augustin,,16,18
63,1,3:44.0,Shooting foul by F. Kaminsky (drawn by D. Augustin),,16,18
64,1,3:44.0,D. Augustin misses free throw 1 of 2,,16,18
65,1,3:44.0,Offensive rebound by Team,,16,18
66,1,3:44.0,D. Augustin makes free throw 2 of 2,,17,18
67,1,3:35.0,,Personal foul by K. Birch (drawn by K. Walker),17,18
68,1,3:35.0,M. Carter-Williams enters the game for D. Augustin,,17,18
69,1,3:35.0,A. Jefferson enters the game for K. Birch,,17,18
70,1,3:26.0,,K. Walker misses 2-pt jump shot from 18 ft,17,18
71,1,3:23.0,Defensive rebound by M. Carter-Williams,,17,18
72,1,3:12.0,J. Martin makes 2-pt layup from 2 ft (assist by M. Carter-Williams),,19,18
73,1,2:58.0,,K. Walker makes 2-pt layup from 1 ft,19,20
74,1,2:36.0,A. Gordon misses 3-pt jump shot from 25 ft,,19,20
75,1,2:36.0,,Defensive rebound by Team,19,20
76,1,2:36.0,Orlando full timeout,,19,20
77,1,2:36.0,W. Iwundu enters the game for A. Gordon,,19,20
78,1,2:36.0,,N. Batum enters the game for D. Bacon,19,20
79,1,2:36.0,,D. Graham enters the game for M. Bridges,19,20
80,1,2:36.0,,M. Monk enters the game for K. Walker,19,20
81,1,2:27.0,,J. Lamb makes 3-pt jump shot from 27 ft (assist by D. Graham),19,23
82,1,2:10.0,T. Ross makes 2-pt dunk from 2 ft (assist by J. Martin),,21,23
83,1,1:56.0,,N. Batum misses 3-pt jump shot from 23 ft,21,23
84,1,1:52.0,Defensive rebound by M. Carter-Williams,,21,23
85,1,1:40.0,T. Ross makes 2-pt jump shot from 11 ft,,23,23
86,1,1:20.0,,M. Monk misses 3-pt jump shot from 23 ft,23,23
87,1,1:17.0,Defensive rebound by J. Martin,,23,23
88,1,1:04.0,T. Ross makes 2-pt jump shot from 22 ft,,25,23
89,1,0:42.0,,J. Lamb misses 3-pt jump shot from 29 ft,25,23
90,1,0:39.0,Defensive rebound by A. Jefferson,,25,23
91,1,0:31.0,T. Ross makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,28,23
92,1,0:16.0,,Personal foul by A. Jefferson (drawn by F. Kaminsky),28,23
93,1,0:16.0,,F. Kaminsky makes free throw 1 of 2,28,24
94,1,0:16.0,,M. Kidd-Gilchrist enters the game for N. Batum,28,24
95,1,0:16.0,,F. Kaminsky makes free throw 2 of 2,28,25
96,1,0:01.0,Shooting foul by J. Lamb (drawn by T. Ross),,28,25
97,1,0:01.0,T. Ross makes free throw 1 of 2,,29,25
98,1,0:01.0,T. Ross makes free throw 2 of 2,,30,25
99,1,0:00.0,,D. Graham misses 3-pt jump shot from 52 ft,30,25
100,1,0:00.0,,Offensive rebound by Team,30,25
101,2,11:47.0,J. Martin misses 3-pt jump shot from 27 ft,,30,25
102,2,11:43.0,,Defensive rebound by J. Lamb,30,25
103,2,11:31.0,,Shooting foul by T. Ross (drawn by J. Lamb),30,25
104,2,11:31.0,,J. Lamb makes free throw 1 of 2,30,26
105,2,11:31.0,,J. Lamb makes free throw 2 of 2,30,27
106,2,11:22.0,Shooting foul by M. Monk (drawn by M. Carter-Williams),,30,27
107,2,11:22.0,M. Carter-Williams misses free throw 1 of 2,,30,27
108,2,11:22.0,Offensive rebound by Team,,30,27
109,2,11:22.0,M. Carter-Williams makes free throw 2 of 2,,31,27
110,2,10:55.0,,F. Kaminsky misses 2-pt jump shot from 21 ft,31,27
111,2,10:52.0,Defensive rebound by A. Jefferson,,31,27
112,2,10:48.0,T. Ross makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),,34,27
113,2,10:47.0,,Charlotte full timeout,34,27
114,2,10:47.0,,M. Bridges enters the game for M. Kidd-Gilchrist,34,27
115,2,10:47.0,,K. Walker enters the game for M. Monk,34,27
116,2,10:34.0,,Personal foul by A. Jefferson (drawn by F. Kaminsky),34,27
117,2,10:24.0,,M. Bridges misses 3-pt jump shot from 23 ft,34,27
118,2,10:21.0,Defensive rebound by T. Ross,,34,27
119,2,10:10.0,A. Jefferson makes 2-pt hook shot from 4 ft (assist by M. Carter-Williams),,36,27
120,2,9:58.0,,K. Walker misses 3-pt jump shot from 25 ft,36,27
121,2,9:55.0,Defensive rebound by J. Martin,,36,27
122,2,9:49.0,Shooting foul by F. Kaminsky (drawn by T. Ross),,36,27
123,2,9:49.0,T. Ross makes free throw 1 of 3,,37,27
124,2,9:49.0,T. Ross makes free throw 2 of 3,,38,27
125,2,9:49.0,,B. Biyombo enters the game for F. Kaminsky,38,27
126,2,9:49.0,T. Ross makes free throw 3 of 3,,39,27
127,2,9:35.0,,D. Graham misses 3-pt jump shot from 25 ft,39,27
128,2,9:31.0,Defensive rebound by E. Fournier,,39,27
129,2,9:29.0,E. Fournier misses 3-pt jump shot from 26 ft,,39,27
130,2,9:23.0,,Defensive rebound by D. Graham,39,27
131,2,9:18.0,,K. Walker makes 2-pt layup at rim (assist by D. Graham),39,29
132,2,9:04.0,E. Fournier makes 2-pt jump shot from 10 ft,,41,29
133,2,8:40.0,,J. Lamb makes 2-pt jump shot from 17 ft,41,31
134,2,8:23.0,E. Fournier misses 2-pt jump shot from 10 ft (block by K. Walker),,41,31
135,2,8:19.0,,Defensive rebound by J. Lamb,41,31
136,2,8:11.0,,Turnover by D. Graham (bad pass; steal by A. Jefferson),41,31
137,2,8:07.0,Personal foul by D. Graham (drawn by M. Carter-Williams),,41,31
138,2,8:07.0,,D. Bacon enters the game for D. Graham,41,31
139,2,8:02.0,T. Ross misses 2-pt jump shot from 18 ft,,41,31
140,2,7:55.0,Offensive rebound by A. Jefferson,,41,31
141,2,7:55.0,A. Jefferson makes 2-pt layup at rim,,43,31
142,2,7:45.0,,J. Lamb misses 2-pt jump shot from 18 ft,43,31
143,2,7:43.0,Defensive rebound by J. Martin,,43,31
144,2,7:36.0,M. Carter-Williams misses 2-pt layup from 6 ft,,43,31
145,2,7:34.0,,Defensive rebound by M. Bridges,43,31
146,2,7:31.0,,Shooting foul by J. Martin (drawn by B. Biyombo),43,31
147,2,7:31.0,,B. Biyombo misses free throw 1 of 2,43,31
148,2,7:31.0,,Offensive rebound by Team,43,31
149,2,7:31.0,,N. Batum enters the game for J. Lamb,43,31
150,2,7:31.0,,B. Biyombo makes free throw 2 of 2,43,32
151,2,7:20.0,M. Carter-Williams misses 3-pt jump shot from 26 ft,,43,32
152,2,7:14.0,Offensive rebound by T. Ross,,43,32
153,2,7:14.0,T. Ross makes 2-pt layup at rim,,45,32
154,2,7:03.0,,K. Walker makes 2-pt layup from 2 ft,45,34
155,2,6:54.0,E. Fournier makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,47,34
156,2,6:39.0,,Shooting foul by J. Martin (drawn by M. Bridges),47,34
157,2,6:39.0,,M. Bridges makes free throw 1 of 2,47,35
158,2,6:39.0,D. Augustin enters the game for E. Fournier,,47,35
159,2,6:39.0,K. Birch enters the game for A. Jefferson,,47,35
160,2,6:39.0,A. Gordon enters the game for J. Martin,,47,35
161,2,6:39.0,,M. Bridges makes free throw 2 of 2,47,36
162,2,6:23.0,Shooting foul by B. Biyombo (drawn by A. Gordon),,47,36
163,2,6:23.0,A. Gordon makes free throw 1 of 2,,48,36
164,2,6:23.0,A. Gordon makes free throw 2 of 2,,49,36
165,2,6:07.0,,Shooting foul by K. Birch (drawn by K. Walker),49,36
166,2,6:07.0,,K. Walker makes free throw 1 of 2,49,37
167,2,6:07.0,A. Jefferson enters the game for K. Birch,,49,37
168,2,6:07.0,,M. Monk enters the game for N. Batum,49,37
169,2,6:07.0,,K. Walker makes free throw 2 of 2,49,38
170,2,5:54.0,Shooting foul by M. Monk (drawn by M. Carter-Williams),,49,38
171,2,5:54.0,M. Carter-Williams misses free throw 1 of 2,,49,38
172,2,5:54.0,Offensive rebound by Team,,49,38
173,2,5:54.0,M. Carter-Williams makes free throw 2 of 2,,50,38
174,2,5:40.0,,D. Bacon misses 3-pt jump shot from 24 ft,50,38
175,2,5:35.0,Defensive rebound by A. Jefferson,,50,38
176,2,5:23.0,Offensive foul by A. Gordon (drawn by K. Walker),,50,38
177,2,5:23.0,Turnover by A. Gordon (offensive foul),,50,38
178,2,5:23.0,W. Iwundu enters the game for M. Carter-Williams,,50,38
179,2,5:12.0,,K. Walker misses 3-pt jump shot from 25 ft,50,38
180,2,5:09.0,Defensive rebound by T. Ross,,50,38
181,2,5:04.0,T. Ross misses 3-pt jump shot from 25 ft,,50,38
182,2,5:02.0,,Defensive rebound by M. Monk,50,38
183,2,4:58.0,,M. Monk makes 2-pt layup from 2 ft,50,40
184,2,4:29.0,D. Augustin makes 3-pt jump shot from 25 ft,,53,40
185,2,4:17.0,,Personal foul by D. Augustin (drawn by K. Walker),53,40
186,2,4:17.0,,K. Walker makes free throw 1 of 2,53,41
187,2,4:17.0,,K. Walker makes free throw 2 of 2,53,42
188,2,3:54.0,W. Iwundu misses 2-pt layup from 5 ft,,53,42
189,2,3:51.0,,Defensive rebound by M. Bridges,53,42
190,2,3:43.0,,K. Walker makes 2-pt layup from 2 ft,53,44
191,2,3:37.0,Orlando full timeout,,53,44
192,2,3:37.0,E. Fournier enters the game for T. Ross,,53,44
193,2,3:37.0,,J. Lamb enters the game for M. Monk,53,44
194,2,3:24.0,A. Gordon makes 2-pt dunk at rim (assist by W. Iwundu),,55,44
195,2,3:05.0,,J. Lamb makes 3-pt jump shot from 26 ft,55,47
196,2,2:44.0,W. Iwundu makes 3-pt jump shot from 27 ft (assist by E. Fournier),,58,47
197,2,2:22.0,,J. Lamb makes 2-pt jump shot from 17 ft,58,49
198,2,2:01.0,A. Gordon misses 2-pt jump shot from 11 ft,,58,49
199,2,1:57.0,Offensive rebound by A. Jefferson,,58,49
200,2,1:52.0,D. Augustin misses 2-pt layup from 2 ft,,58,49
201,2,1:50.0,,Defensive rebound by J. Lamb,58,49
202,2,1:46.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),58,51
203,2,1:20.0,A. Gordon makes 2-pt jump shot from 15 ft (assist by E. Fournier),,60,51
204,2,1:08.0,,K. Walker makes 2-pt layup from 1 ft,60,53
205,2,0:48.0,D. Augustin makes 2-pt layup from 1 ft (assist by W. Iwundu),,62,53
206,2,0:48.0,,Violation by Team (def goaltending),62,53
207,2,0:34.0,,K. Walker makes 3-pt jump shot from 27 ft,62,56
208,2,0:26.0,D. Augustin misses 2-pt layup from 3 ft (block by M. Bridges),,62,56
209,2,0:23.0,,Defensive rebound by B. Biyombo,62,56
210,2,0:04.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by K. Walker),62,58
211,2,0:00.0,Offensive foul by D. Augustin (drawn by K. Walker),,62,58
212,2,0:00.0,Turnover by D. Augustin (offensive foul),,62,58
213,2,0:00.0,,F. Kaminsky enters the game for B. Biyombo,62,58
214,2,0:00.0,,M. Bridges misses 3-pt jump shot from 30 ft,62,58
215,2,0:00.0,,Offensive rebound by Team,62,58
216,3,11:44.0,A. Gordon misses 2-pt layup from 1 ft,,62,58
217,3,11:42.0,,Defensive rebound by D. Bacon,62,58
218,3,11:39.0,,D. Bacon makes 2-pt dunk from 1 ft,62,60
219,3,11:22.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),,65,60
220,3,11:04.0,,D. Bacon misses 2-pt layup from 2 ft,65,60
221,3,11:01.0,Defensive rebound by E. Fournier,,65,60
222,3,10:58.0,D. Augustin misses 3-pt jump shot from 26 ft,,65,60
223,3,10:54.0,,Defensive rebound by B. Biyombo,65,60
224,3,10:45.0,,K. Walker makes 2-pt jump shot from 9 ft,65,62
225,3,10:30.0,A. Gordon makes 2-pt dunk from 1 ft,,67,62
226,3,10:03.0,,M. Bridges misses 3-pt jump shot from 25 ft,67,62
227,3,10:00.0,Defensive rebound by K. Birch,,67,62
228,3,9:51.0,Turnover by D. Augustin (bad pass; steal by D. Bacon),,67,62
