,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHARLOTTE_ACTION,PHILADELPHIA_SCORE,CHARLOTTE_SCORE
0,1,11:35.0,J. Embiid makes 2-pt jump shot from 8 ft,,2,0
1,1,11:21.0,,K. Walker makes 2-pt jump shot from 16 ft (assist by M. Williams),2,2
2,1,11:03.0,Personal foul by C. Zeller (drawn by J. Embiid),,2,2
3,1,10:49.0,B. Simmons misses 2-pt jump shot from 8 ft,,2,2
4,1,10:46.0,,Defensive rebound by M. Williams,2,2
5,1,10:38.0,,J. Lamb misses 2-pt jump shot from 8 ft (block by J. Redick),2,2
6,1,10:35.0,Defensive rebound by J. Redick,,2,2
7,1,10:25.0,J. Butler misses 2-pt jump shot from 9 ft,,2,2
8,1,10:24.0,Offensive rebound by J. Embiid,,2,2
9,1,10:22.0,J. Embiid makes 2-pt layup from 2 ft,,4,2
10,1,10:11.0,,K. Walker makes 2-pt layup from 2 ft,4,4
11,1,10:03.0,Turnover by J. Butler (bad pass; steal by K. Walker),,4,4
12,1,9:52.0,,C. Zeller misses 3-pt jump shot from 26 ft,4,4
13,1,9:49.0,Defensive rebound by J. Embiid,,4,4
14,1,9:43.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),,6,4
15,1,9:21.0,,J. Lamb misses 3-pt jump shot from 27 ft,6,4
16,1,9:18.0,Defensive rebound by B. Simmons,,6,4
17,1,9:13.0,B. Simmons makes 2-pt layup from 1 ft,,8,4
18,1,9:03.0,,Turnover by K. Walker (bad pass),8,4
19,1,8:55.0,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),,10,4
20,1,8:36.0,,Turnover by K. Walker (step out of bounds),10,4
21,1,8:22.0,J. Embiid makes 2-pt layup from 1 ft (assist by M. Muscala),,12,4
22,1,8:09.0,,C. Zeller misses 2-pt jump shot from 11 ft,12,4
23,1,8:07.0,Defensive rebound by B. Simmons,,12,4
24,1,8:03.0,Turnover by B. Simmons (bad pass; steal by J. Lamb),,12,4
25,1,7:59.0,,C. Zeller makes 2-pt dunk from 1 ft (assist by J. Lamb),12,6
26,1,7:46.0,J. Redick makes 3-pt jump shot from 25 ft,,15,6
27,1,7:35.0,,K. Walker makes 2-pt layup from 2 ft,15,8
28,1,7:35.0,,Shooting foul by J. Embiid (drawn by K. Walker),15,8
29,1,7:35.0,,K. Walker makes free throw 1 of 1,15,9
30,1,7:23.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,18,9
31,1,7:10.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),18,11
32,1,6:56.0,J. Embiid makes 2-pt jump shot from 12 ft,,20,11
33,1,6:44.0,,K. Walker misses 3-pt jump shot from 27 ft,20,11
34,1,6:43.0,,Offensive rebound by J. Lamb,20,11
35,1,6:43.0,,J. Lamb makes 2-pt dunk from 1 ft,20,13
36,1,6:31.0,J. Redick misses 3-pt jump shot from 25 ft,,20,13
37,1,6:28.0,,Defensive rebound by J. Lamb,20,13
38,1,6:23.0,,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),20,15
39,1,6:02.0,J. Embiid misses 2-pt jump shot from 6 ft,,20,15
40,1,5:59.0,,Defensive rebound by C. Zeller,20,15
41,1,5:54.0,,M. Williams misses 3-pt jump shot from 26 ft,20,15
42,1,5:52.0,Defensive rebound by B. Simmons,,20,15
43,1,5:46.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,23,15
44,1,5:44.0,,Charlotte full timeout,23,15
45,1,5:44.0,M. Fultz enters the game for J. Embiid,,23,15
46,1,5:44.0,A. Johnson enters the game for M. Muscala,,23,15
47,1,5:44.0,L. Shamet enters the game for J. Redick,,23,15
48,1,5:44.0,,M. Bridges enters the game for M. Williams,23,15
49,1,5:44.0,,W. Hernangómez enters the game for C. Zeller,23,15
50,1,5:30.0,,K. Walker misses 2-pt layup from 1 ft,23,15
51,1,5:26.0,,Offensive rebound by W. Hernangómez,23,15
52,1,5:26.0,,W. Hernangómez misses 2-pt layup from 1 ft,23,15
53,1,5:25.0,Defensive rebound by A. Johnson,,23,15
54,1,5:21.0,A. Johnson makes 3-pt jump shot from 24 ft (assist by B. Simmons),,26,15
55,1,4:55.0,,N. Batum misses 2-pt jump shot from 19 ft,26,15
56,1,4:49.0,Defensive rebound by B. Simmons,,26,15
57,1,4:47.0,J. Butler misses 3-pt jump shot from 25 ft,,26,15
58,1,4:44.0,Offensive rebound by A. Johnson,,26,15
59,1,4:44.0,Turnover by A. Johnson (lost ball; steal by K. Walker),,26,15
60,1,4:39.0,,J. Lamb makes 3-pt jump shot from 24 ft (assist by N. Batum),26,18
61,1,4:24.0,Shooting foul by W. Hernangómez (drawn by B. Simmons),,26,18
62,1,4:24.0,B. Simmons makes free throw 1 of 2,,27,18
63,1,4:24.0,F. Korkmaz enters the game for J. Butler,,27,18
64,1,4:24.0,B. Simmons makes free throw 2 of 2,,28,18
65,1,4:15.0,,K. Walker misses 2-pt layup from 1 ft (block by M. Fultz),28,18
66,1,4:12.0,Defensive rebound by M. Fultz,,28,18
