,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MILWAUKEE_ACTION,NEW YORK_SCORE,MILWAUKEE_SCORE
0,1,11:37.0,,K. Middleton makes 2-pt jump shot from 3 ft,0,2
1,1,11:30.0,Personal foul by M. Brogdon (drawn by T. Hardaway),,0,2
2,1,11:15.0,E. Freedom makes 2-pt jump shot from 18 ft (assist by F. Ntilikina),,2,2
3,1,10:59.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),2,5
4,1,10:43.0,T. Burke makes 2-pt jump shot from 17 ft,,4,5
5,1,10:30.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),4,8
6,1,10:17.0,F. Ntilikina misses 2-pt jump shot from 19 ft,,4,8
7,1,10:13.0,Offensive rebound by E. Freedom,,4,8
8,1,10:10.0,E. Freedom makes 2-pt layup from 2 ft,,6,8
9,1,10:02.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),6,11
10,1,9:43.0,Turnover by T. Burke (bad pass; steal by K. Middleton),,6,11
11,1,9:33.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),6,13
12,1,9:25.0,T. Hardaway makes 3-pt jump shot from 28 ft,,9,13
13,1,9:07.0,,K. Middleton misses 2-pt jump shot from 9 ft,9,13
14,1,9:05.0,Defensive rebound by E. Freedom,,9,13
15,1,8:55.0,Offensive foul by E. Freedom (drawn by E. Bledsoe),,9,13
16,1,8:55.0,Turnover by E. Freedom (offensive foul),,9,13
17,1,8:35.0,,B. Lopez misses 2-pt jump shot from 14 ft,9,13
18,1,8:32.0,Defensive rebound by E. Freedom,,9,13
19,1,8:22.0,F. Ntilikina makes 2-pt layup from 1 ft (assist by T. Burke),,11,13
20,1,8:11.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by B. Lopez),11,16
21,1,7:57.0,F. Ntilikina misses 3-pt jump shot from 27 ft,,11,16
22,1,7:54.0,,Defensive rebound by G. Antetokounmpo,11,16
23,1,7:52.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,11,18
24,1,7:52.0,,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),11,18
25,1,7:52.0,,G. Antetokounmpo misses free throw 1 of 1,11,18
26,1,7:52.0,Defensive rebound by T. Hardaway,,11,18
27,1,7:35.0,T. Burke makes 2-pt jump shot from 13 ft,,13,18
28,1,7:23.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,13,20
29,1,7:11.0,T. Hardaway makes 2-pt layup from 5 ft (assist by E. Freedom),,15,20
30,1,7:11.0,,Violation by Team (def goaltending),15,20
31,1,7:11.0,,Milwaukee full timeout,15,20
32,1,7:11.0,,E. İlyasova enters the game for M. Brogdon,15,20
33,1,7:01.0,,Shooting foul by F. Ntilikina (drawn by E. İlyasova),15,20
34,1,7:01.0,,E. İlyasova makes free throw 1 of 2,15,21
35,1,7:01.0,,E. İlyasova misses free throw 2 of 2,15,21
36,1,6:58.0,Defensive rebound by T. Hardaway,,15,21
37,1,6:46.0,E. Freedom misses 2-pt jump shot from 13 ft,,15,21
38,1,6:43.0,,Defensive rebound by K. Middleton,15,21
39,1,6:29.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,15,21
40,1,6:27.0,Defensive rebound by E. Freedom,,15,21
41,1,6:22.0,Turnover by T. Hardaway (bad pass; steal by E. Bledsoe),,15,21
42,1,6:17.0,,E. Bledsoe makes 2-pt dunk from 1 ft,15,23
43,1,6:01.0,Shooting foul by E. İlyasova (drawn by L. Thomas),,15,23
44,1,6:01.0,L. Thomas makes free throw 1 of 2,,16,23
45,1,6:01.0,R. Baker enters the game for T. Burke,,16,23
46,1,6:01.0,D. Dotson enters the game for F. Ntilikina,,16,23
47,1,6:01.0,L. Thomas makes free throw 2 of 2,,17,23
48,1,5:41.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,17,25
49,1,5:27.0,T. Hardaway misses 2-pt jump shot from 11 ft,,17,25
50,1,5:26.0,,Defensive rebound by E. İlyasova,17,25
51,1,5:22.0,,Personal foul by D. Dotson (drawn by G. Antetokounmpo),17,25
52,1,5:22.0,N. Vonleh enters the game for L. Thomas,,17,25
53,1,5:22.0,,J. Henson enters the game for B. Lopez,17,25
54,1,5:20.0,,E. Bledsoe misses 3-pt jump shot from 24 ft,17,25
55,1,5:17.0,,Offensive rebound by J. Henson,17,25
56,1,5:15.0,,J. Henson makes 2-pt hook shot from 2 ft,17,27
57,1,4:56.0,T. Hardaway misses 2-pt jump shot from 16 ft (block by J. Henson),,17,27
58,1,4:52.0,,Defensive rebound by J. Henson,17,27
59,1,4:51.0,,Shooting foul by T. Hardaway (drawn by J. Henson),17,27
60,1,4:51.0,F. Ntilikina enters the game for R. Baker,,17,27
61,1,4:51.0,,D. DiVincenzo enters the game for G. Antetokounmpo,17,27
62,1,4:51.0,,J. Henson makes free throw 1 of 2,17,28
63,1,4:51.0,,J. Henson misses free throw 2 of 2,17,28
64,1,4:48.0,Defensive rebound by E. Freedom,,17,28
65,1,4:37.0,E. Freedom misses 2-pt jump shot from 15 ft,,17,28
66,1,4:34.0,,Defensive rebound by E. İlyasova,17,28
67,1,4:27.0,,Shooting foul by D. Dotson (drawn by E. İlyasova),17,28
68,1,4:27.0,,E. İlyasova makes free throw 1 of 2,17,29
